Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.673959E+04;  0.500000E+03;  0.689249E+00; -0.197761E+04;  0.000000E+00; -0.197692E+04
  0.597360E+04;  0.101662E+04;  0.130344E-01;  0.673959E+04;  0.500000E+03;  0.688376E+00; -0.195821E+04;  0.000000E+00; -0.195752E+04
  0.597360E+04;  0.101662E+04;  0.135135E-01;  0.673959E+04;  0.500000E+03;  0.688217E+00; -0.195792E+04;  0.000000E+00; -0.195723E+04
  0.586290E+04;  0.103030E+04;  0.163463E-01;  0.673959E+04;  0.500000E+03;  0.687159E+00; -0.191782E+04;  0.000000E+00; -0.191713E+04
  0.581515E+04;  0.105107E+04;  0.146798E-01;  0.673959E+04;  0.500000E+03;  0.687806E+00; -0.190064E+04;  0.000000E+00; -0.189995E+04
  0.574524E+04;  0.105542E+04;  0.196237E-01;  0.673959E+04;  0.500000E+03;  0.685686E+00; -0.188312E+04;  0.000000E+00; -0.188243E+04
  0.574524E+04;  0.105218E+04;  0.177429E-01;  0.673959E+04;  0.500000E+03;  0.686564E+00; -0.188436E+04;  0.000000E+00; -0.188367E+04
  0.569333E+04;  0.106193E+04;  0.223299E-01;  0.673959E+04;  0.500000E+03;  0.684267E+00; -0.187172E+04;  0.000000E+00; -0.187103E+04
  0.561437E+04;  0.106576E+04;  0.266595E-01;  0.673959E+04;  0.500000E+03;  0.681615E+00; -0.185829E+04;  0.000000E+00; -0.185761E+04
  0.557313E+04;  0.109492E+04;  0.258030E-01;  0.673959E+04;  0.500000E+03;  0.682177E+00; -0.184946E+04;  0.000000E+00; -0.184877E+04
  0.547787E+04;  0.110275E+04;  0.242668E-01;  0.673959E+04;  0.500000E+03;  0.683138E+00; -0.183957E+04;  0.000000E+00; -0.183889E+04
  0.543280E+04;  0.111420E+04;  0.258794E-01;  0.673959E+04;  0.500000E+03;  0.682128E+00; -0.183510E+04;  0.000000E+00; -0.183442E+04
  0.543280E+04;  0.113728E+04;  0.250025E-01;  0.673959E+04;  0.500000E+03;  0.682685E+00; -0.183349E+04;  0.000000E+00; -0.183281E+04
  0.538958E+04;  0.114411E+04;  0.286038E-01;  0.673959E+04;  0.500000E+03;  0.680272E+00; -0.183032E+04;  0.000000E+00; -0.182964E+04
  0.512771E+04;  0.113671E+04;  0.274559E-01;  0.673959E+04;  0.500000E+03;  0.681077E+00; -0.182609E+04;  0.000000E+00; -0.182541E+04
  0.516667E+04;  0.112508E+04;  0.271258E-01;  0.673959E+04;  0.500000E+03;  0.681302E+00; -0.182656E+04;  0.000000E+00; -0.182588E+04
  0.521866E+04;  0.115627E+04;  0.254521E-01;  0.673959E+04;  0.500000E+03;  0.682402E+00; -0.182471E+04;  0.000000E+00; -0.182403E+04
  0.521866E+04;  0.114511E+04;  0.289213E-01;  0.673959E+04;  0.500000E+03;  0.680044E+00; -0.182529E+04;  0.000000E+00; -0.182461E+04
  0.519445E+04;  0.114499E+04;  0.295404E-01;  0.673959E+04;  0.500000E+03;  0.679591E+00; -0.182518E+04;  0.000000E+00; -0.182450E+04
  0.523289E+04;  0.115382E+04;  0.320626E-01;  0.673959E+04;  0.500000E+03;  0.677649E+00; -0.182490E+04;  0.000000E+00; -0.182423E+04
  0.516155E+04;  0.115956E+04;  0.316729E-01;  0.673959E+04;  0.500000E+03;  0.677960E+00; -0.182441E+04;  0.000000E+00; -0.182374E+04
  0.516155E+04;  0.115135E+04;  0.282722E-01;  0.673959E+04;  0.500000E+03;  0.680508E+00; -0.182485E+04;  0.000000E+00; -0.182417E+04
  0.510460E+04;  0.113617E+04;  0.239025E-01;  0.673959E+04;  0.500000E+03;  0.683358E+00; -0.182643E+04;  0.000000E+00; -0.182574E+04
  0.517387E+04;  0.113767E+04;  0.232195E-01;  0.673959E+04;  0.500000E+03;  0.683760E+00; -0.182565E+04;  0.000000E+00; -0.182496E+04
  0.517560E+04;  0.112557E+04;  0.231259E-01;  0.673959E+04;  0.500000E+03;  0.683814E+00; -0.182648E+04;  0.000000E+00; -0.182580E+04
  0.518824E+04;  0.114926E+04;  0.195938E-01;  0.673959E+04;  0.500000E+03;  0.685700E+00; -0.182498E+04;  0.000000E+00; -0.182430E+04
  0.516881E+04;  0.115614E+04;  0.142626E-01;  0.673959E+04;  0.500000E+03;  0.687957E+00; -0.182466E+04;  0.000000E+00; -0.182397E+04
  0.528778E+04;  0.117131E+04;  0.161429E-01;  0.673959E+04;  0.500000E+03;  0.687242E+00; -0.182562E+04;  0.000000E+00; -0.182493E+04
  0.527050E+04;  0.119261E+04;  0.131740E-01;  0.673959E+04;  0.500000E+03;  0.688330E+00; -0.182457E+04;  0.000000E+00; -0.182388E+04
  0.527050E+04;  0.120328E+04;  0.763025E-02;  0.673959E+04;  0.500000E+03;  0.689772E+00; -0.182457E+04;  0.000000E+00; -0.182388E+04
  0.518338E+04;  0.121662E+04;  0.119262E-01;  0.673959E+04;  0.500000E+03;  0.688721E+00; -0.182266E+04;  0.000000E+00; -0.182197E+04
  0.513238E+04;  0.119519E+04;  0.142391E-01;  0.673959E+04;  0.500000E+03;  0.687965E+00; -0.182310E+04;  0.000000E+00; -0.182241E+04
  0.514650E+04;  0.120481E+04;  0.203562E-01;  0.673959E+04;  0.500000E+03;  0.685320E+00; -0.182266E+04;  0.000000E+00; -0.182198E+04
  0.514650E+04;  0.118313E+04;  0.175594E-01;  0.673959E+04;  0.500000E+03;  0.686645E+00; -0.182342E+04;  0.000000E+00; -0.182274E+04
  0.518427E+04;  0.117774E+04;  0.187250E-01;  0.673959E+04;  0.500000E+03;  0.686117E+00; -0.182362E+04;  0.000000E+00; -0.182294E+04
  0.522838E+04;  0.119147E+04;  0.206030E-01;  0.673959E+04;  0.500000E+03;  0.685193E+00; -0.182350E+04;  0.000000E+00; -0.182281E+04
  0.528947E+04;  0.119415E+04;  0.250148E-01;  0.673959E+04;  0.500000E+03;  0.682678E+00; -0.182453E+04;  0.000000E+00; -0.182385E+04
  0.530400E+04;  0.115638E+04;  0.216106E-01;  0.673959E+04;  0.500000E+03;  0.684662E+00; -0.182651E+04;  0.000000E+00; -0.182583E+04
  0.531050E+04;  0.115942E+04;  0.212750E-01;  0.673959E+04;  0.500000E+03;  0.684842E+00; -0.182659E+04;  0.000000E+00; -0.182591E+04
  0.531050E+04;  0.117573E+04;  0.271148E-01;  0.673959E+04;  0.500000E+03;  0.681309E+00; -0.182566E+04;  0.000000E+00; -0.182498E+04
  0.530812E+04;  0.117573E+04;  0.219531E-01;  0.673959E+04;  0.500000E+03;  0.684475E+00; -0.182580E+04;  0.000000E+00; -0.182511E+04
  0.530812E+04;  0.117947E+04;  0.184511E-01;  0.673959E+04;  0.500000E+03;  0.686244E+00; -0.182583E+04;  0.000000E+00; -0.182514E+04
  0.519173E+04;  0.120933E+04;  0.183364E-01;  0.673959E+04;  0.500000E+03;  0.686297E+00; -0.182269E+04;  0.000000E+00; -0.182200E+04
  0.511700E+04;  0.121630E+04;  0.179835E-01;  0.673959E+04;  0.500000E+03;  0.686457E+00; -0.182255E+04;  0.000000E+00; -0.182186E+04
  0.524009E+04;  0.122695E+04;  0.211930E-01;  0.673959E+04;  0.500000E+03;  0.684885E+00; -0.182290E+04;  0.000000E+00; -0.182222E+04
  0.524081E+04;  0.124018E+04;  0.187120E-01;  0.673959E+04;  0.500000E+03;  0.686123E+00; -0.182287E+04;  0.000000E+00; -0.182219E+04
  0.525734E+04;  0.125130E+04;  0.216717E-01;  0.673959E+04;  0.500000E+03;  0.684629E+00; -0.182305E+04;  0.000000E+00; -0.182237E+04
  0.512191E+04;  0.123861E+04;  0.226330E-01;  0.673959E+04;  0.500000E+03;  0.684096E+00; -0.182202E+04;  0.000000E+00; -0.182134E+04
  0.513048E+04;  0.123798E+04;  0.249871E-01;  0.673959E+04;  0.500000E+03;  0.682695E+00; -0.182196E+04;  0.000000E+00; -0.182128E+04
  0.514627E+04;  0.125792E+04;  0.279245E-01;  0.673959E+04;  0.500000E+03;  0.680752E+00; -0.182167E+04;  0.000000E+00; -0.182099E+04
  0.517232E+04;  0.125297E+04;  0.336894E-01;  0.673959E+04;  0.500000E+03;  0.676312E+00; -0.182165E+04;  0.000000E+00; -0.182098E+04
  0.518487E+04;  0.125865E+04;  0.341309E-01;  0.673959E+04;  0.500000E+03;  0.675938E+00; -0.182167E+04;  0.000000E+00; -0.182099E+04
  0.518132E+04;  0.127196E+04;  0.354672E-01;  0.673959E+04;  0.500000E+03;  0.674775E+00; -0.182160E+04;  0.000000E+00; -0.182092E+04
  0.516869E+04;  0.127114E+04;  0.323771E-01;  0.673959E+04;  0.500000E+03;  0.677396E+00; -0.182159E+04;  0.000000E+00; -0.182091E+04
  0.522662E+04;  0.126458E+04;  0.374664E-01;  0.673959E+04;  0.500000E+03;  0.672953E+00; -0.182201E+04;  0.000000E+00; -0.182134E+04
  0.522976E+04;  0.122630E+04;  0.450304E-01;  0.673959E+04;  0.500000E+03;  0.665153E+00; -0.182228E+04;  0.000000E+00; -0.182161E+04
  0.510926E+04;  0.124545E+04;  0.365352E-01;  0.673959E+04;  0.500000E+03;  0.673814E+00; -0.182195E+04;  0.000000E+00; -0.182128E+04
