"Pr" "Mp" "Q_2" "Q_9"
1.01 3046.431 2643.344 3347.698
1.011 3075.431 2677.172 3374.031
1.012 3102.429 2708.497 3398.526
1.013 3127.723 2738.065 3421.361
1.014 3151.547 2765.745 3442.898
1.015 3174.09 2792.051 3463.251
1.016 3195.505 2816.769 3482.611
1.017 3215.919 2840.477 3501.191
1.018 3235.436 2863.032 3519.022
1.019 3254.147 2884.592 3536.156
1.02 3272.128 2905.334 3552.647
1.021 3289.445 2925.379 3568.616
1.022 3306.155 2944.646 3583.978
1.024 3322.307 2963.432 3598.865
1.025 3337.945 2981.341 3613.099
1.026 3353.108 2998.603 3627.018
1.027 3367.83 3015.575 3640.56
1.028 3382.142 3031.949 3653.666
1.029 3396.071 3048.033 3666.551
1.03 3409.642 3063.596 3679.022
1.031 3422.877 3078.715 3691.286
1.032 3435.797 3093.357 3703.219
1.033 3448.42 3107.64 3714.893
1.034 3460.762 3121.766 3726.386
1.035 3472.839 3135.533 3737.547
1.036 3484.665 3149.042 3748.421
1.037 3496.254 3162.315 3759.07
1.038 3507.616 3175.214 3769.5
1.04 3518.764 3187.922 3779.877
1.041 3529.707 3200.367 3790.057
1.042 3540.455 3212.462 3799.97
1.043 3551.017 3224.428 3809.769
1.044 3561.401 3236.241 3819.368
1.045 3571.615 3247.638 3828.781
1.046 3581.665 3259.023 3838.145
1.047 3591.559 3270.193 3847.327
1.048 3601.303 3281.238 3856.357
1.049 3610.903 3292.042 3865.239
1.05 3620.365 3302.753 3874.042
1.052 3629.693 3313.201 3882.805
1.053 3638.893 3323.661 3891.344
1.054 3647.969 3333.995 3899.795
1.055 3656.926 3343.963 3908.044
1.056 3665.767 3353.924 3916.311
1.057 3674.498 3363.708 3924.433
1.058 3683.121 3373.414 3932.495
1.059 3691.641 3383.143 3940.44
1.06 3700.06 3392.723 3948.32
1.062 3708.382 3402.101 3956.093
1.063 3716.61 3411.318 3963.697
1.064 3724.746 3420.418 3971.264
1.065 3732.794 3429.448 3978.769
1.066 3740.757 3438.393 3986.14
1.067 3748.636 3447.229 3993.529
1.068 3756.434 3455.983 4000.793
1.07 3764.154 3464.576 4008.02
1.071 3771.797 3473.223 4015.208
1.072 3779.367 3481.73 4022.348
1.073 3786.864 3490.094 4029.305
1.074 3794.291 3498.286 4036.283
1.075 3801.649 3506.533 4043.213
1.076 3808.942 3514.734 4050.032
1.078 3816.169 3522.851 4056.872
1.079 3823.333 3530.748 4063.591
1.08 3830.436 3538.628 4070.282
1.081 3837.478 3546.442 4076.808
1.082 3844.462 3554.107 4083.35
1.083 3851.389 3561.823 4089.802
1.085 3858.26 3569.45 4096.23
1.086 3865.077 3577.053 4102.635
1.087 3871.841 3584.611 4108.957
1.088 3878.553 3592.079 4115.203
1.089 3885.214 3599.393 4121.449
1.091 3891.825 3606.751 4127.676
1.092 3898.388 3614.035 4133.792
1.093 3904.903 3621.239 4139.96
1.094 3911.373 3628.422 4146.047
