Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.673959E+04;  0.493202E+03;  0.689249E+00; -0.200300E+04;  0.000000E+00; -0.200231E+04
  0.597360E+04;  0.101662E+04;  0.130344E-01;  0.673959E+04;  0.493202E+03;  0.688376E+00; -0.198107E+04;  0.000000E+00; -0.198038E+04
  0.597360E+04;  0.101662E+04;  0.135135E-01;  0.673959E+04;  0.493202E+03;  0.688217E+00; -0.198072E+04;  0.000000E+00; -0.198003E+04
  0.586290E+04;  0.103030E+04;  0.163463E-01;  0.673959E+04;  0.493202E+03;  0.687159E+00; -0.193713E+04;  0.000000E+00; -0.193644E+04
  0.581515E+04;  0.105107E+04;  0.163632E-01;  0.673959E+04;  0.493202E+03;  0.687152E+00; -0.191726E+04;  0.000000E+00; -0.191657E+04
  0.574524E+04;  0.105542E+04;  0.213070E-01;  0.673959E+04;  0.493202E+03;  0.684825E+00; -0.189832E+04;  0.000000E+00; -0.189764E+04
  0.574524E+04;  0.105218E+04;  0.194263E-01;  0.673959E+04;  0.493202E+03;  0.685782E+00; -0.189980E+04;  0.000000E+00; -0.189912E+04
  0.569333E+04;  0.106193E+04;  0.240132E-01;  0.673959E+04;  0.493202E+03;  0.683291E+00; -0.188589E+04;  0.000000E+00; -0.188521E+04
  0.561437E+04;  0.106576E+04;  0.283429E-01;  0.673959E+04;  0.493202E+03;  0.680458E+00; -0.187132E+04;  0.000000E+00; -0.187064E+04
  0.557313E+04;  0.109492E+04;  0.274864E-01;  0.673959E+04;  0.493202E+03;  0.681056E+00; -0.186107E+04;  0.000000E+00; -0.186039E+04
  0.547787E+04;  0.110275E+04;  0.259501E-01;  0.673959E+04;  0.493202E+03;  0.682082E+00; -0.185013E+04;  0.000000E+00; -0.184945E+04
  0.543280E+04;  0.111420E+04;  0.275628E-01;  0.673959E+04;  0.493202E+03;  0.681003E+00; -0.184498E+04;  0.000000E+00; -0.184429E+04
  0.543280E+04;  0.113728E+04;  0.266858E-01;  0.673959E+04;  0.493202E+03;  0.681598E+00; -0.184278E+04;  0.000000E+00; -0.184210E+04
  0.538958E+04;  0.114411E+04;  0.302871E-01;  0.673959E+04;  0.493202E+03;  0.679033E+00; -0.183917E+04;  0.000000E+00; -0.183849E+04
  0.512771E+04;  0.113671E+04;  0.291392E-01;  0.673959E+04;  0.493202E+03;  0.679886E+00; -0.183351E+04;  0.000000E+00; -0.183283E+04
  0.516667E+04;  0.112508E+04;  0.288092E-01;  0.673959E+04;  0.493202E+03;  0.680125E+00; -0.183441E+04;  0.000000E+00; -0.183373E+04
  0.516739E+04;  0.115627E+04;  0.271354E-01;  0.673959E+04;  0.493202E+03;  0.681295E+00; -0.183181E+04;  0.000000E+00; -0.183113E+04
  0.521256E+04;  0.115627E+04;  0.306047E-01;  0.673959E+04;  0.493202E+03;  0.678791E+00; -0.183217E+04;  0.000000E+00; -0.183149E+04
  0.518835E+04;  0.115615E+04;  0.312238E-01;  0.673959E+04;  0.493202E+03;  0.678313E+00; -0.183196E+04;  0.000000E+00; -0.183128E+04
  0.522678E+04;  0.116498E+04;  0.337460E-01;  0.673959E+04;  0.493202E+03;  0.676265E+00; -0.183178E+04;  0.000000E+00; -0.183110E+04
  0.515544E+04;  0.117072E+04;  0.333562E-01;  0.673959E+04;  0.493202E+03;  0.676591E+00; -0.183091E+04;  0.000000E+00; -0.183024E+04
