Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.700000E+04;  0.154000E+03;  0.284479E+00; -0.469829E+03;  0.000000E+00; -0.469544E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.700000E+04;  0.154000E+03;  0.283858E+00; -0.466918E+03;  0.000000E+00; -0.466634E+03
  0.597360E+04;  0.100280E+04;  0.152703E-01;  0.700000E+04;  0.154000E+03;  0.283739E+00; -0.467942E+03;  0.000000E+00; -0.467658E+03
  0.586290E+04;  0.101647E+04;  0.195195E-01;  0.700000E+04;  0.154000E+03;  0.282918E+00; -0.462591E+03;  0.000000E+00; -0.462308E+03
  0.581515E+04;  0.103550E+04;  0.170197E-01;  0.700000E+04;  0.154000E+03;  0.283425E+00; -0.460274E+03;  0.000000E+00; -0.459990E+03
  0.574524E+04;  0.103985E+04;  0.244356E-01;  0.700000E+04;  0.154000E+03;  0.281717E+00; -0.458521E+03;  0.000000E+00; -0.458239E+03
  0.581148E+04;  0.102041E+04;  0.216144E-01;  0.700000E+04;  0.154000E+03;  0.282439E+00; -0.460916E+03;  0.000000E+00; -0.460634E+03
  0.575958E+04;  0.101899E+04;  0.284948E-01;  0.700000E+04;  0.154000E+03;  0.280523E+00; -0.459805E+03;  0.000000E+00; -0.459524E+03
  0.568061E+04;  0.101191E+04;  0.349893E-01;  0.700000E+04;  0.154000E+03;  0.278233E+00; -0.459187E+03;  0.000000E+00; -0.458908E+03
  0.563937E+04;  0.104107E+04;  0.337046E-01;  0.700000E+04;  0.154000E+03;  0.278723E+00; -0.457396E+03;  0.000000E+00; -0.457117E+03
  0.557819E+04;  0.104890E+04;  0.314001E-01;  0.700000E+04;  0.154000E+03;  0.279557E+00; -0.456927E+03;  0.000000E+00; -0.456647E+03
  0.558185E+04;  0.106035E+04;  0.338191E-01;  0.700000E+04;  0.154000E+03;  0.278680E+00; -0.456430E+03;  0.000000E+00; -0.456151E+03
  0.564839E+04;  0.108343E+04;  0.325037E-01;  0.700000E+04;  0.154000E+03;  0.279165E+00; -0.455629E+03;  0.000000E+00; -0.455350E+03
  0.560517E+04;  0.108192E+04;  0.379057E-01;  0.700000E+04;  0.154000E+03;  0.277052E+00; -0.455581E+03;  0.000000E+00; -0.455304E+03
  0.553887E+04;  0.107452E+04;  0.361838E-01;  0.700000E+04;  0.154000E+03;  0.277761E+00; -0.455979E+03;  0.000000E+00; -0.455701E+03
  0.557784E+04;  0.106289E+04;  0.356888E-01;  0.700000E+04;  0.154000E+03;  0.277958E+00; -0.456342E+03;  0.000000E+00; -0.456064E+03
  0.562983E+04;  0.109408E+04;  0.331781E-01;  0.700000E+04;  0.154000E+03;  0.278919E+00; -0.455173E+03;  0.000000E+00; -0.454894E+03
  0.567500E+04;  0.108292E+04;  0.383820E-01;  0.700000E+04;  0.154000E+03;  0.276850E+00; -0.455794E+03;  0.000000E+00; -0.455517E+03
  0.565079E+04;  0.108280E+04;  0.393107E-01;  0.700000E+04;  0.154000E+03;  0.276449E+00; -0.455667E+03;  0.000000E+00; -0.455391E+03
  0.568922E+04;  0.108554E+04;  0.430939E-01;  0.700000E+04;  0.154000E+03;  0.274717E+00; -0.455787E+03;  0.000000E+00; -0.455513E+03
  0.561788E+04;  0.109129E+04;  0.425093E-01;  0.700000E+04;  0.154000E+03;  0.274995E+00; -0.455277E+03;  0.000000E+00; -0.455002E+03
  0.549300E+04;  0.108307E+04;  0.374083E-01;  0.700000E+04;  0.154000E+03;  0.277260E+00; -0.455939E+03;  0.000000E+00; -0.455662E+03
  0.543605E+04;  0.106789E+04;  0.308538E-01;  0.700000E+04;  0.154000E+03;  0.279746E+00; -0.456998E+03;  0.000000E+00; -0.456718E+03
  0.550532E+04;  0.106939E+04;  0.298292E-01;  0.700000E+04;  0.154000E+03;  0.280091E+00; -0.456284E+03;  0.000000E+00; -0.456004E+03
  0.550705E+04;  0.105729E+04;  0.296889E-01;  0.700000E+04;  0.154000E+03;  0.280137E+00; -0.456796E+03;  0.000000E+00; -0.456516E+03
  0.551969E+04;  0.108098E+04;  0.243907E-01;  0.700000E+04;  0.154000E+03;  0.281729E+00; -0.455671E+03;  0.000000E+00; -0.455389E+03
  0.550026E+04;  0.108786E+04;  0.163939E-01;  0.700000E+04;  0.154000E+03;  0.283541E+00; -0.455429E+03;  0.000000E+00; -0.455145E+03
  0.561923E+04;  0.110304E+04;  0.192144E-01;  0.700000E+04;  0.154000E+03;  0.282983E+00; -0.454846E+03;  0.000000E+00; -0.454563E+03
  0.561112E+04;  0.112433E+04;  0.147610E-01;  0.700000E+04;  0.154000E+03;  0.283824E+00; -0.454193E+03;  0.000000E+00; -0.453909E+03
  0.576652E+04;  0.113500E+04;  0.644538E-02;  0.700000E+04;  0.154000E+03;  0.284803E+00; -0.455605E+03;  0.000000E+00; -0.455320E+03
  0.567940E+04;  0.114834E+04;  0.128893E-01;  0.700000E+04;  0.154000E+03;  0.284111E+00; -0.454043E+03;  0.000000E+00; -0.453759E+03
  0.551772E+04;  0.112691E+04;  0.163587E-01;  0.700000E+04;  0.154000E+03;  0.283548E+00; -0.454101E+03;  0.000000E+00; -0.453817E+03
