Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.700000E+04;  0.154000E+03;  0.284479E+00; -0.468732E+03;  0.000000E+00; -0.468448E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.700000E+04;  0.154000E+03;  0.283858E+00; -0.465948E+03;  0.000000E+00; -0.465665E+03
  0.597360E+04;  0.100280E+04;  0.152703E-01;  0.700000E+04;  0.154000E+03;  0.283739E+00; -0.466922E+03;  0.000000E+00; -0.466638E+03
  0.586290E+04;  0.101647E+04;  0.195195E-01;  0.700000E+04;  0.154000E+03;  0.282918E+00; -0.461738E+03;  0.000000E+00; -0.461455E+03
  0.582259E+04;  0.103550E+04;  0.170197E-01;  0.700000E+04;  0.154000E+03;  0.283425E+00; -0.459675E+03;  0.000000E+00; -0.459391E+03
  0.575268E+04;  0.103985E+04;  0.244356E-01;  0.700000E+04;  0.154000E+03;  0.281717E+00; -0.457941E+03;  0.000000E+00; -0.457659E+03
  0.581892E+04;  0.102041E+04;  0.216144E-01;  0.700000E+04;  0.154000E+03;  0.282439E+00; -0.460292E+03;  0.000000E+00; -0.460010E+03
  0.576702E+04;  0.101899E+04;  0.284948E-01;  0.700000E+04;  0.154000E+03;  0.280523E+00; -0.459188E+03;  0.000000E+00; -0.458907E+03
  0.568806E+04;  0.101191E+04;  0.349893E-01;  0.700000E+04;  0.154000E+03;  0.278233E+00; -0.458551E+03;  0.000000E+00; -0.458273E+03
  0.564681E+04;  0.104107E+04;  0.337046E-01;  0.700000E+04;  0.154000E+03;  0.278723E+00; -0.456815E+03;  0.000000E+00; -0.456536E+03
  0.558563E+04;  0.104890E+04;  0.314001E-01;  0.700000E+04;  0.154000E+03;  0.279557E+00; -0.456346E+03;  0.000000E+00; -0.456067E+03
  0.558930E+04;  0.106035E+04;  0.338191E-01;  0.700000E+04;  0.154000E+03;  0.278680E+00; -0.455874E+03;  0.000000E+00; -0.455595E+03
  0.565583E+04;  0.108343E+04;  0.325037E-01;  0.700000E+04;  0.154000E+03;  0.279165E+00; -0.455129E+03;  0.000000E+00; -0.454850E+03
  0.561261E+04;  0.108192E+04;  0.379057E-01;  0.700000E+04;  0.154000E+03;  0.277052E+00; -0.455072E+03;  0.000000E+00; -0.454795E+03
  0.554631E+04;  0.107452E+04;  0.361838E-01;  0.700000E+04;  0.154000E+03;  0.277761E+00; -0.455441E+03;  0.000000E+00; -0.455163E+03
  0.558528E+04;  0.106289E+04;  0.356888E-01;  0.700000E+04;  0.154000E+03;  0.277958E+00; -0.455792E+03;  0.000000E+00; -0.455514E+03
  0.563727E+04;  0.109408E+04;  0.331781E-01;  0.700000E+04;  0.154000E+03;  0.278919E+00; -0.454687E+03;  0.000000E+00; -0.454408E+03
