c.SpagCont...spag...nrow.Occ..	iVar	cType	cWidth
5176.53	1	0	0
5410.55	1	0	0
5918.13	1	0	0
5255.22	1	0	0
3833.5	1	0	0
3469.91	1	0	0
8433.68	1	0	0
7353.29	1	0	0
7610.99	1	0	0
6591.61	1	0	0
4656.88	1	0	0
6013.8	1	0	0
7827.21	1	0	0
6646.55	1	0	0
5512.8	1	0	0
4379.28	1	0	0
6764.47	1	0	0
6359.32	1	0	0
6697.75	1	0	0
5247.27	1	0	0
5169.03	1	0	0
5183.74	1	0	0
5595.95	1	0	0
9190.99	1	0	0
9788.68	1	0	0
6627.01	1	0	0
8639.4	1	0	0
7715.9	1	0	0
4264.18	1	0	0
6186.77	1	0	0
6881.99	1	0	0
6808.42	1	0	0
9812.28	1	0	0
11315.9	1	0	0
5876.98	1	0	0
4105.16	1	0	0
5490.6	1	0	0
4180.81	1	0	0
6920.93	1	0	0
6731.11	1	0	0
6103.15	1	0	0
7269.02	1	0	0
5198.05	1	0	0
7243.95	1	0	0
7534.98	1	0	0
4532.66	1	0	0
8683.2	1	0	0
4373.76	1	0	0
6276.84	1	0	0
7112.91	1	0	0
4488.6	1	0	0
41	2	0	0
