"Pr" "Mp" "Q_2" "Q_9"
1.01 3257.22 2385.426 3894.233
1.011 3291.204 2434.408 3919.844
1.012 3322.815 2479.878 3943.967
1.013 3352.407 2521.923 3966.425
1.014 3380.258 2561.74 3987.831
1.015 3406.592 2598.849 4008.438
1.016 3431.59 2634.134 4027.817
1.017 3455.404 2668.108 4046.446
1.018 3478.159 2700.2 4064.426
1.019 3499.961 2730.586 4081.684
1.02 3520.9 2759.721 4098.195
1.021 3541.054 2787.662 4114.308
1.022 3560.491 2814.819 4129.789
1.024 3579.27 2841.388 4144.802
1.025 3597.443 2866.36 4159.419
1.026 3615.055 2890.598 4173.598
1.027 3632.146 2914.46 4187.59
1.028 3648.754 2937.251 4201.222
1.029 3664.911 2959.273 4214.803
1.03 3680.645 2980.607 4227.788
1.031 3695.984 3001.515 4240.488
1.032 3710.951 3022.064 4252.835
1.033 3725.567 3042.139 4265.04
1.034 3739.854 3061.498 4276.996
1.035 3753.828 3080.394 4288.673
1.036 3767.507 3099.176 4300.073
1.037 3780.906 3117.074 4311.369
1.038 3794.039 3134.536 4322.582
1.04 3806.919 3151.682 4333.542
1.041 3819.558 3168.591 4344.295
1.042 3831.968 3185.359 4354.982
1.043 3844.159 3201.753 4365.518
1.044 3856.14 3217.712 4375.797
1.045 3867.921 3233.346 4385.995
1.046 3879.51 3249.026 4395.998
1.047 3890.915 3264.217 4405.875
1.048 3902.144 3279.331 4415.678
1.049 3913.203 3294.013 4425.186
1.05 3924.1 3308.179 4434.841
1.052 3934.84 3322.599 4444.372
1.053 3945.429 3336.481 4453.788
1.054 3955.872 3350.313 4463.128
1.055 3966.176 3363.966 4472.138
1.056 3976.344 3377.246 4481.141
1.057 3986.381 3390.582 4489.992
1.058 3996.293 3403.572 4498.787
1.059 4006.082 3416.264 4507.535
1.06 4015.754 3428.902 4516.182
1.062 4025.311 3441.12 4524.776
1.063 4034.758 3453.379 4533.157
1.064 4044.098 3465.498 4541.597
1.065 4053.333 3477.733 4549.943
1.066 4062.468 3489.718 4558.108
1.067 4071.506 3501.219 4566.237
1.068 4080.448 3512.721 4574.405
1.07 4089.298 3524.057 4582.353
1.071 4098.059 3535.182 4590.351
1.072 4106.732 3546.338 4598.212
1.073 4115.321 3557.581 4606.012
1.074 4123.827 3568.519 4613.746
1.075 4132.253 3579.296 4621.474
1.076 4140.601 3590.003 4629.135
1.078 4148.873 3600.765 4636.733
1.079 4157.071 3611.166 4644.402
1.08 4165.196 3621.417 4651.739
1.081 4173.251 3631.662 4659.172
1.082 4181.237 3641.886 4666.506
1.083 4189.156 3651.876 4673.895
1.085 4197.01 3661.905 4681.189
1.086 4204.8 3671.636 4688.409
1.087 4212.527 3681.476 4695.55
1.088 4220.194 3691.252 4702.756
1.089 4227.801 3700.799 4709.88
1.091 4235.35 3710.306 4716.88
1.092 4242.841 3719.659 4723.913
1.093 4250.278 3728.933 4730.872
1.094 4257.659 3738.215 4737.83
1.095 4264.988 3747.35 4744.688
1.096 4272.264 3756.501 4751.446
1.098 4279.489 3765.64 4758.266
1.099 4286.665 3774.582 4765.056
1.1 4293.791 3783.375 4771.761
1.101 4300.87 3792.146 4778.452
1.103 4307.901 3800.774 4785.043
1.104 4314.887 3809.307 4791.622
1.105 4321.827 3817.801 4798.138
1.106 4328.724 3826.252 4804.659
1.107 4335.577 3834.739 4811.107
1.109 4342.387 3843.233 4817.522
1.11 4349.156 3851.534 4823.972
1.111 4355.884 3859.61 4830.435
1.112 4362.572 3867.852 4836.751
1.114 4369.22 3875.845 4843.182
1.115 4375.83 3883.877 4849.499
1.116 4382.402 3891.916 4855.825
1.117 4388.937 3899.84 4862.121
1.119 4395.435 3907.868 4868.333
1.12 4401.897 3915.811 4874.414
1.121 4408.324 3923.617 4880.51
1.122 4414.716 3931.477 4886.669
1.124 4421.074 3939.238 4892.725
1.125 4427.399 3946.954 4898.698
1.126 4433.691 3954.571 4904.879
1.127 4439.95 3962.167 4911.028
1.129 4446.178 3969.755 4917.005
1.13 4452.374 3977.101 4922.961
1.131 4458.54 3984.336 4928.911
1.133 4464.675 3991.58 4934.826
1.134 4470.781 3998.903 4940.796
1.135 4476.857 4006.199 4946.662
1.136 4482.905 4013.436 4952.542
1.138 4488.924 4020.81 4958.496
1.139 4494.916 4027.736 4964.362
1.14 4500.88 4034.75 4970.222
1.142 4506.816 4041.901 4976.025
1.143 4512.727 4048.88 4981.722
1.144 4518.611 4055.713 4987.477
1.145 4524.469 4062.553 4993.26
1.147 4530.302 4069.424 4998.946
1.148 4536.11 4076.297 5004.655
1.149 4541.894 4083.254 5010.353
1.151 4547.653 4090.074 5015.978
1.152 4553.388 4096.671 5021.635
1.153 4559.1 4103.296 5027.143
1.155 4564.788 4109.89 5032.8
1.156 4570.454 4116.432 5038.441
1.157 4576.097 4122.937 5044.045
1.159 4581.718 4129.561 5049.624
1.16 4587.317 4136.166 5055.128
1.161 4592.895 4142.622 5060.712
1.163 4598.451 4149.112 5066.214
1.164 4603.986 4155.628 5071.706
1.166 4609.501 4162.126 5077.17
1.167 4614.995 4168.617 5082.647
1.168 4620.469 4174.999 5088.039
1.17 4625.923 4181.256 5093.292
1.171 4631.358 4187.568 5098.703
1.172 4636.773 4193.709 5104.117
1.174 4642.17 4199.878 5109.482
1.175 4647.547 4206.106 5114.767
1.176 4652.907 4212.254 5120.124
1.178 4658.247 4218.355 5125.512
1.179 4663.57 4224.332 5130.903
1.181 4668.875 4230.227 5136.278
1.182 4674.163 4236.323 5141.544
1.183 4679.433 4242.149 5146.885
1.185 4684.686 4248.196 5152.173
1.186 4689.922 4254.155 5157.405
1.188 4695.142 4260.192 5162.611
1.189 4700.345 4265.992 5167.866
1.19 4705.532 4271.972 5173.051
1.192 4710.703 4277.859 5178.305
1.193 4715.858 4283.731 5183.477
1.195 4720.997 4289.573 5188.574
1.196 4726.122 4295.42 5193.761
1.198 4731.23 4301.069 5198.96
