"Pr" "Mp" "Q_2" "Q_9"
1.01 3507.492 2540.753 3892.564
1.011 3535.537 2581.756 3915.175
1.012 3561.653 2620.168 3936.51
1.013 3586.128 2656.095 3956.478
1.014 3609.186 2689.463 3975.46
1.015 3631.01 2721.224 3993.248
1.016 3651.746 2750.853 4010.42
1.017 3671.517 2779.673 4026.997
1.018 3690.423 2806.754 4042.643
1.019 3708.553 2832.957 4057.71
1.02 3725.978 2857.887 4072.12
1.021 3742.763 2881.746 4086.4
1.022 3758.962 2904.68 4100.17
1.024 3774.623 2926.981 4113.437
1.025 3789.788 2948.373 4126.286
1.026 3804.495 2968.98 4138.903
1.027 3818.777 2989.044 4151.186
1.028 3832.663 3008.697 4162.886
1.029 3846.179 3027.705 4174.455
1.03 3859.35 3046.351 4185.622
1.031 3872.197 3064.102 4196.717
1.032 3884.739 3081.391 4207.526
1.033 3896.994 3098.599 4218.116
1.034 3908.979 3115.242 4228.526
1.035 3920.707 3131.682 4238.59
1.036 3932.194 3147.655 4248.612
1.037 3943.451 3163.042 4258.308
1.038 3954.49 3178.284 4267.873
1.04 3965.321 3192.962 4277.36
1.041 3975.955 3207.513 4286.772
1.042 3986.401 3221.738 4295.918
1.043 3996.667 3235.944 4304.869
1.044 4006.76 3249.568 4313.648
1.045 4016.69 3263.017 4322.306
1.046 4026.462 3276.424 4330.958
1.047 4036.082 3289.427 4339.371
1.048 4045.558 3302.259 4347.67
1.049 4054.895 3314.873 4355.851
1.05 4064.098 3327.319 4363.923
1.052 4073.172 3339.794 4371.881
1.053 4082.122 3351.9 4379.714
1.054 4090.953 3363.739 4387.45
1.055 4099.668 3375.516 4395.186
1.056 4108.272 3387.03 4402.935
1.057 4116.769 3398.508 4410.448
1.058 4125.162 3409.578 4417.934
1.059 4133.455 3420.75 4425.336
1.06 4141.651 3431.673 4432.639
1.062 4149.753 3442.366 4439.89
1.063 4157.764 3453.188 4447.028
1.064 4165.687 3463.985 4454.116
1.065 4173.525 3474.507 4461.178
1.066 4181.28 3484.794 4468.096
1.067 4188.954 3495.173 4475.045
1.068 4196.55 3505.239 4481.895
1.07 4204.07 3515.331 4488.634
1.071 4211.517 3525.185 4495.32
1.072 4218.891 3534.99 4502.007
1.073 4226.197 3544.811 4508.646
1.074 4233.434 3554.379 4515.175
1.075 4240.605 3563.75 4521.627
1.076 4247.712 3573.296 4528.113
1.078 4254.756 3582.58 4534.455
1.079 4261.74 3591.907 4540.735
1.08 4268.664 3601.01 4546.995
1.081 4275.53 3610.067 4553.114
1.082 4282.339 3618.956 4559.383
1.083 4289.093 3627.569 4565.527
1.085 4295.793 3636.497 4571.618
1.086 4302.441 3645.127 4577.663
1.087 4309.037 3653.803 4583.664
1.088 4315.584 3662.402 4589.632
1.089 4322.081 3670.969 4595.562
1.091 4328.53 3679.498 4601.447
1.092 4334.932 3687.838 4607.317
1.093 4341.289 3696.116 4613.16
1.094 4347.601 3704.383 4618.949
1.095 4353.869 3712.43 4624.77
1.096 4360.094 3720.365 4630.436
1.098 4366.277 3728.316 4636.063
1.099 4372.419 3736.27 4641.682
1.1 4378.521 3743.972 4647.328
1.101 4384.583 3751.831 4652.86
1.103 4390.607 3759.45 4658.415
1.104 4396.592 3767.204 4663.97
1.105 4402.541 3774.763 4669.461
1.106 4408.454 3782.549 4674.833
1.107 4414.33 3790.218 4680.33
1.109 4420.172 3797.635 4685.646
1.11 4425.98 3805.061 4691.036
1.111 4431.754 3812.531 4696.453
1.112 4437.495 3820.015 4701.871
1.114 4443.203 3827.304 4707.16
1.115 4448.88 3834.547 4712.365
1.116 4454.526 3841.798 4717.597
1.117 4460.14 3849.032 4722.856
1.119 4465.725 3856.173 4728.031
1.12 4471.281 3863.291 4733.142
1.121 4476.807 3870.406 4738.241
1.122 4482.305 3877.079 4743.389
1.124 4487.775 3883.958 4748.412
1.125 4493.217 3890.929 4753.452
1.126 4498.633 3897.654 4758.488
