Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.700000E+04;  0.154000E+03; -0.556196E+01; -0.468732E+03;  0.000000E+00; -0.474294E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.700000E+04;  0.155650E+03; -0.556258E+01; -0.466060E+03;  0.000000E+00; -0.471622E+03
  0.589980E+04;  0.100167E+04;  0.223482E-01;  0.700000E+04;  0.154223E+03; -0.556418E+01; -0.463750E+03;  0.000000E+00; -0.469314E+03
  0.589205E+04;  0.100480E+04;  0.259044E-01;  0.700000E+04;  0.154223E+03; -0.556513E+01; -0.463141E+03;  0.000000E+00; -0.468706E+03
  0.581811E+04;  0.100074E+04;  0.213134E-01;  0.700000E+04;  0.156975E+03; -0.556393E+01; -0.461466E+03;  0.000000E+00; -0.467030E+03
  0.581970E+04;  0.994430E+03;  0.236728E-01;  0.700000E+04;  0.154789E+03; -0.556452E+01; -0.461854E+03;  0.000000E+00; -0.467419E+03
  0.587258E+04;  0.986971E+03;  0.229701E-01;  0.700000E+04;  0.155165E+03; -0.556434E+01; -0.463890E+03;  0.000000E+00; -0.469454E+03
  0.585102E+04;  0.986971E+03;  0.264460E-01;  0.700000E+04;  0.154816E+03; -0.556529E+01; -0.463116E+03;  0.000000E+00; -0.468681E+03
  0.584159E+04;  0.992163E+03;  0.241973E-01;  0.700000E+04;  0.155798E+03; -0.556466E+01; -0.462564E+03;  0.000000E+00; -0.468128E+03
  0.577240E+04;  0.100939E+04;  0.293472E-01;  0.700000E+04;  0.155746E+03; -0.556619E+01; -0.459781E+03;  0.000000E+00; -0.465347E+03
  0.571010E+04;  0.103262E+04;  0.307508E-01;  0.700000E+04;  0.156202E+03; -0.556666E+01; -0.457629E+03;  0.000000E+00; -0.463195E+03
  0.568179E+04;  0.101583E+04;  0.350557E-01;  0.700000E+04;  0.157462E+03; -0.556823E+01; -0.458167E+03;  0.000000E+00; -0.463735E+03
  0.565571E+04;  0.102252E+04;  0.379972E-01;  0.700000E+04;  0.158252E+03; -0.556943E+01; -0.457608E+03;  0.000000E+00; -0.463178E+03
  0.564453E+04;  0.103455E+04;  0.402252E-01;  0.700000E+04;  0.159690E+03; -0.557039E+01; -0.456902E+03;  0.000000E+00; -0.462472E+03
  0.563914E+04;  0.105125E+04;  0.458145E-01;  0.700000E+04;  0.161043E+03; -0.557307E+01; -0.456144E+03;  0.000000E+00; -0.461717E+03
  0.568002E+04;  0.105645E+04;  0.491620E-01;  0.700000E+04;  0.161583E+03; -0.557483E+01; -0.456157E+03;  0.000000E+00; -0.461732E+03
  0.567029E+04;  0.104718E+04;  0.514919E-01;  0.700000E+04;  0.163793E+03; -0.557613E+01; -0.456445E+03;  0.000000E+00; -0.462021E+03
  0.569293E+04;  0.104109E+04;  0.564098E-01;  0.700000E+04;  0.163923E+03; -0.557908E+01; -0.456902E+03;  0.000000E+00; -0.462482E+03
  0.585519E+04;  0.103829E+04;  0.645132E-01;  0.700000E+04;  0.163509E+03; -0.558453E+01; -0.459564E+03;  0.000000E+00; -0.465148E+03
  0.583258E+04;  0.103456E+04;  0.679865E-01;  0.700000E+04;  0.163399E+03; -0.558708E+01; -0.459177E+03;  0.000000E+00; -0.464764E+03
  0.567052E+04;  0.102013E+04;  0.708412E-01;  0.700000E+04;  0.163532E+03; -0.558928E+01; -0.457925E+03;  0.000000E+00; -0.463514E+03
