Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.700000E+04;  0.154000E+03; -0.149759E+02; -0.468732E+03;  0.000000E+00; -0.483708E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.702790E+04;  0.154000E+03; -0.149766E+02; -0.465776E+03;  0.000000E+00; -0.480753E+03
  0.587065E+04;  0.103115E+04;  0.108321E-01;  0.701610E+04;  0.154000E+03; -0.149760E+02; -0.461371E+03;  0.000000E+00; -0.476347E+03
  0.579705E+04;  0.104317E+04;  0.163649E-01;  0.700179E+04;  0.154464E+03; -0.149768E+02; -0.458732E+03;  0.000000E+00; -0.473709E+03
  0.577758E+04;  0.104764E+04;  0.204751E-01;  0.698138E+04;  0.155316E+03; -0.149777E+02; -0.458060E+03;  0.000000E+00; -0.473038E+03
  0.577758E+04;  0.103647E+04;  0.218116E-01;  0.696503E+04;  0.156639E+03; -0.149781E+02; -0.458587E+03;  0.000000E+00; -0.473565E+03
  0.573633E+04;  0.108697E+04;  0.244335E-01;  0.693381E+04;  0.155550E+03; -0.149792E+02; -0.455877E+03;  0.000000E+00; -0.470856E+03
  0.566859E+04;  0.107828E+04;  0.230859E-01;  0.688559E+04;  0.155097E+03; -0.149799E+02; -0.455309E+03;  0.000000E+00; -0.470289E+03
  0.560044E+04;  0.109253E+04;  0.304778E-01;  0.693422E+04;  0.154392E+03; -0.149810E+02; -0.454399E+03;  0.000000E+00; -0.469380E+03
  0.558730E+04;  0.108968E+04;  0.334527E-01;  0.691083E+04;  0.159751E+03; -0.149825E+02; -0.454326E+03;  0.000000E+00; -0.469308E+03
  0.554449E+04;  0.109329E+04;  0.308683E-01;  0.691911E+04;  0.167205E+03; -0.149814E+02; -0.454050E+03;  0.000000E+00; -0.469031E+03
  0.547315E+04;  0.111442E+04;  0.265009E-01;  0.691870E+04;  0.169917E+03; -0.149801E+02; -0.453463E+03;  0.000000E+00; -0.468443E+03
  0.552248E+04;  0.112961E+04;  0.248207E-01;  0.691681E+04;  0.174125E+03; -0.149796E+02; -0.453244E+03;  0.000000E+00; -0.468224E+03
  0.550416E+04;  0.111885E+04;  0.219358E-01;  0.688685E+04;  0.174292E+03; -0.149796E+02; -0.453427E+03;  0.000000E+00; -0.468406E+03
  0.537840E+04;  0.110379E+04;  0.212433E-01;  0.684213E+04;  0.168793E+03; -0.149809E+02; -0.453868E+03;  0.000000E+00; -0.468849E+03
  0.538038E+04;  0.109053E+04;  0.225928E-01;  0.685566E+04;  0.166462E+03; -0.149808E+02; -0.454319E+03;  0.000000E+00; -0.469300E+03
  0.538094E+04;  0.108826E+04;  0.201873E-01;  0.689555E+04;  0.163930E+03; -0.149790E+02; -0.454614E+03;  0.000000E+00; -0.469593E+03
  0.526867E+04;  0.110439E+04;  0.235216E-01;  0.691531E+04;  0.157728E+03; -0.149793E+02; -0.456228E+03;  0.000000E+00; -0.471207E+03
  0.518793E+04;  0.112921E+04;  0.219334E-01;  0.691063E+04;  0.157733E+03; -0.149790E+02; -0.456891E+03;  0.000000E+00; -0.471870E+03
  0.514157E+04;  0.111983E+04;  0.208839E-01;  0.691646E+04;  0.160475E+03; -0.149786E+02; -0.458111E+03;  0.000000E+00; -0.473090E+03
  0.514138E+04;  0.114773E+04;  0.215194E-01;  0.690123E+04;  0.159775E+03; -0.149791E+02; -0.457035E+03;  0.000000E+00; -0.472014E+03
  0.524528E+04;  0.114345E+04;  0.169710E-01;  0.688877E+04;  0.158119E+03; -0.149785E+02; -0.455059E+03;  0.000000E+00; -0.470037E+03
  0.526084E+04;  0.114345E+04;  0.188484E-01;  0.687950E+04;  0.159259E+03; -0.149791E+02; -0.454716E+03;  0.000000E+00; -0.469696E+03
  0.525780E+04;  0.113780E+04;  0.170062E-01;  0.687219E+04;  0.158774E+03; -0.149790E+02; -0.454813E+03;  0.000000E+00; -0.469792E+03
  0.535772E+04;  0.112919E+04;  0.173030E-01;  0.690160E+04;  0.163631E+03; -0.149782E+02; -0.453738E+03;  0.000000E+00; -0.468716E+03
  0.534437E+04;  0.115967E+04;  0.168375E-01;  0.689972E+04;  0.168739E+03; -0.149782E+02; -0.453100E+03;  0.000000E+00; -0.468078E+03
  0.533762E+04;  0.115808E+04;  0.997359E-02;  0.693588E+04;  0.164543E+03; -0.149764E+02; -0.453355E+03;  0.000000E+00; -0.468332E+03
  0.534080E+04;  0.115853E+04;  0.974567E-02;  0.693763E+04;  0.159681E+03; -0.149763E+02; -0.453522E+03;  0.000000E+00; -0.468498E+03
  0.532530E+04;  0.116980E+04;  0.447867E-02;  0.694251E+04;  0.157861E+03; -0.149759E+02; -0.453526E+03;  0.000000E+00; -0.468502E+03
  0.529012E+04;  0.118517E+04;  0.974728E-02;  0.691512E+04;  0.162176E+03; -0.149768E+02; -0.453391E+03;  0.000000E+00; -0.468367E+03
  0.530200E+04;  0.116570E+04;  0.940094E-02;  0.693826E+04;  0.169298E+03; -0.149763E+02; -0.453444E+03;  0.000000E+00; -0.468420E+03
  0.540696E+04;  0.118563E+04;  0.130643E-01;  0.695640E+04;  0.170351E+03; -0.149765E+02; -0.452408E+03;  0.000000E+00; -0.467385E+03
  0.537553E+04;  0.119322E+04;  0.113274E-01;  0.697371E+04;  0.168492E+03; -0.149761E+02; -0.452533E+03;  0.000000E+00; -0.467509E+03
  0.539990E+04;  0.118158E+04;  0.744820E-02;  0.700229E+04;  0.168809E+03; -0.149756E+02; -0.452574E+03;  0.000000E+00; -0.467549E+03
  0.549213E+04;  0.118198E+04;  0.466231E-02;  0.705380E+04;  0.169606E+03; -0.149758E+02; -0.452313E+03;  0.000000E+00; -0.467289E+03
  0.545913E+04;  0.117803E+04;  0.609019E-02;  0.708554E+04;  0.164919E+03; -0.149764E+02; -0.452694E+03;  0.000000E+00; -0.467670E+03
  0.549682E+04;  0.116123E+04;  0.455197E-02;  0.703616E+04;  0.167543E+03; -0.149756E+02; -0.452632E+03;  0.000000E+00; -0.467608E+03
  0.555741E+04;  0.114736E+04; -0.181938E-02;  0.706658E+04;  0.173269E+03; -0.149759E+02; -0.452951E+03;  0.000000E+00; -0.467927E+03
  0.550224E+04;  0.114662E+04; -0.679891E-02;  0.710588E+04;  0.168687E+03; -0.149770E+02; -0.453069E+03;  0.000000E+00; -0.468046E+03
  0.551629E+04;  0.113624E+04; -0.121187E-01;  0.710865E+04;  0.170113E+03; -0.149776E+02; -0.453263E+03;  0.000000E+00; -0.468240E+03
  0.548768E+04;  0.113312E+04; -0.729145E-02;  0.706983E+04;  0.175549E+03; -0.149762E+02; -0.453117E+03;  0.000000E+00; -0.468093E+03
  0.548304E+04;  0.113635E+04; -0.451774E-02;  0.706255E+04;  0.172208E+03; -0.149759E+02; -0.453112E+03;  0.000000E+00; -0.468088E+03
