"Pr" "Mp" "Q_2" "Q_9"
1.01 3375.495 2477.291 3903.758
1.011 3407.314 2523.692 3929.13
1.012 3436.918 2566.679 3952.989
1.013 3464.637 2606.687 3975.507
1.014 3490.731 2644.28 3996.751
1.015 3515.409 2679.606 4016.974
1.016 3538.841 2713.267 4036.422
1.017 3561.166 2745.008 4054.913
1.018 3582.501 2775.589 4072.662
1.019 3602.947 2804.358 4089.539
1.02 3622.586 2831.802 4106.053
1.021 3641.493 2858.182 4122.08
1.022 3659.73 2883.875 4137.526
1.024 3677.351 2908.579 4152.314
1.025 3694.406 2932.513 4166.846
1.026 3710.937 2955.547 4180.945
1.027 3726.982 2977.947 4194.939
1.028 3742.575 2999.551 4208.193
1.029 3757.746 3020.667 4221.155
1.03 3772.522 3040.955 4233.947
1.031 3786.929 3060.762 4246.324
1.032 3800.987 3079.834 4258.684
1.033 3814.719 3098.766 4270.727
1.034 3828.141 3116.961 4282.417
1.035 3841.272 3134.794 4294.079
1.036 3854.127 3152.37 4305.505
1.037 3866.719 3169.399 4316.622
1.038 3879.064 3186.24 4327.578
1.04 3891.171 3202.793 4338.063
1.041 3903.054 3218.635 4348.382
1.042 3914.721 3234.536 4358.666
1.043 3926.184 3249.896 4368.939
1.044 3937.451 3264.962 4378.835
1.045 3948.531 3279.814 4388.879
1.046 3959.431 3294.405 4398.723
1.047 3970.159 3308.886 4408.243
1.048 3980.722 3323.148 4417.804
1.049 3991.127 3336.838 4427.012
1.05 4001.379 3350.571 4436.319
1.052 4011.485 3363.944 4445.465
1.053 4021.45 3377.148 4454.48
1.054 4031.278 3389.951 4463.298
1.055 4040.976 3402.808 4472.11
1.056 4050.547 3415.539 4480.767
1.057 4059.995 3427.841 4489.427
1.058 4069.326 3440.161 4497.997
1.059 4078.543 3452.089 4506.41
1.06 4087.649 3464.207 4514.78
1.062 4096.649 3476.164 4523.043
1.063 4105.545 3487.962 4531.079
1.064 4114.34 3499.325 4539.166
1.065 4123.039 3510.906 4547.219
1.066 4131.643 3521.878 4555.156
1.067 4140.156 3532.789 4563.113
1.068 4148.58 3543.533 4570.852
1.07 4156.917 3554.353 4578.616
1.071 4165.171 3565.128 4586.369
1.072 4173.343 3575.601 4593.888
1.073 4181.437 3586.133 4601.607
1.074 4189.452 3596.463 4609.149
1.075 4197.393 3606.795 4616.667
1.076 4205.261 3616.75 4624.031
1.078 4213.057 3626.967 4631.296
1.079 4220.785 3636.831 4638.689
1.08 4228.444 3646.806 4646.097
1.081 4236.038 3656.54 4653.28
1.082 4243.567 3666.116 4660.495
1.083 4251.033 3675.533 4667.617
1.085 4258.439 3685.007 4674.578
1.086 4265.784 3694.326 4681.541
1.087 4273.071 3703.572 4688.271
1.088 4280.301 3712.874 4695.152
1.089 4287.475 3722.027 4701.915
1.091 4294.595 3730.919 4708.776
1.092 4301.662 3739.902 4715.458
1.093 4308.676 3748.837 4722.099
1.094 4315.639 3757.569 4728.693
1.095 4322.553 3766.448 4735.409
1.096 4329.418 3775.038 4741.865
1.098 4336.235 3783.786 4748.361
1.099 4343.005 3792.405 4754.915
1.1 4349.73 3800.868 4761.436
1.101 4356.41 3809.231 4767.837
1.103 4363.046 3817.589 4774.239
1.104 4369.638 3825.558 4780.597
1.105 4376.189 3833.681 4786.928
1.106 4382.698 3841.644 4793.188
1.107 4389.167 3849.441 4799.425
1.109 4395.596 3857.474 4805.642
1.11 4401.986 3865.404 4811.858
1.111 4408.338 3873.229 4818.02
1.112 4414.652 3880.98 4824.134
1.114 4420.929 3888.538 4830.222
1.115 4427.17 3896.101 4836.235
1.116 4433.376 3903.699 4842.279
1.117 4439.547 3911.316 4848.236
1.119 4445.683 3918.828 4854.102
1.12 4451.786 3926.239 4860.045
1.121 4457.856 3933.714 4865.883
1.122 4463.894 3941.127 4871.742
1.124 4469.899 3948.471 4877.697
1.125 4475.874 3955.576 4883.495
1.126 4481.817 3962.865 4889.236
1.127 4487.731 3970.064 4894.966
1.129 4493.614 3977.302 4900.762
1.13 4499.469 3984.469 4906.535
1.131 4505.294 3991.481 4912.109
1.133 4511.091 3998.493 4917.794
1.134 4516.861 4005.659 4923.477
1.135 4522.603 4012.627 4929.083
1.136 4528.318 4019.616 4934.65
1.138 4534.007 4026.498 4940.243
1.139 4539.669 4033.341 4945.91
1.14 4545.306 4039.94 4951.397
1.142 4550.918 4046.736 4956.892
1.143 4556.504 4053.57 4962.437
1.144 4562.067 4060.161 4967.766
1.145 4567.605 4066.781 4973.364
1.147 4573.119 4073.321 4978.836
