Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.154000E+03; -0.823536E+01; -0.469179E+03;  0.000000E+00; -0.477414E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.902790E+04;  0.154000E+03; -0.823608E+01; -0.466432E+03;  0.000000E+00; -0.474668E+03
  0.589980E+04;  0.100167E+04;  0.223482E-01;  0.900377E+04;  0.154000E+03; -0.823758E+01; -0.465120E+03;  0.000000E+00; -0.473357E+03
  0.588159E+04;  0.100081E+04;  0.264625E-01;  0.902926E+04;  0.154000E+03; -0.823880E+01; -0.464745E+03;  0.000000E+00; -0.472983E+03
  0.587926E+04;  0.100355E+04;  0.287160E-01;  0.910141E+04;  0.154000E+03; -0.824067E+01; -0.464784E+03;  0.000000E+00; -0.473025E+03
  0.577339E+04;  0.101194E+04;  0.286776E-01;  0.906919E+04;  0.154000E+03; -0.823997E+01; -0.461865E+03;  0.000000E+00; -0.470105E+03
  0.565601E+04;  0.102212E+04;  0.294280E-01;  0.906088E+04;  0.154000E+03; -0.824008E+01; -0.459847E+03;  0.000000E+00; -0.468087E+03
  0.561477E+04;  0.105977E+04;  0.231386E-01;  0.906302E+04;  0.154000E+03; -0.823828E+01; -0.457276E+03;  0.000000E+00; -0.465514E+03
  0.552470E+04;  0.106037E+04;  0.160768E-01;  0.905687E+04;  0.154000E+03; -0.823665E+01; -0.456876E+03;  0.000000E+00; -0.465112E+03
  0.557344E+04;  0.107509E+04;  0.227261E-01;  0.909849E+04;  0.154000E+03; -0.823889E+01; -0.456590E+03;  0.000000E+00; -0.464829E+03
  0.556859E+04;  0.108192E+04;  0.231778E-01;  0.909293E+04;  0.154000E+03; -0.823887E+01; -0.456254E+03;  0.000000E+00; -0.464493E+03
  0.543251E+04;  0.110055E+04;  0.112889E-01;  0.910148E+04;  0.154000E+03; -0.823680E+01; -0.455482E+03;  0.000000E+00; -0.463718E+03
  0.549861E+04;  0.109964E+04;  0.155528E-01;  0.914183E+04;  0.154000E+03; -0.823866E+01; -0.455586E+03;  0.000000E+00; -0.463825E+03
  0.546790E+04;  0.110717E+04;  0.122240E-01;  0.914254E+04;  0.154000E+03; -0.823818E+01; -0.455294E+03;  0.000000E+00; -0.463533E+03
  0.544634E+04;  0.110983E+04;  0.146926E-01;  0.916781E+04;  0.154000E+03; -0.823953E+01; -0.455493E+03;  0.000000E+00; -0.463733E+03
  0.549557E+04;  0.110374E+04;  0.123109E-01;  0.919077E+04;  0.154000E+03; -0.824020E+01; -0.455568E+03;  0.000000E+00; -0.463808E+03
  0.542348E+04;  0.112495E+04;  0.339189E-02;  0.919842E+04;  0.154000E+03; -0.823979E+01; -0.454855E+03;  0.000000E+00; -0.463095E+03
  0.534226E+04;  0.113616E+04; -0.505400E-02;  0.917923E+04;  0.154000E+03; -0.823896E+01; -0.454715E+03;  0.000000E+00; -0.462954E+03
  0.527192E+04;  0.113766E+04; -0.809493E-02;  0.917971E+04;  0.154000E+03; -0.823921E+01; -0.455230E+03;  0.000000E+00; -0.463469E+03
  0.529997E+04;  0.115861E+04; -0.928582E-02;  0.915252E+04;  0.154000E+03; -0.823819E+01; -0.454246E+03;  0.000000E+00; -0.462484E+03
  0.521651E+04;  0.117557E+04; -0.425771E-02;  0.915627E+04;  0.154000E+03; -0.823796E+01; -0.454889E+03;  0.000000E+00; -0.463127E+03
  0.528252E+04;  0.117557E+04; -0.409194E-02;  0.916980E+04;  0.154000E+03; -0.823850E+01; -0.454207E+03;  0.000000E+00; -0.462445E+03
  0.542928E+04;  0.118371E+04; -0.432882E-02;  0.912102E+04;  0.154000E+03; -0.823674E+01; -0.452801E+03;  0.000000E+00; -0.461038E+03
  0.551541E+04;  0.117369E+04; -0.749343E-02;  0.916019E+04;  0.154000E+03; -0.823833E+01; -0.452872E+03;  0.000000E+00; -0.461110E+03
  0.546727E+04;  0.117030E+04; -0.953098E-02;  0.916266E+04;  0.154000E+03; -0.823862E+01; -0.453010E+03;  0.000000E+00; -0.461249E+03
  0.556547E+04;  0.115163E+04; -0.149025E-01;  0.916920E+04;  0.154000E+03; -0.823962E+01; -0.453443E+03;  0.000000E+00; -0.461682E+03
  0.545182E+04;  0.115147E+04; -0.940544E-02;  0.917963E+04;  0.154000E+03; -0.823933E+01; -0.453575E+03;  0.000000E+00; -0.461815E+03
  0.555519E+04;  0.116673E+04; -0.861254E-02;  0.917890E+04;  0.154000E+03; -0.823922E+01; -0.453090E+03;  0.000000E+00; -0.461330E+03
  0.562970E+04;  0.116417E+04; -0.216549E-01;  0.917665E+04;  0.154000E+03; -0.824131E+01; -0.453399E+03;  0.000000E+00; -0.461640E+03
  0.555169E+04;  0.116886E+04; -0.188578E-01;  0.923558E+04;  0.154000E+03; -0.824372E+01; -0.453111E+03;  0.000000E+00; -0.461355E+03
  0.557167E+04;  0.116626E+04; -0.142343E-01;  0.922576E+04;  0.154000E+03; -0.824230E+01; -0.453215E+03;  0.000000E+00; -0.461458E+03
  0.555054E+04;  0.117396E+04; -0.160940E-01;  0.921364E+04;  0.154000E+03; -0.824195E+01; -0.452948E+03;  0.000000E+00; -0.461190E+03
  0.544170E+04;  0.118430E+04; -0.187543E-01;  0.929854E+04;  0.154000E+03; -0.824790E+01; -0.453038E+03;  0.000000E+00; -0.461286E+03
  0.540914E+04;  0.118127E+04; -0.196501E-01;  0.931780E+04;  0.154000E+03; -0.824958E+01; -0.453287E+03;  0.000000E+00; -0.461537E+03
  0.554810E+04;  0.117739E+04; -0.183636E-01;  0.929271E+04;  0.154000E+03; -0.824739E+01; -0.453046E+03;  0.000000E+00; -0.461293E+03
  0.567969E+04;  0.118545E+04; -0.171693E-01;  0.927821E+04;  0.154000E+03; -0.824612E+01; -0.453346E+03;  0.000000E+00; -0.461592E+03
