Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.154000E+03; -0.823536E+01; -0.468082E+03;  0.000000E+00; -0.476317E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.902790E+04;  0.154000E+03; -0.823608E+01; -0.465463E+03;  0.000000E+00; -0.473699E+03
  0.589980E+04;  0.100167E+04;  0.223482E-01;  0.900377E+04;  0.154000E+03; -0.823758E+01; -0.464202E+03;  0.000000E+00; -0.472440E+03
  0.588159E+04;  0.992350E+03;  0.264625E-01;  0.902926E+04;  0.154000E+03; -0.823880E+01; -0.464592E+03;  0.000000E+00; -0.472831E+03
  0.587926E+04;  0.995086E+03;  0.287160E-01;  0.910141E+04;  0.154000E+03; -0.824067E+01; -0.464657E+03;  0.000000E+00; -0.472897E+03
  0.577339E+04;  0.100347E+04;  0.286776E-01;  0.906919E+04;  0.154000E+03; -0.823997E+01; -0.461730E+03;  0.000000E+00; -0.469970E+03
  0.565601E+04;  0.101366E+04;  0.294280E-01;  0.906088E+04;  0.154000E+03; -0.824008E+01; -0.459727E+03;  0.000000E+00; -0.467967E+03
  0.561477E+04;  0.105131E+04;  0.231386E-01;  0.906302E+04;  0.154000E+03; -0.823828E+01; -0.457124E+03;  0.000000E+00; -0.465362E+03
  0.552470E+04;  0.105191E+04;  0.160768E-01;  0.905687E+04;  0.154000E+03; -0.823665E+01; -0.456722E+03;  0.000000E+00; -0.464959E+03
  0.557344E+04;  0.106663E+04;  0.227261E-01;  0.909849E+04;  0.154000E+03; -0.823889E+01; -0.456447E+03;  0.000000E+00; -0.464686E+03
  0.556859E+04;  0.107345E+04;  0.231778E-01;  0.909293E+04;  0.154000E+03; -0.823887E+01; -0.456110E+03;  0.000000E+00; -0.464348E+03
  0.543251E+04;  0.109208E+04;  0.112889E-01;  0.910148E+04;  0.154000E+03; -0.823680E+01; -0.455336E+03;  0.000000E+00; -0.463573E+03
  0.549861E+04;  0.109118E+04;  0.155528E-01;  0.914183E+04;  0.154000E+03; -0.823866E+01; -0.455439E+03;  0.000000E+00; -0.463678E+03
  0.546790E+04;  0.109871E+04;  0.122240E-01;  0.914254E+04;  0.154000E+03; -0.823818E+01; -0.455144E+03;  0.000000E+00; -0.463382E+03
