Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.154000E+03; -0.645604E+01; -0.469179E+03;  0.000000E+00; -0.475635E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.900000E+04;  0.158035E+03; -0.645666E+01; -0.466273E+03;  0.000000E+00; -0.472729E+03
  0.589980E+04;  0.100167E+04;  0.223482E-01;  0.900000E+04;  0.154545E+03; -0.645826E+01; -0.465077E+03;  0.000000E+00; -0.471535E+03
  0.589205E+04;  0.100480E+04;  0.259044E-01;  0.900000E+04;  0.157299E+03; -0.645921E+01; -0.464462E+03;  0.000000E+00; -0.470921E+03
  0.581811E+04;  0.100074E+04;  0.213134E-01;  0.900000E+04;  0.164029E+03; -0.645801E+01; -0.462922E+03;  0.000000E+00; -0.469380E+03
  0.581970E+04;  0.100074E+04;  0.236728E-01;  0.900000E+04;  0.158684E+03; -0.645860E+01; -0.463067E+03;  0.000000E+00; -0.469526E+03
  0.593785E+04;  0.100074E+04;  0.229701E-01;  0.900000E+04;  0.159604E+03; -0.645842E+01; -0.466149E+03;  0.000000E+00; -0.472607E+03
  0.591629E+04;  0.100074E+04;  0.264460E-01;  0.900000E+04;  0.158748E+03; -0.645937E+01; -0.465420E+03;  0.000000E+00; -0.471880E+03
  0.590687E+04;  0.100593E+04;  0.241973E-01;  0.900000E+04;  0.161151E+03; -0.645874E+01; -0.464708E+03;  0.000000E+00; -0.471167E+03
  0.583767E+04;  0.102315E+04;  0.293472E-01;  0.900000E+04;  0.161024E+03; -0.646027E+01; -0.461613E+03;  0.000000E+00; -0.468073E+03
  0.577538E+04;  0.104638E+04;  0.307508E-01;  0.900000E+04;  0.162139E+03; -0.646074E+01; -0.458999E+03;  0.000000E+00; -0.465460E+03
  0.574706E+04;  0.104638E+04;  0.350557E-01;  0.900000E+04;  0.165218E+03; -0.646231E+01; -0.458595E+03;  0.000000E+00; -0.465057E+03
  0.572099E+04;  0.105307E+04;  0.379972E-01;  0.900000E+04;  0.167151E+03; -0.646351E+01; -0.457928E+03;  0.000000E+00; -0.464392E+03
  0.570980E+04;  0.106511E+04;  0.402252E-01;  0.900000E+04;  0.170667E+03; -0.646447E+01; -0.457123E+03;  0.000000E+00; -0.463588E+03
  0.570442E+04;  0.108180E+04;  0.458145E-01;  0.900000E+04;  0.173976E+03; -0.646715E+01; -0.456287E+03;  0.000000E+00; -0.462754E+03
  0.574529E+04;  0.108700E+04;  0.491620E-01;  0.900000E+04;  0.175296E+03; -0.646891E+01; -0.456379E+03;  0.000000E+00; -0.462848E+03
  0.573557E+04;  0.107773E+04;  0.514919E-01;  0.900000E+04;  0.180698E+03; -0.647022E+01; -0.456658E+03;  0.000000E+00; -0.463128E+03
  0.575821E+04;  0.107164E+04;  0.564098E-01;  0.900000E+04;  0.181018E+03; -0.647316E+01; -0.457236E+03;  0.000000E+00; -0.463709E+03
  0.592046E+04;  0.106884E+04;  0.645132E-01;  0.900000E+04;  0.180004E+03; -0.647861E+01; -0.459637E+03;  0.000000E+00; -0.466116E+03
  0.589785E+04;  0.106511E+04;  0.679865E-01;  0.900000E+04;  0.179735E+03; -0.648116E+01; -0.459480E+03;  0.000000E+00; -0.465961E+03
  0.573580E+04;  0.105068E+04;  0.708412E-01;  0.900000E+04;  0.180062E+03; -0.648337E+01; -0.458666E+03;  0.000000E+00; -0.465149E+03
  0.575401E+04;  0.106635E+04;  0.744041E-01;  0.900000E+04;  0.180451E+03; -0.648624E+01; -0.457970E+03;  0.000000E+00; -0.464457E+03
  0.569685E+04;  0.105050E+04;  0.776184E-01;  0.900000E+04;  0.176073E+03; -0.648896E+01; -0.458944E+03;  0.000000E+00; -0.465433E+03
  0.562085E+04;  0.104029E+04;  0.757019E-01;  0.900000E+04;  0.179099E+03; -0.648732E+01; -0.459390E+03;  0.000000E+00; -0.465877E+03
  0.576228E+04;  0.103014E+04;  0.772070E-01;  0.900000E+04;  0.185950E+03; -0.648860E+01; -0.460262E+03;  0.000000E+00; -0.466751E+03
