Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.130000E+03; -0.141489E+02; -0.469788E+03;  0.000000E+00; -0.483937E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.902790E+04;  0.130000E+03; -0.141496E+02; -0.467071E+03;  0.000000E+00; -0.481221E+03
  0.587065E+04;  0.103115E+04;  0.108321E-01;  0.901610E+04;  0.130000E+03; -0.141490E+02; -0.462964E+03;  0.000000E+00; -0.477113E+03
  0.579705E+04;  0.104317E+04;  0.163649E-01;  0.900179E+04;  0.130203E+03; -0.141498E+02; -0.460500E+03;  0.000000E+00; -0.474650E+03
  0.577758E+04;  0.104764E+04;  0.204751E-01;  0.898138E+04;  0.130575E+03; -0.141507E+02; -0.459774E+03;  0.000000E+00; -0.473925E+03
  0.577758E+04;  0.103647E+04;  0.218116E-01;  0.896503E+04;  0.131154E+03; -0.141511E+02; -0.460423E+03;  0.000000E+00; -0.474574E+03
  0.573633E+04;  0.108697E+04;  0.244335E-01;  0.893381E+04;  0.130678E+03; -0.141522E+02; -0.456913E+03;  0.000000E+00; -0.471065E+03
  0.566859E+04;  0.109416E+04;  0.209929E-01;  0.888559E+04;  0.130480E+03; -0.141524E+02; -0.455866E+03;  0.000000E+00; -0.470019E+03
  0.560044E+04;  0.110840E+04;  0.283848E-01;  0.889675E+04;  0.130171E+03; -0.141541E+02; -0.455192E+03;  0.000000E+00; -0.469346E+03
  0.558730E+04;  0.110555E+04;  0.313597E-01;  0.887336E+04;  0.132515E+03; -0.141558E+02; -0.455149E+03;  0.000000E+00; -0.469304E+03
  0.554449E+04;  0.110916E+04;  0.287753E-01;  0.888165E+04;  0.135775E+03; -0.141547E+02; -0.454899E+03;  0.000000E+00; -0.469054E+03
  0.547315E+04;  0.113030E+04;  0.244080E-01;  0.888123E+04;  0.136962E+03; -0.141534E+02; -0.454221E+03;  0.000000E+00; -0.468374E+03
  0.552248E+04;  0.114548E+04;  0.227277E-01;  0.887935E+04;  0.138802E+03; -0.141530E+02; -0.453517E+03;  0.000000E+00; -0.467670E+03
  0.550416E+04;  0.113473E+04;  0.198429E-01;  0.884938E+04;  0.138875E+03; -0.141533E+02; -0.453713E+03;  0.000000E+00; -0.467866E+03
  0.549431E+04;  0.113635E+04;  0.191503E-01;  0.880466E+04;  0.136470E+03; -0.141551E+02; -0.453607E+03;  0.000000E+00; -0.467763E+03
  0.549628E+04;  0.112309E+04;  0.204998E-01;  0.881820E+04;  0.135450E+03; -0.141548E+02; -0.454102E+03;  0.000000E+00; -0.468257E+03
  0.549685E+04;  0.112082E+04;  0.180943E-01;  0.885808E+04;  0.134343E+03; -0.141526E+02; -0.454305E+03;  0.000000E+00; -0.468457E+03
  0.538457E+04;  0.113694E+04;  0.214286E-01;  0.887784E+04;  0.131630E+03; -0.141527E+02; -0.454621E+03;  0.000000E+00; -0.468773E+03
  0.530384E+04;  0.116177E+04;  0.198404E-01;  0.887317E+04;  0.131633E+03; -0.141525E+02; -0.454586E+03;  0.000000E+00; -0.468738E+03
  0.521205E+04;  0.115239E+04;  0.187909E-01;  0.887899E+04;  0.132832E+03; -0.141521E+02; -0.455929E+03;  0.000000E+00; -0.470081E+03
  0.521186E+04;  0.118028E+04;  0.194264E-01;  0.888166E+04;  0.132525E+03; -0.141522E+02; -0.455206E+03;  0.000000E+00; -0.469358E+03
  0.531576E+04;  0.117601E+04;  0.148781E-01;  0.886920E+04;  0.131802E+03; -0.141517E+02; -0.453943E+03;  0.000000E+00; -0.468095E+03
  0.533132E+04;  0.117601E+04;  0.167554E-01;  0.885993E+04;  0.132300E+03; -0.141523E+02; -0.453812E+03;  0.000000E+00; -0.467964E+03
  0.531319E+04;  0.117035E+04;  0.149132E-01;  0.885262E+04;  0.132088E+03; -0.141523E+02; -0.454042E+03;  0.000000E+00; -0.468194E+03
  0.541311E+04;  0.116175E+04;  0.152100E-01;  0.888204E+04;  0.134212E+03; -0.141513E+02; -0.453513E+03;  0.000000E+00; -0.467664E+03
  0.539976E+04;  0.119222E+04;  0.147446E-01;  0.888015E+04;  0.136446E+03; -0.141513E+02; -0.452834E+03;  0.000000E+00; -0.466986E+03
  0.539300E+04;  0.119063E+04;  0.788062E-02;  0.891632E+04;  0.134611E+03; -0.141495E+02; -0.452920E+03;  0.000000E+00; -0.467069E+03
  0.539619E+04;  0.119108E+04;  0.765269E-02;  0.892949E+04;  0.130819E+03; -0.141493E+02; -0.453039E+03;  0.000000E+00; -0.467188E+03
  0.547377E+04;  0.120172E+04;  0.425419E-02;  0.893484E+04;  0.132787E+03; -0.141489E+02; -0.452371E+03;  0.000000E+00; -0.466520E+03
  0.542900E+04;  0.119586E+04;  0.884170E-02;  0.896996E+04;  0.131054E+03; -0.141489E+02; -0.452896E+03;  0.000000E+00; -0.467045E+03
  0.551128E+04;  0.118086E+04;  0.303280E-02;  0.896765E+04;  0.132518E+03; -0.141485E+02; -0.452782E+03;  0.000000E+00; -0.466931E+03
  0.557353E+04;  0.119437E+04;  0.897700E-02;  0.899208E+04;  0.133665E+03; -0.141488E+02; -0.452547E+03;  0.000000E+00; -0.466696E+03
  0.564554E+04;  0.118913E+04;  0.112431E-01;  0.898050E+04;  0.134760E+03; -0.141491E+02; -0.452776E+03;  0.000000E+00; -0.466925E+03
  0.558971E+04;  0.119319E+04;  0.776979E-02;  0.895464E+04;  0.136568E+03; -0.141489E+02; -0.452437E+03;  0.000000E+00; -0.466586E+03
  0.556334E+04;  0.120856E+04;  0.466342E-02;  0.893606E+04;  0.139826E+03; -0.141489E+02; -0.452024E+03;  0.000000E+00; -0.466173E+03
  0.555710E+04;  0.120306E+04; -0.137522E-02;  0.894558E+04;  0.141833E+03; -0.141487E+02; -0.452088E+03;  0.000000E+00; -0.466237E+03
  0.544025E+04;  0.120934E+04; -0.638618E-02;  0.893533E+04;  0.138710E+03; -0.141491E+02; -0.452135E+03;  0.000000E+00; -0.466285E+03
  0.552853E+04;  0.121944E+04; -0.137996E-01;  0.889285E+04;  0.140634E+03; -0.141508E+02; -0.451777E+03;  0.000000E+00; -0.465928E+03
  0.551513E+04;  0.121025E+04; -0.140231E-01;  0.885966E+04;  0.143120E+03; -0.141519E+02; -0.451853E+03;  0.000000E+00; -0.466005E+03
  0.560638E+04;  0.121259E+04; -0.171199E-01;  0.882419E+04;  0.143295E+03; -0.141538E+02; -0.452093E+03;  0.000000E+00; -0.466247E+03
  0.567012E+04;  0.120782E+04; -0.180497E-01;  0.885637E+04;  0.140840E+03; -0.141527E+02; -0.452572E+03;  0.000000E+00; -0.466725E+03
  0.567069E+04;  0.120705E+04; -0.170859E-01;  0.887486E+04;  0.140379E+03; -0.141519E+02; -0.452571E+03;  0.000000E+00; -0.466723E+03
  0.565159E+04;  0.121138E+04; -0.179511E-01;  0.888978E+04;  0.143563E+03; -0.141516E+02; -0.452379E+03;  0.000000E+00; -0.466530E+03
  0.570236E+04;  0.121909E+04; -0.193243E-01;  0.886766E+04;  0.143873E+03; -0.141526E+02; -0.452712E+03;  0.000000E+00; -0.466864E+03
  0.562655E+04;  0.122824E+04; -0.183220E-01;  0.883143E+04;  0.143076E+03; -0.141537E+02; -0.452024E+03;  0.000000E+00; -0.466178E+03
  0.566383E+04;  0.120666E+04; -0.152097E-01;  0.884293E+04;  0.140940E+03; -0.141527E+02; -0.452506E+03;  0.000000E+00; -0.466658E+03
  0.567560E+04;  0.120823E+04; -0.173013E-01;  0.883633E+04;  0.143282E+03; -0.141533E+02; -0.452615E+03;  0.000000E+00; -0.466768E+03
  0.564937E+04;  0.120921E+04; -0.183814E-01;  0.879893E+04;  0.143211E+03; -0.141552E+02; -0.452433E+03;  0.000000E+00; -0.466588E+03
  0.573926E+04;  0.121396E+04; -0.154005E-01;  0.882417E+04;  0.142211E+03; -0.141535E+02; -0.453118E+03;  0.000000E+00; -0.467272E+03
  0.569327E+04;  0.122050E+04; -0.210052E-01;  0.881644E+04;  0.137139E+03; -0.141550E+02; -0.452624E+03;  0.000000E+00; -0.466779E+03
  0.570390E+04;  0.121935E+04; -0.262501E-01;  0.879762E+04;  0.139370E+03; -0.141573E+02; -0.452876E+03;  0.000000E+00; -0.467033E+03
  0.571094E+04;  0.124600E+04; -0.347986E-01;  0.881160E+04;  0.139169E+03; -0.141595E+02; -0.452792E+03;  0.000000E+00; -0.466951E+03
  0.559351E+04;  0.125593E+04; -0.373610E-01;  0.883135E+04;  0.139880E+03; -0.141596E+02; -0.451849E+03;  0.000000E+00; -0.466008E+03
  0.564678E+04;  0.125727E+04; -0.282436E-01;  0.881023E+04;  0.138792E+03; -0.141572E+02; -0.452015E+03;  0.000000E+00; -0.466173E+03
  0.569054E+04;  0.126841E+04; -0.298046E-01;  0.877720E+04;  0.138652E+03; -0.141594E+02; -0.452368E+03;  0.000000E+00; -0.466527E+03
  0.570514E+04;  0.131101E+04; -0.245034E-01;  0.876443E+04;  0.139705E+03; -0.141586E+02; -0.452286E+03;  0.000000E+00; -0.466445E+03
  0.562381E+04;  0.129540E+04; -0.217413E-01;  0.876884E+04;  0.137172E+03; -0.141576E+02; -0.451615E+03;  0.000000E+00; -0.465772E+03
  0.556970E+04;  0.125762E+04; -0.262513E-01;  0.877513E+04;  0.139024E+03; -0.141585E+02; -0.451625E+03;  0.000000E+00; -0.465784E+03
  0.560373E+04;  0.124814E+04; -0.260234E-01;  0.884066E+04;  0.140204E+03; -0.141552E+02; -0.451785E+03;  0.000000E+00; -0.465940E+03
  0.552599E+04;  0.124371E+04; -0.235158E-01;  0.877404E+04;  0.140534E+03; -0.141578E+02; -0.451584E+03;  0.000000E+00; -0.465742E+03
  0.555187E+04;  0.123528E+04; -0.173437E-01;  0.872367E+04;  0.137479E+03; -0.141595E+02; -0.451655E+03;  0.000000E+00; -0.465815E+03
  0.540873E+04;  0.125314E+04; -0.197725E-01;  0.868171E+04;  0.139661E+03; -0.141631E+02; -0.451579E+03;  0.000000E+00; -0.465742E+03
  0.559906E+04;  0.123526E+04; -0.257256E-01;  0.863512E+04;  0.141909E+03; -0.141686E+02; -0.452154E+03;  0.000000E+00; -0.466323E+03
  0.563724E+04;  0.124101E+04; -0.282458E-01;  0.859193E+04;  0.144171E+03; -0.141736E+02; -0.452606E+03;  0.000000E+00; -0.466780E+03
  0.563724E+04;  0.125748E+04; -0.229678E-01;  0.855088E+04;  0.146749E+03; -0.141765E+02; -0.452658E+03;  0.000000E+00; -0.466834E+03
  0.554738E+04;  0.125187E+04; -0.225846E-01;  0.861322E+04;  0.146772E+03; -0.141698E+02; -0.451909E+03;  0.000000E+00; -0.466079E+03
  0.555746E+04;  0.123006E+04; -0.158146E-01;  0.865561E+04;  0.147320E+03; -0.141645E+02; -0.451868E+03;  0.000000E+00; -0.466032E+03
  0.557253E+04;  0.124433E+04; -0.188048E-01;  0.866866E+04;  0.145334E+03; -0.141640E+02; -0.451836E+03;  0.000000E+00; -0.466000E+03
  0.570776E+04;  0.126803E+04; -0.303314E-01;  0.865626E+04;  0.144892E+03; -0.141682E+02; -0.453055E+03;  0.000000E+00; -0.467224E+03
  0.554238E+04;  0.128289E+04; -0.386823E-01;  0.864768E+04;  0.143990E+03; -0.141721E+02; -0.451976E+03;  0.000000E+00; -0.466148E+03
  0.529141E+04;  0.128503E+04; -0.401802E-01;  0.867801E+04;  0.144404E+03; -0.141702E+02; -0.452113E+03;  0.000000E+00; -0.466284E+03
  0.536845E+04;  0.129264E+04; -0.382752E-01;  0.866142E+04;  0.143107E+03; -0.141708E+02; -0.451810E+03;  0.000000E+00; -0.465981E+03
  0.547803E+04;  0.126094E+04; -0.298184E-01;  0.865344E+04;  0.139045E+03; -0.141683E+02; -0.451597E+03;  0.000000E+00; -0.465765E+03
  0.546185E+04;  0.125391E+04; -0.270623E-01;  0.866727E+04;  0.141248E+03; -0.141662E+02; -0.451591E+03;  0.000000E+00; -0.465757E+03
  0.537822E+04;  0.128482E+04; -0.276117E-01;  0.863613E+04;  0.142763E+03; -0.141691E+02; -0.451707E+03;  0.000000E+00; -0.465876E+03
  0.518283E+04;  0.128732E+04; -0.279830E-01;  0.862689E+04;  0.140232E+03; -0.141701E+02; -0.452819E+03;  0.000000E+00; -0.466989E+03
  0.513200E+04;  0.128576E+04; -0.235840E-01;  0.862891E+04;  0.141284E+03; -0.141686E+02; -0.453312E+03;  0.000000E+00; -0.467480E+03
  0.513200E+04;  0.128858E+04; -0.166322E-01;  0.866124E+04;  0.144835E+03; -0.141642E+02; -0.453313E+03;  0.000000E+00; -0.467477E+03
  0.515276E+04;  0.130165E+04; -0.958364E-02;  0.862275E+04;  0.140736E+03; -0.141666E+02; -0.453069E+03;  0.000000E+00; -0.467235E+03
  0.518729E+04;  0.132281E+04; -0.120822E-01;  0.869814E+04;  0.143231E+03; -0.141605E+02; -0.452702E+03;  0.000000E+00; -0.466863E+03
  0.518889E+04;  0.133220E+04; -0.719379E-02;  0.873037E+04;  0.144296E+03; -0.141577E+02; -0.452675E+03;  0.000000E+00; -0.466833E+03
