"Pr" "Mp" "Q_2" "Q_9"
1.01 3384.499 2459.324 3901.665
1.011 3417.144 2506.555 3927.135
1.012 3447.512 2550.42 3950.962
1.013 3475.943 2591.985 3973.432
1.014 3502.703 2630.296 3994.762
1.015 3528.008 2666.676 4015.153
1.016 3552.031 2700.673 4034.302
1.017 3574.918 2732.796 4052.981
1.018 3596.787 2763.539 4070.972
1.019 3617.742 2792.759 4088.077
1.02 3637.869 2821.094 4104.584
1.021 3657.243 2848.057 4120.748
1.022 3675.929 2873.794 4136.216
1.024 3693.983 2898.673 4151.228
1.025 3711.455 2922.887 4165.825
1.026 3728.388 2946.428 4180.075
1.027 3744.823 2969.205 4193.919
1.028 3760.792 2991.587 4207.519
1.029 3776.329 3012.679 4220.626
1.03 3791.46 3033.381 4233.577
1.031 3806.211 3053.801 4246.135
1.032 3820.606 3073.907 4258.496
1.033 3834.664 3093.047 4270.472
1.034 3848.405 3111.846 4282.412
1.035 3861.846 3130.264 4294.076
1.036 3875.004 3148.064 4305.562
1.037 3887.893 3165.452 4316.641
1.038 3900.526 3182.763 4327.73
1.04 3912.917 3199.762 4338.584
1.041 3925.077 3215.791 4349.301
1.042 3937.016 3231.902 4359.78
1.043 3948.745 3247.45 4370.079
1.044 3960.272 3262.925 4380.276
1.045 3971.608 3278.091 4390.301
1.046 3982.759 3293.186 4400.255
1.047 3993.733 3307.808 4409.871
1.048 4004.538 3322.086 4419.506
1.049 4015.181 3336.221 4429.044
1.05 4025.667 3349.999 4438.437
1.052 4036.002 3363.628 4447.62
1.053 4046.193 3377.002 4456.796
1.054 4056.244 3390.224 4465.812
1.055 4066.16 3403.74 4474.768
1.056 4075.947 3416.659 4483.816
1.057 4085.608 3429.272 4492.566
1.058 4095.148 3441.736 4501.19
1.059 4104.571 3453.916 4509.772
1.06 4113.881 3466.141 4518.128
1.062 4123.081 3478.011 4526.513
1.063 4132.175 3489.997 4534.62
1.064 4141.166 3501.631 4542.757
1.065 4150.057 3513.272 4550.977
1.066 4158.851 3524.708 4559.092
1.067 4167.552 3535.825 4566.952
1.068 4176.161 3546.768 4574.84
1.07 4184.682 3557.872 4582.637
1.071 4193.116 3568.802 4590.47
1.072 4201.467 3579.707 4598.227
1.073 4209.737 3590.447 4605.963
1.074 4217.928 3600.882 4613.505
1.075 4226.041 3611.456 4621.134
1.076 4234.079 3621.718 4628.537
1.078 4242.045 3632.013 4636.071
1.079 4249.939 3642.084 4643.409
1.08 4257.764 3651.982 4650.736
1.081 4265.521 3661.743 4658.069
1.082 4273.212 3671.532 4665.307
1.083 4280.839 3681.35 4672.486
1.085 4288.402 3691.108 4679.524
1.086 4295.905 3700.635 4686.549
1.087 4303.347 3709.972 4693.598
1.088 4310.731 3719.22 4700.664
1.089 4318.058 3728.359 4707.642
1.091 4325.329 3737.512 4714.506
1.092 4332.545 3746.519 4721.402
1.093 4339.708 3755.644 4728.265
1.094 4346.818 3764.584 4735.039
1.095 4353.877 3773.49 4741.719
1.096 4360.887 3782.253 4748.468
1.098 4367.847 3790.992 4755.125
1.099 4374.759 3799.492 4761.652
1.1 4381.624 3808.165 4768.249
1.101 4388.444 3816.668 4774.772
1.103 4395.218 3825.229 4781.323
1.104 4401.948 3833.755 4787.792
1.105 4408.635 3842.05 4794.329
1.106 4415.279 3850.146 4800.68
1.107 4421.882 3858.171 4806.981
1.109 4428.443 3865.995 4813.277
1.11 4434.965 3874.121 4819.514
1.111 4441.448 3882.165 4825.813
1.112 4447.892 3890.066 4831.965
1.114 4454.298 3897.858 4838.236
1.115 4460.667 3905.7 4844.497
1.116 4467 3913.391 4850.669
1.117 4473.297 3921.089 4856.805
1.119 4479.559 3928.677 4862.913
1.12 4485.786 3936.375 4869.055
1.121 4491.979 3943.996 4875.192
1.122 4498.14 3951.454 4881.215
1.124 4504.267 3959.006 4887.187
1.125 4510.362 3966.309 4893.101
1.126 4516.426 3973.699 4899.034
1.127 4522.458 3981.081 4904.904
1.129 4528.461 3988.4 4910.825
1.13 4534.433 3995.538 4916.723
1.131 4540.375 4002.848 4922.569
1.133 4546.289 4009.891 4928.322
1.134 4552.173 4017.007 4934.172
1.135 4558.03 4023.86 4939.959
1.136 4563.859 4030.956 4945.773
1.138 4569.661 4037.986 4951.479
1.139 4575.437 4044.977 4957.242
1.14 4581.185 4051.959 4963.024
1.142 4586.908 4058.95 4968.711
1.143 4592.606 4065.805 4974.414
1.144 4598.278 4072.588 4980.092
1.145 4603.925 4079.299 4985.745
1.147 4609.548 4086.02 4991.32
1.148 4615.148 4092.721 4996.972
1.149 4620.723 4099.438 5002.532
1.151 4626.275 4105.901 5008.047
1.152 4631.804 4112.476 5013.582
1.153 4637.311 4119.045 5019.112
1.155 4642.795 4125.482 5024.55
1.156 4648.258 4131.905 5029.94
1.157 4653.699 4138.313 5035.426
1.159 4659.118 4144.737 5040.958
1.16 4664.517 4151.109 5046.402
1.161 4669.894 4157.562 5051.854
1.163 4675.252 4163.911 5057.274
1.164 4680.589 4170.236 5062.683
1.166 4685.906 4176.481 5067.985
1.167 4691.204 4182.603 5073.317
1.168 4696.483 4188.714 5078.657
1.17 4701.742 4194.865 5084.047
1.171 4706.983 4200.967 5089.43
1.172 4712.205 4207.023 5094.607
1.174 4717.409 4212.937 5099.861
1.175 4722.595 4218.908 5105.059
1.176 4727.763 4224.873 5110.325
1.178 4732.914 4230.823 5115.56
1.179 4738.047 4236.848 5120.818
1.181 4743.163 4242.769 5125.986
1.182 4748.262 4248.646 5131.089
1.183 4753.345 4254.425 5136.216
1.185 4758.412 4260.261 5141.322
1.186 4763.462 4266.057 5146.373
1.188 4768.496 4271.801 5151.611
1.189 4773.514 4277.579 5156.69
1.19 4778.517 4283.382 5161.762
1.192 4783.505 4289.033 5166.848
1.193 4788.477 4294.799 5171.967
1.195 4793.434 4300.521 5177.045
1.196 4798.377 4306.214 5182.101
1.198 4803.305 4311.731 5187.101
1.199 4808.218 4317.386 5192.109
1.2 4813.117 4323.188 5197.108
1.202 4818.003 4329.015 5202.134
1.203 4822.874 4334.663 5207.144
1.205 4827.731 4340.18 5212.151
1.206 4832.575 4345.699 5217.223
1.208 4837.406 4351.209 5222.292
1.209 4842.223 4356.702 5227.297
1.211 4847.027 4362.093 5232.255
1.212 4851.819 4367.606 5237.232
1.214 4856.597 4373.054 5242.172
1.215 4861.363 4378.445 5247.116
1.217 4866.117 4383.803 5251.95
1.218 4870.858 4389.122 5256.844
1.22 4875.587 4394.455 5261.776
1.221 4880.305 4399.807 5266.744
1.222 4885.01 4405.044 5271.712
1.224 4889.703 4410.255 5276.519
1.225 4894.385 4415.44 5281.378
1.227 4899.056 4420.675 5286.245
1.229 4903.715 4425.88 5291.15
1.23 4908.363 4431.1 5295.95
1.232 4913 4436.204 5300.776
