Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.673959E+04;  0.500000E+03; -0.647711E+01; -0.197761E+04;  0.000000E+00; -0.198409E+04
  0.597360E+04;  0.101662E+04;  0.130344E-01;  0.674680E+04;  0.500000E+03; -0.647808E+01; -0.195738E+04;  0.000000E+00; -0.196385E+04
  0.589980E+04;  0.101883E+04;  0.182322E-01;  0.674056E+04;  0.500000E+03; -0.648002E+01; -0.193103E+04;  0.000000E+00; -0.193751E+04
  0.588159E+04;  0.101797E+04;  0.209750E-01;  0.675124E+04;  0.500000E+03; -0.648162E+01; -0.192381E+04;  0.000000E+00; -0.193030E+04
  0.587926E+04;  0.102071E+04;  0.224773E-01;  0.676988E+04;  0.500000E+03; -0.648390E+01; -0.191982E+04;  0.000000E+00; -0.192630E+04
  0.577339E+04;  0.102909E+04;  0.224517E-01;  0.676946E+04;  0.500000E+03; -0.648384E+01; -0.189197E+04;  0.000000E+00; -0.189845E+04
  0.565601E+04;  0.103928E+04;  0.229520E-01;  0.677143E+04;  0.500000E+03; -0.648435E+01; -0.186791E+04;  0.000000E+00; -0.187439E+04
  0.561477E+04;  0.107693E+04;  0.187591E-01;  0.677198E+04;  0.500000E+03; -0.648223E+01; -0.185624E+04;  0.000000E+00; -0.186273E+04
  0.551977E+04;  0.107753E+04;  0.140512E-01;  0.677400E+04;  0.500000E+03; -0.648055E+01; -0.184595E+04;  0.000000E+00; -0.185243E+04
  0.551977E+04;  0.109225E+04;  0.184840E-01;  0.678475E+04;  0.500000E+03; -0.648395E+01; -0.184304E+04;  0.000000E+00; -0.184953E+04
  0.547367E+04;  0.109908E+04;  0.187852E-01;  0.678331E+04;  0.500000E+03; -0.648385E+01; -0.183838E+04;  0.000000E+00; -0.184487E+04
  0.533760E+04;  0.111771E+04;  0.173425E-01;  0.678552E+04;  0.500000E+03; -0.648357E+01; -0.182906E+04;  0.000000E+00; -0.183554E+04
  0.526477E+04;  0.111680E+04;  0.201850E-01;  0.679594E+04;  0.500000E+03; -0.648690E+01; -0.182690E+04;  0.000000E+00; -0.183339E+04
  0.519343E+04;  0.112433E+04;  0.206715E-01;  0.679613E+04;  0.500000E+03; -0.648719E+01; -0.182582E+04;  0.000000E+00; -0.183231E+04
  0.517187E+04;  0.112699E+04;  0.223173E-01;  0.680266E+04;  0.500000E+03; -0.648954E+01; -0.182565E+04;  0.000000E+00; -0.183214E+04
  0.522111E+04;  0.112699E+04;  0.207294E-01;  0.680859E+04;  0.500000E+03; -0.649015E+01; -0.182548E+04;  0.000000E+00; -0.183197E+04
  0.514901E+04;  0.114819E+04;  0.147834E-01;  0.681056E+04;  0.500000E+03; -0.648803E+01; -0.182425E+04;  0.000000E+00; -0.183074E+04
  0.506779E+04;  0.115941E+04;  0.915285E-02;  0.680561E+04;  0.500000E+03; -0.648507E+01; -0.182500E+04;  0.000000E+00; -0.183148E+04
  0.506977E+04;  0.116091E+04;  0.712557E-02;  0.680573E+04;  0.500000E+03; -0.648469E+01; -0.182485E+04;  0.000000E+00; -0.183133E+04
  0.509782E+04;  0.118185E+04;  0.633164E-02;  0.679871E+04;  0.500000E+03; -0.648291E+01; -0.182322E+04;  0.000000E+00; -0.182970E+04
  0.512664E+04;  0.119881E+04;  0.968371E-02;  0.680452E+04;  0.500000E+03; -0.648493E+01; -0.182203E+04;  0.000000E+00; -0.182852E+04
  0.519265E+04;  0.119881E+04;  0.979423E-02;  0.680801E+04;  0.500000E+03; -0.648583E+01; -0.182173E+04;  0.000000E+00; -0.182822E+04
  0.533941E+04;  0.120696E+04;  0.963631E-02;  0.679541E+04;  0.500000E+03; -0.648286E+01; -0.182474E+04;  0.000000E+00; -0.183123E+04
  0.529399E+04;  0.119694E+04;  0.752657E-02;  0.681098E+04;  0.500000E+03; -0.648612E+01; -0.182325E+04;  0.000000E+00; -0.182974E+04
  0.524585E+04;  0.119355E+04;  0.752039E-02;  0.681557E+04;  0.500000E+03; -0.648738E+01; -0.182230E+04;  0.000000E+00; -0.182878E+04
  0.523028E+04;  0.117488E+04;  0.393940E-02;  0.681726E+04;  0.500000E+03; -0.648736E+01; -0.182296E+04;  0.000000E+00; -0.182945E+04
