Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.673959E+04;  0.500000E+03; -0.647711E+01; -0.200486E+04;  0.000000E+00; -0.201134E+04
  0.597360E+04;  0.101662E+04;  0.130344E-01;  0.674680E+04;  0.500000E+03; -0.647808E+01; -0.198205E+04;  0.000000E+00; -0.198853E+04
  0.589980E+04;  0.101883E+04;  0.182322E-01;  0.674056E+04;  0.500000E+03; -0.648002E+01; -0.195325E+04;  0.000000E+00; -0.195973E+04
  0.588159E+04;  0.101797E+04;  0.209750E-01;  0.675124E+04;  0.500000E+03; -0.648162E+01; -0.194545E+04;  0.000000E+00; -0.195193E+04
  0.587926E+04;  0.102071E+04;  0.224773E-01;  0.676988E+04;  0.500000E+03; -0.648390E+01; -0.194110E+04;  0.000000E+00; -0.194758E+04
  0.577339E+04;  0.102909E+04;  0.224517E-01;  0.676946E+04;  0.500000E+03; -0.648384E+01; -0.191066E+04;  0.000000E+00; -0.191714E+04
  0.565601E+04;  0.103928E+04;  0.229520E-01;  0.677143E+04;  0.500000E+03; -0.648435E+01; -0.188404E+04;  0.000000E+00; -0.189052E+04
  0.561477E+04;  0.107693E+04;  0.187591E-01;  0.677198E+04;  0.500000E+03; -0.648223E+01; -0.187036E+04;  0.000000E+00; -0.187684E+04
  0.551977E+04;  0.107753E+04;  0.172087E-01;  0.677400E+04;  0.500000E+03; -0.648178E+01; -0.185835E+04;  0.000000E+00; -0.186483E+04
  0.551977E+04;  0.109225E+04;  0.216415E-01;  0.678475E+04;  0.500000E+03; -0.648554E+01; -0.185493E+04;  0.000000E+00; -0.186142E+04
  0.547367E+04;  0.109908E+04;  0.219426E-01;  0.678331E+04;  0.500000E+03; -0.648546E+01; -0.184960E+04;  0.000000E+00; -0.185609E+04
  0.533760E+04;  0.111771E+04;  0.204999E-01;  0.678552E+04;  0.500000E+03; -0.648507E+01; -0.183856E+04;  0.000000E+00; -0.184504E+04
  0.526477E+04;  0.111680E+04;  0.233425E-01;  0.679594E+04;  0.500000E+03; -0.648862E+01; -0.183583E+04;  0.000000E+00; -0.184232E+04
  0.519343E+04;  0.112433E+04;  0.238290E-01;  0.679613E+04;  0.500000E+03; -0.648895E+01; -0.183406E+04;  0.000000E+00; -0.184055E+04
  0.517187E+04;  0.112699E+04;  0.254747E-01;  0.680266E+04;  0.500000E+03; -0.649142E+01; -0.183371E+04;  0.000000E+00; -0.184020E+04
  0.522111E+04;  0.112699E+04;  0.238869E-01;  0.680859E+04;  0.500000E+03; -0.649191E+01; -0.183388E+04;  0.000000E+00; -0.184038E+04
  0.514901E+04;  0.114819E+04;  0.179409E-01;  0.681056E+04;  0.500000E+03; -0.648932E+01; -0.183173E+04;  0.000000E+00; -0.183822E+04
  0.506779E+04;  0.115941E+04;  0.123103E-01;  0.680561E+04;  0.500000E+03; -0.648592E+01; -0.183173E+04;  0.000000E+00; -0.183822E+04
  0.506977E+04;  0.116091E+04;  0.102830E-01;  0.680573E+04;  0.500000E+03; -0.648538E+01; -0.183155E+04;  0.000000E+00; -0.183804E+04
