"Pr" "Mp" "Q_2" "Q_9"
1.01 3034.656 2599.395 3387.475
1.011 3068.688 2638.775 3418.128
1.012 3100.348 2675.698 3446.781
1.013 3129.992 2709.918 3473.64
1.014 3157.896 2742.102 3498.951
1.015 3184.285 2772.598 3523.072
1.016 3209.339 2801.571 3545.969
1.017 3233.209 2828.959 3567.998
1.018 3256.02 2854.892 3588.65
1.019 3277.879 2879.874 3608.74
1.02 3298.875 2903.925 3627.9
1.021 3319.087 2926.867 3646.499
1.022 3338.582 2949.254 3664.579
1.024 3357.419 2970.749 3681.946
1.025 3375.65 2991.506 3698.762
1.026 3393.32 3011.476 3715.18
1.027 3410.469 3030.916 3731.036
1.028 3427.135 3049.963 3746.481
1.029 3443.35 3068.23 3761.392
1.03 3459.142 3086.066 3775.993
1.031 3474.538 3103.516 3790.271
1.032 3489.563 3120.556 3804.303
1.033 3504.237 3137.104 3818.07
1.034 3518.581 3153.229 3831.507
1.035 3532.612 3168.981 3844.606
1.036 3546.348 3184.37 3857.542
1.037 3559.804 3199.598 3870.163
1.038 3572.994 3214.332 3882.615
1.04 3585.931 3228.737 3894.756
1.041 3598.627 3242.753 3906.71
1.042 3611.094 3256.662 3918.41
1.043 3623.341 3270.205 3929.941
1.044 3635.378 3283.698 3941.386
1.045 3647.216 3296.851 3952.628
1.046 3658.861 3309.866 3963.607
1.047 3670.322 3322.549 3974.459
1.048 3681.607 3334.863 3985.28
1.049 3692.722 3347.02 3995.931
1.05 3703.674 3359.111 4006.201
1.052 3714.469 3371.088 4016.445
1.053 3725.113 3382.975 4026.618
1.054 3735.612 3394.643 4036.602
1.055 3745.971 3405.998 4046.404
1.056 3756.194 3417.175 4056.109
1.057 3766.287 3428.267 4065.75
1.058 3776.253 3439.357 4075.357
1.059 3786.097 3450.2 4084.836
1.06 3795.823 3460.887 4094.143
1.062 3805.435 3471.25 4103.29
1.063 3814.936 3481.838 4112.341
1.064 3824.33 3492.141 4121.367
1.065 3833.62 3502.18 4130.275
1.066 3842.809 3512.285 4139.055
1.067 3851.9 3522.191 4147.839
1.068 3860.897 3531.93 4156.456
1.07 3869.801 3541.574 4164.845
1.071 3878.615 3551.128 4173.339
1.072 3887.342 3560.548 4181.761
1.073 3895.984 3569.936 4190.111
1.074 3904.544 3579.286 4198.422
1.075 3913.023 3588.377 4206.544
1.076 3921.424 3597.519 4214.478
1.078 3929.75 3606.527 4222.511
1.079 3938 3615.385 4230.546
1.08 3946.179 3624.322 4238.504
1.081 3954.287 3633.086 4246.395
1.082 3962.326 3641.985 4254.112
1.083 3970.298 3650.589 4261.826
1.085 3978.205 3659.139 4269.543
1.086 3986.047 3667.606 4277.212
1.087 3993.827 3676.097 4284.74
1.088 4001.546 3684.417 4292.287
1.089 4009.206 3692.667 4299.647
1.091 4016.807 3700.877 4307.097
1.092 4024.351 3708.917 4314.525
1.093 4031.84 3716.827 4321.801
1.094 4039.274 3724.826 4328.909
1.095 4046.654 3732.722 4336.075
1.096 4053.983 3740.464 4343.232
1.098 4061.26 3748.372 4350.373
1.099 4068.488 3756.154 4357.439
1.1 4075.666 3763.832 4364.397
1.101 4082.797 3771.483 4371.335
1.103 4089.88 3779 4378.261
1.104 4096.918 3786.528 4385.05
1.105 4103.91 3794.072 4391.88
1.106 4110.858 3801.432 4398.651
1.107 4117.763 3808.798 4405.339
1.109 4124.625 3816.14 4412.144
1.11 4131.446 3823.422 4418.729
1.111 4138.225 3830.751 4425.41
1.112 4144.965 3837.862 4431.973
1.114 4151.665 3844.95 4438.427
1.115 4158.326 3852.06 4444.931
1.116 4164.949 3859.052 4451.431
1.117 4171.536 3866.034 4457.919
1.119 4178.085 3872.976 4464.331
1.12 4184.599 3879.896 4470.814
1.121 4191.077 3886.588 4477.196
1.122 4197.52 3893.444 4483.559
1.124 4203.93 3900.295 4489.9
1.125 4210.306 3907.041 4496.146
1.126 4216.649 3913.808 4502.385
1.127 4222.959 3920.497 4508.584
1.129 4229.238 3927.195 4514.821
1.13 4235.486 3933.781 4520.948
1.131 4241.702 3940.295 4527.115
1.133 4247.889 3946.808 4533.223
1.134 4254.046 3953.251 4539.289
1.135 4260.173 3959.784 4545.248
1.136 4266.272 3966.215 4551.263
1.138 4272.342 3972.653 4557.278
1.139 4278.384 3979.105 4563.179
1.14 4284.399 3985.422 4569.185
1.142 4290.387 3991.649 4575.044
1.143 4296.348 3997.866 4580.988
1.144 4302.283 4004.052 4586.86
1.145 4308.193 4010.28 4592.625
1.147 4314.077 4016.446 4598.44
1.148 4319.935 4022.503 4604.191
1.149 4325.77 4028.685 4609.956
1.151 4331.58 4034.928 4615.631
1.152 4337.366 4040.97 4621.413
1.153 4343.128 4047.013 4627.159
1.155 4348.868 4052.964 4632.774
1.156 4354.584 4058.896 4638.427
1.157 4360.278 4065.025 4644.141
1.159 4365.95 4070.965 4649.799
1.16 4371.599 4076.828 4655.405
1.161 4377.228 4082.717 4660.905
1.163 4382.835 4088.648 4666.444
1.164 4388.421 4094.439 4672.028
1.166 4393.986 4100.269 4677.552
1.167 4399.531 4106.077 4683.021
1.168 4405.056 4111.81 4688.489
1.17 4410.561 4117.572 4693.98
1.171 4416.046 4123.205 4699.373
1.172 4421.513 4128.961 4704.834
1.174 4426.96 4134.563 4710.223
1.175 4432.388 4140.183 4715.657
1.176 4437.798 4145.76 4720.968
1.178 4443.19 4151.355 4726.352
1.179 4448.563 4156.883 4731.675
1.181 4453.919 4162.48 4737.017
1.182 4459.257 4168.072 4742.322
1.183 4464.578 4173.631 4747.629
1.185 4469.882 4179.15 4752.857
1.186 4475.169 4184.616 4758.083
1.188 4480.439 4190.077 4763.353
1.189 4485.693 4195.452 4768.6
1.19 4490.931 4200.851 4773.813
1.192 4496.153 4206.203 4779.073
1.193 4501.359 4211.6 4784.29
1.195 4506.549 4217.025 4789.506
1.196 4511.724 4222.396 4794.627
1.198 4516.883 4227.726 4799.779
1.199 4522.028 4233.044 4804.964
1.2 4527.158 4238.393 4810.037
1.202 4532.273 4243.626 4815.2
1.203 4537.374 4248.862 4820.27
1.205 4542.46 4254.107 4825.358
1.206 4547.532 4259.331 4830.479
1.208 4552.591 4264.49 4835.557
1.209 4557.635 4269.716 4840.632
1.211 4562.666 4274.911 4845.665
1.212 4567.684 4280.012 4850.702
1.214 4572.688 4285.189 4855.654
1.215 4577.679 4290.329 4860.659
1.217 4582.657 4295.406 4865.662
1.218 4587.622 4300.466 4870.595
1.22 4592.575 4305.527 4875.559
1.221 4597.515 4310.595 4880.563
1.222 4602.443 4315.674 4885.542
1.224 4607.359 4320.738 4890.396
1.225 4612.262 4325.805 4895.33
1.227 4617.154 4330.808 4900.236
1.229 4622.034 4335.726 4905.22
1.23 4626.902 4340.675 4910.114
1.232 4631.759 4345.652 4914.967
1.233 4636.604 4350.6 4919.834
1.235 4641.438 4355.551 4924.723
1.236 4646.261 4360.403 4929.548
1.238 4651.073 4365.334 4934.445
1.239 4655.874 4370.37 4939.246
1.241 4660.665 4375.308 4944.037
1.242 4665.445 4380.178 4948.798
1.244 4670.214 4385.014 4953.601
1.245 4674.973 4389.807 4958.358
1.247 4679.722 4394.625 4963.171
1.248 4684.46 4399.427 4967.927
1.25 4689.189 4404.265 4972.69
1.252 4693.908 4409.086 4977.432
1.253 4698.617 4413.906 4982.183
1.255 4703.316 4418.685 4986.919
1.256 4708.005 4423.467 4991.606
1.258 4712.686 4428.25 4996.375
1.259 4717.356 4433.077 5001.114
1.261 4722.018 4437.751 5005.849
1.263 4726.671 4442.427 5010.539
1.264 4731.314 4447.105 5015.228
1.266 4735.948 4451.768 5019.917
1.267 4740.574 4456.485 5024.608
1.269 4745.191 4461.147 5029.295
1.271 4749.799 4465.867 5033.963
1.272 4754.399 4470.437 5038.624
1.274 4758.99 4475.103 5043.277
1.276 4763.573 4479.721 5047.911
1.277 4768.148 4484.349 5052.549
1.279 4772.714 4488.965 5057.178
1.28 4777.272 4493.617 5061.796
1.282 4781.823 4498.27 5066.376
1.284 4786.365 4502.919 5070.962
1.285 4790.9 4507.448 5075.512
1.287 4795.427 4512.033 5080.133
1.289 4799.946 4516.623 5084.744
1.29 4804.458 4521.227 5089.281
1.292 4808.962 4525.794 5093.832
1.294 4813.459 4530.356 5098.372
1.295 4817.948 4534.827 5102.966
1.297 4822.43 4539.373 5107.523
1.299 4826.905 4543.899 5112.107
1.3 4831.373 4548.435 5116.645
1.302 4835.835 4552.948 5121.171
1.304 4840.289 4557.448 5125.735
1.305 4844.736 4561.996 5130.288
1.307 4849.176 4566.491 5134.793
1.309 4853.61 4571.01 5139.295
1.311 4858.037 4575.444 5143.78
1.312 4862.458 4579.988 5148.328
1.314 4866.872 4584.402 5152.904
1.316 4871.28 4588.845 5157.384
1.318 4875.681 4593.233 5161.891
1.319 4880.077 4597.657 5166.341
1.321 4884.465 4602.062 5170.81
1.323 4888.848 4606.559 5175.28
1.325 4893.225 4610.929 5179.67
1.326 4897.596 4615.287 5184.085
1.328 4901.961 4619.684 5188.466
1.33 4906.32 4624.155 5192.907
1.332 4910.673 4628.453 5197.328
1.333 4915.021 4632.831 5201.734
1.335 4919.362 4637.192 5206.145
1.337 4923.699 4641.587 5210.542
1.339 4928.029 4645.935 5214.988
1.34 4932.355 4650.281 5219.427
1.342 4936.675 4654.598 5223.809
1.344 4940.989 4658.89 5228.199
1.346 4945.298 4663.157 5232.568
1.348 4949.602 4667.45 5237.01
1.35 4953.901 4671.78 5241.408
1.351 4958.195 4676.193 5245.798
1.353 4962.483 4680.454 5250.168
1.355 4966.767 4684.761 5254.526
1.357 4971.046 4688.975 5258.882
1.359 4975.32 4693.214 5263.266
1.361 4979.589 4697.46 5267.681
1.362 4983.853 4701.759 5272.092
1.364 4988.113 4706.042 5276.395
1.366 4992.367 4710.261 5280.72
1.368 4996.618 4714.538 5285.117
1.37 5000.863 4718.753 5289.468
1.372 5005.105 4722.96 5293.798
1.374 5009.341 4727.197 5298.087
1.376 5013.574 4731.398 5302.444
1.377 5017.802 4735.595 5306.729
1.379 5022.026 4739.801 5311.064
1.381 5026.245 4744.036 5315.4
1.383 5030.461 4748.269 5319.663
1.385 5034.672 4752.505 5324.007
1.387 5038.879 4756.719 5328.37
1.389 5043.082 4760.905 5332.689
1.391 5047.281 4765.099 5337.128
1.393 5051.476 4769.354 5341.393
1.395 5055.668 4773.531 5345.631
1.397 5059.855 4777.696 5349.939
1.399 5064.039 4781.85 5354.21
1.401 5068.219 4786.084 5358.474
1.403 5072.395 4790.305 5362.824
1.404 5076.567 4794.484 5367.138
1.406 5080.736 4798.683 5371.353
1.408 5084.902 4802.821 5375.611
1.41 5089.064 4806.999 5379.912
1.412 5093.222 4811.164 5384.204
1.414 5097.377 4815.303 5388.388
1.416 5101.529 4819.383 5392.683
1.418 5105.677 4823.435 5396.986
1.42 5109.822 4827.569 5401.272
1.422 5113.964 4831.708 5405.532
1.425 5118.102 4835.848 5409.784
1.427 5122.238 4839.969 5414.009
1.429 5126.37 4844.112 5418.216
1.431 5130.499 4848.234 5422.515
1.433 5134.625 4852.357 5426.761
1.435 5138.748 4856.449 5431.011
1.437 5142.868 4860.524 5435.246
1.439 5146.986 4864.552 5439.447
1.441 5151.1 4868.622 5443.69
1.443 5155.212 4872.71 5447.939
1.445 5159.32 4876.769 5452.15
1.447 5163.426 4880.78 5456.432
1.449 5167.53 4884.843 5460.605
1.451 5171.63 4888.963 5464.772
1.453 5175.728 4893.042 5468.987
1.456 5179.824 4897.076 5473.172
