"Pr" "Mp" "Q_2" "Q_9"
1.01 3029.081 2578.927 3380.224
1.011 3063.242 2619.662 3411.82
1.012 3095.027 2657.172 3441.238
1.013 3124.791 2692.21 3468.809
1.014 3152.813 2725.251 3494.767
1.015 3179.315 2756.38 3519.371
1.016 3204.48 2785.763 3543.05
1.017 3228.458 2813.849 3565.389
1.018 3251.375 2840.655 3586.808
1.019 3273.337 2866.343 3607.356
1.02 3294.434 2890.949 3627.114
1.021 3314.745 2914.556 3646.197
1.022 3334.337 2937.454 3664.582
1.024 3353.27 2959.412 3682.439
1.025 3371.594 2980.643 3699.782
1.026 3389.356 3001.114 3716.715
1.027 3406.597 3020.979 3732.935
1.028 3423.353 3040.189 3748.821
1.029 3439.655 3058.947 3764.391
1.03 3455.535 3077.332 3779.459
1.031 3471.017 3094.985 3794.271
1.032 3486.127 3112.182 3808.714
1.033 3500.885 3128.949 3822.751
1.034 3515.312 3145.445 3836.52
1.035 3529.425 3161.428 3849.993
1.036 3543.243 3177.16 3863.363
1.037 3556.779 3192.482 3876.449
1.038 3570.048 3207.582 3889.196
1.04 3583.064 3222.157 3901.63
1.041 3595.838 3236.573 3913.807
1.042 3608.381 3250.844 3925.791
1.043 3620.705 3264.743 3937.594
1.044 3632.818 3278.361 3949.31
1.045 3644.731 3291.72 3960.846
1.046 3656.45 3304.969 3972.084
1.047 3667.986 3317.937 3983.221
1.048 3679.344 3330.628 3993.974
1.049 3690.531 3343.108 4004.726
1.05 3701.556 3355.385 4015.458
1.052 3712.423 3367.561 4025.871
1.053 3723.138 3379.458 4036.317
1.054 3733.708 3391.065 4046.532
1.055 3744.137 3402.84 4056.695
1.056 3754.43 3414.267 4066.746
1.057 3764.592 3425.649 4076.687
1.058 3774.627 3436.802 4086.507
1.059 3784.54 3447.737 4096.14
1.06 3794.334 3458.618 4105.725
1.062 3804.014 3469.256 4115.242
1.063 3813.582 3479.845 4124.527
1.064 3823.043 3490.378 4133.713
1.065 3832.4 3500.7 4142.917
1.066 3841.655 3510.983 4151.967
1.067 3850.813 3521.126 4160.982
1.068 3859.875 3531.062 4169.864
1.07 3868.844 3541.027 4178.614
1.071 3877.723 3550.767 4187.354
1.072 3886.515 3560.491 4196.135
1.073 3895.222 3570.096 4204.748
1.074 3903.845 3579.483 4213.172
1.075 3912.389 3588.858 4221.546
1.076 3920.854 3598.247 4229.901
1.078 3929.242 3607.446 4238.17
1.079 3937.556 3616.517 4246.375
1.08 3945.797 3625.586 4254.53
1.081 3953.968 3634.447 4262.658
1.082 3962.069 3643.306 4270.703
1.083 3970.103 3652.222 4278.647
1.085 3978.072 3660.866 4286.505
1.086 3985.976 3669.474 4294.309
1.087 3993.817 3678.177 4302.03
1.088 4001.598 3686.655 4309.684
1.089 4009.318 3695.03 4317.301
1.091 4016.98 3703.322 4324.957
1.092 4024.585 3711.604 4332.49
1.093 4032.134 3719.772 4339.988
1.094 4039.628 3727.871 4347.428
1.095 4047.068 3735.877 4354.772
1.096 4054.457 3743.875 4362.153
1.098 4061.794 3751.873 4369.495
1.099 4069.081 3759.761 4376.75
1.1 4076.318 3767.628 4383.971
1.101 4083.508 3775.449 4391.105
1.103 4090.651 3783.165 4398.115
1.104 4097.747 3790.836 4405.265
1.105 4104.798 3798.472 4412.338
1.106 4111.804 3806.065 4419.266
1.107 4118.768 3813.434 4426.224
1.109 4125.688 3820.76 4433.103
1.11 4132.566 3828.128 4440.027
1.111 4139.404 3835.39 4446.834
1.112 4146.201 3842.678 4453.596
1.114 4152.959 3849.902 4460.442
1.115 4159.678 3857.078 4467.129
1.116 4166.358 3864.198 4473.777
1.117 4173.002 3871.414 4480.395
1.119 4179.608 3878.469 4487.004
1.12 4186.179 3885.54 4493.483
1.121 4192.714 3892.495 4499.999
1.122 4199.214 3899.458 4506.541
1.124 4205.68 3906.261 4512.953
1.125 4212.113 3913.155 4519.348
1.126 4218.512 3920.023 4525.755
1.127 4224.879 3926.731 4532.172
1.129 4231.214 3933.454 4538.551
1.13 4237.518 3940.196 4544.863
1.131 4243.79 3946.94 4551.202
1.133 4250.033 3953.624 4557.564
1.134 4256.245 3960.267 4563.797
1.135 4262.428 3966.874 4570.062
1.136 4268.582 3973.376 4576.219
1.138 4274.708 3979.906 4582.44
1.139 4280.806 3986.344 4588.526
1.14 4286.876 3992.752 4594.585
1.142 4292.919 3999.204 4600.679
1.143 4298.936 4005.586 4606.729
1.144 4304.926 4011.848 4612.723
1.145 4310.89 4018.144 4618.735
1.147 4316.829 4024.367 4624.682
1.148 4322.743 4030.479 4630.613
1.149 4328.632 4036.605 4636.535
1.151 4334.497 4042.709 4642.406
1.152 4340.337 4048.842 4648.266
1.153 4346.154 4054.885 4654.115
1.155 4351.948 4061 4660.018
1.156 4357.719 4067.163 4665.791
1.157 4363.467 4073.277 4671.689
1.159 4369.193 4079.365 4677.562
1.16 4374.897 4085.365 4683.381
1.161 4380.58 4091.352 4689.077
1.163 4386.241 4097.309 4694.762
1.164 4391.881 4103.27 4700.487
1.166 4397.5 4109.207 4706.232
1.167 4403.099 4115.032 4711.926
1.168 4408.678 4120.755 4717.543
1.17 4414.236 4126.509 4723.223
1.171 4419.776 4132.258 4728.811
1.172 4425.295 4138.041 4734.362
1.174 4430.796 4143.703 4739.88
1.175 4436.278 4149.458 4745.435
1.176 4441.742 4155.188 4750.956
1.178 4447.187 4160.879 4756.443
1.179 4452.614 4166.46 4762.006
1.181 4458.023 4172.064 4767.486
1.182 4463.415 4177.636 4772.902
1.183 4468.789 4183.251 4778.326
1.185 4474.146 4188.775 4783.728
1.186 4479.486 4194.316 4789.107
1.188 4484.81 4199.869 4794.513
1.189 4490.117 4205.358 4799.904
1.19 4495.408 4210.879 4805.296
1.192 4500.682 4216.33 4810.652
1.193 4505.941 4221.806 4816.06
1.195 4511.185 4227.251 4821.399
1.196 4516.412 4232.634 4826.748
1.198 4521.625 4237.993 4832.126
1.199 4526.823 4243.46 4837.434
1.2 4532.005 4248.787 4842.666
1.202 4537.173 4254.143 4847.962
1.203 4542.327 4259.38 4853.139
1.205 4547.466 4264.657 4858.307
1.206 4552.591 4269.994 4863.473
1.208 4557.702 4275.191 4868.68
1.209 4562.799 4280.399 4873.891
1.211 4567.883 4285.645 4879.088
1.212 4572.953 4290.834 4884.25
1.214 4578.01 4295.982 4889.361
1.215 4583.053 4301.198 4894.511
1.217 4588.084 4306.379 4899.687
1.218 4593.102 4311.551 4904.83
1.22 4598.107 4316.692 4909.977
1.221 4603.1 4321.863 4915.109
1.222 4608.08 4326.97 4920.246
1.224 4613.048 4332.175 4925.328
