Pos;Ech;Form;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.284479E+00; -0.466602E+03;  0.000000E+00; -0.466318E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.283858E+00; -0.463777E+03;  0.000000E+00; -0.463493E+03
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.283739E+00; -0.463734E+03;  0.000000E+00; -0.463450E+03
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.282918E+00; -0.459049E+03;  0.000000E+00; -0.458766E+03
  0.582259E+04;  0.104933E+04;  0.170197E-01;  0.283425E+00; -0.457066E+03;  0.000000E+00; -0.456783E+03
  0.575268E+04;  0.105368E+04;  0.244356E-01;  0.281717E+00; -0.455328E+03;  0.000000E+00; -0.455046E+03
  0.581892E+04;  0.103423E+04;  0.216144E-01;  0.282439E+00; -0.457669E+03;  0.000000E+00; -0.457387E+03
  0.576702E+04;  0.103282E+04;  0.284948E-01;  0.280523E+00; -0.456507E+03;  0.000000E+00; -0.456227E+03
  0.568806E+04;  0.102573E+04;  0.349893E-01;  0.278233E+00; -0.455492E+03;  0.000000E+00; -0.455213E+03
  0.564681E+04;  0.103351E+04;  0.337046E-01;  0.278723E+00; -0.454646E+03;  0.000000E+00; -0.454367E+03
  0.558563E+04;  0.104135E+04;  0.314001E-01;  0.279557E+00; -0.453776E+03;  0.000000E+00; -0.453496E+03
  0.558930E+04;  0.105280E+04;  0.338191E-01;  0.278680E+00; -0.453384E+03;  0.000000E+00; -0.453105E+03
  0.565583E+04;  0.107588E+04;  0.325037E-01;  0.279165E+00; -0.453124E+03;  0.000000E+00; -0.452845E+03
  0.561261E+04;  0.107436E+04;  0.379057E-01;  0.277052E+00; -0.452814E+03;  0.000000E+00; -0.452537E+03
  0.535073E+04;  0.106697E+04;  0.361838E-01;  0.277761E+00; -0.452742E+03;  0.000000E+00; -0.452464E+03
  0.538970E+04;  0.105534E+04;  0.356888E-01;  0.277958E+00; -0.452919E+03;  0.000000E+00; -0.452641E+03
  0.544169E+04;  0.108652E+04;  0.331781E-01;  0.278919E+00; -0.451952E+03;  0.000000E+00; -0.451673E+03
  0.552748E+04;  0.107536E+04;  0.383820E-01;  0.276850E+00; -0.452377E+03;  0.000000E+00; -0.452100E+03
  0.550328E+04;  0.107525E+04;  0.393107E-01;  0.276449E+00; -0.452334E+03;  0.000000E+00; -0.452057E+03
