"Pr" "Mp" "Q_2" "Q_9"
1.01 3083.099 2599.094 3384.844
1.011 3116.644 2639.137 3416.233
1.012 3147.858 2676.05 3445.308
1.013 3177.087 2710.89 3472.49
1.014 3204.605 2743.581 3498.34
1.015 3230.632 2774.475 3522.744
1.016 3255.347 2803.583 3546.155
1.017 3278.896 2831.283 3568.472
1.018 3301.403 2857.923 3589.734
1.019 3322.972 2883.092 3610.307
1.02 3343.693 2907.266 3629.944
1.021 3363.642 2930.435 3648.968
1.022 3382.885 2952.897 3667.318
1.024 3401.48 2974.374 3685.168
1.025 3419.479 2995.58 3702.377
1.026 3436.925 3015.905 3719.059
1.027 3453.86 3035.282 3735.18
1.028 3470.318 3054.173 3750.883
1.029 3486.331 3072.535 3766.429
1.03 3501.929 3090.357 3781.451
1.031 3517.137 3107.639 3796.114
1.032 3531.979 3124.812 3810.524
1.033 3546.476 3141.582 3824.562
1.034 3560.648 3157.929 3838.213
1.035 3574.512 3173.898 3851.676
1.036 3588.085 3189.549 3864.898
1.037 3601.382 3204.659 3877.858
1.038 3614.418 3219.432 3890.532
1.04 3627.204 3234.012 3902.901
1.041 3639.752 3248.36 3915.116
1.042 3652.075 3262.301 3927.077
1.043 3664.182 3276.071 3938.97
1.044 3676.082 3289.567 3950.6
1.045 3687.785 3302.824 3962.131
1.046 3699.298 3315.907 3973.295
1.047 3710.631 3328.624 3984.326
1.048 3721.789 3341.264 3995.298
1.049 3732.781 3353.706 4006.154
1.05 3743.612 3365.896 4016.873
1.052 3754.288 3378.003 4027.44
1.053 3764.816 3389.769 4037.602
1.054 3775.2 3401.491 4047.788
1.055 3785.446 3413.117 4057.992
1.056 3795.559 3424.45 4067.941
1.057 3805.543 3435.577 4077.704
1.058 3815.403 3446.734 4087.607
1.059 3825.142 3457.683 4097.245
1.06 3834.765 3468.393 4106.821
1.062 3844.276 3479.078 4116.209
1.063 3853.677 3489.671 4125.566
1.064 3862.973 3500.038 4134.867
1.065 3872.166 3510.361 4143.966
1.066 3881.26 3520.58 4153.064
1.067 3890.258 3530.593 4161.99
1.068 3899.162 3540.547 4170.872
1.07 3907.975 3550.231 4179.757
1.071 3916.699 3559.759 4188.477
1.072 3925.338 3569.383 4197.05
1.073 3933.893 3578.734 4205.651
1.074 3942.367 3588.079 4214.005
1.075 3950.761 3597.441 4222.416
1.076 3959.079 3606.704 4230.719
1.078 3967.322 3615.833 4238.931
1.079 3975.491 3624.966 4247.141
1.08 3983.589 3633.854 4255.231
1.081 3991.618 3642.624 4263.267
1.082 3999.579 3651.261 4271.353
1.083 4007.474 3659.828 4279.307
1.085 4015.304 3668.464 4287.141
1.086 4023.071 3677.013 4295.025
1.087 4030.776 3685.408 4302.655
1.088 4038.422 3693.957 4310.305
1.089 4046.009 3702.343 4317.975
1.091 4053.538 3710.642 4325.513
1.092 4061.011 3718.747 4332.904
1.093 4068.429 3727.009 4340.413
1.094 4075.794 3734.932 4347.811
1.095 4083.106 3742.931 4355.093
1.096 4090.366 3751.022 4362.426
1.098 4097.577 3758.859 4369.681
1.099 4104.737 3766.72 4376.878
1.1 4111.85 3774.514 4384.108
1.101 4118.916 3782.185 4391.22
1.103 4125.935 3789.807 4398.295
1.104 4132.909 3797.306 4405.321
1.105 4139.838 3804.836 4412.301
1.106 4146.724 3812.372 4419.298
1.107 4153.567 3819.811 4426.259
1.109 4160.368 3827.199 4433.094
1.11 4167.128 3834.555 4440.001
1.111 4173.848 3841.896 4446.855
1.112 4180.528 3849.187 4453.562
1.114 4187.169 3856.291 4460.356
1.115 4193.772 3863.479 4467.052
1.116 4200.338 3870.555 4473.588
1.117 4206.867 3877.578 4480.236
1.119 4213.36 3884.486 4486.825
1.12 4219.818 3891.443 4493.339
1.121 4226.24 3898.373 4499.813
1.122 4232.629 3905.303 4506.257
1.124 4238.984 3912.067 4512.805
1.125 4245.306 3918.85 4519.258
1.126 4251.596 3925.616 4525.58
1.127 4257.853 3932.388 4531.906
1.129 4264.08 3939.033 4538.171
1.13 4270.275 3945.604 4544.436
1.131 4276.44 3952.215 4550.778
1.133 4282.576 3958.75 4557.087
1.134 4288.682 3965.203 4563.383
1.135 4294.759 3971.725 4569.606
1.136 4300.808 3978.316 4575.78
1.138 4306.828 3984.696 4581.927
1.139 4312.822 3991.112 4588.106
1.14 4318.788 3997.573 4594.304
1.142 4324.728 4003.908 4600.304
1.143 4330.641 4010.16 4606.456
1.144 4336.529 4016.398 4612.472
1.145 4342.391 4022.767 4618.439
1.147 4348.229 4028.921 4624.462
1.148 4354.041 4035.036 4630.394
1.149 4359.83 4041.295 4636.261
1.151 4365.594 4047.466 4642.214
1.152 4371.335 4053.6 4648.034
1.153 4377.053 4059.676 4653.895
1.155 4382.748 4065.75 4659.733
1.156 4388.42 4071.719 4665.577
1.157 4394.071 4077.705 4671.424
1.159 4399.699 4083.689 4677.224
1.16 4405.306 4089.645 4683.05
1.161 4410.891 4095.579 4688.778
1.163 4416.456 4101.421 4694.404
1.164 4422 4107.305 4700.015
1.166 4427.523 4113.169 4705.659
1.167 4433.027 4118.986 4711.251
1.168 4438.511 4124.847 4716.866
1.17 4443.975 4130.548 4722.411
1.171 4449.42 4136.226 4728.074
1.172 4454.846 4142.025 4733.497
1.174 4460.253 4147.701 4739.034
1.175 4465.642 4153.295 4744.623
1.176 4471.012 4158.96 4750.17
1.178 4476.365 4164.67 4755.689
1.179 4481.7 4170.331 4761.219
1.181 4487.017 4175.982 4766.742
1.182 4492.317 4181.474 4772.189
1.183 4497.6 4187.005 4777.579
1.185 4502.866 4192.616 4782.955
1.186 4508.116 4198.079 4788.34
1.188 4513.349 4203.494 4793.794
1.189 4518.566 4209.041 4799.113
1.19 4523.767 4214.568 4804.476
1.192 4528.952 4220.037 4809.801
1.193 4534.122 4225.482 4815.142
1.195 4539.277 4230.957 4820.364
1.196 4544.416 4236.265 4825.693
1.198 4549.54 4241.615 4830.965
1.199 4554.65 4246.962 4836.243
1.2 4559.744 4252.334 4841.464
1.202 4564.825 4257.667 4846.687
1.203 4569.891 4262.986 4851.871
1.205 4574.943 4268.309 4857.105
1.206 4579.982 4273.676 4862.31
1.208 4585.006 4278.954 4867.517
