Pos;Ech;Form;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.689249E+00; -0.193166E+04;  0.000000E+00; -0.193097E+04
  0.597360E+04;  0.101662E+04;  0.130344E-01;  0.688376E+00; -0.191401E+04;  0.000000E+00; -0.191332E+04
  0.597360E+04;  0.101662E+04;  0.135135E-01;  0.688217E+00; -0.191374E+04;  0.000000E+00; -0.191305E+04
  0.586290E+04;  0.103030E+04;  0.163463E-01;  0.687159E+00; -0.188425E+04;  0.000000E+00; -0.188356E+04
  0.581515E+04;  0.105107E+04;  0.146798E-01;  0.687806E+00; -0.186975E+04;  0.000000E+00; -0.186906E+04
  0.574524E+04;  0.105542E+04;  0.196237E-01;  0.685686E+00; -0.185785E+04;  0.000000E+00; -0.185717E+04
  0.574524E+04;  0.105218E+04;  0.177429E-01;  0.686564E+00; -0.185926E+04;  0.000000E+00; -0.185858E+04
  0.569333E+04;  0.106193E+04;  0.223299E-01;  0.684267E+00; -0.184989E+04;  0.000000E+00; -0.184921E+04
  0.561437E+04;  0.106576E+04;  0.266595E-01;  0.681615E+00; -0.184141E+04;  0.000000E+00; -0.184073E+04
  0.557313E+04;  0.109492E+04;  0.258030E-01;  0.682177E+00; -0.183313E+04;  0.000000E+00; -0.183245E+04
  0.547787E+04;  0.110275E+04;  0.242668E-01;  0.683138E+00; -0.182749E+04;  0.000000E+00; -0.182681E+04
  0.543280E+04;  0.111420E+04;  0.258794E-01;  0.682128E+00; -0.182440E+04;  0.000000E+00; -0.182372E+04
  0.543280E+04;  0.113728E+04;  0.250025E-01;  0.682685E+00; -0.182167E+04;  0.000000E+00; -0.182099E+04
  0.538958E+04;  0.114411E+04;  0.286038E-01;  0.680272E+00; -0.182002E+04;  0.000000E+00; -0.181934E+04
  0.532328E+04;  0.113671E+04;  0.274559E-01;  0.681077E+00; -0.182019E+04;  0.000000E+00; -0.181951E+04
  0.525046E+04;  0.113234E+04;  0.271258E-01;  0.681302E+00; -0.182072E+04;  0.000000E+00; -0.182003E+04
  0.530245E+04;  0.116352E+04;  0.254521E-01;  0.682402E+00; -0.181776E+04;  0.000000E+00; -0.181707E+04
  0.534762E+04;  0.116352E+04;  0.289213E-01;  0.680044E+00; -0.181780E+04;  0.000000E+00; -0.181712E+04
  0.532341E+04;  0.116340E+04;  0.295404E-01;  0.679591E+00; -0.181773E+04;  0.000000E+00; -0.181705E+04
  0.536184E+04;  0.117223E+04;  0.320626E-01;  0.677649E+00; -0.181709E+04;  0.000000E+00; -0.181641E+04
  0.529051E+04;  0.117798E+04;  0.316729E-01;  0.677960E+00; -0.181663E+04;  0.000000E+00; -0.181595E+04
  0.516562E+04;  0.116976E+04;  0.282722E-01;  0.680508E+00; -0.181883E+04;  0.000000E+00; -0.181815E+04
  0.517536E+04;  0.115458E+04;  0.239025E-01;  0.683358E+00; -0.181971E+04;  0.000000E+00; -0.181902E+04
  0.524463E+04;  0.115608E+04;  0.232195E-01;  0.683760E+00; -0.181866E+04;  0.000000E+00; -0.181797E+04
  0.524636E+04;  0.114398E+04;  0.231259E-01;  0.683814E+00; -0.181967E+04;  0.000000E+00; -0.181899E+04
  0.525900E+04;  0.116767E+04;  0.195938E-01;  0.685700E+00; -0.181765E+04;  0.000000E+00; -0.181696E+04
  0.523958E+04;  0.117455E+04;  0.142626E-01;  0.687957E+00; -0.181733E+04;  0.000000E+00; -0.181665E+04
  0.535854E+04;  0.118973E+04;  0.161429E-01;  0.687242E+00; -0.181606E+04;  0.000000E+00; -0.181538E+04
  0.535043E+04;  0.121102E+04;  0.131740E-01;  0.688330E+00; -0.181464E+04;  0.000000E+00; -0.181395E+04
  0.545208E+04;  0.122169E+04;  0.763025E-02;  0.689772E+00; -0.181535E+04;  0.000000E+00; -0.181466E+04
  0.536497E+04;  0.123503E+04;  0.119262E-01;  0.688721E+00; -0.181331E+04;  0.000000E+00; -0.181262E+04
  0.520328E+04;  0.121360E+04;  0.142391E-01;  0.687965E+00; -0.181534E+04;  0.000000E+00; -0.181465E+04
  0.526227E+04;  0.122322E+04;  0.203562E-01;  0.685320E+00; -0.181403E+04;  0.000000E+00; -0.181335E+04
  0.526227E+04;  0.120154E+04;  0.175594E-01;  0.686645E+00; -0.181530E+04;  0.000000E+00; -0.181462E+04
  0.535138E+04;  0.119615E+04;  0.187250E-01;  0.686117E+00; -0.181548E+04;  0.000000E+00; -0.181479E+04
  0.529059E+04;  0.120988E+04;  0.206030E-01;  0.685193E+00; -0.181457E+04;  0.000000E+00; -0.181388E+04
  0.535168E+04;  0.121256E+04;  0.250148E-01;  0.682678E+00; -0.181423E+04;  0.000000E+00; -0.181355E+04
  0.539616E+04;  0.120501E+04;  0.216106E-01;  0.684662E+00; -0.181509E+04;  0.000000E+00; -0.181440E+04
  0.541758E+04;  0.120804E+04;  0.212750E-01;  0.684842E+00; -0.181513E+04;  0.000000E+00; -0.181444E+04
  0.546059E+04;  0.122436E+04;  0.271148E-01;  0.681309E+00; -0.181440E+04;  0.000000E+00; -0.181372E+04
  0.545821E+04;  0.122436E+04;  0.219531E-01;  0.684475E+00; -0.181456E+04;  0.000000E+00; -0.181388E+04
  0.545821E+04;  0.122810E+04;  0.184511E-01;  0.686244E+00; -0.181447E+04;  0.000000E+00; -0.181378E+04
  0.534183E+04;  0.125796E+04;  0.183364E-01;  0.686297E+00; -0.181195E+04;  0.000000E+00; -0.181126E+04
  0.526709E+04;  0.126493E+04;  0.179835E-01;  0.686457E+00; -0.181212E+04;  0.000000E+00; -0.181144E+04
  0.539018E+04;  0.127558E+04;  0.211930E-01;  0.684885E+00; -0.181117E+04;  0.000000E+00; -0.181048E+04
