Pos;Ech;Form;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.689249E+00; -0.195891E+04;  0.000000E+00; -0.195822E+04
  0.597360E+04;  0.101662E+04;  0.130344E-01;  0.688376E+00; -0.193869E+04;  0.000000E+00; -0.193800E+04
  0.597360E+04;  0.101662E+04;  0.135135E-01;  0.688217E+00; -0.193836E+04;  0.000000E+00; -0.193767E+04
  0.586290E+04;  0.103030E+04;  0.163463E-01;  0.687159E+00; -0.190507E+04;  0.000000E+00; -0.190438E+04
  0.581515E+04;  0.105107E+04;  0.146798E-01;  0.687806E+00; -0.188849E+04;  0.000000E+00; -0.188781E+04
  0.574524E+04;  0.105542E+04;  0.196237E-01;  0.685686E+00; -0.187485E+04;  0.000000E+00; -0.187416E+04
  0.574524E+04;  0.105218E+04;  0.177429E-01;  0.686564E+00; -0.187651E+04;  0.000000E+00; -0.187582E+04
  0.569333E+04;  0.106193E+04;  0.223299E-01;  0.684267E+00; -0.186564E+04;  0.000000E+00; -0.186495E+04
  0.561437E+04;  0.106576E+04;  0.266595E-01;  0.681615E+00; -0.185570E+04;  0.000000E+00; -0.185502E+04
  0.557313E+04;  0.109492E+04;  0.258030E-01;  0.682177E+00; -0.184592E+04;  0.000000E+00; -0.184523E+04
  0.547787E+04;  0.110275E+04;  0.242668E-01;  0.683138E+00; -0.183896E+04;  0.000000E+00; -0.183827E+04
  0.543280E+04;  0.111420E+04;  0.258794E-01;  0.682128E+00; -0.183508E+04;  0.000000E+00; -0.183439E+04
  0.543280E+04;  0.113728E+04;  0.250025E-01;  0.682685E+00; -0.183181E+04;  0.000000E+00; -0.183112E+04
  0.538958E+04;  0.114411E+04;  0.286038E-01;  0.680272E+00; -0.182960E+04;  0.000000E+00; -0.182892E+04
  0.532328E+04;  0.113671E+04;  0.274559E-01;  0.681077E+00; -0.182933E+04;  0.000000E+00; -0.182865E+04
  0.525046E+04;  0.113234E+04;  0.271258E-01;  0.681302E+00; -0.182931E+04;  0.000000E+00; -0.182863E+04
  0.525118E+04;  0.116352E+04;  0.254521E-01;  0.682402E+00; -0.182606E+04;  0.000000E+00; -0.182538E+04
  0.529635E+04;  0.116352E+04;  0.289213E-01;  0.680044E+00; -0.182617E+04;  0.000000E+00; -0.182549E+04
  0.527214E+04;  0.116745E+04;  0.295404E-01;  0.679591E+00; -0.182572E+04;  0.000000E+00; -0.182504E+04
  0.531057E+04;  0.117628E+04;  0.320626E-01;  0.677649E+00; -0.182502E+04;  0.000000E+00; -0.182434E+04
  0.527403E+04;  0.118202E+04;  0.316729E-01;  0.677960E+00; -0.182441E+04;  0.000000E+00; -0.182373E+04
  0.514915E+04;  0.117381E+04;  0.282722E-01;  0.680508E+00; -0.182609E+04;  0.000000E+00; -0.182541E+04
