Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.614418E+04;  0.493202E+03;  0.284479E+00; -0.211853E+04;  0.000000E+00; -0.211824E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.614418E+04;  0.493202E+03;  0.283858E+00; -0.209059E+04;  0.000000E+00; -0.209030E+04
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.614418E+04;  0.493202E+03;  0.283739E+00; -0.209010E+04;  0.000000E+00; -0.208981E+04
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.614418E+04;  0.493202E+03;  0.282918E+00; -0.202915E+04;  0.000000E+00; -0.202887E+04
  0.581515E+04;  0.105107E+04;  0.195447E-01;  0.614418E+04;  0.493202E+03;  0.282912E+00; -0.200280E+04;  0.000000E+00; -0.200252E+04
  0.574524E+04;  0.105542E+04;  0.269606E-01;  0.614418E+04;  0.493202E+03;  0.280996E+00; -0.197459E+04;  0.000000E+00; -0.197431E+04
  0.574524E+04;  0.105218E+04;  0.241394E-01;  0.614418E+04;  0.493202E+03;  0.281797E+00; -0.197622E+04;  0.000000E+00; -0.197594E+04
  0.569333E+04;  0.106193E+04;  0.310198E-01;  0.614418E+04;  0.493202E+03;  0.279689E+00; -0.195602E+04;  0.000000E+00; -0.195574E+04
  0.561437E+04;  0.106576E+04;  0.375143E-01;  0.614418E+04;  0.493202E+03;  0.277216E+00; -0.193276E+04;  0.000000E+00; -0.193248E+04
  0.557313E+04;  0.109492E+04;  0.362296E-01;  0.614418E+04;  0.493202E+03;  0.277742E+00; -0.191923E+04;  0.000000E+00; -0.191896E+04
  0.547787E+04;  0.110275E+04;  0.339251E-01;  0.614418E+04;  0.493202E+03;  0.278640E+00; -0.189964E+04;  0.000000E+00; -0.189936E+04
  0.543280E+04;  0.111420E+04;  0.363442E-01;  0.614418E+04;  0.493202E+03;  0.277696E+00; -0.189094E+04;  0.000000E+00; -0.189066E+04
  0.543280E+04;  0.113728E+04;  0.350287E-01;  0.614418E+04;  0.493202E+03;  0.278218E+00; -0.188961E+04;  0.000000E+00; -0.188933E+04
  0.538958E+04;  0.114411E+04;  0.404307E-01;  0.614418E+04;  0.493202E+03;  0.275953E+00; -0.188268E+04;  0.000000E+00; -0.188241E+04
  0.512771E+04;  0.113671E+04;  0.387088E-01;  0.614418E+04;  0.493202E+03;  0.276710E+00; -0.185770E+04;  0.000000E+00; -0.185743E+04
  0.505488E+04;  0.112508E+04;  0.382138E-01;  0.614418E+04;  0.493202E+03;  0.276922E+00; -0.185473E+04;  0.000000E+00; -0.185445E+04
  0.505560E+04;  0.115627E+04;  0.357031E-01;  0.614418E+04;  0.493202E+03;  0.277953E+00; -0.185360E+04;  0.000000E+00; -0.185333E+04
  0.505560E+04;  0.114511E+04;  0.368485E-01;  0.614418E+04;  0.493202E+03;  0.277491E+00; -0.185396E+04;  0.000000E+00; -0.185368E+04
  0.503139E+04;  0.114499E+04;  0.377772E-01;  0.614418E+04;  0.493202E+03;  0.277106E+00; -0.185316E+04;  0.000000E+00; -0.185288E+04
