Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.614418E+04;  0.500000E+03; -0.618081E+01; -0.212312E+04;  0.000000E+00; -0.212930E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.614776E+04;  0.500000E+03; -0.618153E+01; -0.209404E+04;  0.000000E+00; -0.210022E+04
  0.589980E+04;  0.101883E+04;  0.223482E-01;  0.614466E+04;  0.500000E+03; -0.618303E+01; -0.205266E+04;  0.000000E+00; -0.205884E+04
  0.588159E+04;  0.101797E+04;  0.264625E-01;  0.614996E+04;  0.500000E+03; -0.618440E+01; -0.204141E+04;  0.000000E+00; -0.204760E+04
  0.587926E+04;  0.102071E+04;  0.287160E-01;  0.615920E+04;  0.500000E+03; -0.618655E+01; -0.203597E+04;  0.000000E+00; -0.204215E+04
  0.577339E+04;  0.102909E+04;  0.286776E-01;  0.616313E+04;  0.500000E+03; -0.618755E+01; -0.199037E+04;  0.000000E+00; -0.199656E+04
  0.565601E+04;  0.103928E+04;  0.294280E-01;  0.616410E+04;  0.500000E+03; -0.618809E+01; -0.194975E+04;  0.000000E+00; -0.195593E+04
  0.561477E+04;  0.107693E+04;  0.295166E-01;  0.616438E+04;  0.500000E+03; -0.618820E+01; -0.193182E+04;  0.000000E+00; -0.193801E+04
  0.551977E+04;  0.107753E+04;  0.295166E-01;  0.616538E+04;  0.500000E+03; -0.618851E+01; -0.191014E+04;  0.000000E+00; -0.191633E+04
  0.551977E+04;  0.109225E+04;  0.361659E-01;  0.617071E+04;  0.500000E+03; -0.619288E+01; -0.190699E+04;  0.000000E+00; -0.191318E+04
  0.547367E+04;  0.109908E+04;  0.366176E-01;  0.617000E+04;  0.500000E+03; -0.619278E+01; -0.189781E+04;  0.000000E+00; -0.190401E+04
  0.533760E+04;  0.111771E+04;  0.344535E-01;  0.617109E+04;  0.500000E+03; -0.619236E+01; -0.187627E+04;  0.000000E+00; -0.188246E+04
