"Pr" "Mp" "Q_2" "Q_9"
1.01 3094.342 2614.185 3376.987
1.011 3126.574 2651.476 3406.339
1.012 3156.567 2686.002 3433.817
1.013 3184.655 2718.634 3459.382
1.014 3211.1 2749.292 3483.427
1.015 3236.112 2777.918 3506.246
1.016 3259.864 2805.482 3528.087
1.017 3282.496 2831.809 3548.81
1.018 3304.128 2856.57 3568.711
1.019 3324.859 2880.102 3587.856
1.02 3344.775 2902.862 3606.356
1.021 3363.95 2924.822 3624.156
1.022 3382.446 2945.842 3641.272
1.024 3400.321 2965.964 3657.782
1.025 3417.622 2985.865 3673.905
1.026 3434.393 3004.853 3689.693
1.027 3450.672 3023.47 3704.861
1.028 3466.493 3041.474 3719.619
1.029 3481.888 3059.13 3733.943
1.03 3496.883 3076.092 3748.034
1.031 3511.504 3092.632 3761.619
1.032 3525.773 3108.643 3774.837
1.033 3539.711 3124.505 3787.848
1.034 3553.336 3139.775 3800.458
1.035 3566.666 3154.611 3812.928
1.036 3579.716 3169.268 3825.203
1.037 3592.501 3183.631 3837.254
1.038 3605.035 3197.5 3849.059
1.04 3617.329 3211.286 3860.716
1.041 3629.395 3224.839 3872.047
1.042 3641.244 3238.043 3883.289
1.043 3652.885 3250.856 3894.238
1.044 3664.329 3263.518 3905.117
1.045 3675.582 3276.128 3915.713
1.046 3686.654 3288.503 3926.21
1.047 3697.552 3300.753 3936.546
1.048 3708.282 3312.546 3946.817
1.049 3718.852 3324.183 3956.807
1.05 3729.268 3335.778 3966.645
1.052 3739.535 3347.114 3976.448
1.053 3749.66 3358.22 3986.11
1.054 3759.647 3369.217 3995.571
1.055 3769.501 3379.946 4005.027
1.056 3779.227 3390.774 4014.318
1.057 3788.829 3401.422 4023.446
1.058 3798.312 3412.031 4032.527
1.059 3807.679 3422.402 4041.514
1.06 3816.934 3432.657 4050.357
1.062 3826.082 3442.748 4059.028
1.063 3835.124 3452.682 4067.762
1.064 3844.065 3462.423 4076.278
1.065 3852.908 3472.054 4084.871
1.066 3861.655 3481.582 4093.207
1.067 3870.309 3490.992 4101.448
1.068 3878.874 3500.29 4109.725
1.07 3887.351 3509.467 4117.833
1.071 3895.743 3518.63 4125.997
1.072 3904.053 3527.696 4133.912
1.073 3912.282 3536.626 4141.881
1.074 3920.433 3545.494 4149.74
1.075 3928.509 3554.294 4157.523
1.076 3936.51 3563.043 4165.26
1.078 3944.439 3571.587 4172.801
1.079 3952.298 3580.123 4180.401
1.08 3960.088 3588.731 4187.957
1.081 3967.812 3597.165 4195.523
1.082 3975.47 3605.41 4203.08
1.083 3983.065 3613.681 4210.38
1.085 3990.598 3621.94 4217.659
1.086 3998.07 3630.027 4224.858
1.087 4005.483 3638.135 4232.007
1.088 4012.839 3646.002 4239.025
1.089 4020.138 3653.854 4246.097
1.091 4027.381 3661.706 4253.132
1.092 4034.571 3669.435 4260.177
1.093 4041.708 3677.151 4267.1
1.094 4048.794 3684.783 4273.915
1.095 4055.829 3692.3 4280.871
1.096 4062.814 3699.902 4287.58
1.098 4069.752 3707.312 4294.379
1.099 4076.642 3714.757 4300.963
1.1 4083.485 3722.071 4307.644
1.101 4090.283 3729.271 4314.27
1.103 4097.037 3736.49 4320.917
1.104 4103.747 3743.684 4327.38
1.105 4110.415 3750.821 4333.776
1.106 4117.04 3757.973 4340.264
1.107 4123.624 3765.083 4346.654
1.109 4130.169 3772.153 4352.959
1.11 4136.673 3779.225 4359.242
1.111 4143.139 3786.079 4365.518
1.112 4149.567 3793.01 4371.771
1.114 4155.958 3799.799 4378.015
1.115 4162.312 3806.675 4384.197
1.116 4168.63 3813.422 4390.295
1.117 4174.913 3820.082 4396.493
1.119 4181.161 3826.781 4402.651
1.12 4187.375 3833.404 4408.773
1.121 4193.556 3839.984 4414.885
1.122 4199.704 3846.572 4420.974
1.124 4205.819 3853.145 4426.981
1.125 4211.903 3859.599 4432.889
1.126 4217.956 3866.011 4438.897
1.127 4223.978 3872.384 4444.831
1.129 4229.97 3878.761 4450.718
1.13 4235.932 3885.046 4456.579
1.131 4241.865 3891.395 4462.36
1.133 4247.77 3897.596 4468.202
1.134 4253.646 3903.854 4474.001
1.135 4259.495 3910.059 4479.697
1.136 4265.316 3916.138 4485.393
1.138 4271.111 3922.25 4491.149
1.139 4276.879 3928.281 4496.803
1.14 4282.621 3934.355 4502.501
1.142 4288.338 3940.392 4508.149
1.143 4294.029 3946.352 4513.815
1.144 4299.696 3952.33 4519.498
1.145 4305.338 3958.337 4525.082
1.147 4310.956 3964.32 4530.796
1.148 4316.551 3970.184 4536.289
1.149 4322.122 3976.127 4541.799
1.151 4327.67 3981.904 4547.342
1.152 4333.196 3987.682 4552.86
1.153 4338.699 3993.42 4558.372
1.155 4344.181 3999.191 4563.784
1.156 4349.64 4004.877 4569.204
1.157 4355.079 4010.594 4574.535
1.159 4360.496 4016.325 4579.848
1.16 4365.893 4021.879 4585.234
1.161 4371.27 4027.563 4590.527
1.163 4376.626 4033.133 4595.812
1.164 4381.962 4038.786 4601.072
1.166 4387.279 4044.212 4606.362
1.167 4392.577 4049.82 4611.559
1.168 4397.855 4055.362 4616.825
1.17 4403.115 4060.929 4621.983
1.171 4408.356 4066.476 4627.202
1.172 4413.579 4071.897 4632.503
1.174 4418.785 4077.327 4637.726
1.175 4423.972 4082.755 4642.828
1.176 4429.142 4088.123 4647.961
1.178 4434.294 4093.55 4653.022
1.179 4439.43 4098.946 4658.142
1.181 4444.549 4104.318 4663.211
1.182 4449.651 4109.662 4668.244
1.183 4454.737 4114.993 4673.263
1.185 4459.806 4120.341 4678.345
1.186 4464.86 4125.615 4683.309
1.188 4469.898 4130.859 4688.335
1.189 4474.92 4136.128 4693.305
1.19 4479.927 4141.322 4698.334
1.192 4484.919 4146.545 4703.343
1.193 4489.896 4151.701 4708.373
1.195 4494.858 4156.906 4713.367
1.196 4499.806 4162.073 4718.345
1.198 4504.739 4167.123 4723.283
1.199 4509.659 4172.235 4728.206
1.2 4514.564 4177.339 4733.056
1.202 4519.455 4182.39 4737.864
1.203 4524.333 4187.413 4742.765
1.205 4529.197 4192.483 4747.631
1.206 4534.047 4197.41 4752.44
