Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.614418E+04;  0.500000E+03; -0.110210E+02; -0.210114E+04;  0.000000E+00; -0.211216E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.614776E+04;  0.499378E+03; -0.110201E+02; -0.207354E+04;  0.000000E+00; -0.208456E+04
  0.597360E+04;  0.102991E+04;  0.141661E-01;  0.614759E+04;  0.499149E+03; -0.110195E+02; -0.206757E+04;  0.000000E+00; -0.207859E+04
  0.592636E+04;  0.102991E+04;  0.146476E-01;  0.615273E+04;  0.500159E+03; -0.110226E+02; -0.204399E+04;  0.000000E+00; -0.205501E+04
  0.592636E+04;  0.103585E+04;  0.198267E-01;  0.615278E+04;  0.499849E+03; -0.110228E+02; -0.203918E+04;  0.000000E+00; -0.205020E+04
  0.586089E+04;  0.103628E+04;  0.211986E-01;  0.615571E+04;  0.499451E+03; -0.110225E+02; -0.200930E+04;  0.000000E+00; -0.202032E+04
  0.586089E+04;  0.104196E+04;  0.200700E-01;  0.615602E+04;  0.498662E+03; -0.110205E+02; -0.200786E+04;  0.000000E+00; -0.201888E+04
  0.586089E+04;  0.105341E+04;  0.211698E-01;  0.616073E+04;  0.498508E+03; -0.110214E+02; -0.200292E+04;  0.000000E+00; -0.201395E+04
  0.581085E+04;  0.107275E+04;  0.239581E-01;  0.616247E+04;  0.498640E+03; -0.110229E+02; -0.197843E+04;  0.000000E+00; -0.198946E+04
  0.572306E+04;  0.109138E+04;  0.217940E-01;  0.616058E+04;  0.498618E+03; -0.110218E+02; -0.194808E+04;  0.000000E+00; -0.195910E+04
  0.569678E+04;  0.111730E+04;  0.182825E-01;  0.616530E+04;  0.498236E+03; -0.110215E+02; -0.193658E+04;  0.000000E+00; -0.194760E+04
  0.567250E+04;  0.112673E+04;  0.181174E-01;  0.616977E+04;  0.498086E+03; -0.110228E+02; -0.192849E+04;  0.000000E+00; -0.193951E+04
  0.564338E+04;  0.114135E+04;  0.207354E-01;  0.617264E+04;  0.497192E+03; -0.110230E+02; -0.191881E+04;  0.000000E+00; -0.192983E+04
  0.551849E+04;  0.114194E+04;  0.295135E-01;  0.617306E+04;  0.496629E+03; -0.110247E+02; -0.189218E+04;  0.000000E+00; -0.190320E+04
  0.538358E+04;  0.113082E+04;  0.291220E-01;  0.617344E+04;  0.497414E+03; -0.110260E+02; -0.187175E+04;  0.000000E+00; -0.188278E+04
  0.538358E+04;  0.112272E+04;  0.311202E-01;  0.616787E+04;  0.497320E+03; -0.110243E+02; -0.187256E+04;  0.000000E+00; -0.188358E+04
  0.538358E+04;  0.112461E+04;  0.235674E-01;  0.617342E+04;  0.497697E+03; -0.110248E+02; -0.187262E+04;  0.000000E+00; -0.188365E+04
  0.538358E+04;  0.112567E+04;  0.239818E-01;  0.617561E+04;  0.498017E+03; -0.110266E+02; -0.187230E+04;  0.000000E+00; -0.188333E+04
  0.532062E+04;  0.112569E+04;  0.172943E-01;  0.617895E+04;  0.497127E+03; -0.110252E+02; -0.186440E+04;  0.000000E+00; -0.187543E+04
  0.522000E+04;  0.113522E+04;  0.149797E-01;  0.617942E+04;  0.497562E+03; -0.110257E+02; -0.185481E+04;  0.000000E+00; -0.186583E+04
  0.517405E+04;  0.113279E+04;  0.142060E-01;  0.618118E+04;  0.496719E+03; -0.110252E+02; -0.185115E+04;  0.000000E+00; -0.186218E+04
  0.510212E+04;  0.111114E+04;  0.222598E-01;  0.618552E+04;  0.496807E+03; -0.110296E+02; -0.184728E+04;  0.000000E+00; -0.185831E+04
  0.512043E+04;  0.110396E+04;  0.268220E-01;  0.618896E+04;  0.495992E+03; -0.110320E+02; -0.184795E+04;  0.000000E+00; -0.185898E+04
  0.504051E+04;  0.110642E+04;  0.250671E-01;  0.618909E+04;  0.496016E+03; -0.110316E+02; -0.184500E+04;  0.000000E+00; -0.185603E+04
  0.504051E+04;  0.111206E+04;  0.282442E-01;  0.618829E+04;  0.496455E+03; -0.110326E+02; -0.184487E+04;  0.000000E+00; -0.185591E+04
  0.502497E+04;  0.109353E+04;  0.276276E-01;  0.618952E+04;  0.495882E+03; -0.110325E+02; -0.184526E+04;  0.000000E+00; -0.185629E+04
  0.506575E+04;  0.109190E+04;  0.311571E-01;  0.618405E+04;  0.495286E+03; -0.110296E+02; -0.184659E+04;  0.000000E+00; -0.185762E+04
  0.511444E+04;  0.109792E+04;  0.342003E-01;  0.618610E+04;  0.495523E+03; -0.110322E+02; -0.184817E+04;  0.000000E+00; -0.185920E+04
  0.510107E+04;  0.108901E+04;  0.335348E-01;  0.618594E+04;  0.495535E+03; -0.110318E+02; -0.184803E+04;  0.000000E+00; -0.185907E+04
  0.510107E+04;  0.110568E+04;  0.309105E-01;  0.618352E+04;  0.495560E+03; -0.110294E+02; -0.184742E+04;  0.000000E+00; -0.185845E+04
  0.505985E+04;  0.111472E+04;  0.368973E-01;  0.618356E+04;  0.496317E+03; -0.110325E+02; -0.184576E+04;  0.000000E+00; -0.185680E+04
  0.496582E+04;  0.115136E+04;  0.364807E-01;  0.618367E+04;  0.496313E+03; -0.110324E+02; -0.184298E+04;  0.000000E+00; -0.185401E+04
  0.496330E+04;  0.115039E+04;  0.406669E-01;  0.618179E+04;  0.497076E+03; -0.110342E+02; -0.184338E+04;  0.000000E+00; -0.185441E+04
  0.502436E+04;  0.113894E+04;  0.425553E-01;  0.618547E+04;  0.497488E+03; -0.110379E+02; -0.184435E+04;  0.000000E+00; -0.185539E+04
  0.486587E+04;  0.117032E+04;  0.326244E-01;  0.619183E+04;  0.497491E+03; -0.110381E+02; -0.184241E+04;  0.000000E+00; -0.185345E+04
  0.487274E+04;  0.119349E+04;  0.414593E-01;  0.618831E+04;  0.496775E+03; -0.110381E+02; -0.184237E+04;  0.000000E+00; -0.185341E+04
  0.488909E+04;  0.119018E+04;  0.469263E-01;  0.618348E+04;  0.496509E+03; -0.110374E+02; -0.184276E+04;  0.000000E+00; -0.185380E+04
  0.490330E+04;  0.117679E+04;  0.483975E-01;  0.618945E+04;  0.495390E+03; -0.110408E+02; -0.184252E+04;  0.000000E+00; -0.185356E+04
  0.487181E+04;  0.118278E+04;  0.462294E-01;  0.618675E+04;  0.496120E+03; -0.110386E+02; -0.184280E+04;  0.000000E+00; -0.185383E+04
