Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.700000E+04;  0.305000E+03;  0.284479E+00; -0.195236E+04;  0.000000E+00; -0.195208E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.700000E+04;  0.305000E+03;  0.283858E+00; -0.193268E+04;  0.000000E+00; -0.193240E+04
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.700000E+04;  0.305000E+03;  0.283739E+00; -0.193224E+04;  0.000000E+00; -0.193196E+04
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.700000E+04;  0.305000E+03;  0.282918E+00; -0.189756E+04;  0.000000E+00; -0.189728E+04
  0.581515E+04;  0.105107E+04;  0.195447E-01;  0.700000E+04;  0.305000E+03;  0.282912E+00; -0.188142E+04;  0.000000E+00; -0.188114E+04
  0.574524E+04;  0.105542E+04;  0.269606E-01;  0.700000E+04;  0.305000E+03;  0.280996E+00; -0.186676E+04;  0.000000E+00; -0.186647E+04
  0.574524E+04;  0.105218E+04;  0.241394E-01;  0.700000E+04;  0.305000E+03;  0.281797E+00; -0.186833E+04;  0.000000E+00; -0.186805E+04
  0.569333E+04;  0.106193E+04;  0.310198E-01;  0.700000E+04;  0.305000E+03;  0.279689E+00; -0.185739E+04;  0.000000E+00; -0.185711E+04
  0.561437E+04;  0.106576E+04;  0.375143E-01;  0.700000E+04;  0.305000E+03;  0.277216E+00; -0.184710E+04;  0.000000E+00; -0.184683E+04
  0.557313E+04;  0.109492E+04;  0.362296E-01;  0.700000E+04;  0.305000E+03;  0.277742E+00; -0.183886E+04;  0.000000E+00; -0.183859E+04
  0.547787E+04;  0.110275E+04;  0.339251E-01;  0.700000E+04;  0.305000E+03;  0.278640E+00; -0.183210E+04;  0.000000E+00; -0.183182E+04
  0.543280E+04;  0.111420E+04;  0.363442E-01;  0.700000E+04;  0.305000E+03;  0.277696E+00; -0.182865E+04;  0.000000E+00; -0.182837E+04
  0.543280E+04;  0.113728E+04;  0.350287E-01;  0.700000E+04;  0.305000E+03;  0.278218E+00; -0.182623E+04;  0.000000E+00; -0.182595E+04
  0.538958E+04;  0.114411E+04;  0.404307E-01;  0.700000E+04;  0.305000E+03;  0.275953E+00; -0.182417E+04;  0.000000E+00; -0.182389E+04
  0.532328E+04;  0.113671E+04;  0.387088E-01;  0.700000E+04;  0.305000E+03;  0.276710E+00; -0.182381E+04;  0.000000E+00; -0.182354E+04
  0.525046E+04;  0.113234E+04;  0.382138E-01;  0.700000E+04;  0.305000E+03;  0.276922E+00; -0.182409E+04;  0.000000E+00; -0.182381E+04
  0.530245E+04;  0.116352E+04;  0.357031E-01;  0.700000E+04;  0.305000E+03;  0.277953E+00; -0.182141E+04;  0.000000E+00; -0.182113E+04
  0.534762E+04;  0.116352E+04;  0.409070E-01;  0.700000E+04;  0.305000E+03;  0.275738E+00; -0.182179E+04;  0.000000E+00; -0.182151E+04
  0.532341E+04;  0.116340E+04;  0.418357E-01;  0.700000E+04;  0.305000E+03;  0.275311E+00; -0.182153E+04;  0.000000E+00; -0.182126E+04
  0.536184E+04;  0.117223E+04;  0.456189E-01;  0.700000E+04;  0.305000E+03;  0.273473E+00; -0.182129E+04;  0.000000E+00; -0.182102E+04
  0.529051E+04;  0.117798E+04;  0.450343E-01;  0.700000E+04;  0.305000E+03;  0.273767E+00; -0.182035E+04;  0.000000E+00; -0.182007E+04
  0.516562E+04;  0.116976E+04;  0.399333E-01;  0.700000E+04;  0.305000E+03;  0.276175E+00; -0.182211E+04;  0.000000E+00; -0.182183E+04
  0.517536E+04;  0.115458E+04;  0.333788E-01;  0.700000E+04;  0.305000E+03;  0.278845E+00; -0.182291E+04;  0.000000E+00; -0.182263E+04
  0.524463E+04;  0.115608E+04;  0.323542E-01;  0.700000E+04;  0.305000E+03;  0.279219E+00; -0.182197E+04;  0.000000E+00; -0.182169E+04
  0.524636E+04;  0.114398E+04;  0.322139E-01;  0.700000E+04;  0.305000E+03;  0.279269E+00; -0.182297E+04;  0.000000E+00; -0.182269E+04
  0.525900E+04;  0.116767E+04;  0.269157E-01;  0.700000E+04;  0.305000E+03;  0.281010E+00; -0.182106E+04;  0.000000E+00; -0.182078E+04
  0.523958E+04;  0.117455E+04;  0.189189E-01;  0.700000E+04;  0.305000E+03;  0.283046E+00; -0.182070E+04;  0.000000E+00; -0.182042E+04
  0.535854E+04;  0.118973E+04;  0.217394E-01;  0.700000E+04;  0.305000E+03;  0.282409E+00; -0.182067E+04;  0.000000E+00; -0.182039E+04
  0.534126E+04;  0.121102E+04;  0.172860E-01;  0.700000E+04;  0.305000E+03;  0.283374E+00; -0.181938E+04;  0.000000E+00; -0.181910E+04
  0.544292E+04;  0.122169E+04;  0.897039E-02;  0.700000E+04;  0.305000E+03;  0.284587E+00; -0.182211E+04;  0.000000E+00; -0.182183E+04
  0.535580E+04;  0.123503E+04;  0.154143E-01;  0.700000E+04;  0.305000E+03;  0.283714E+00; -0.181869E+04;  0.000000E+00; -0.181840E+04
  0.519412E+04;  0.121360E+04;  0.188837E-01;  0.700000E+04;  0.305000E+03;  0.283053E+00; -0.181879E+04;  0.000000E+00; -0.181851E+04
  0.525310E+04;  0.122322E+04;  0.280593E-01;  0.700000E+04;  0.305000E+03;  0.280660E+00; -0.181791E+04;  0.000000E+00; -0.181762E+04
  0.520943E+04;  0.120154E+04;  0.238641E-01;  0.700000E+04;  0.305000E+03;  0.281870E+00; -0.181921E+04;  0.000000E+00; -0.181893E+04
  0.529855E+04;  0.119615E+04;  0.256125E-01;  0.700000E+04;  0.305000E+03;  0.281390E+00; -0.181939E+04;  0.000000E+00; -0.181911E+04
  0.523776E+04;  0.120988E+04;  0.284295E-01;  0.700000E+04;  0.305000E+03;  0.280544E+00; -0.181857E+04;  0.000000E+00; -0.181829E+04
  0.529885E+04;  0.121256E+04;  0.350472E-01;  0.700000E+04;  0.305000E+03;  0.278210E+00; -0.181837E+04;  0.000000E+00; -0.181810E+04
  0.534332E+04;  0.117479E+04;  0.299408E-01;  0.700000E+04;  0.305000E+03;  0.280054E+00; -0.182110E+04;  0.000000E+00; -0.182082E+04
  0.536474E+04;  0.117783E+04;  0.294375E-01;  0.700000E+04;  0.305000E+03;  0.280220E+00; -0.182128E+04;  0.000000E+00; -0.182100E+04
  0.540776E+04;  0.119414E+04;  0.381971E-01;  0.700000E+04;  0.305000E+03;  0.276929E+00; -0.182091E+04;  0.000000E+00; -0.182063E+04
  0.540538E+04;  0.119414E+04;  0.304547E-01;  0.700000E+04;  0.305000E+03;  0.279882E+00; -0.182113E+04;  0.000000E+00; -0.182085E+04
  0.540538E+04;  0.119788E+04;  0.252016E-01;  0.700000E+04;  0.305000E+03;  0.281506E+00; -0.182114E+04;  0.000000E+00; -0.182086E+04
  0.528899E+04;  0.122775E+04;  0.250296E-01;  0.700000E+04;  0.305000E+03;  0.281554E+00; -0.181783E+04;  0.000000E+00; -0.181755E+04
  0.521425E+04;  0.123471E+04;  0.245002E-01;  0.700000E+04;  0.305000E+03;  0.281699E+00; -0.181767E+04;  0.000000E+00; -0.181738E+04
  0.533734E+04;  0.124536E+04;  0.293145E-01;  0.700000E+04;  0.305000E+03;  0.280260E+00; -0.181750E+04;  0.000000E+00; -0.181722E+04
  0.533806E+04;  0.125859E+04;  0.255930E-01;  0.700000E+04;  0.305000E+03;  0.281395E+00; -0.181724E+04;  0.000000E+00; -0.181695E+04
  0.535459E+04;  0.126971E+04;  0.300325E-01;  0.700000E+04;  0.305000E+03;  0.280023E+00; -0.181705E+04;  0.000000E+00; -0.181677E+04
  0.521916E+04;  0.125702E+04;  0.314745E-01;  0.700000E+04;  0.305000E+03;  0.279531E+00; -0.181683E+04;  0.000000E+00; -0.181655E+04
  0.522773E+04;  0.125639E+04;  0.350056E-01;  0.700000E+04;  0.305000E+03;  0.278227E+00; -0.181676E+04;  0.000000E+00; -0.181649E+04
  0.524352E+04;  0.127633E+04;  0.394117E-01;  0.700000E+04;  0.305000E+03;  0.276405E+00; -0.181614E+04;  0.000000E+00; -0.181586E+04
  0.526957E+04;  0.127139E+04;  0.480591E-01;  0.700000E+04;  0.305000E+03;  0.272203E+00; -0.181614E+04;  0.000000E+00; -0.181587E+04
  0.528213E+04;  0.127707E+04;  0.487214E-01;  0.700000E+04;  0.305000E+03;  0.271847E+00; -0.181599E+04;  0.000000E+00; -0.181572E+04
  0.527858E+04;  0.129038E+04;  0.507257E-01;  0.700000E+04;  0.305000E+03;  0.270739E+00; -0.181572E+04;  0.000000E+00; -0.181545E+04
  0.532462E+04;  0.128955E+04;  0.460907E-01;  0.700000E+04;  0.305000E+03;  0.273232E+00; -0.181594E+04;  0.000000E+00; -0.181567E+04
  0.538254E+04;  0.128299E+04;  0.537246E-01;  0.700000E+04;  0.305000E+03;  0.268999E+00; -0.181664E+04;  0.000000E+00; -0.181637E+04
  0.538569E+04;  0.124472E+04;  0.650706E-01;  0.700000E+04;  0.305000E+03;  0.261511E+00; -0.181770E+04;  0.000000E+00; -0.181744E+04
  0.526519E+04;  0.126386E+04;  0.523278E-01;  0.700000E+04;  0.305000E+03;  0.269822E+00; -0.181637E+04;  0.000000E+00; -0.181610E+04
  0.540502E+04;  0.128002E+04;  0.541641E-01;  0.700000E+04;  0.305000E+03;  0.268736E+00; -0.181710E+04;  0.000000E+00; -0.181683E+04
  0.543964E+04;  0.126005E+04;  0.587326E-01;  0.700000E+04;  0.305000E+03;  0.265870E+00; -0.181831E+04;  0.000000E+00; -0.181804E+04
  0.533393E+04;  0.124081E+04;  0.603062E-01;  0.700000E+04;  0.305000E+03;  0.264830E+00; -0.181729E+04;  0.000000E+00; -0.181703E+04
  0.539220E+04;  0.126616E+04;  0.569113E-01;  0.700000E+04;  0.305000E+03;  0.267040E+00; -0.181715E+04;  0.000000E+00; -0.181688E+04
  0.528635E+04;  0.127656E+04;  0.592583E-01;  0.700000E+04;  0.305000E+03;  0.265526E+00; -0.181604E+04;  0.000000E+00; -0.181577E+04
  0.532259E+04;  0.127532E+04;  0.537085E-01;  0.700000E+04;  0.305000E+03;  0.269009E+00; -0.181614E+04;  0.000000E+00; -0.181587E+04
  0.527219E+04;  0.127589E+04;  0.630513E-01;  0.700000E+04;  0.305000E+03;  0.262948E+00; -0.181613E+04;  0.000000E+00; -0.181587E+04
  0.538001E+04;  0.126925E+04;  0.627061E-01;  0.700000E+04;  0.305000E+03;  0.263190E+00; -0.181684E+04;  0.000000E+00; -0.181657E+04
  0.543967E+04;  0.127593E+04;  0.591319E-01;  0.700000E+04;  0.305000E+03;  0.265609E+00; -0.181788E+04;  0.000000E+00; -0.181761E+04
  0.543967E+04;  0.127289E+04;  0.556106E-01;  0.700000E+04;  0.305000E+03;  0.267854E+00; -0.181802E+04;  0.000000E+00; -0.181775E+04
  0.544923E+04;  0.125693E+04;  0.655427E-01;  0.700000E+04;  0.305000E+03;  0.261168E+00; -0.181856E+04;  0.000000E+00; -0.181830E+04
  0.544691E+04;  0.127653E+04;  0.599359E-01;  0.700000E+04;  0.305000E+03;  0.265077E+00; -0.181804E+04;  0.000000E+00; -0.181777E+04
  0.544691E+04;  0.128255E+04;  0.540127E-01;  0.700000E+04;  0.305000E+03;  0.268827E+00; -0.181804E+04;  0.000000E+00; -0.181777E+04
  0.548079E+04;  0.126638E+04;  0.484864E-01;  0.700000E+04;  0.305000E+03;  0.271974E+00; -0.181964E+04;  0.000000E+00; -0.181937E+04
  0.545872E+04;  0.128991E+04;  0.415279E-01;  0.700000E+04;  0.305000E+03;  0.275453E+00; -0.181867E+04;  0.000000E+00; -0.181839E+04
  0.538246E+04;  0.128292E+04;  0.398519E-01;  0.700000E+04;  0.305000E+03;  0.276211E+00; -0.181695E+04;  0.000000E+00; -0.181667E+04
  0.521492E+04;  0.128635E+04;  0.441876E-01;  0.700000E+04;  0.305000E+03;  0.274187E+00; -0.181611E+04;  0.000000E+00; -0.181584E+04
  0.527652E+04;  0.128490E+04;  0.450326E-01;  0.700000E+04;  0.305000E+03;  0.273768E+00; -0.181585E+04;  0.000000E+00; -0.181557E+04
  0.526634E+04;  0.129885E+04;  0.336039E-01;  0.700000E+04;  0.305000E+03;  0.278761E+00; -0.181577E+04;  0.000000E+00; -0.181549E+04
  0.525715E+04;  0.127962E+04;  0.380618E-01;  0.700000E+04;  0.305000E+03;  0.276986E+00; -0.181603E+04;  0.000000E+00; -0.181575E+04
  0.526490E+04;  0.129594E+04;  0.314270E-01;  0.700000E+04;  0.305000E+03;  0.279547E+00; -0.181585E+04;  0.000000E+00; -0.181557E+04
  0.511950E+04;  0.128724E+04;  0.325143E-01;  0.700000E+04;  0.305000E+03;  0.279161E+00; -0.181754E+04;  0.000000E+00; -0.181726E+04
  0.511950E+04;  0.128205E+04;  0.274916E-01;  0.700000E+04;  0.305000E+03;  0.280835E+00; -0.181764E+04;  0.000000E+00; -0.181736E+04
  0.522846E+04;  0.124796E+04;  0.338062E-01;  0.700000E+04;  0.305000E+03;  0.278685E+00; -0.181703E+04;  0.000000E+00; -0.181675E+04
  0.528537E+04;  0.125864E+04;  0.377011E-01;  0.700000E+04;  0.305000E+03;  0.277138E+00; -0.181655E+04;  0.000000E+00; -0.181627E+04
  0.525020E+04;  0.126979E+04;  0.374340E-01;  0.700000E+04;  0.305000E+03;  0.277249E+00; -0.181628E+04;  0.000000E+00; -0.181600E+04
  0.523642E+04;  0.127165E+04;  0.491875E-01;  0.700000E+04;  0.305000E+03;  0.271593E+00; -0.181629E+04;  0.000000E+00; -0.181602E+04
  0.523642E+04;  0.126750E+04;  0.425315E-01;  0.700000E+04;  0.305000E+03;  0.274985E+00; -0.181638E+04;  0.000000E+00; -0.181610E+04
  0.526600E+04;  0.124119E+04;  0.361675E-01;  0.700000E+04;  0.305000E+03;  0.277767E+00; -0.181710E+04;  0.000000E+00; -0.181683E+04
  0.523154E+04;  0.124468E+04;  0.372916E-01;  0.700000E+04;  0.305000E+03;  0.277308E+00; -0.181711E+04;  0.000000E+00; -0.181683E+04
  0.523108E+04;  0.126314E+04;  0.361295E-01;  0.700000E+04;  0.305000E+03;  0.277782E+00; -0.181655E+04;  0.000000E+00; -0.181627E+04
  0.518247E+04;  0.126299E+04;  0.341596E-01;  0.700000E+04;  0.305000E+03;  0.278552E+00; -0.181704E+04;  0.000000E+00; -0.181676E+04
  0.525476E+04;  0.125115E+04;  0.301215E-01;  0.700000E+04;  0.305000E+03;  0.279994E+00; -0.181685E+04;  0.000000E+00; -0.181657E+04
  0.525476E+04;  0.124796E+04;  0.250264E-01;  0.700000E+04;  0.305000E+03;  0.281555E+00; -0.181703E+04;  0.000000E+00; -0.181675E+04
  0.529078E+04;  0.123850E+04;  0.332075E-01;  0.700000E+04;  0.305000E+03;  0.278908E+00; -0.181727E+04;  0.000000E+00; -0.181699E+04
  0.523096E+04;  0.123273E+04;  0.217117E-01;  0.700000E+04;  0.305000E+03;  0.282415E+00; -0.181768E+04;  0.000000E+00; -0.181739E+04
  0.508547E+04;  0.123719E+04;  0.157373E-01;  0.700000E+04;  0.305000E+03;  0.283658E+00; -0.181979E+04;  0.000000E+00; -0.181950E+04
  0.508547E+04;  0.124710E+04;  0.222162E-01;  0.700000E+04;  0.305000E+03;  0.282292E+00; -0.181946E+04;  0.000000E+00; -0.181917E+04
  0.510841E+04;  0.127959E+04;  0.204131E-01;  0.700000E+04;  0.305000E+03;  0.282719E+00; -0.181794E+04;  0.000000E+00; -0.181766E+04
  0.518513E+04;  0.131980E+04;  0.141890E-01;  0.700000E+04;  0.305000E+03;  0.283916E+00; -0.181633E+04;  0.000000E+00; -0.181605E+04
  0.529712E+04;  0.133483E+04;  0.220685E-01;  0.700000E+04;  0.305000E+03;  0.282329E+00; -0.181599E+04;  0.000000E+00; -0.181571E+04
  0.522653E+04;  0.134472E+04;  0.201505E-01;  0.700000E+04;  0.305000E+03;  0.282778E+00; -0.181591E+04;  0.000000E+00; -0.181562E+04
  0.531891E+04;  0.136495E+04;  0.221355E-01;  0.700000E+04;  0.305000E+03;  0.282312E+00; -0.181633E+04;  0.000000E+00; -0.181605E+04
  0.517631E+04;  0.135501E+04;  0.195634E-01;  0.700000E+04;  0.305000E+03;  0.282908E+00; -0.181626E+04;  0.000000E+00; -0.181598E+04
  0.519961E+04;  0.137105E+04;  0.136295E-01;  0.700000E+04;  0.305000E+03;  0.284002E+00; -0.181637E+04;  0.000000E+00; -0.181609E+04
  0.523522E+04;  0.134911E+04;  0.180629E-01;  0.700000E+04;  0.305000E+03;  0.283222E+00; -0.181597E+04;  0.000000E+00; -0.181568E+04
  0.523522E+04;  0.136264E+04;  0.165693E-01;  0.700000E+04;  0.305000E+03;  0.283509E+00; -0.181610E+04;  0.000000E+00; -0.181581E+04
  0.521922E+04;  0.131880E+04;  0.153219E-01;  0.700000E+04;  0.305000E+03;  0.283730E+00; -0.181610E+04;  0.000000E+00; -0.181582E+04
  0.515098E+04;  0.128389E+04;  0.228505E-01;  0.700000E+04;  0.305000E+03;  0.282133E+00; -0.181704E+04;  0.000000E+00; -0.181676E+04
  0.522328E+04;  0.128818E+04;  0.307424E-01;  0.700000E+04;  0.305000E+03;  0.279784E+00; -0.181609E+04;  0.000000E+00; -0.181581E+04
  0.532485E+04;  0.128525E+04;  0.409549E-01;  0.700000E+04;  0.305000E+03;  0.275716E+00; -0.181610E+04;  0.000000E+00; -0.181583E+04
  0.524030E+04;  0.129039E+04;  0.443697E-01;  0.700000E+04;  0.305000E+03;  0.274097E+00; -0.181585E+04;  0.000000E+00; -0.181557E+04
  0.532568E+04;  0.128396E+04;  0.498203E-01;  0.700000E+04;  0.305000E+03;  0.271245E+00; -0.181601E+04;  0.000000E+00; -0.181573E+04
  0.527545E+04;  0.130351E+04;  0.491661E-01;  0.700000E+04;  0.305000E+03;  0.271605E+00; -0.181552E+04;  0.000000E+00; -0.181525E+04
  0.528346E+04;  0.130982E+04;  0.428849E-01;  0.700000E+04;  0.305000E+03;  0.274817E+00; -0.181552E+04;  0.000000E+00; -0.181525E+04
  0.519912E+04;  0.132538E+04;  0.387873E-01;  0.700000E+04;  0.305000E+03;  0.276676E+00; -0.181576E+04;  0.000000E+00; -0.181548E+04
  0.528853E+04;  0.130125E+04;  0.492375E-01;  0.700000E+04;  0.305000E+03;  0.271566E+00; -0.181556E+04;  0.000000E+00; -0.181529E+04
  0.532377E+04;  0.131500E+04;  0.535056E-01;  0.700000E+04;  0.305000E+03;  0.269130E+00; -0.181552E+04;  0.000000E+00; -0.181525E+04
  0.517167E+04;  0.127242E+04;  0.522171E-01;  0.700000E+04;  0.305000E+03;  0.269886E+00; -0.181713E+04;  0.000000E+00; -0.181686E+04
  0.517167E+04;  0.126599E+04;  0.479868E-01;  0.700000E+04;  0.305000E+03;  0.272241E+00; -0.181724E+04;  0.000000E+00; -0.181697E+04
  0.527939E+04;  0.130003E+04;  0.484828E-01;  0.700000E+04;  0.305000E+03;  0.271975E+00; -0.181557E+04;  0.000000E+00; -0.181530E+04
  0.521761E+04;  0.133020E+04;  0.534089E-01;  0.700000E+04;  0.305000E+03;  0.269187E+00; -0.181551E+04;  0.000000E+00; -0.181524E+04
  0.531554E+04;  0.136470E+04;  0.543092E-01;  0.700000E+04;  0.305000E+03;  0.268648E+00; -0.181541E+04;  0.000000E+00; -0.181514E+04
  0.528791E+04;  0.134139E+04;  0.515368E-01;  0.700000E+04;  0.305000E+03;  0.270278E+00; -0.181525E+04;  0.000000E+00; -0.181498E+04
  0.516113E+04;  0.134669E+04;  0.544590E-01;  0.700000E+04;  0.305000E+03;  0.268558E+00; -0.181610E+04;  0.000000E+00; -0.181583E+04
  0.519502E+04;  0.134912E+04;  0.545677E-01;  0.700000E+04;  0.305000E+03;  0.268492E+00; -0.181564E+04;  0.000000E+00; -0.181537E+04
  0.527605E+04;  0.133101E+04;  0.455512E-01;  0.700000E+04;  0.305000E+03;  0.273507E+00; -0.181533E+04;  0.000000E+00; -0.181506E+04
  0.519077E+04;  0.132371E+04;  0.429649E-01;  0.700000E+04;  0.305000E+03;  0.274779E+00; -0.181583E+04;  0.000000E+00; -0.181556E+04
  0.518454E+04;  0.130669E+04;  0.440157E-01;  0.700000E+04;  0.305000E+03;  0.274271E+00; -0.181610E+04;  0.000000E+00; -0.181583E+04
  0.520708E+04;  0.132098E+04;  0.423807E-01;  0.700000E+04;  0.305000E+03;  0.275056E+00; -0.181569E+04;  0.000000E+00; -0.181542E+04
  0.521499E+04;  0.133178E+04;  0.465342E-01;  0.700000E+04;  0.305000E+03;  0.273004E+00; -0.181553E+04;  0.000000E+00; -0.181526E+04
  0.521499E+04;  0.134865E+04;  0.469172E-01;  0.700000E+04;  0.305000E+03;  0.272805E+00; -0.181548E+04;  0.000000E+00; -0.181521E+04
  0.524580E+04;  0.134507E+04;  0.469741E-01;  0.700000E+04;  0.305000E+03;  0.272776E+00; -0.181532E+04;  0.000000E+00; -0.181505E+04
  0.528235E+04;  0.129338E+04;  0.312434E-01;  0.700000E+04;  0.305000E+03;  0.279611E+00; -0.181592E+04;  0.000000E+00; -0.181564E+04
  0.530294E+04;  0.133189E+04;  0.327167E-01;  0.700000E+04;  0.305000E+03;  0.279088E+00; -0.181570E+04;  0.000000E+00; -0.181542E+04
  0.524036E+04;  0.136815E+04;  0.363011E-01;  0.700000E+04;  0.305000E+03;  0.277713E+00; -0.181559E+04;  0.000000E+00; -0.181531E+04
  0.512157E+04;  0.135961E+04;  0.377207E-01;  0.700000E+04;  0.305000E+03;  0.277130E+00; -0.181675E+04;  0.000000E+00; -0.181647E+04
  0.512157E+04;  0.136319E+04;  0.457826E-01;  0.700000E+04;  0.305000E+03;  0.273390E+00; -0.181672E+04;  0.000000E+00; -0.181645E+04
  0.519301E+04;  0.134485E+04;  0.430480E-01;  0.700000E+04;  0.305000E+03;  0.274739E+00; -0.181570E+04;  0.000000E+00; -0.181543E+04
  0.527338E+04;  0.131557E+04;  0.442063E-01;  0.700000E+04;  0.305000E+03;  0.274178E+00; -0.181544E+04;  0.000000E+00; -0.181516E+04
  0.518785E+04;  0.131743E+04;  0.539673E-01;  0.700000E+04;  0.305000E+03;  0.268854E+00; -0.181597E+04;  0.000000E+00; -0.181570E+04
  0.520458E+04;  0.130526E+04;  0.585566E-01;  0.700000E+04;  0.305000E+03;  0.265985E+00; -0.181599E+04;  0.000000E+00; -0.181572E+04
  0.525423E+04;  0.130931E+04;  0.591022E-01;  0.700000E+04;  0.305000E+03;  0.265628E+00; -0.181550E+04;  0.000000E+00; -0.181524E+04
  0.525951E+04;  0.130945E+04;  0.633919E-01;  0.700000E+04;  0.305000E+03;  0.262709E+00; -0.181551E+04;  0.000000E+00; -0.181525E+04
  0.536986E+04;  0.131675E+04;  0.582555E-01;  0.700000E+04;  0.305000E+03;  0.266180E+00; -0.181593E+04;  0.000000E+00; -0.181566E+04
  0.524214E+04;  0.135061E+04;  0.563644E-01;  0.700000E+04;  0.305000E+03;  0.267385E+00; -0.181527E+04;  0.000000E+00; -0.181500E+04
  0.526480E+04;  0.137135E+04;  0.581789E-01;  0.700000E+04;  0.305000E+03;  0.266230E+00; -0.181525E+04;  0.000000E+00; -0.181499E+04
  0.526042E+04;  0.137138E+04;  0.634256E-01;  0.700000E+04;  0.305000E+03;  0.262685E+00; -0.181523E+04;  0.000000E+00; -0.181497E+04
  0.527653E+04;  0.134023E+04;  0.657461E-01;  0.700000E+04;  0.305000E+03;  0.261020E+00; -0.181519E+04;  0.000000E+00; -0.181493E+04
  0.518796E+04;  0.136638E+04;  0.614294E-01;  0.700000E+04;  0.305000E+03;  0.264070E+00; -0.181572E+04;  0.000000E+00; -0.181546E+04
