"Pr" "Mp" "Q_2" "Q_9"
1.01 3114.913 2639.91 3368.984
1.011 3145.009 2675.738 3397.018
1.012 3173.022 2709.261 3423.138
1.013 3199.262 2740.524 3447.692
1.014 3223.973 2769.991 3470.848
1.015 3247.35 2797.797 3492.697
1.016 3269.554 2824.177 3513.56
1.017 3290.716 2849.251 3533.375
1.018 3310.946 2873.152 3552.332
1.019 3330.338 2896.019 3570.497
1.02 3348.971 2918.041 3588.082
1.021 3366.913 2939.156 3605.05
1.022 3384.223 2959.52 3621.373
1.024 3400.954 2979.158 3637.122
1.025 3417.15 2998.159 3652.434
1.026 3432.853 3016.729 3667.267
1.027 3448.097 3034.474 3681.66
1.028 3462.915 3051.913 3695.702
1.029 3477.335 3068.75 3709.374
1.03 3491.383 3085.198 3722.722
1.031 3505.082 3101.076 3735.769
1.032 3518.453 3116.724 3748.513
1.033 3531.515 3131.904 3760.974
1.034 3544.286 3146.795 3773.127
1.035 3556.781 3161.393 3784.994
1.036 3569.016 3175.712 3796.681
1.037 3581.004 3189.614 3808.12
1.038 3592.757 3203.18 3819.332
1.04 3604.286 3216.441 3830.308
1.041 3615.604 3229.491 3841.097
1.042 3626.718 3242.276 3851.665
1.043 3637.639 3254.867 3862.176
1.044 3648.375 3267.133 3872.398
1.045 3658.935 3279.293 3882.551
1.046 3669.325 3291.198 3892.511
1.047 3679.552 3302.926 3902.275
1.048 3689.624 3314.352 3911.88
1.049 3699.546 3325.713 3921.366
1.05 3709.324 3336.923 3930.825
1.052 3718.963 3347.995 3940.053
1.053 3728.469 3359.001 3949.2
1.054 3737.847 3369.807 3958.292
1.055 3747.101 3380.384 3967.205
1.056 3756.236 3390.767 3976.007
1.057 3765.255 3401.065 3984.655
1.058 3774.162 3411.263 3993.284
1.059 3782.962 3421.217 4001.727
1.06 3791.657 3431.098 4010.147
1.062 3800.252 3440.834 4018.472
1.063 3808.749 3450.513 4026.623
1.064 3817.151 3460.077 4034.667
1.065 3825.461 3469.498 4042.695
1.066 3833.682 3478.725 4050.658
1.067 3841.817 3487.912 4058.484
1.068 3849.868 3497.016 4066.275
1.07 3857.837 3506.007 4073.95
1.071 3865.727 3514.927 4081.548
1.072 3873.54 3523.815 4089.068
1.073 3881.278 3532.538 4096.619
1.074 3888.944 3541.207 4104.034
1.075 3896.538 3549.69 4111.424
1.076 3904.063 3558.293 4118.721
1.078 3911.521 3566.777 4125.957
1.079 3918.913 3575.025 4133.102
1.08 3926.242 3583.28 4140.236
1.081 3933.508 3591.47 4147.255
1.082 3940.713 3599.565 4154.206
1.083 3947.859 3607.551 4161.198
1.085 3954.947 3615.52 4168.076
1.086 3961.979 3623.35 4174.878
1.087 3968.955 3631.242 4181.663
1.088 3975.878 3639.014 4188.451
1.089 3982.748 3646.708 4195.146
1.091 3989.566 3654.403 4201.755
1.092 3996.334 3661.957 4208.346
1.093 4003.053 3669.469 4214.851
1.094 4009.724 3676.944 4221.327
1.095 4016.347 3684.369 4227.775
1.096 4022.925 3691.693 4234.151
1.098 4029.457 3698.962 4240.507
1.099 4035.945 3706.305 4246.833
1.1 4042.39 3713.463 4253.132
1.101 4048.793 3720.597 4259.367
1.103 4055.154 3727.702 4265.561
1.104 4061.474 3734.72 4271.8
1.105 4067.755 3741.735 4277.97
1.106 4073.996 3748.656 4284.041
1.107 4080.2 3755.532 4290.129
1.109 4086.365 3762.418 4296.106
1.11 4092.494 3769.274 4302.1
1.111 4098.587 3776.034 4307.996
1.112 4104.644 3782.752 4313.882
1.114 4110.666 3789.478 4319.769
1.115 4116.654 3796.159 4325.645
1.116 4122.609 3802.803 4331.462
1.117 4128.531 3809.431 4337.281
1.119 4134.42 3816.02 4343.071
1.12 4140.278 3822.532 4348.796
1.121 4146.104 3829.025 4354.471
1.122 4151.9 3835.399 4360.149
1.124 4157.666 3841.784 4365.782
1.125 4163.402 3848.097 4371.376
1.126 4169.109 3854.481 4376.977
1.127 4174.787 3860.745 4382.513
1.129 4180.438 3866.974 4388.096
1.13 4186.06 3873.184 4393.604
1.131 4191.656 3879.37 4399.077
1.133 4197.225 3885.585 4404.525
1.134 4202.767 3891.68 4409.953
1.135 4208.284 3897.728 4415.373
1.136 4213.776 3903.747 4420.744
1.138 4219.242 3909.747 4426.111
1.139 4224.684 3915.824 4431.477
1.14 4230.101 3921.834 4436.795
1.142 4235.495 3927.773 4442.117
1.143 4240.865 3933.685 4447.407
1.144 4246.212 3939.552 4452.641
1.145 4251.536 3945.346 4457.898
1.147 4256.838 3951.16 4463.126
1.148 4262.118 3956.928 4468.271
1.149 4267.376 3962.742 4473.438
1.151 4272.612 3968.471 4478.599
1.152 4277.828 3974.159 4483.797
1.153 4283.023 3979.915 4488.877
1.155 4288.197 3985.574 4493.978
1.156 4293.351 3991.266 4499.059
1.157 4298.486 3996.874 4504.091
1.159 4303.6 4002.446 4509.145
1.16 4308.696 4008.03 4514.184
1.161 4313.772 4013.584 4519.189
1.163 4318.83 4019.094 4524.176
1.164 4323.869 4024.56 4529.101
1.166 4328.89 4030.103 4534.037
1.167 4333.893 4035.574 4538.957
1.168 4338.878 4041.053 4543.887
1.17 4343.846 4046.432 4548.782
1.171 4348.797 4051.79 4553.678
1.172 4353.73 4057.153 4558.565
1.174 4358.647 4062.469 4563.39
1.175 4363.547 4067.79 4568.214
1.176 4368.431 4073.107 4573.023
1.178 4373.299 4078.494 4577.825
1.179 4378.151 4083.786 4582.605
1.181 4382.988 4089.034 4587.422
1.182 4387.809 4094.282 4592.158
1.183 4392.614 4099.53 4596.887
1.185 4397.405 4104.777 4601.604
1.186 4402.181 4109.993 4606.343
1.188 4406.942 4115.142 4611.052
1.189 4411.689 4120.29 4615.722
1.19 4416.421 4125.455 4620.369
1.192 4421.139 4130.552 4625.017
1.193 4425.844 4135.687 4629.675
1.195 4430.534 4140.76 4634.323
1.196 4435.212 4145.796 4638.95
1.198 4439.875 4150.823 4643.533
1.199 4444.526 4155.905 4648.14
1.2 4449.163 4160.925 4652.771
1.202 4453.788 4165.889 4657.328
1.203 4458.4 4170.872 4661.894
1.205 4462.999 4175.887 4666.435
1.206 4467.586 4180.832 4670.948
1.208 4472.161 4185.79 4675.484
1.209 4476.723 4190.693 4680.03
1.211 4481.274 4195.641 4684.509
1.212 4485.813 4200.514 4688.991
1.214 4490.34 4205.429 4693.522
1.215 4494.856 4210.331 4698.045
1.217 4499.36 4215.256 4702.5
1.218 4503.853 4220.123 4706.96
1.22 4508.335 4224.951 4711.417
1.221 4512.806 4229.768 4715.832
1.222 4517.266 4234.642 4720.273
1.224 4521.715 4239.445 4724.676
1.225 4526.154 4244.256 4729.103
1.227 4530.583 4249.022 4733.474
1.229 4535.001 4253.784 4737.849
1.23 4539.408 4258.504 4742.171
1.232 4543.806 4263.224 4746.558
1.233 4548.194 4267.986 4750.93
1.235 4552.572 4272.687 4755.231
1.236 4556.94 4277.424 4759.584
1.238 4561.299 4282.131 4763.893
1.239 4565.648 4286.788 4768.209
1.241 4569.987 4291.433 4772.551
1.242 4574.318 4296.084 4776.849
1.244 4578.639 4300.661 4781.167
1.245 4582.951 4305.283 4785.516
1.247 4587.254 4309.942 4789.801
1.248 4591.548 4314.518 4794.019
1.25 4595.834 4319.111 4798.247
1.252 4600.111 4323.703 4802.481
1.253 4604.379 4328.291 4806.717
1.255 4608.639 4332.876 4810.999
1.256 4612.891 4337.401 4815.246
1.258 4617.134 4341.933 4819.499
1.259 4621.369 4346.475 4823.732
1.261 4625.596 4351.027 4827.951
1.263 4629.815 4355.598 4832.135
1.264 4634.026 4360.12 4836.279
1.266 4638.229 4364.633 4840.466
1.267 4642.425 4369.083 4844.7
1.269 4646.613 4373.579 4848.886
1.271 4650.793 4378.028 4853.035
1.272 4654.966 4382.477 4857.218
1.274 4659.132 4386.88 4861.379
1.276 4663.29 4391.323 4865.509
1.277 4667.441 4395.737 4869.663
1.279 4671.585 4400.165 4873.791
1.28 4675.722 4404.532 4877.885
1.282 4679.852 4408.977 4881.974
1.284 4683.975 4413.403 4886.062
1.285 4688.091 4417.796 4890.113
1.287 4692.201 4422.175 4894.261
1.289 4696.303 4426.562 4898.363
1.29 4700.4 4430.955 4902.432
1.292 4704.489 4435.293 4906.483
1.294 4708.573 4439.703 4910.581
1.295 4712.65 4444.031 4914.639
1.297 4716.721 4448.366 4918.718
1.299 4720.785 4452.673 4922.786
1.3 4724.843 4456.985 4926.799
1.302 4728.896 4461.277 4930.861
1.304 4732.942 4465.59 4934.909
1.305 4736.982 4469.85 4938.945
1.307 4741.017 4474.119 4942.977
1.309 4745.045 4478.359 4946.978
1.311 4749.068 4482.57 4951.015
1.312 4753.086 4486.821 4954.974
1.314 4757.097 4491.086 4958.974
1.316 4761.103 4495.404 4962.999
1.318 4765.104 4499.573 4966.976
1.319 4769.099 4503.84 4970.973
1.321 4773.089 4508.098 4974.99
1.323 4777.074 4512.319 4978.97
1.325 4781.053 4516.527 4982.947
1.326 4785.027 4520.703 4986.92
1.328 4788.996 4524.868 4990.892
1.33 4792.96 4529.026 4994.877
1.332 4796.919 4533.199 4998.87
1.333 4800.873 4537.347 5002.821
1.335 4804.822 4541.49 5006.784
1.337 4808.767 4545.689 5010.737
1.339 4812.706 4549.839 5014.649
1.34 4816.641 4553.993 5018.587
1.342 4820.572 4558.173 5022.568
1.344 4824.497 4562.307 5026.511
1.346 4828.418 4566.436 5030.442
1.348 4832.335 4570.583 5034.368
1.35 4836.247 4574.67 5038.275
1.351 4840.155 4578.797 5042.22
1.353 4844.058 4582.956 5046.144
1.355 4847.957 4587.051 5050.07
1.357 4851.852 4591.148 5053.976
1.359 4855.743 4595.272 5057.868
1.361 4859.63 4599.35 5061.747
1.362 4863.512 4603.429 5065.615
1.364 4867.391 4607.519 5069.484
1.366 4871.265 4611.614 5073.355
1.368 4875.136 4615.734 5077.253
1.37 4879.002 4619.805 5081.12
1.372 4882.865 4623.825 5084.999
1.374 4886.724 4627.882 5088.853
1.376 4890.58 4631.95 5092.698
1.377 4894.431 4635.942 5096.594
1.379 4898.279 4640.002 5100.502
1.381 4902.124 4644.043 5104.308
