Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.700000E+04;  0.305000E+03; -0.625943E+01; -0.197435E+04;  0.000000E+00; -0.198061E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.700000E+04;  0.308314E+03; -0.626005E+01; -0.195304E+04;  0.000000E+00; -0.195930E+04
  0.589980E+04;  0.101883E+04;  0.223482E-01;  0.700000E+04;  0.305448E+03; -0.626165E+01; -0.192676E+04;  0.000000E+00; -0.193302E+04
  0.589205E+04;  0.102196E+04;  0.259044E-01;  0.700000E+04;  0.305448E+03; -0.626261E+01; -0.192165E+04;  0.000000E+00; -0.192791E+04
  0.581811E+04;  0.102564E+04;  0.255150E-01;  0.700000E+04;  0.305448E+03; -0.626249E+01; -0.190423E+04;  0.000000E+00; -0.191049E+04
  0.572090E+04;  0.102564E+04;  0.268157E-01;  0.700000E+04;  0.305448E+03; -0.626287E+01; -0.188630E+04;  0.000000E+00; -0.189256E+04
  0.566367E+04;  0.103652E+04;  0.235604E-01;  0.700000E+04;  0.305550E+03; -0.626196E+01; -0.187544E+04;  0.000000E+00; -0.188170E+04
  0.550446E+04;  0.104035E+04;  0.278750E-01;  0.700000E+04;  0.314447E+03; -0.626319E+01; -0.185691E+04;  0.000000E+00; -0.186317E+04
  0.541100E+04;  0.105304E+04;  0.233963E-01;  0.700000E+04;  0.314588E+03; -0.626192E+01; -0.184849E+04;  0.000000E+00; -0.185475E+04
  0.536422E+04;  0.106840E+04;  0.319691E-01;  0.700000E+04;  0.318067E+03; -0.626456E+01; -0.184319E+04;  0.000000E+00; -0.184946E+04
  0.531418E+04;  0.107913E+04;  0.317282E-01;  0.700000E+04;  0.317977E+03; -0.626447E+01; -0.184006E+04;  0.000000E+00; -0.184632E+04
  0.511860E+04;  0.109083E+04;  0.249620E-01;  0.700000E+04;  0.321862E+03; -0.626234E+01; -0.183815E+04;  0.000000E+00; -0.184442E+04
  0.515308E+04;  0.109095E+04;  0.246276E-01;  0.700000E+04;  0.321648E+03; -0.626225E+01; -0.183758E+04;  0.000000E+00; -0.184385E+04
  0.513741E+04;  0.111496E+04;  0.231003E-01;  0.700000E+04;  0.320383E+03; -0.626184E+01; -0.183473E+04;  0.000000E+00; -0.184099E+04
  0.521571E+04;  0.111541E+04;  0.220285E-01;  0.700000E+04;  0.319864E+03; -0.626157E+01; -0.183411E+04;  0.000000E+00; -0.184037E+04
  0.529211E+04;  0.112998E+04;  0.244765E-01;  0.700000E+04;  0.315884E+03; -0.626221E+01; -0.183302E+04;  0.000000E+00; -0.183928E+04
  0.522078E+04;  0.113795E+04;  0.208917E-01;  0.700000E+04;  0.313942E+03; -0.626130E+01; -0.183158E+04;  0.000000E+00; -0.183785E+04
  0.515409E+04;  0.113793E+04;  0.118767E-01;  0.700000E+04;  0.315342E+03; -0.625966E+01; -0.183186E+04;  0.000000E+00; -0.183812E+04
  0.518151E+04;  0.113822E+04;  0.837920E-02;  0.700000E+04;  0.314045E+03; -0.625927E+01; -0.183167E+04;  0.000000E+00; -0.183793E+04
  0.522169E+04;  0.113110E+04;  0.977404E-02;  0.700000E+04;  0.318994E+03; -0.625941E+01; -0.183250E+04;  0.000000E+00; -0.183876E+04
  0.517591E+04;  0.112639E+04;  0.562425E-02;  0.700000E+04;  0.321532E+03; -0.625905E+01; -0.183302E+04;  0.000000E+00; -0.183928E+04
  0.517091E+04;  0.113320E+04;  0.890627E-02;  0.700000E+04;  0.313274E+03; -0.625932E+01; -0.183222E+04;  0.000000E+00; -0.183848E+04
  0.523745E+04;  0.112777E+04;  0.162039E-01;  0.700000E+04;  0.311800E+03; -0.626034E+01; -0.183274E+04;  0.000000E+00; -0.183900E+04
  0.517448E+04;  0.113779E+04;  0.204865E-01;  0.700000E+04;  0.309433E+03; -0.626121E+01; -0.183175E+04;  0.000000E+00; -0.183801E+04
  0.513176E+04;  0.115733E+04;  0.180927E-01;  0.700000E+04;  0.308631E+03; -0.626070E+01; -0.183037E+04;  0.000000E+00; -0.183663E+04
  0.508581E+04;  0.115489E+04;  0.229756E-01;  0.700000E+04;  0.307067E+03; -0.626181E+01; -0.183172E+04;  0.000000E+00; -0.183799E+04
