"Pr" "Mp" "Q_2" "Q_9"
1.01 3088.15 2585.087 3381.228
1.011 3121.359 2625.478 3412.668
1.012 3152.263 2663.055 3441.75
1.013 3181.207 2698.137 3469.031
1.014 3208.459 2730.821 3495.028
1.015 3234.238 2761.779 3519.592
1.016 3258.719 2791.362 3543.063
1.017 3282.048 2819.103 3565.535
1.018 3304.347 2846.03 3587.069
1.019 3325.72 2871.88 3607.709
1.02 3346.253 2896.197 3627.512
1.021 3366.023 2919.725 3646.373
1.022 3385.095 2942.408 3664.696
1.024 3403.527 2964.155 3682.416
1.025 3421.368 2985.359 3699.715
1.026 3438.664 3005.893 3716.327
1.027 3455.453 3025.663 3732.663
1.028 3471.772 3044.8 3748.595
1.029 3487.65 3063.58 3763.838
1.03 3503.117 3081.667 3778.875
1.031 3518.199 3099.33 3793.496
1.032 3532.919 3116.604 3807.856
1.033 3547.297 3133.422 3821.753
1.034 3561.354 3149.88 3835.5
1.035 3575.107 3165.967 3848.921
1.036 3588.572 3181.586 3862.061
1.037 3601.763 3196.974 3875.067
1.038 3614.696 3211.948 3887.747
1.04 3627.382 3226.681 3900.177
1.041 3639.833 3240.999 3912.426
1.042 3652.061 3255.08 3924.406
1.043 3664.075 3269.136 3936.237
1.044 3675.885 3282.91 3947.944
1.045 3687.499 3296.316 3959.379
1.046 3698.926 3309.371 3970.721
1.047 3710.174 3322.386 3981.804
1.048 3721.25 3335.073 3992.774
1.049 3732.161 3347.45 4003.49
1.05 3742.912 3359.701 4014.251
1.052 3753.511 3371.829 4024.765
1.053 3763.963 3383.752 4035.134
1.054 3774.273 3395.553 4045.369
1.055 3784.446 3407.101 4055.421
1.056 3794.487 3418.422 4065.443
1.057 3804.401 3429.719 4075.326
1.058 3814.192 3440.948 4085.044
1.059 3823.863 3451.944 4094.711
1.06 3833.42 3462.839 4104.257
1.062 3842.865 3473.568 4113.601
1.063 3852.202 3484.218 4122.895
1.064 3861.435 3494.681 4132.154
1.065 3870.566 3505.008 4141.35
1.066 3879.599 3515.227 4150.387
1.067 3888.537 3525.327 4159.377
1.068 3897.381 3535.38 4168.206
1.07 3906.136 3545.128 4177.026
1.071 3914.804 3554.905 4185.684
1.072 3923.386 3564.576 4194.314
1.073 3931.886 3574.182 4202.922
1.074 3940.305 3583.633 4211.426
1.075 3948.646 3593.037 4219.845
1.076 3956.911 3602.317 4228.179
1.078 3965.101 3611.426 4236.364
1.079 3973.219 3620.592 4244.586
1.08 3981.267 3629.542 4252.665
1.081 3989.245 3638.447 4260.66
1.082 3997.157 3647.283 4268.713
1.083 4005.003 3655.978 4276.608
1.085 4012.785 3664.585 4284.503
