Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.700000E+04;  0.304000E+03; -0.135135E+02; -0.197418E+04;  0.000000E+00; -0.198769E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.702790E+04;  0.304000E+03; -0.135142E+02; -0.195118E+04;  0.000000E+00; -0.196470E+04
  0.587065E+04;  0.103115E+04;  0.150564E-01;  0.701610E+04;  0.304000E+03; -0.135142E+02; -0.191746E+04;  0.000000E+00; -0.193097E+04
  0.578961E+04;  0.105193E+04;  0.205892E-01;  0.700179E+04;  0.304108E+03; -0.135153E+02; -0.189120E+04;  0.000000E+00; -0.190472E+04
  0.577013E+04;  0.105640E+04;  0.246994E-01;  0.698138E+04;  0.304305E+03; -0.135164E+02; -0.188566E+04;  0.000000E+00; -0.189918E+04
  0.577013E+04;  0.105640E+04;  0.260359E-01;  0.696503E+04;  0.304611E+03; -0.135168E+02; -0.188586E+04;  0.000000E+00; -0.189938E+04
  0.572889E+04;  0.110689E+04;  0.286578E-01;  0.697633E+04;  0.304359E+03; -0.135176E+02; -0.186601E+04;  0.000000E+00; -0.187953E+04
  0.566114E+04;  0.111409E+04;  0.307508E-01;  0.697633E+04;  0.304254E+03; -0.135182E+02; -0.185614E+04;  0.000000E+00; -0.186966E+04
  0.559300E+04;  0.112833E+04;  0.381426E-01;  0.702495E+04;  0.304091E+03; -0.135211E+02; -0.184547E+04;  0.000000E+00; -0.185899E+04
  0.557985E+04;  0.112833E+04;  0.411176E-01;  0.700156E+04;  0.305332E+03; -0.135223E+02; -0.184469E+04;  0.000000E+00; -0.185821E+04
  0.553705E+04;  0.113935E+04;  0.421543E-01;  0.700985E+04;  0.307059E+03; -0.135228E+02; -0.184017E+04;  0.000000E+00; -0.185369E+04
  0.538841E+04;  0.116048E+04;  0.377869E-01;  0.700944E+04;  0.307688E+03; -0.135209E+02; -0.183140E+04;  0.000000E+00; -0.184492E+04
  0.538509E+04;  0.117567E+04;  0.361067E-01;  0.700755E+04;  0.308663E+03; -0.135202E+02; -0.183003E+04;  0.000000E+00; -0.184355E+04
  0.536677E+04;  0.117567E+04;  0.332218E-01;  0.697758E+04;  0.308701E+03; -0.135191E+02; -0.182997E+04;  0.000000E+00; -0.184349E+04
  0.524101E+04;  0.117729E+04;  0.325293E-01;  0.694338E+04;  0.307427E+03; -0.135192E+02; -0.182832E+04;  0.000000E+00; -0.184184E+04
  0.520106E+04;  0.117879E+04;  0.338787E-01;  0.695692E+04;  0.306887E+03; -0.135195E+02; -0.182821E+04;  0.000000E+00; -0.184173E+04
  0.520162E+04;  0.117652E+04;  0.314732E-01;  0.699681E+04;  0.306301E+03; -0.135184E+02; -0.182817E+04;  0.000000E+00; -0.184169E+04
