"Pr" "Mp" "Q_2" "Q_9"
1.01 3080.609 2713.626 3374
1.011 3107.334 2744.236 3398.286
1.012 3132.21 2772.621 3421
1.013 3155.512 2798.873 3442.22
1.014 3177.458 2823.705 3462.278
1.015 3198.22 2847.237 3481.358
1.016 3217.94 2869.555 3499.345
1.017 3236.736 2890.677 3516.624
1.018 3254.705 2910.916 3533.207
1.019 3271.929 2930.372 3549.063
1.02 3288.48 2949.061 3564.244
1.021 3304.417 2967.092 3578.91
1.022 3319.795 2984.288 3593.032
1.024 3334.657 3000.988 3606.783
1.025 3349.046 3017.134 3620.067
1.026 3362.996 3032.679 3632.991
1.027 3376.539 3047.633 3645.477
1.028 3389.704 3062.353 3657.653
1.029 3402.515 3076.678 3669.506
1.03 3414.996 3090.584 3681.034
1.031 3427.167 3104.215 3692.261
1.032 3439.048 3117.448 3703.295
1.033 3450.654 3130.449 3714.085
1.034 3462.001 3143.18 3724.647
1.035 3473.104 3155.516 3734.952
1.036 3483.976 3167.543 3745.013
1.037 3494.628 3179.382 3754.826
1.038 3505.072 3191.06 3764.538
1.04 3515.318 3202.561 3774.041
1.041 3525.375 3213.889 3783.375
1.042 3535.252 3224.849 3792.595
1.043 3544.957 3235.749 3801.648
1.044 3554.498 3246.239 3810.621
1.045 3563.882 3256.552 3819.426
1.046 3573.116 3266.666 3828.111
1.047 3582.206 3276.771 3836.652
1.048 3591.157 3286.631 3845.015
1.049 3599.975 3296.426 3853.226
1.05 3608.665 3305.917 3861.324
1.052 3617.233 3315.395 3869.313
1.053 3625.682 3324.655 3877.313
1.054 3634.018 3333.839 3885.191
1.055 3642.243 3342.869 3892.923
1.056 3650.362 3351.851 3900.543
1.057 3658.379 3360.636 3908.023
1.058 3666.296 3369.437 3915.511
1.059 3674.118 3377.982 3922.848
1.06 3681.848 3386.506 3930.204
1.062 3689.488 3394.771 3937.461
1.063 3697.041 3403.079 3944.491
1.064 3704.51 3411.224 3951.485
1.065 3711.897 3419.278 3958.498
1.066 3719.205 3427.404 3965.418
1.067 3726.437 3435.254 3972.26
1.068 3733.594 3443.088 3978.898
1.07 3740.678 3450.871 3985.588
1.071 3747.693 3458.614 3992.179
1.072 3754.639 3466.217 3998.66
1.073 3761.518 3473.812 4005.115
1.074 3768.333 3481.25 4011.547
1.075 3775.084 3488.6 4017.915
1.076 3781.775 3495.875 4024.18
1.078 3788.405 3503.075 4030.334
1.079 3794.978 3510.196 4036.526
1.08 3801.493 3517.298 4042.634
1.081 3807.954 3524.301 4048.812
1.082 3814.36 3531.304 4054.908
1.083 3820.714 3538.233 4060.887
1.085 3827.016 3545.113 4066.858
1.086 3833.268 3551.983 4072.787
1.087 3839.471 3558.759 4078.643
1.088 3845.627 3565.393 4084.375
1.089 3851.735 3571.999 4090.107
1.091 3857.798 3578.613 4095.913
1.092 3863.816 3585.13 4101.655
1.093 3869.79 3591.698 4107.307
1.094 3875.722 3598.158 4112.891
1.095 3881.612 3604.608 4118.484
1.096 3887.461 3610.996 4123.958
1.098 3893.27 3617.294 4129.498
1.099 3899.039 3623.499 4134.997
1.1 3904.771 3629.77 4140.43
1.101 3910.464 3636.029 4145.789
1.103 3916.121 3642.16 4151.186
1.104 3921.742 3648.256 4156.418
1.105 3927.327 3654.309 4161.725
1.106 3932.877 3660.337 4166.945
1.107 3938.394 3666.216 4172.165
1.109 3943.877 3672.154 4177.329
1.11 3949.328 3677.976 4182.457
1.111 3954.746 3683.85 4187.631
1.112 3960.133 3689.702 4192.787
1.114 3965.489 3695.45 4197.901
1.115 3970.815 3701.19 4202.895
1.116 3976.111 3706.923 4207.953
1.117 3981.377 3712.532 4212.964
1.119 3986.615 3718.055 4217.905
1.12 3991.825 3723.658 4222.857
1.121 3997.007 3729.335 4227.815
1.122 4002.162 3734.854 4232.773
1.124 4007.29 3740.394 4237.679
1.125 4012.392 3745.916 4242.511
1.126 4017.468 3751.382 4247.301
1.127 4022.519 3756.954 4252.144
1.129 4027.545 3762.366 4256.887
1.13 4032.546 3767.781 4261.624
1.131 4037.523 3773.175 4266.398
1.133 4042.477 3778.502 4271.116
1.134 4047.407 3783.863 4275.797
1.135 4052.314 3789.175 4280.514
1.136 4057.198 3794.457 4285.12
1.138 4062.061 3799.639 4289.765
1.139 4066.901 3804.718 4294.385
1.14 4071.72 3809.768 4298.985
1.142 4076.518 3814.904 4303.621
1.143 4081.295 3820.028 4308.142
1.144 4086.052 3825.133 4312.696
1.145 4090.788 3830.168 4317.205
1.147 4095.504 3835.286 4321.651
1.148 4100.201 3840.345 4326.12
1.149 4104.879 3845.372 4330.565
1.151 4109.537 3850.376 4334.99
1.152 4114.177 3855.34 4339.407
1.153 4118.798 3860.299 4343.839
1.155 4123.401 3865.265 4348.236
1.156 4127.987 3870.221 4352.586
1.157 4132.554 3875.101 4356.999
1.159 4137.104 3879.99 4361.33
1.16 4141.638 3884.851 4365.65
1.161 4146.154 3889.651 4369.995
1.163 4150.653 3894.419 4374.304
1.164 4155.137 3899.159 4378.536
1.166 4159.604 3903.93 4382.821
1.167 4164.055 3908.646 4387.099
1.168 4168.49 3913.394 4391.294
1.17 4172.91 3918.085 4395.556
1.171 4177.314 3922.819 4399.82
1.172 4181.704 3927.444 4404.032
1.174 4186.078 3932.183 4408.169
1.175 4190.438 3936.835 4412.344
1.176 4194.784 3941.507 4416.504
1.178 4199.115 3946.143 4420.667
1.179 4203.432 3950.736 4424.739
1.181 4207.735 3955.283 4428.894
1.182 4212.025 3959.838 4432.949
1.183 4216.301 3964.476 4437.059
1.185 4220.563 3969.07 4441.104
1.186 4224.813 3973.592 4445.14
1.188 4229.049 3978.014 4449.207
1.189 4233.273 3982.453 4453.265
1.19 4237.484 3986.91 4457.326
1.192 4241.682 3991.437 4461.293
1.193 4245.868 3995.924 4465.285
1.195 4250.042 4000.391 4469.271
1.196 4254.204 4004.845 4473.311
1.198 4258.354 4009.257 4477.316
1.199 4262.492 4013.686 4481.306
1.2 4266.619 4018.119 4485.277
1.202 4270.734 4022.527 4489.183
1.203 4274.838 4026.837 4493.123
1.205 4278.931 4031.164 4497.093
1.206 4283.012 4035.541 4501.003
1.208 4287.083 4039.917 4504.875
1.209 4291.144 4044.228 4508.798
1.211 4295.193 4048.5 4512.689
1.212 4299.232 4052.836 4516.519
1.214 4303.261 4057.101 4520.385
1.215 4307.28 4061.374 4524.242
1.217 4311.288 4065.716 4528.134
1.218 4315.286 4070.012 4531.976
1.22 4319.275 4074.201 4535.83
1.221 4323.254 4078.342 4539.598
1.222 4327.223 4082.53 4543.466
1.224 4331.183 4086.777 4547.304
1.225 4335.133 4090.956 4551.143
1.227 4339.074 4095.165 4554.904
1.229 4343.006 4099.277 4558.681
1.23 4346.929 4103.441 4562.438
1.232 4350.843 4107.538 4566.143
1.233 4354.748 4111.737 4569.915
1.235 4358.645 4115.831 4573.662
1.236 4362.532 4119.934 4577.442
1.238 4366.412 4124.086 4581.175
1.239 4370.282 4128.213 4584.885
1.241 4374.145 4132.345 4588.6
1.242 4377.999 4136.404 4592.316
1.244 4381.845 4140.494 4596.046
1.245 4385.683 4144.519 4599.75
1.247 4389.513 4148.536 4603.476
1.248 4393.335 4152.571 4607.174
1.25 4397.149 4156.58 4610.872
1.252 4400.956 4160.525 4614.558
1.253 4404.755 4164.549 4618.258
1.255 4408.547 4168.525 4621.909
1.256 4412.331 4172.581 4625.546
1.258 4416.108 4176.548 4629.165
1.259 4419.878 4180.443 4632.791
1.261 4423.64 4184.35 4636.378
1.263 4427.395 4188.438 4640.003
1.264 4431.144 4192.439 4643.559
1.266 4434.885 4196.328 4647.184
1.267 4438.62 4200.309 4650.792
1.269 4442.348 4204.249 4654.438
1.271 4446.069 4208.12 4658.058
1.272 4449.783 4212.061 4661.617
1.274 4453.491 4215.956 4665.186
1.276 4457.193 4219.899 4668.776
1.277 4460.888 4223.846 4672.328
1.279 4464.577 4227.675 4675.93
1.28 4468.259 4231.575 4679.467
1.282 4471.936 4235.489 4682.996
1.284 4475.606 4239.341 4686.525
1.285 4479.27 4243.09 4690.076
1.287 4482.929 4246.956 4693.582
1.289 4486.581 4250.748 4697.068
1.29 4490.228 4254.574 4700.64
1.292 4493.869 4258.366 4704.145
1.294 4497.504 4262.177 4707.657
1.295 4501.133 4266.049 4711.146
1.297 4504.757 4269.833 4714.68
1.299 4508.375 4273.676 4718.184
1.3 4511.988 4277.429 4721.615
1.302 4515.596 4281.209 4725.062
1.304 4519.198 4284.998 4728.546
1.305 4522.795 4288.806 4732.011
1.307 4526.387 4292.573 4735.499
1.309 4529.974 4296.35 4738.968
1.311 4533.555 4300.145 4742.416
1.312 4537.132 4303.931 4745.898
1.314 4540.703 4307.648 4749.354
1.316 4544.27 4311.462 4752.78
1.318 4547.832 4315.231 4756.223
1.319 4551.389 4318.95 4759.626
1.321 4554.941 4322.666 4763.083
1.323 4558.489 4326.353 4766.495
1.325 4562.032 4329.965 4769.934
1.326 4565.57 4333.671 4773.35
