Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.710077E+04;  0.500000E+03;  0.284479E+00; -0.201765E+04;  0.000000E+00; -0.201737E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.710077E+04;  0.500000E+03;  0.283858E+00; -0.199712E+04;  0.000000E+00; -0.199684E+04
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.710077E+04;  0.500000E+03;  0.283739E+00; -0.199664E+04;  0.000000E+00; -0.199636E+04
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.710077E+04;  0.500000E+03;  0.282918E+00; -0.195422E+04;  0.000000E+00; -0.195394E+04
  0.581515E+04;  0.105107E+04;  0.195447E-01;  0.710077E+04;  0.500000E+03;  0.282912E+00; -0.193645E+04;  0.000000E+00; -0.193617E+04
  0.574524E+04;  0.105542E+04;  0.269606E-01;  0.710077E+04;  0.500000E+03;  0.280996E+00; -0.191664E+04;  0.000000E+00; -0.191635E+04
  0.574524E+04;  0.105218E+04;  0.284352E-01;  0.710077E+04;  0.500000E+03;  0.280542E+00; -0.191668E+04;  0.000000E+00; -0.191640E+04
  0.569333E+04;  0.106193E+04;  0.353156E-01;  0.710077E+04;  0.500000E+03;  0.278105E+00; -0.190283E+04;  0.000000E+00; -0.190255E+04
  0.561437E+04;  0.105485E+04;  0.418101E-01;  0.710077E+04;  0.500000E+03;  0.275323E+00; -0.188849E+04;  0.000000E+00; -0.188821E+04
  0.557313E+04;  0.108401E+04;  0.405254E-01;  0.710077E+04;  0.500000E+03;  0.275910E+00; -0.188007E+04;  0.000000E+00; -0.187979E+04
  0.547787E+04;  0.109184E+04;  0.429444E-01;  0.710077E+04;  0.500000E+03;  0.274789E+00; -0.186753E+04;  0.000000E+00; -0.186726E+04
  0.543280E+04;  0.110329E+04;  0.453635E-01;  0.710077E+04;  0.500000E+03;  0.273602E+00; -0.186227E+04;  0.000000E+00; -0.186199E+04
  0.543280E+04;  0.112637E+04;  0.463402E-01;  0.710077E+04;  0.500000E+03;  0.273104E+00; -0.186158E+04;  0.000000E+00; -0.186131E+04
  0.538958E+04;  0.112486E+04;  0.517422E-01;  0.710077E+04;  0.500000E+03;  0.270161E+00; -0.185745E+04;  0.000000E+00; -0.185718E+04
  0.512771E+04;  0.111746E+04;  0.506738E-01;  0.710077E+04;  0.500000E+03;  0.270769E+00; -0.184525E+04;  0.000000E+00; -0.184498E+04
  0.505488E+04;  0.110583E+04;  0.501788E-01;  0.710077E+04;  0.500000E+03;  0.271046E+00; -0.184488E+04;  0.000000E+00; -0.184461E+04
  0.505560E+04;  0.113701E+04;  0.476681E-01;  0.710077E+04;  0.500000E+03;  0.272411E+00; -0.184404E+04;  0.000000E+00; -0.184377E+04
  0.510077E+04;  0.111297E+04;  0.528720E-01;  0.710077E+04;  0.500000E+03;  0.269504E+00; -0.184499E+04;  0.000000E+00; -0.184472E+04
  0.507656E+04;  0.111286E+04;  0.538007E-01;  0.710077E+04;  0.500000E+03;  0.268954E+00; -0.184479E+04;  0.000000E+00; -0.184452E+04
  0.511499E+04;  0.111560E+04;  0.575839E-01;  0.710077E+04;  0.500000E+03;  0.266613E+00; -0.184513E+04;  0.000000E+00; -0.184487E+04
  0.504365E+04;  0.112134E+04;  0.569993E-01;  0.710077E+04;  0.500000E+03;  0.266985E+00; -0.184451E+04;  0.000000E+00; -0.184425E+04
  0.491877E+04;  0.111313E+04;  0.518983E-01;  0.710077E+04;  0.500000E+03;  0.270071E+00; -0.184616E+04;  0.000000E+00; -0.184589E+04
  0.492851E+04;  0.109795E+04;  0.453438E-01;  0.710077E+04;  0.500000E+03;  0.273612E+00; -0.184634E+04;  0.000000E+00; -0.184607E+04
  0.499778E+04;  0.109945E+04;  0.443192E-01;  0.710077E+04;  0.500000E+03;  0.274122E+00; -0.184519E+04;  0.000000E+00; -0.184491E+04
  0.499951E+04;  0.108735E+04;  0.441789E-01;  0.710077E+04;  0.500000E+03;  0.274191E+00; -0.184574E+04;  0.000000E+00; -0.184547E+04
