"Pr" "Mp" "Q_2" "Q_9"
1.01 3056.537 2593.406 3384.033
1.011 3090.65 2633.521 3415.586
1.012 3122.389 2670.724 3444.702
1.013 3152.11 2705.601 3472.121
1.014 3180.09 2738.243 3498.186
1.015 3206.553 2769.322 3522.805
1.016 3231.68 2798.47 3546.235
1.017 3255.622 2826.185 3568.518
1.018 3278.504 2852.566 3589.923
1.019 3300.432 2877.725 3610.659
1.02 3321.497 2902.074 3630.553
1.021 3341.777 2925.406 3649.643
1.022 3361.338 2948.008 3668.176
1.024 3380.241 2969.699 3685.97
1.025 3398.537 2990.695 3703.244
1.026 3416.271 3010.86 3720.12
1.027 3433.484 3030.48 3736.539
1.028 3450.212 3049.476 3752.388
1.029 3466.489 3067.773 3767.735
1.03 3482.342 3085.824 3782.692
1.031 3497.8 3103.656 3797.41
1.032 3512.884 3120.864 3811.85
1.033 3527.618 3137.777 3825.891
1.034 3542.021 3154.043 3839.893
1.035 3556.111 3170.075 3853.418
1.036 3569.906 3185.655 3866.675
1.037 3583.419 3200.962 3879.492
1.038 3596.666 3215.856 3892.259
1.04 3609.66 3230.62 3904.619
1.041 3622.412 3245.097 3916.805
1.042 3634.935 3259.087 3928.855
1.043 3647.237 3272.818 3940.758
1.044 3659.33 3286.31 3952.331
1.045 3671.222 3299.479 3963.897
1.046 3682.922 3312.671 3975.224
1.047 3694.437 3325.583 3986.306
1.048 3705.775 3338.344 3997.27
1.049 3716.944 3350.709 4008.078
1.05 3727.949 3362.958 4018.721
1.052 3738.797 3374.915 4029.249
1.053 3749.494 3386.895 4039.523
1.054 3760.045 3398.531 4049.946
1.055 3770.455 3410.062 4060.075
1.056 3780.73 3421.5 4070.173
1.057 3790.874 3432.751 4079.951
1.058 3800.891 3443.949 4089.706
1.059 3810.786 3455.024 4099.426
1.06 3820.563 3465.79 4108.849
1.062 3830.225 3476.417 4118.126
1.063 3839.777 3486.972 4127.435
1.064 3849.221 3497.369 4136.732
1.065 3858.56 3507.505 4145.92
1.066 3867.799 3517.698 4155.044
1.067 3876.94 3527.768 4164.005
1.068 3885.985 3537.734 4172.858
1.07 3894.938 3547.602 4181.693
1.071 3903.801 3557.328 4190.412
1.072 3912.577 3567.081 4199.059
1.073 3921.267 3576.626 4207.703
1.074 3929.875 3585.959 4216.006
1.075 3938.403 3595.301 4224.502
1.076 3946.852 3604.505 4232.757
1.078 3955.225 3613.525 4241.015
1.079 3963.523 3622.519 4249.188
1.08 3971.749 3631.416 4257.283
1.081 3979.904 3640.21 4265.374
1.082 3987.991 3649.055 4273.328
1.083 3996.01 3657.856 4281.289
1.085 4003.963 3666.409 4289.213
1.086 4011.852 3675.129 4296.948
1.087 4019.679 3683.626 4304.684
1.088 4027.445 3692.035 4312.377
1.089 4035.15 3700.31 4320.094
1.091 4042.798 3708.493 4327.698
1.092 4050.388 3716.718 4335.33
1.093 4057.923 3724.772 4342.928
1.094 4065.402 3732.805 4350.367
1.095 4072.829 3740.824 4357.708
1.096 4080.203 3748.723 4365.132
1.098 4087.526 3756.642 4372.539
1.099 4094.799 3764.514 4379.763
1.1 4102.023 3772.286 4387.039
1.101 4109.198 3779.993 4394.226
1.103 4116.327 3787.801 4401.305
1.104 4123.409 3795.555 4408.336
1.105 4130.447 3803.122 4415.451
1.106 4137.44 3810.606 4422.407
1.107 4144.389 3818.203 4429.253
1.109 4151.296 3825.831 4436.192
1.11 4158.161 3832.924 4443.08
1.111 4164.985 3840.339 4449.929
1.112 4171.769 3847.562 4456.645
1.114 4178.513 3854.792 4463.285
1.115 4185.219 3861.979 4470.004
1.116 4191.887 3869.212 4476.72
1.117 4198.517 3876.31 4483.322
1.119 4205.11 3883.44 4489.996
1.12 4211.668 3890.503 4496.566
1.121 4218.19 3897.596 4503.15
1.122 4224.677 3904.467 4509.627
1.124 4231.13 3911.362 4516.015
1.125 4237.55 3918.14 4522.423
1.126 4243.937 3924.848 4528.745
1.127 4250.291 3931.523 4535.168
1.129 4256.613 3938.235 4541.444
1.13 4262.904 3944.875 4547.795
1.131 4269.164 3951.55 4554.141
1.133 4275.394 3958.296 4560.416
1.134 4281.594 3964.743 4566.615
1.135 4287.764 3971.202 4572.818
1.136 4293.906 3977.638 4578.939
1.138 4300.019 3984.154 4585.069
1.139 4306.105 3990.539 4591.207
1.14 4312.163 3996.811 4597.308
1.142 4318.194 4003.246 4603.41
1.143 4324.198 4009.626 4609.436
1.144 4330.176 4015.903 4615.432
1.145 4336.128 4022.141 4621.465
1.147 4342.054 4028.442 4627.541
1.148 4347.956 4034.648 4633.61
1.149 4353.833 4040.933 4639.664
1.151 4359.685 4047.224 4645.512
1.152 4365.514 4053.405 4651.421
1.153 4371.319 4059.494 4657.268
1.155 4377.101 4065.589 4663.121
1.156 4382.86 4071.483 4668.914
1.157 4388.596 4077.594 4674.81
1.159 4394.31 4083.561 4680.633
1.16 4400.003 4089.456 4686.355
1.161 4405.673 4095.215 4692.051
1.163 4411.322 4101.12 4697.774
1.164 4416.951 4107.026 4703.384
1.166 4422.558 4112.939 4709.134
1.167 4428.145 4118.826 4714.812
1.168 4433.712 4124.646 4720.432
1.17 4439.259 4130.433 4726.058
1.171 4444.787 4136.185 4731.738
1.172 4450.295 4141.978 4737.407
1.174 4455.785 4147.665 4743.029
1.175 4461.255 4153.432 4748.691
1.176 4466.707 4159.074 4754.199
1.178 4472.14 4164.707 4759.729
1.179 4477.556 4170.408 4765.225
1.181 4482.954 4175.962 4770.585
1.182 4488.334 4181.593 4776.037
1.183 4493.697 4187.139 4781.515
1.185 4499.042 4192.659 4787.009
1.186 4504.371 4198.056 4792.433
1.188 4509.683 4203.674 4797.916
1.189 4514.979 4209.191 4803.279
1.19 4520.259 4214.695 4808.635
1.192 4525.522 4220.129 4814.047
1.193 4530.77 4225.561 4819.378
1.195 4536.002 4230.969 4824.703
1.196 4541.218 4236.358 4830.072
1.198 4546.42 4241.69 4835.404
1.199 4551.606 4247.071 4840.653
1.2 4556.777 4252.461 4845.899
1.202 4561.934 4257.807 4851.086
1.203 4567.077 4263.088 4856.388
1.205 4572.205 4268.413 4861.531
1.206 4577.318 4273.671 4866.756
1.208 4582.418 4279.008 4871.938
1.209 4587.505 4284.193 4877.18
1.211 4592.577 4289.378 4882.462
1.212 4597.636 4294.629 4887.639
1.214 4602.682 4299.829 4892.788
1.215 4607.715 4305.027 4897.923
1.217 4612.734 4310.262 4903.126
1.218 4617.741 4315.332 4908.3
1.22 4622.735 4320.421 4913.404
1.221 4627.717 4325.559 4918.455
1.222 4632.686 4330.777 4923.439
1.224 4637.644 4335.894 4928.479
1.225 4642.589 4340.897 4933.548
1.227 4647.522 4346.037 4938.545
1.229 4652.443 4351.14 4943.66
1.23 4657.353 4356.136 4948.691
1.232 4662.251 4361.182 4953.761
1.233 4667.138 4366.223 4958.743
1.235 4672.014 4371.369 4963.713
1.236 4676.878 4376.26 4968.626
1.238 4681.732 4381.33 4973.637
1.239 4686.575 4386.384 4978.591
1.241 4691.406 4391.422 4983.546
1.242 4696.228 4396.329 4988.554
1.244 4701.039 4401.247 4993.554
1.245 4705.839 4406.135 4998.556
1.247 4710.629 4411.019 5003.422
1.248 4715.41 4415.905 5008.295
1.25 4720.18 4420.71 5013.113
1.252 4724.94 4425.55 5017.94
1.253 4729.69 4430.465 5022.843
1.255 4734.431 4435.375 5027.723
1.256 4739.162 4440.334 5032.569
1.258 4743.884 4445.188 5037.408
1.259 4748.597 4449.969 5042.291
1.261 4753.3 4454.7 5047.147
1.263 4757.994 4459.543 5051.897
1.264 4762.679 4464.334 5056.698
1.266 4767.355 4469.134 5061.557
1.267 4772.022 4473.824 5066.353
1.269 4776.68 4478.561 5071.142
1.271 4781.33 4483.291 5075.914
1.272 4785.972 4488.109 5080.713
1.274 4790.604 4492.857 5085.471
1.276 4795.229 4497.532 5090.268
1.277 4799.845 4502.277 5095.011
1.279 4804.453 4506.915 5099.724
1.28 4809.053 4511.586 5104.464
1.282 4813.645 4516.281 5109.1
1.284 4818.23 4520.938 5113.841
1.285 4822.806 4525.558 5118.476
1.287 4827.374 4530.248 5123.27
1.289 4831.935 4534.853 5128.009
1.29 4836.489 4539.467 5132.721
1.292 4841.035 4544.095 5137.409
1.294 4845.573 4548.76 5142.014
1.295 4850.105 4553.329 5146.725
1.297 4854.629 4557.882 5151.351
1.299 4859.146 4562.417 5156.001
1.3 4863.656 4566.978 5160.631
1.302 4868.158 4571.528 5165.368
1.304 4872.654 4576.071 5170.001
1.305 4877.144 4580.645 5174.58
1.307 4881.626 4585.151 5179.355
1.309 4886.102 4589.741 5183.968
1.311 4890.571 4594.301 5188.615
1.312 4895.033 4598.825 5193.224
1.314 4899.49 4603.354 5197.879
1.316 4903.939 4607.893 5202.45
1.318 4908.383 4612.424 5206.976
1.319 4912.82 4616.851 5211.645
1.321 4917.251 4621.328 5216.172
1.323 4921.676 4625.789 5220.783
1.325 4926.095 4630.262 5225.275
1.326 4930.508 4634.758 5229.888
1.328 4934.915 4639.199 5234.393
1.33 4939.316 4643.61 5238.932
1.332 4943.711 4647.971 5243.447
1.333 4948.101 4652.318 5248.032
1.335 4952.485 4656.846 5252.552
1.337 4956.864 4661.326 5257.155
1.339 4961.237 4665.672 5261.711
1.34 4965.604 4670.096 5266.189
1.342 4969.966 4674.573 5270.649
1.344 4974.323 4678.993 5275.145
1.346 4978.675 4683.467 5279.667
1.348 4983.021 4687.84 5284.125
1.35 4987.362 4692.202 5288.581
1.351 4991.699 4696.527 5293.118
1.353 4996.03 4700.834 5297.546
1.355 5000.356 4705.112 5302.041
1.357 5004.677 4709.435 5306.63
1.359 5008.994 4713.744 5311.174
1.361 5013.305 4718.037 5315.608
1.362 5017.612 4722.428 5320.116
1.364 5021.914 4726.837 5324.559
1.366 5026.212 4731.098 5329.024
