"Pr" "Mp" "Q_2" "Q_9"
1.01 3080.617 2595.517 3389.789
1.011 3113.932 2635.428 3420.705
1.012 3144.924 2672.711 3449.598
1.013 3173.94 2707.429 3476.733
1.014 3201.252 2739.888 3502.317
1.015 3227.078 2770.596 3526.594
1.016 3251.598 2799.621 3549.701
1.017 3274.957 2827.207 3571.81
1.018 3297.28 2853.518 3592.939
1.019 3318.669 2878.811 3613.194
1.02 3339.213 2902.833 3632.585
1.021 3358.989 2926.25 3651.379
1.022 3378.063 2948.735 3669.562
1.024 3396.493 2970.356 3687.134
1.025 3414.328 2991.185 3704.257
1.026 3431.614 3011.301 3720.677
1.027 3448.391 3030.882 3736.675
1.028 3464.694 3049.82 3752.221
1.029 3480.555 3068.155 3767.371
1.03 3496.002 3086.177 3782.31
1.031 3511.061 3103.536 3796.643
1.032 3525.757 3120.546 3810.729
1.033 3540.109 3137.235 3824.508
1.034 3554.138 3153.464 3838.009
1.035 3567.861 3169.184 3851.198
1.036 3581.295 3184.643 3864.113
1.037 3594.454 3199.74 3876.717
1.038 3607.353 3214.63 3889.145
1.04 3620.004 3229.154 3901.414
1.041 3632.419 3243.536 3913.341
1.042 3644.61 3257.564 3925.114
1.043 3656.585 3271.171 3936.66
1.044 3668.356 3284.607 3948.134
1.045 3679.93 3297.827 3959.43
1.046 3691.316 3310.754 3970.563
1.047 3702.522 3323.441 3981.469
1.048 3713.555 3336.07 3992.31
1.049 3724.422 3348.499 4002.987
1.05 3735.13 3360.613 4013.422
1.052 3745.684 3372.657 4023.584
1.053 3756.09 3384.415 4033.68
1.054 3766.353 3396.072 4043.74
1.055 3776.48 3407.548 4053.572
1.056 3786.474 3418.83 4063.37
1.057 3796.339 3430.106 4072.961
1.058 3806.082 3440.991 4082.531
1.059 3815.704 3451.854 4091.88
1.06 3825.211 3462.691 4101.124
1.062 3834.607 3473.463 4110.314
1.063 3843.894 3483.893 4119.412
1.064 3853.075 3494.243 4128.375
1.065 3862.155 3504.511 4137.195
1.066 3871.137 3514.569 4146.015
1.067 3880.022 3524.555 4154.735
1.068 3888.815 3534.374 4163.452
1.07 3897.517 3544.211 4171.95
1.071 3906.131 3553.872 4180.466
1.072 3914.66 3563.443 4188.7
1.073 3923.106 3572.89 4197.056
1.074 3931.471 3582.203 4205.285
1.075 3939.757 3591.399 4213.389
1.076 3947.967 3600.515 4221.406
1.078 3956.103 3609.547 4229.404
1.079 3964.165 3618.47 4237.373
1.08 3972.157 3627.38 4245.21
