Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.315000E+03;  0.284479E+00; -0.196119E+04;  0.000000E+00; -0.196091E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.900000E+04;  0.315000E+03;  0.283858E+00; -0.193994E+04;  0.000000E+00; -0.193965E+04
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.900000E+04;  0.315000E+03;  0.283739E+00; -0.193945E+04;  0.000000E+00; -0.193916E+04
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.900000E+04;  0.315000E+03;  0.282918E+00; -0.190577E+04;  0.000000E+00; -0.190549E+04
  0.581515E+04;  0.105107E+04;  0.195447E-01;  0.900000E+04;  0.315000E+03;  0.282912E+00; -0.188886E+04;  0.000000E+00; -0.188857E+04
  0.574524E+04;  0.105542E+04;  0.269606E-01;  0.900000E+04;  0.315000E+03;  0.280996E+00; -0.187499E+04;  0.000000E+00; -0.187471E+04
  0.574524E+04;  0.105218E+04;  0.241394E-01;  0.900000E+04;  0.315000E+03;  0.281797E+00; -0.187682E+04;  0.000000E+00; -0.187653E+04
  0.569333E+04;  0.106193E+04;  0.310198E-01;  0.900000E+04;  0.315000E+03;  0.279689E+00; -0.186597E+04;  0.000000E+00; -0.186569E+04
  0.561437E+04;  0.106576E+04;  0.375143E-01;  0.900000E+04;  0.315000E+03;  0.277216E+00; -0.185656E+04;  0.000000E+00; -0.185629E+04
  0.557313E+04;  0.109492E+04;  0.362296E-01;  0.900000E+04;  0.315000E+03;  0.277742E+00; -0.184711E+04;  0.000000E+00; -0.184683E+04
  0.547787E+04;  0.110275E+04;  0.339251E-01;  0.900000E+04;  0.315000E+03;  0.278640E+00; -0.184076E+04;  0.000000E+00; -0.184048E+04
  0.543280E+04;  0.111420E+04;  0.363442E-01;  0.900000E+04;  0.315000E+03;  0.277696E+00; -0.183715E+04;  0.000000E+00; -0.183687E+04
  0.543280E+04;  0.113728E+04;  0.350287E-01;  0.900000E+04;  0.315000E+03;  0.278218E+00; -0.183374E+04;  0.000000E+00; -0.183346E+04
  0.538958E+04;  0.114411E+04;  0.404307E-01;  0.900000E+04;  0.315000E+03;  0.275953E+00; -0.183186E+04;  0.000000E+00; -0.183158E+04
  0.532328E+04;  0.113671E+04;  0.387088E-01;  0.900000E+04;  0.315000E+03;  0.276710E+00; -0.183200E+04;  0.000000E+00; -0.183173E+04
  0.525046E+04;  0.113234E+04;  0.382138E-01;  0.900000E+04;  0.315000E+03;  0.276922E+00; -0.183250E+04;  0.000000E+00; -0.183223E+04
  0.530245E+04;  0.116352E+04;  0.357031E-01;  0.900000E+04;  0.315000E+03;  0.277953E+00; -0.182868E+04;  0.000000E+00; -0.182840E+04
  0.534762E+04;  0.116352E+04;  0.409070E-01;  0.900000E+04;  0.315000E+03;  0.275738E+00; -0.182903E+04;  0.000000E+00; -0.182875E+04
  0.532341E+04;  0.116745E+04;  0.418357E-01;  0.900000E+04;  0.315000E+03;  0.275311E+00; -0.182849E+04;  0.000000E+00; -0.182821E+04
  0.536184E+04;  0.117628E+04;  0.456189E-01;  0.900000E+04;  0.315000E+03;  0.273473E+00; -0.182788E+04;  0.000000E+00; -0.182760E+04
  0.529051E+04;  0.118202E+04;  0.450343E-01;  0.900000E+04;  0.315000E+03;  0.273767E+00; -0.182712E+04;  0.000000E+00; -0.182685E+04
  0.516562E+04;  0.117381E+04;  0.399333E-01;  0.900000E+04;  0.315000E+03;  0.276175E+00; -0.182910E+04;  0.000000E+00; -0.182883E+04
  0.517536E+04;  0.115863E+04;  0.333788E-01;  0.900000E+04;  0.315000E+03;  0.278845E+00; -0.183003E+04;  0.000000E+00; -0.182975E+04
  0.524463E+04;  0.116013E+04;  0.323542E-01;  0.900000E+04;  0.315000E+03;  0.279219E+00; -0.182904E+04;  0.000000E+00; -0.182876E+04
  0.524636E+04;  0.116008E+04;  0.322139E-01;  0.900000E+04;  0.315000E+03;  0.279269E+00; -0.182903E+04;  0.000000E+00; -0.182875E+04
  0.525900E+04;  0.118377E+04;  0.269157E-01;  0.900000E+04;  0.315000E+03;  0.281010E+00; -0.182655E+04;  0.000000E+00; -0.182626E+04
  0.523958E+04;  0.119065E+04;  0.189189E-01;  0.900000E+04;  0.315000E+03;  0.283046E+00; -0.182596E+04;  0.000000E+00; -0.182568E+04
  0.535854E+04;  0.120583E+04;  0.217394E-01;  0.900000E+04;  0.315000E+03;  0.282409E+00; -0.182517E+04;  0.000000E+00; -0.182489E+04
  0.535043E+04;  0.122712E+04;  0.172860E-01;  0.900000E+04;  0.315000E+03;  0.283374E+00; -0.182363E+04;  0.000000E+00; -0.182334E+04
  0.545208E+04;  0.123779E+04;  0.897039E-02;  0.900000E+04;  0.315000E+03;  0.284587E+00; -0.182533E+04;  0.000000E+00; -0.182505E+04
  0.536497E+04;  0.125113E+04;  0.154143E-01;  0.900000E+04;  0.315000E+03;  0.283714E+00; -0.182238E+04;  0.000000E+00; -0.182210E+04
  0.520328E+04;  0.122970E+04;  0.188837E-01;  0.900000E+04;  0.315000E+03;  0.283053E+00; -0.182345E+04;  0.000000E+00; -0.182317E+04
  0.526227E+04;  0.123932E+04;  0.280593E-01;  0.900000E+04;  0.315000E+03;  0.280660E+00; -0.182244E+04;  0.000000E+00; -0.182216E+04
  0.526227E+04;  0.121764E+04;  0.238641E-01;  0.900000E+04;  0.315000E+03;  0.281870E+00; -0.182383E+04;  0.000000E+00; -0.182355E+04
  0.530005E+04;  0.121225E+04;  0.256125E-01;  0.900000E+04;  0.315000E+03;  0.281390E+00; -0.182419E+04;  0.000000E+00; -0.182391E+04
  0.534415E+04;  0.122598E+04;  0.284295E-01;  0.900000E+04;  0.315000E+03;  0.280544E+00; -0.182338E+04;  0.000000E+00; -0.182310E+04
  0.540524E+04;  0.122866E+04;  0.350472E-01;  0.900000E+04;  0.315000E+03;  0.278210E+00; -0.182374E+04;  0.000000E+00; -0.182347E+04
  0.544972E+04;  0.122111E+04;  0.299408E-01;  0.900000E+04;  0.315000E+03;  0.280054E+00; -0.182531E+04;  0.000000E+00; -0.182503E+04
  0.545622E+04;  0.122414E+04;  0.294375E-01;  0.900000E+04;  0.315000E+03;  0.280220E+00; -0.182525E+04;  0.000000E+00; -0.182497E+04
  0.549923E+04;  0.124046E+04;  0.381971E-01;  0.900000E+04;  0.315000E+03;  0.276929E+00; -0.182478E+04;  0.000000E+00; -0.182450E+04
  0.549685E+04;  0.124046E+04;  0.304547E-01;  0.900000E+04;  0.315000E+03;  0.279882E+00; -0.182507E+04;  0.000000E+00; -0.182479E+04
  0.549685E+04;  0.124420E+04;  0.252016E-01;  0.900000E+04;  0.315000E+03;  0.281506E+00; -0.182510E+04;  0.000000E+00; -0.182482E+04
  0.538047E+04;  0.127406E+04;  0.250296E-01;  0.900000E+04;  0.315000E+03;  0.281554E+00; -0.182102E+04;  0.000000E+00; -0.182074E+04
  0.530573E+04;  0.128103E+04;  0.245002E-01;  0.900000E+04;  0.315000E+03;  0.281699E+00; -0.182031E+04;  0.000000E+00; -0.182003E+04
  0.542882E+04;  0.129168E+04;  0.293145E-01;  0.900000E+04;  0.315000E+03;  0.280260E+00; -0.182074E+04;  0.000000E+00; -0.182046E+04
  0.542954E+04;  0.130491E+04;  0.255930E-01;  0.900000E+04;  0.315000E+03;  0.281395E+00; -0.182041E+04;  0.000000E+00; -0.182013E+04
  0.544607E+04;  0.131603E+04;  0.300325E-01;  0.900000E+04;  0.315000E+03;  0.280023E+00; -0.182011E+04;  0.000000E+00; -0.181983E+04
  0.531064E+04;  0.130333E+04;  0.314745E-01;  0.900000E+04;  0.315000E+03;  0.279531E+00; -0.181938E+04;  0.000000E+00; -0.181910E+04
  0.531921E+04;  0.130271E+04;  0.350056E-01;  0.900000E+04;  0.315000E+03;  0.278227E+00; -0.181935E+04;  0.000000E+00; -0.181907E+04
