Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.287000E+03; -0.823536E+01; -0.193911E+04;  0.000000E+00; -0.194735E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.902790E+04;  0.287000E+03; -0.823608E+01; -0.191997E+04;  0.000000E+00; -0.192821E+04
  0.589980E+04;  0.101883E+04;  0.223482E-01;  0.900377E+04;  0.287000E+03; -0.823758E+01; -0.189929E+04;  0.000000E+00; -0.190753E+04
  0.588159E+04;  0.101797E+04;  0.264625E-01;  0.902926E+04;  0.287000E+03; -0.823880E+01; -0.189459E+04;  0.000000E+00; -0.190283E+04
  0.587926E+04;  0.102071E+04;  0.287160E-01;  0.910141E+04;  0.287000E+03; -0.824067E+01; -0.189230E+04;  0.000000E+00; -0.190054E+04
  0.577339E+04;  0.102909E+04;  0.286776E-01;  0.909980E+04;  0.287000E+03; -0.824062E+01; -0.187283E+04;  0.000000E+00; -0.188107E+04
  0.565601E+04;  0.103928E+04;  0.294280E-01;  0.909149E+04;  0.287000E+03; -0.824066E+01; -0.185615E+04;  0.000000E+00; -0.186439E+04
  0.561477E+04;  0.107693E+04;  0.231386E-01;  0.909363E+04;  0.287000E+03; -0.823888E+01; -0.184414E+04;  0.000000E+00; -0.185238E+04
  0.552470E+04;  0.107753E+04;  0.208130E-01;  0.908748E+04;  0.287000E+03; -0.823817E+01; -0.183845E+04;  0.000000E+00; -0.184669E+04
  0.552470E+04;  0.109225E+04;  0.274622E-01;  0.912910E+04;  0.287000E+03; -0.824108E+01; -0.183532E+04;  0.000000E+00; -0.184356E+04
  0.547860E+04;  0.109908E+04;  0.279140E-01;  0.912354E+04;  0.287000E+03; -0.824104E+01; -0.183217E+04;  0.000000E+00; -0.184041E+04
  0.534252E+04;  0.111771E+04;  0.160251E-01;  0.913209E+04;  0.287000E+03; -0.823841E+01; -0.182657E+04;  0.000000E+00; -0.183481E+04
  0.533579E+04;  0.111680E+04;  0.202889E-01;  0.917244E+04;  0.287000E+03; -0.824081E+01; -0.182678E+04;  0.000000E+00; -0.183502E+04
  0.530508E+04;  0.112433E+04;  0.210187E-01;  0.917315E+04;  0.287000E+03; -0.824101E+01; -0.182565E+04;  0.000000E+00; -0.183390E+04
  0.528352E+04;  0.112699E+04;  0.234873E-01;  0.919842E+04;  0.287000E+03; -0.824279E+01; -0.182551E+04;  0.000000E+00; -0.183375E+04
  0.533275E+04;  0.112699E+04;  0.211055E-01;  0.922139E+04;  0.287000E+03; -0.824341E+01; -0.182568E+04;  0.000000E+00; -0.183392E+04
  0.526066E+04;  0.114819E+04;  0.121866E-01;  0.922903E+04;  0.287000E+03; -0.824219E+01; -0.182316E+04;  0.000000E+00; -0.183140E+04
  0.517944E+04;  0.115941E+04;  0.374067E-02;  0.920984E+04;  0.287000E+03; -0.824039E+01; -0.182272E+04;  0.000000E+00; -0.183096E+04
  0.518142E+04;  0.116091E+04;  0.699741E-03;  0.921032E+04;  0.287000E+03; -0.824034E+01; -0.182254E+04;  0.000000E+00; -0.183078E+04
  0.520947E+04;  0.118185E+04; -0.491147E-03;  0.918313E+04;  0.287000E+03; -0.823900E+01; -0.182032E+04;  0.000000E+00; -0.182856E+04
  0.512601E+04;  0.119881E+04;  0.453696E-02;  0.918688E+04;  0.287000E+03; -0.823929E+01; -0.182063E+04;  0.000000E+00; -0.182887E+04
  0.519202E+04;  0.119881E+04;  0.470273E-02;  0.920041E+04;  0.287000E+03; -0.823995E+01; -0.181935E+04;  0.000000E+00; -0.182759E+04
  0.533878E+04;  0.120696E+04;  0.446585E-02;  0.915163E+04;  0.287000E+03; -0.823779E+01; -0.181797E+04;  0.000000E+00; -0.182620E+04
  0.542491E+04;  0.119694E+04;  0.130124E-02;  0.921189E+04;  0.287000E+03; -0.824043E+01; -0.182013E+04;  0.000000E+00; -0.182837E+04
  0.537677E+04;  0.119355E+04;  0.129198E-02;  0.921436E+04;  0.287000E+03; -0.824056E+01; -0.181959E+04;  0.000000E+00; -0.182783E+04
