"Pr" "Mp" "Q_2" "Q_9"
1.01 3079.144 2581.514 3384.945
1.011 3112.653 2622.151 3416.361
1.012 3143.837 2660.053 3445.877
1.013 3173.043 2695.184 3473.438
1.014 3200.543 2728.222 3499.402
1.015 3226.556 2759.539 3524.06
1.016 3251.259 2789.171 3547.466
1.017 3274.801 2817.372 3569.826
1.018 3297.303 2844.128 3591.239
1.019 3318.87 2869.746 3611.784
1.02 3339.591 2894.299 3631.604
1.021 3359.541 2918.035 3650.732
1.022 3378.787 2940.871 3669.203
1.024 3397.387 2962.752 3687.048
1.025 3415.392 2983.999 3704.299
1.026 3432.845 3004.409 3721.055
1.027 3449.788 3024.325 3737.167
1.028 3466.256 3043.714 3752.973
1.029 3482.28 3062.422 3768.473
1.03 3497.889 3080.696 3783.559
1.031 3513.109 3098.378 3798.288
1.032 3527.963 3115.558 3812.645
1.033 3542.474 3132.471 3826.741
1.034 3556.66 3149.117 3840.518
1.035 3570.539 3165.113 3854.038
1.036 3584.127 3180.924 3867.331
1.037 3597.44 3196.297 3880.206
1.038 3610.492 3211.398 3892.908
1.04 3623.294 3226.346 3905.379
1.041 3635.86 3240.916 3917.607
1.042 3648.2 3255.213 3929.701
1.043 3660.325 3269.31 3941.657
1.044 3672.243 3283.078 3953.348
1.045 3683.965 3296.427 3964.837
1.046 3695.497 3309.471 3976.05
1.047 3706.849 3322.378 3987.16
1.048 3718.027 3335.13 3998.17
1.049 3729.038 3347.666 4008.93
1.05 3739.889 3360.06 4019.697
1.052 3750.586 3372.283 4030.158
1.053 3761.134 3384.295 4040.533
1.054 3771.539 3396.139 4050.743
1.055 3781.806 3407.964 4060.795
1.056 3791.94 3419.434 4070.746
1.057 3801.946 3430.763 4080.646
1.058 3811.827 3441.895 4090.459
1.059 3821.588 3452.94 4100.103
1.06 3831.233 3463.858 4109.682
1.062 3840.766 3474.571 4119.175
1.063 3850.19 3485.264 4128.535
1.064 3859.508 3495.809 4137.767
1.065 3868.724 3506.111 4146.95
1.066 3877.84 3516.344 4156.008
1.067 3886.861 3526.445 4164.998
1.068 3895.788 3536.441 4173.838
1.07 3904.624 3546.488 4182.578
1.071 3913.372 3556.331 4191.334
1.072 3922.034 3565.947 4199.907
1.073 3930.612 3575.468 4208.387
1.074 3939.11 3584.985 4216.843
1.075 3947.528 3594.383 4225.203
1.076 3955.87 3603.645 4233.581
1.078 3964.136 3612.772 4241.871
1.079 3972.33 3621.96 4250.095
1.08 3980.452 3630.931 4258.194
1.081 3988.505 3639.895 4266.219
1.082 3996.49 3648.792 4274.252
1.083 4004.409 3657.564 4282.139
1.085 4012.264 3666.253 4290.007
1.086 4020.056 3674.942 4297.85
1.087 4027.786 3683.492 4305.632
1.088 4035.456 3692.074 4313.378
1.089 4043.068 3700.493 4320.968
1.091 4050.622 3708.813 4328.66
1.092 4058.12 3717.042 4336.215
1.093 4065.563 3725.199 4343.728
1.094 4072.953 3733.287 4351.106
1.095 4080.29 3741.325 4358.584
1.096 4087.576 3749.359 4365.861
1.098 4094.812 3757.25 4373.135
1.099 4101.998 3765.16 4380.303
1.1 4109.137 3772.898 4387.399
1.101 4116.228 3780.686 4394.523
1.103 4123.272 3788.399 4401.677
1.104 4130.272 3796.106 4408.815
1.105 4137.227 3803.757 4415.859
1.106 4144.139 3811.293 4422.804
1.107 4151.008 3818.876 4429.737
1.109 4157.835 3826.373 4436.713
1.11 4164.621 3833.801 4443.563
1.111 4171.367 3841.11 4450.364
1.112 4178.073 3848.401 4457.165
1.114 4184.74 3855.629 4463.878
1.115 4191.37 3862.977 4470.55
1.116 4197.962 3870.124 4477.174
1.117 4204.517 3877.159 4483.787
1.119 4211.037 3884.269 4490.373
1.12 4217.521 3891.27 4496.945
1.121 4223.97 3898.29 4503.494
1.122 4230.385 3905.234 4510.01
1.124 4236.767 3912.181 4516.42
1.125 4243.116 3919.038 4522.902
1.126 4249.432 3925.907 4529.326
1.127 4255.717 3932.609 4535.71
1.129 4261.97 3939.326 4542.137
1.13 4268.192 3946.026 4548.468
1.131 4274.384 3952.682 4554.779
1.133 4280.547 3959.272 4561.06
1.134 4286.68 3965.909 4567.274
1.135 4292.784 3972.487 4573.464
1.136 4298.86 3979.042 4579.673
1.138 4304.908 3985.52 4585.835
1.139 4310.929 3992.04 4592.015
1.14 4316.922 3998.434 4598.062
1.142 4322.889 4004.824 4604.126
1.143 4328.83 4011.223 4610.23
1.144 4334.745 4017.543 4616.28
1.145 4340.635 4023.869 4622.274
1.147 4346.5 4030.058 4628.252
1.148 4352.34 4036.357 4634.22
1.149 4358.156 4042.624 4640.182
1.151 4363.948 4048.884 4646.057
1.152 4369.717 4055.053 4651.966
1.153 4375.463 4061.162 4657.859
1.155 4381.185 4067.255 4663.693
1.156 4386.886 4073.299 4669.516
1.157 4392.564 4079.337 4675.301
1.159 4398.22 4085.372 4681.055
1.16 4403.855 4091.352 4686.87
1.161 4409.468 4097.288 4692.623
1.163 4415.061 4103.274 4698.382
1.164 4420.633 4109.243 4704.084
1.166 4426.185 4115.141 4709.772
