Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.287000E+03; -0.628500E+01; -0.193911E+04;  0.000000E+00; -0.194540E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.900000E+04;  0.290400E+03; -0.628562E+01; -0.191998E+04;  0.000000E+00; -0.192627E+04
  0.589980E+04;  0.101883E+04;  0.223482E-01;  0.900000E+04;  0.287459E+03; -0.628722E+01; -0.189929E+04;  0.000000E+00; -0.190557E+04
  0.589205E+04;  0.102196E+04;  0.259044E-01;  0.900000E+04;  0.289781E+03; -0.628818E+01; -0.189492E+04;  0.000000E+00; -0.190121E+04
  0.581811E+04;  0.102564E+04;  0.255150E-01;  0.900000E+04;  0.295452E+03; -0.628806E+01; -0.188111E+04;  0.000000E+00; -0.188740E+04
  0.579974E+04;  0.102564E+04;  0.278745E-01;  0.900000E+04;  0.290948E+03; -0.628876E+01; -0.187763E+04;  0.000000E+00; -0.188392E+04
  0.579974E+04;  0.102564E+04;  0.306275E-01;  0.900000E+04;  0.291723E+03; -0.628966E+01; -0.187681E+04;  0.000000E+00; -0.188310E+04
  0.577819E+04;  0.102564E+04;  0.341034E-01;  0.900000E+04;  0.291002E+03; -0.629091E+01; -0.187288E+04;  0.000000E+00; -0.187917E+04
  0.576876E+04;  0.103083E+04;  0.318547E-01;  0.900000E+04;  0.293026E+03; -0.629008E+01; -0.187041E+04;  0.000000E+00; -0.187670E+04
  0.569957E+04;  0.104806E+04;  0.370046E-01;  0.900000E+04;  0.292919E+03; -0.629205E+01; -0.185622E+04;  0.000000E+00; -0.186251E+04
  0.563142E+04;  0.107128E+04;  0.384082E-01;  0.900000E+04;  0.293860E+03; -0.629264E+01; -0.184444E+04;  0.000000E+00; -0.185073E+04
  0.558234E+04;  0.107128E+04;  0.427132E-01;  0.900000E+04;  0.296455E+03; -0.629458E+01; -0.184083E+04;  0.000000E+00; -0.184712E+04
  0.555627E+04;  0.108096E+04;  0.456546E-01;  0.900000E+04;  0.298083E+03; -0.629603E+01; -0.183729E+04;  0.000000E+00; -0.184359E+04
  0.554508E+04;  0.109300E+04;  0.478826E-01;  0.900000E+04;  0.301047E+03; -0.629718E+01; -0.183444E+04;  0.000000E+00; -0.184074E+04
  0.553970E+04;  0.110969E+04;  0.534719E-01;  0.900000E+04;  0.303835E+03; -0.630033E+01; -0.183125E+04;  0.000000E+00; -0.183755E+04
  0.553970E+04;  0.112519E+04;  0.568194E-01;  0.900000E+04;  0.304948E+03; -0.630238E+01; -0.182884E+04;  0.000000E+00; -0.183515E+04
  0.552997E+04;  0.111592E+04;  0.591493E-01;  0.900000E+04;  0.309501E+03; -0.630388E+01; -0.182984E+04;  0.000000E+00; -0.183614E+04
  0.547026E+04;  0.111987E+04;  0.640672E-01;  0.900000E+04;  0.309770E+03; -0.630725E+01; -0.182782E+04;  0.000000E+00; -0.183413E+04
  0.547026E+04;  0.111707E+04;  0.721706E-01;  0.900000E+04;  0.308916E+03; -0.631338E+01; -0.182866E+04;  0.000000E+00; -0.183497E+04
  0.544765E+04;  0.111707E+04;  0.756439E-01;  0.900000E+04;  0.308689E+03; -0.631624E+01; -0.182862E+04;  0.000000E+00; -0.183494E+04
  0.528559E+04;  0.111707E+04;  0.730219E-01;  0.900000E+04;  0.308965E+03; -0.631407E+01; -0.182886E+04;  0.000000E+00; -0.183517E+04
  0.541190E+04;  0.113275E+04;  0.765848E-01;  0.900000E+04;  0.309292E+03; -0.631703E+01; -0.182624E+04;  0.000000E+00; -0.183256E+04
