Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.287000E+03; -0.135967E+02; -0.193911E+04;  0.000000E+00; -0.195271E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.902790E+04;  0.287000E+03; -0.135974E+02; -0.191997E+04;  0.000000E+00; -0.193357E+04
  0.587065E+04;  0.103115E+04;  0.150564E-01;  0.901610E+04;  0.287000E+03; -0.135974E+02; -0.189169E+04;  0.000000E+00; -0.190528E+04
  0.578961E+04;  0.105193E+04;  0.205892E-01;  0.900179E+04;  0.287117E+03; -0.135985E+02; -0.186932E+04;  0.000000E+00; -0.188292E+04
  0.577013E+04;  0.105640E+04;  0.246994E-01;  0.898138E+04;  0.287331E+03; -0.135995E+02; -0.186426E+04;  0.000000E+00; -0.187786E+04
  0.577013E+04;  0.105640E+04;  0.260359E-01;  0.896503E+04;  0.287664E+03; -0.136000E+02; -0.186390E+04;  0.000000E+00; -0.187750E+04
  0.572889E+04;  0.110689E+04;  0.286578E-01;  0.893381E+04;  0.287390E+03; -0.136012E+02; -0.184622E+04;  0.000000E+00; -0.185982E+04
  0.566114E+04;  0.111409E+04;  0.307508E-01;  0.888559E+04;  0.287276E+03; -0.136030E+02; -0.183886E+04;  0.000000E+00; -0.185247E+04
  0.559300E+04;  0.112833E+04;  0.381426E-01;  0.893422E+04;  0.287099E+03; -0.136047E+02; -0.183147E+04;  0.000000E+00; -0.184507E+04
  0.557985E+04;  0.112833E+04;  0.411176E-01;  0.891083E+04;  0.288448E+03; -0.136065E+02; -0.183057E+04;  0.000000E+00; -0.184417E+04
  0.553705E+04;  0.113935E+04;  0.421543E-01;  0.891911E+04;  0.290325E+03; -0.136068E+02; -0.182713E+04;  0.000000E+00; -0.184073E+04
  0.538841E+04;  0.116048E+04;  0.377869E-01;  0.891870E+04;  0.291008E+03; -0.136049E+02; -0.182126E+04;  0.000000E+00; -0.183487E+04
  0.538509E+04;  0.117567E+04;  0.361067E-01;  0.891681E+04;  0.292067E+03; -0.136042E+02; -0.181980E+04;  0.000000E+00; -0.183341E+04
  0.536677E+04;  0.117567E+04;  0.332218E-01;  0.888685E+04;  0.292109E+03; -0.136038E+02; -0.181965E+04;  0.000000E+00; -0.183325E+04
  0.524101E+04;  0.117729E+04;  0.325293E-01;  0.884213E+04;  0.290724E+03; -0.136051E+02; -0.181971E+04;  0.000000E+00; -0.183332E+04
  0.524299E+04;  0.117879E+04;  0.338787E-01;  0.885566E+04;  0.290138E+03; -0.136051E+02; -0.181963E+04;  0.000000E+00; -0.183323E+04
  0.524355E+04;  0.117652E+04;  0.314732E-01;  0.889555E+04;  0.289500E+03; -0.136030E+02; -0.181983E+04;  0.000000E+00; -0.183343E+04
  0.524355E+04;  0.119265E+04;  0.348075E-01;  0.893406E+04;  0.287939E+03; -0.136034E+02; -0.181876E+04;  0.000000E+00; -0.183236E+04
  0.516282E+04;  0.121747E+04;  0.332194E-01;  0.892939E+04;  0.287940E+03; -0.136029E+02; -0.181853E+04;  0.000000E+00; -0.183214E+04
