Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.287000E+03; -0.109095E+02; -0.193911E+04;  0.000000E+00; -0.195002E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.900697E+04;  0.287000E+03; -0.109102E+02; -0.191997E+04;  0.000000E+00; -0.193088E+04
  0.587065E+04;  0.103115E+04;  0.150564E-01;  0.900402E+04;  0.287000E+03; -0.109102E+02; -0.189168E+04;  0.000000E+00; -0.190259E+04
  0.578961E+04;  0.105193E+04;  0.205892E-01;  0.900045E+04;  0.287032E+03; -0.109113E+02; -0.186932E+04;  0.000000E+00; -0.188023E+04
  0.577013E+04;  0.105640E+04;  0.246994E-01;  0.899534E+04;  0.287090E+03; -0.109124E+02; -0.186427E+04;  0.000000E+00; -0.187519E+04
  0.577013E+04;  0.105640E+04;  0.260359E-01;  0.899126E+04;  0.287181E+03; -0.109129E+02; -0.186393E+04;  0.000000E+00; -0.187485E+04
  0.572889E+04;  0.110689E+04;  0.286578E-01;  0.898345E+04;  0.287106E+03; -0.109141E+02; -0.184621E+04;  0.000000E+00; -0.185712E+04
  0.566114E+04;  0.111409E+04;  0.307508E-01;  0.897140E+04;  0.287075E+03; -0.109158E+02; -0.183886E+04;  0.000000E+00; -0.184978E+04
  0.559300E+04;  0.112833E+04;  0.381426E-01;  0.898355E+04;  0.287027E+03; -0.109176E+02; -0.183152E+04;  0.000000E+00; -0.184244E+04
  0.557985E+04;  0.112833E+04;  0.411176E-01;  0.897771E+04;  0.287394E+03; -0.109193E+02; -0.183066E+04;  0.000000E+00; -0.184158E+04
  0.553705E+04;  0.113935E+04;  0.385332E-01;  0.897978E+04;  0.287905E+03; -0.109180E+02; -0.182739E+04;  0.000000E+00; -0.183831E+04
  0.538841E+04;  0.116048E+04;  0.341658E-01;  0.897967E+04;  0.288091E+03; -0.109163E+02; -0.182142E+04;  0.000000E+00; -0.183234E+04
  0.538509E+04;  0.117567E+04;  0.324856E-01;  0.897920E+04;  0.288380E+03; -0.109157E+02; -0.181995E+04;  0.000000E+00; -0.183086E+04
  0.536677E+04;  0.117567E+04;  0.296007E-01;  0.897171E+04;  0.288391E+03; -0.109154E+02; -0.181981E+04;  0.000000E+00; -0.183072E+04
  0.524101E+04;  0.117729E+04;  0.289082E-01;  0.896053E+04;  0.288014E+03; -0.109167E+02; -0.181992E+04;  0.000000E+00; -0.183083E+04
  0.524299E+04;  0.117879E+04;  0.302576E-01;  0.896392E+04;  0.287854E+03; -0.109166E+02; -0.181981E+04;  0.000000E+00; -0.183072E+04
  0.524355E+04;  0.117652E+04;  0.278521E-01;  0.897389E+04;  0.287681E+03; -0.109146E+02; -0.181996E+04;  0.000000E+00; -0.183088E+04
  0.524355E+04;  0.119265E+04;  0.311864E-01;  0.898352E+04;  0.287256E+03; -0.109149E+02; -0.181880E+04;  0.000000E+00; -0.182972E+04
  0.516282E+04;  0.121747E+04;  0.295983E-01;  0.898235E+04;  0.287256E+03; -0.109144E+02; -0.181855E+04;  0.000000E+00; -0.182947E+04
  0.511646E+04;  0.120809E+04;  0.285487E-01;  0.898380E+04;  0.287444E+03; -0.109140E+02; -0.182032E+04;  0.000000E+00; -0.183123E+04
  0.511627E+04;  0.123599E+04;  0.291843E-01;  0.898447E+04;  0.287262E+03; -0.109142E+02; -0.181872E+04;  0.000000E+00; -0.182964E+04
  0.522017E+04;  0.123171E+04;  0.246359E-01;  0.898135E+04;  0.287148E+03; -0.109130E+02; -0.181657E+04;  0.000000E+00; -0.182748E+04
  0.523573E+04;  0.123171E+04;  0.265133E-01;  0.897904E+04;  0.287226E+03; -0.109137E+02; -0.181636E+04;  0.000000E+00; -0.182727E+04
  0.523269E+04;  0.122606E+04;  0.246711E-01;  0.897721E+04;  0.287193E+03; -0.109134E+02; -0.181669E+04;  0.000000E+00; -0.182761E+04
  0.533261E+04;  0.122606E+04;  0.249678E-01;  0.898456E+04;  0.287526E+03; -0.109129E+02; -0.181606E+04;  0.000000E+00; -0.182698E+04
  0.531926E+04;  0.125653E+04;  0.245024E-01;  0.898409E+04;  0.287876E+03; -0.109128E+02; -0.181453E+04;  0.000000E+00; -0.182545E+04
  0.531250E+04;  0.125494E+04;  0.176385E-01;  0.899313E+04;  0.287589E+03; -0.109108E+02; -0.181477E+04;  0.000000E+00; -0.182568E+04
  0.537505E+04;  0.124206E+04;  0.239168E-01;  0.899395E+04;  0.287967E+03; -0.109122E+02; -0.181535E+04;  0.000000E+00; -0.182626E+04
  0.529831E+04;  0.124623E+04;  0.293978E-01;  0.899994E+04;  0.287918E+03; -0.109138E+02; -0.181503E+04;  0.000000E+00; -0.182594E+04
  0.529825E+04;  0.124816E+04;  0.230582E-01;  0.899871E+04;  0.288188E+03; -0.109119E+02; -0.181500E+04;  0.000000E+00; -0.182592E+04
  0.539835E+04;  0.125013E+04;  0.206293E-01;  0.900123E+04;  0.288214E+03; -0.109113E+02; -0.181522E+04;  0.000000E+00; -0.182614E+04
