"Pr" "Mp" "Q_2" "Q_9"
1.01 3112.901 2594.503 3385.055
1.011 3145.781 2634.844 3416.42
1.012 3176.373 2672.132 3445.651
1.013 3205.016 2706.914 3473.274
1.014 3231.98 2739.738 3499.152
1.015 3257.481 2770.391 3523.609
1.016 3281.693 2799.708 3546.893
1.017 3304.762 2827.631 3569.17
1.018 3326.808 2854.208 3590.498
1.019 3347.934 2879.629 3611.052
1.02 3368.228 2903.781 3630.695
1.021 3387.764 2927.235 3649.681
1.022 3406.608 2949.83 3667.907
1.024 3424.816 2971.505 3685.74
1.025 3442.438 2992.425 3703.093
1.026 3459.519 3012.605 3719.665
1.027 3476.098 3032.265 3735.817
1.028 3492.21 3051.259 3751.67
1.029 3507.885 3069.792 3767.091
1.03 3523.153 3087.985 3782.034
1.031 3538.038 3105.591 3796.678
1.032 3552.564 3122.536 3811.128
1.033 3566.752 3139.178 3825.14
1.034 3580.621 3155.449 3838.78
1.035 3594.188 3171.481 3852.225
1.036 3607.47 3187.25 3865.343
1.037 3620.481 3202.492 3878.257
1.038 3633.235 3217.395 3890.823
1.04 3645.745 3232.04 3903.25
1.041 3658.022 3246.448 3915.517
1.042 3670.077 3260.373 3927.518
1.043 3681.92 3274.141 3939.3
1.044 3693.562 3287.533 3950.832
1.045 3705.009 3300.85 3962.157
1.046 3716.271 3313.936 3973.377
1.047 3727.355 3326.897 3984.377
1.048 3738.269 3339.393 3995.306
1.049 3749.019 3351.864 4006.112
1.05 3759.612 3363.966 4016.74
1.052 3770.053 3375.95 4027.099
1.053 3780.348 3387.64 4037.363
1.054 3790.502 3399.437 4047.517
1.055 3800.522 3411.138 4057.658
1.056 3810.41 3422.39 4067.662
1.057 3820.172 3433.592 4077.406
1.058 3829.812 3444.616 4087.196
1.059 3839.335 3455.575 4096.63
1.06 3848.743 3466.324 4106.109
1.062 3858.041 3476.78 4115.514
1.063 3867.232 3487.3 4124.75
1.064 3876.319 3497.621 4133.944
1.065 3885.306 3507.827 4143.02
1.066 3894.195 3517.897 4151.984
1.067 3902.99 3527.942 4160.932
1.068 3911.693 3537.83 4169.794
1.07 3920.307 3547.647 4178.48
1.071 3928.834 3557.284 4187.126
1.072 3937.277 3566.889 4195.705
1.073 3945.638 3576.323 4204.194
1.074 3953.92 3585.783 4212.692
1.075 3962.124 3595.127 4221.011
1.076 3970.252 3604.269 4229.247
1.078 3978.307 3613.461 4237.364
1.079 3986.29 3622.504 4245.573
1.08 3994.203 3631.465 4253.658
1.081 4002.048 3640.427 4261.733
1.082 4009.826 3649.157 4269.705
1.083 4017.54 3657.829 4277.502
1.085 4025.19 3666.397 4285.227
1.086 4032.779 3674.823 4292.925
1.087 4040.307 3683.313 4300.616
1.088 4047.777 3691.79 4308.311
1.089 4055.188 3700.13 4315.951
1.091 4062.544 3708.366 4323.44
1.092 4069.844 3716.53 4330.809
1.093 4077.09 3724.58 4338.243
1.094 4084.284 3732.687 4345.665
1.095 4091.427 3740.846 4352.978
1.096 4098.519 3748.751 4360.255
1.098 4105.561 3756.69 4367.437
1.099 4112.556 3764.574 4374.549
1.1 4119.503 3772.353 4381.745
1.101 4126.403 3780.007 4388.802
1.103 4133.259 3787.633 4395.843
1.104 4140.069 3795.115 4402.84
1.105 4146.837 3802.573 4409.764
1.106 4153.561 3810.058 4416.655
1.107 4160.244 3817.522 4423.448
1.109 4166.885 3824.847 4430.163
1.11 4173.487 3832.158 4436.898
1.111 4180.048 3839.432 4443.669
