Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.287000E+03; -0.109095E+02; -0.196109E+04;  0.000000E+00; -0.197200E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.900697E+04;  0.287000E+03; -0.109102E+02; -0.193984E+04;  0.000000E+00; -0.195075E+04
  0.587065E+04;  0.103115E+04;  0.150564E-01;  0.900402E+04;  0.287000E+03; -0.109102E+02; -0.190899E+04;  0.000000E+00; -0.191990E+04
  0.578961E+04;  0.105193E+04;  0.205892E-01;  0.900045E+04;  0.287032E+03; -0.109113E+02; -0.188427E+04;  0.000000E+00; -0.189518E+04
  0.577013E+04;  0.105640E+04;  0.246994E-01;  0.899534E+04;  0.287090E+03; -0.109124E+02; -0.187866E+04;  0.000000E+00; -0.188957E+04
  0.577013E+04;  0.105640E+04;  0.260359E-01;  0.899126E+04;  0.287181E+03; -0.109129E+02; -0.187827E+04;  0.000000E+00; -0.188918E+04
  0.572889E+04;  0.110689E+04;  0.286578E-01;  0.898345E+04;  0.287106E+03; -0.109141E+02; -0.185839E+04;  0.000000E+00; -0.186930E+04
  0.566114E+04;  0.111409E+04;  0.307508E-01;  0.897140E+04;  0.287075E+03; -0.109158E+02; -0.185023E+04;  0.000000E+00; -0.186115E+04
  0.559300E+04;  0.112833E+04;  0.381426E-01;  0.898355E+04;  0.287027E+03; -0.109176E+02; -0.184198E+04;  0.000000E+00; -0.185290E+04
  0.557985E+04;  0.112833E+04;  0.411176E-01;  0.897771E+04;  0.287394E+03; -0.109193E+02; -0.184102E+04;  0.000000E+00; -0.185194E+04
  0.553705E+04;  0.113935E+04;  0.385332E-01;  0.897978E+04;  0.287905E+03; -0.109180E+02; -0.183723E+04;  0.000000E+00; -0.184815E+04
  0.538841E+04;  0.116048E+04;  0.341658E-01;  0.897967E+04;  0.288091E+03; -0.109163E+02; -0.182996E+04;  0.000000E+00; -0.184088E+04
  0.538509E+04;  0.117567E+04;  0.324856E-01;  0.897920E+04;  0.288380E+03; -0.109157E+02; -0.182822E+04;  0.000000E+00; -0.183913E+04
  0.536677E+04;  0.117567E+04;  0.296007E-01;  0.897171E+04;  0.288391E+03; -0.109154E+02; -0.182797E+04;  0.000000E+00; -0.183888E+04
  0.524101E+04;  0.117729E+04;  0.289082E-01;  0.896053E+04;  0.288014E+03; -0.109167E+02; -0.182739E+04;  0.000000E+00; -0.183831E+04
  0.524299E+04;  0.117879E+04;  0.302576E-01;  0.896392E+04;  0.287854E+03; -0.109166E+02; -0.182728E+04;  0.000000E+00; -0.183820E+04
  0.524355E+04;  0.117652E+04;  0.278521E-01;  0.897389E+04;  0.287681E+03; -0.109146E+02; -0.182746E+04;  0.000000E+00; -0.183837E+04
  0.513128E+04;  0.119265E+04;  0.311864E-01;  0.898352E+04;  0.287256E+03; -0.109149E+02; -0.182787E+04;  0.000000E+00; -0.183879E+04
  0.513961E+04;  0.121747E+04;  0.295983E-01;  0.898235E+04;  0.287256E+03; -0.109144E+02; -0.182567E+04;  0.000000E+00; -0.183658E+04
  0.509325E+04;  0.120809E+04;  0.285487E-01;  0.898380E+04;  0.287444E+03; -0.109140E+02; -0.182747E+04;  0.000000E+00; -0.183838E+04
  0.509306E+04;  0.123599E+04;  0.291843E-01;  0.898447E+04;  0.287262E+03; -0.109142E+02; -0.182559E+04;  0.000000E+00; -0.183650E+04
  0.519696E+04;  0.123171E+04;  0.246359E-01;  0.898135E+04;  0.287148E+03; -0.109130E+02; -0.182353E+04;  0.000000E+00; -0.183445E+04
  0.521252E+04;  0.123171E+04;  0.265133E-01;  0.897904E+04;  0.287226E+03; -0.109137E+02; -0.182336E+04;  0.000000E+00; -0.183428E+04
  0.519439E+04;  0.122606E+04;  0.246711E-01;  0.897721E+04;  0.287193E+03; -0.109134E+02; -0.182393E+04;  0.000000E+00; -0.183484E+04
  0.529431E+04;  0.122606E+04;  0.249678E-01;  0.898456E+04;  0.287526E+03; -0.109129E+02; -0.182323E+04;  0.000000E+00; -0.183414E+04
  0.528096E+04;  0.125653E+04;  0.245024E-01;  0.898409E+04;  0.287876E+03; -0.109128E+02; -0.182139E+04;  0.000000E+00; -0.183230E+04
  0.527420E+04;  0.125494E+04;  0.176385E-01;  0.899313E+04;  0.287589E+03; -0.109108E+02; -0.182155E+04;  0.000000E+00; -0.183246E+04
  0.533675E+04;  0.124206E+04;  0.239168E-01;  0.899395E+04;  0.287967E+03; -0.109122E+02; -0.182229E+04;  0.000000E+00; -0.183320E+04
  0.526001E+04;  0.124623E+04;  0.293978E-01;  0.899994E+04;  0.287918E+03; -0.109138E+02; -0.182208E+04;  0.000000E+00; -0.183300E+04
  0.525995E+04;  0.124816E+04;  0.230582E-01;  0.899871E+04;  0.288188E+03; -0.109119E+02; -0.182194E+04;  0.000000E+00; -0.183285E+04
  0.536005E+04;  0.125013E+04;  0.206293E-01;  0.900123E+04;  0.288214E+03; -0.109113E+02; -0.182203E+04;  0.000000E+00; -0.183294E+04
  0.535413E+04;  0.127971E+04;  0.198873E-01;  0.900575E+04;  0.287874E+03; -0.109112E+02; -0.182044E+04;  0.000000E+00; -0.183135E+04
  0.537927E+04;  0.129426E+04;  0.179012E-01;  0.900826E+04;  0.288125E+03; -0.109109E+02; -0.182009E+04;  0.000000E+00; -0.183100E+04
  0.525580E+04;  0.130441E+04;  0.204347E-01;  0.901443E+04;  0.288654E+03; -0.109117E+02; -0.181950E+04;  0.000000E+00; -0.183041E+04
  0.525866E+04;  0.129762E+04;  0.265797E-01;  0.901231E+04;  0.287742E+03; -0.109132E+02; -0.181965E+04;  0.000000E+00; -0.183056E+04
  0.534050E+04;  0.127343E+04;  0.268041E-01;  0.900750E+04;  0.287767E+03; -0.109131E+02; -0.182051E+04;  0.000000E+00; -0.183142E+04
  0.531443E+04;  0.130669E+04;  0.197691E-01;  0.900192E+04;  0.287690E+03; -0.109111E+02; -0.181926E+04;  0.000000E+00; -0.183017E+04
  0.525802E+04;  0.131110E+04;  0.234983E-01;  0.899422E+04;  0.287741E+03; -0.109121E+02; -0.181925E+04;  0.000000E+00; -0.183017E+04
  0.520709E+04;  0.131635E+04;  0.243456E-01;  0.899348E+04;  0.287627E+03; -0.109123E+02; -0.181962E+04;  0.000000E+00; -0.183053E+04
  0.526773E+04;  0.130950E+04;  0.264657E-01;  0.899961E+04;  0.287769E+03; -0.109128E+02; -0.181920E+04;  0.000000E+00; -0.183011E+04
  0.518818E+04;  0.133386E+04;  0.247940E-01;  0.899743E+04;  0.287783E+03; -0.109124E+02; -0.181945E+04;  0.000000E+00; -0.183036E+04
  0.518026E+04;  0.133283E+04;  0.332031E-01;  0.899442E+04;  0.288401E+03; -0.109151E+02; -0.181962E+04;  0.000000E+00; -0.183054E+04
  0.524192E+04;  0.132840E+04;  0.297466E-01;  0.898413E+04;  0.288582E+03; -0.109144E+02; -0.181889E+04;  0.000000E+00; -0.182980E+04
  0.526376E+04;  0.132552E+04;  0.326209E-01;  0.898161E+04;  0.288440E+03; -0.109155E+02; -0.181875E+04;  0.000000E+00; -0.182966E+04
  0.536632E+04;  0.131917E+04;  0.301291E-01;  0.896573E+04;  0.288413E+03; -0.109163E+02; -0.181885E+04;  0.000000E+00; -0.182976E+04
  0.537066E+04;  0.132074E+04;  0.225679E-01;  0.895564E+04;  0.288617E+03; -0.109157E+02; -0.181911E+04;  0.000000E+00; -0.183002E+04
  0.526876E+04;  0.133246E+04;  0.193094E-01;  0.896076E+04;  0.288282E+03; -0.109141E+02; -0.181879E+04;  0.000000E+00; -0.182970E+04
  0.523076E+04;  0.133486E+04;  0.208127E-01;  0.896267E+04;  0.287630E+03; -0.109141E+02; -0.181899E+04;  0.000000E+00; -0.182990E+04
  0.519078E+04;  0.132322E+04;  0.195373E-01;  0.896535E+04;  0.287403E+03; -0.109135E+02; -0.181973E+04;  0.000000E+00; -0.183064E+04
  0.522692E+04;  0.131351E+04;  0.227269E-01;  0.897955E+04;  0.287193E+03; -0.109127E+02; -0.181948E+04;  0.000000E+00; -0.183039E+04
  0.530809E+04;  0.131900E+04;  0.194980E-01;  0.897933E+04;  0.287028E+03; -0.109119E+02; -0.181894E+04;  0.000000E+00; -0.182985E+04
  0.531513E+04;  0.133221E+04;  0.162447E-01;  0.899337E+04;  0.287301E+03; -0.109105E+02; -0.181867E+04;  0.000000E+00; -0.182959E+04
  0.529609E+04;  0.134213E+04;  0.136822E-01;  0.899831E+04;  0.287412E+03; -0.109100E+02; -0.181855E+04;  0.000000E+00; -0.182946E+04
  0.542371E+04;  0.134348E+04;  0.227997E-01;  0.899303E+04;  0.287242E+03; -0.109119E+02; -0.181889E+04;  0.000000E+00; -0.182980E+04
  0.536005E+04;  0.135462E+04;  0.212387E-01;  0.898477E+04;  0.287220E+03; -0.109119E+02; -0.181822E+04;  0.000000E+00; -0.182913E+04
  0.537465E+04;  0.139721E+04;  0.265398E-01;  0.897496E+04;  0.287385E+03; -0.109141E+02; -0.181773E+04;  0.000000E+00; -0.182864E+04
  0.529332E+04;  0.138160E+04;  0.293019E-01;  0.897606E+04;  0.287188E+03; -0.109149E+02; -0.181769E+04;  0.000000E+00; -0.182861E+04
  0.524127E+04;  0.137018E+04;  0.261317E-01;  0.897351E+04;  0.287232E+03; -0.109142E+02; -0.181823E+04;  0.000000E+00; -0.182915E+04
  0.533786E+04;  0.136214E+04;  0.362470E-01;  0.897998E+04;  0.287066E+03; -0.109171E+02; -0.181764E+04;  0.000000E+00; -0.182856E+04
  0.539161E+04;  0.136627E+04;  0.390345E-01;  0.898976E+04;  0.287458E+03; -0.109176E+02; -0.181762E+04;  0.000000E+00; -0.182854E+04
  0.533034E+04;  0.137992E+04;  0.386191E-01;  0.898553E+04;  0.287642E+03; -0.109177E+02; -0.181738E+04;  0.000000E+00; -0.182830E+04
  0.531441E+04;  0.138012E+04;  0.437927E-01;  0.898720E+04;  0.287651E+03; -0.109199E+02; -0.181734E+04;  0.000000E+00; -0.182826E+04
  0.530567E+04;  0.138813E+04;  0.380408E-01;  0.897090E+04;  0.287832E+03; -0.109187E+02; -0.181744E+04;  0.000000E+00; -0.182836E+04
  0.529761E+04;  0.139378E+04;  0.319783E-01;  0.896804E+04;  0.287898E+03; -0.109167E+02; -0.181759E+04;  0.000000E+00; -0.182851E+04
  0.524121E+04;  0.138402E+04;  0.421680E-01;  0.895197E+04;  0.288286E+03; -0.109234E+02; -0.181799E+04;  0.000000E+00; -0.182891E+04
  0.530584E+04;  0.142227E+04;  0.468022E-01;  0.894866E+04;  0.288230E+03; -0.109264E+02; -0.181730E+04;  0.000000E+00; -0.182822E+04
  0.536943E+04;  0.142897E+04;  0.422842E-01;  0.895383E+04;  0.288413E+03; -0.109232E+02; -0.181732E+04;  0.000000E+00; -0.182824E+04
  0.538465E+04;  0.144419E+04;  0.402199E-01;  0.895024E+04;  0.288765E+03; -0.109229E+02; -0.181758E+04;  0.000000E+00; -0.182851E+04
  0.541519E+04;  0.143505E+04;  0.367544E-01;  0.894545E+04;  0.288899E+03; -0.109224E+02; -0.181786E+04;  0.000000E+00; -0.182879E+04
  0.537209E+04;  0.142892E+04;  0.401820E-01;  0.895503E+04;  0.288723E+03; -0.109220E+02; -0.181741E+04;  0.000000E+00; -0.182833E+04
  0.532926E+04;  0.141721E+04;  0.378699E-01;  0.894282E+04;  0.288642E+03; -0.109235E+02; -0.181746E+04;  0.000000E+00; -0.182839E+04
  0.545194E+04;  0.140237E+04;  0.412283E-01;  0.894081E+04;  0.288581E+03; -0.109254E+02; -0.181803E+04;  0.000000E+00; -0.182895E+04
  0.540690E+04;  0.141779E+04;  0.460964E-01;  0.894088E+04;  0.289034E+03; -0.109278E+02; -0.181743E+04;  0.000000E+00; -0.182835E+04
  0.553309E+04;  0.139771E+04;  0.402119E-01;  0.893706E+04;  0.288873E+03; -0.109259E+02; -0.181953E+04;  0.000000E+00; -0.183045E+04
  0.536650E+04;  0.139394E+04;  0.408000E-01;  0.893584E+04;  0.288689E+03; -0.109264E+02; -0.181747E+04;  0.000000E+00; -0.182839E+04
