Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.144000E+03;  0.284479E+00; -0.584626E+03;  0.000000E+00; -0.584342E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.900000E+04;  0.144000E+03;  0.283858E+00; -0.581809E+03;  0.000000E+00; -0.581525E+03
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.900000E+04;  0.144000E+03;  0.283739E+00; -0.581783E+03;  0.000000E+00; -0.581499E+03
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.900000E+04;  0.144000E+03;  0.282918E+00; -0.577420E+03;  0.000000E+00; -0.577137E+03
  0.582259E+04;  0.104933E+04;  0.170197E-01;  0.900000E+04;  0.144000E+03;  0.283425E+00; -0.575274E+03;  0.000000E+00; -0.574991E+03
  0.575268E+04;  0.105368E+04;  0.244356E-01;  0.900000E+04;  0.144000E+03;  0.281717E+00; -0.573956E+03;  0.000000E+00; -0.573674E+03
  0.581892E+04;  0.105043E+04;  0.216144E-01;  0.900000E+04;  0.144000E+03;  0.282439E+00; -0.575134E+03;  0.000000E+00; -0.574852E+03
  0.576702E+04;  0.104902E+04;  0.284948E-01;  0.900000E+04;  0.144000E+03;  0.280523E+00; -0.574492E+03;  0.000000E+00; -0.574211E+03
  0.568806E+04;  0.104193E+04;  0.349893E-01;  0.900000E+04;  0.144000E+03;  0.278233E+00; -0.574316E+03;  0.000000E+00; -0.574038E+03
  0.564681E+04;  0.107109E+04;  0.337046E-01;  0.900000E+04;  0.144000E+03;  0.278723E+00; -0.572360E+03;  0.000000E+00; -0.572082E+03
  0.558563E+04;  0.107893E+04;  0.314001E-01;  0.900000E+04;  0.144000E+03;  0.279557E+00; -0.571723E+03;  0.000000E+00; -0.571443E+03
  0.558930E+04;  0.109038E+04;  0.338191E-01;  0.900000E+04;  0.144000E+03;  0.278680E+00; -0.571286E+03;  0.000000E+00; -0.571008E+03
  0.565583E+04;  0.111346E+04;  0.315270E-01;  0.900000E+04;  0.144000E+03;  0.279512E+00; -0.570385E+03;  0.000000E+00; -0.570105E+03
  0.561261E+04;  0.111194E+04;  0.369289E-01;  0.900000E+04;  0.144000E+03;  0.277458E+00; -0.570491E+03;  0.000000E+00; -0.570214E+03
  0.554631E+04;  0.110455E+04;  0.352071E-01;  0.900000E+04;  0.144000E+03;  0.278148E+00; -0.570747E+03;  0.000000E+00; -0.570469E+03
  0.558528E+04;  0.109292E+04;  0.347120E-01;  0.900000E+04;  0.144000E+03;  0.278340E+00; -0.571205E+03;  0.000000E+00; -0.570927E+03
  0.563727E+04;  0.112410E+04;  0.322014E-01;  0.900000E+04;  0.144000E+03;  0.279274E+00; -0.569924E+03;  0.000000E+00; -0.569645E+03
  0.568244E+04;  0.111294E+04;  0.333468E-01;  0.900000E+04;  0.144000E+03;  0.278856E+00; -0.570576E+03;  0.000000E+00; -0.570297E+03
  0.565823E+04;  0.111283E+04;  0.342754E-01;  0.900000E+04;  0.144000E+03;  0.278508E+00; -0.570492E+03;  0.000000E+00; -0.570213E+03
  0.569666E+04;  0.111557E+04;  0.380587E-01;  0.900000E+04;  0.144000E+03;  0.276987E+00; -0.570660E+03;  0.000000E+00; -0.570383E+03
  0.566012E+04;  0.112131E+04;  0.374741E-01;  0.900000E+04;  0.144000E+03;  0.277233E+00; -0.570247E+03;  0.000000E+00; -0.569970E+03
  0.553524E+04;  0.111310E+04;  0.323731E-01;  0.900000E+04;  0.144000E+03;  0.279212E+00; -0.570306E+03;  0.000000E+00; -0.570027E+03
  0.547829E+04;  0.109792E+04;  0.258185E-01;  0.900000E+04;  0.144000E+03;  0.281331E+00; -0.570818E+03;  0.000000E+00; -0.570536E+03
  0.554756E+04;  0.109942E+04;  0.247939E-01;  0.900000E+04;  0.144000E+03;  0.281619E+00; -0.570560E+03;  0.000000E+00; -0.570279E+03
  0.546071E+04;  0.108732E+04;  0.246537E-01;  0.900000E+04;  0.144000E+03;  0.281658E+00; -0.571288E+03;  0.000000E+00; -0.571006E+03
  0.547335E+04;  0.111101E+04;  0.193554E-01;  0.900000E+04;  0.144000E+03;  0.282953E+00; -0.570084E+03;  0.000000E+00; -0.569801E+03
  0.545393E+04;  0.111789E+04;  0.113587E-01;  0.900000E+04;  0.144000E+03;  0.284317E+00; -0.569670E+03;  0.000000E+00; -0.569386E+03
  0.557289E+04;  0.113306E+04;  0.110852E-01;  0.900000E+04;  0.144000E+03;  0.284352E+00; -0.569059E+03;  0.000000E+00; -0.568775E+03
  0.556478E+04;  0.115435E+04;  0.663184E-02;  0.900000E+04;  0.144000E+03;  0.284790E+00; -0.568398E+03;  0.000000E+00; -0.568113E+03
  0.572018E+04;  0.116502E+04; -0.168381E-02;  0.900000E+04;  0.144000E+03;  0.285019E+00; -0.569015E+03;  0.000000E+00; -0.568730E+03
  0.563306E+04;  0.117836E+04;  0.476012E-02;  0.900000E+04;  0.144000E+03;  0.284908E+00; -0.568036E+03;  0.000000E+00; -0.567751E+03
  0.547138E+04;  0.115693E+04;  0.822951E-02;  0.900000E+04;  0.144000E+03;  0.284658E+00; -0.568418E+03;  0.000000E+00; -0.568133E+03
