"Pr" "Mp" "Q_2" "Q_9"
1.01 3452.633 2659.49 3924.754
1.011 3482.318 2700.324 3949.65
1.012 3509.951 2738.364 3973.099
1.013 3535.839 2773.62 3995.303
1.014 3560.221 2806.957 4016.116
1.015 3583.291 2838.361 4036.044
1.016 3605.204 2867.928 4054.76
1.017 3626.091 2895.941 4073.028
1.018 3646.061 2922.872 4090.335
1.019 3665.204 2948.603 4106.984
1.02 3683.6 2973.088 4122.872
1.021 3701.315 2996.834 4138.339
1.022 3718.409 3019.585 4153.378
1.024 3734.931 3041.345 4168.08
1.025 3750.927 3062.547 4182.207
1.026 3766.437 3083.111 4195.823
1.027 3781.494 3103.032 4209.079
1.028 3796.132 3122.314 4222.086
1.029 3810.377 3141.2 4234.803
1.03 3824.256 3159.535 4247.224
1.031 3837.791 3177.18 4259.411
1.032 3851.003 3194.547 4271.264
1.033 3863.91 3211.536 4282.964
1.034 3876.531 3228.081 4294.199
1.035 3888.88 3244.197 4305.354
1.036 3900.972 3259.965 4316.334
1.037 3912.82 3275.198 4327.083
1.038 3924.437 3290.387 4337.706
1.04 3935.835 3305.139 4348.071
1.041 3947.022 3319.508 4358.338
1.042 3958.01 3333.605 4368.322
1.043 3968.807 3347.531 4378.303
1.044 3979.422 3360.926 4387.915
1.045 3989.863 3374.327 4397.36
1.046 4000.137 3387.451 4406.709
1.047 4010.25 3400.413 4415.912
1.048 4020.21 3413.471 4425.152
1.049 4030.022 3426.268 4434.243
1.05 4039.693 3438.612 4443.185
1.052 4049.227 3450.896 4451.913
1.053 4058.629 3462.902 4460.639
1.054 4067.905 3474.665 4469.396
1.055 4077.059 3486.368 4477.958
1.056 4086.095 3497.897 4486.364
1.057 4095.017 3509.144 4494.574
1.058 4103.83 3520.246 4502.705
1.059 4112.536 3531.129 4510.815
1.06 4121.139 3541.954 4518.918
1.062 4129.643 3552.542 4526.907
1.063 4138.05 3563.036 4534.761
1.064 4146.364 3573.558 4542.523
1.065 4154.587 3583.799 4550.268
1.066 4162.723 3594.079 4557.907
1.067 4170.773 3604.094 4565.509
1.068 4178.741 3613.988 4572.974
1.07 4186.628 3623.67 4580.394
1.071 4194.437 3633.377 4587.725
1.072 4202.17 3643.062 4594.974
1.073 4209.83 3652.559 4602.163
1.074 4217.417 3662.004 4609.249
1.075 4224.935 3671.425 4616.284
1.076 4232.384 3680.542 4623.325
1.078 4239.767 3689.518 4630.318
1.079 4247.085 3698.654 4637.165
1.08 4254.341 3707.61 4644.023
1.081 4261.535 3716.556 4650.872
1.082 4268.669 3725.584 4657.603
1.083 4275.744 3734.186 4664.378
1.085 4282.763 3742.907 4671.067
1.086 4289.725 3751.605 4677.68
1.087 4296.634 3760.098 4684.349
1.088 4303.489 3768.681 4690.932
1.089 4310.292 3777.144 4697.392
1.091 4317.044 3785.338 4703.836
1.092 4323.747 3793.487 4710.269
1.093 4330.402 3801.632 4716.612
1.094 4337.008 3809.727 4722.842
1.095 4343.569 3817.773 4729.309
1.096 4350.084 3825.658 4735.636
1.098 4356.554 3833.48 4741.926
1.099 4362.981 3841.254 4748.12
1.1 4369.365 3848.99 4754.242
1.101 4375.708 3856.76 4760.393
1.103 4382.009 3864.37 4766.451
1.104 4388.271 3872.029 4772.513
1.105 4394.493 3879.538 4778.641
1.106 4400.677 3887.049 4784.705
1.107 4406.823 3894.579 4790.58
1.109 4412.931 3902.101 4796.446
1.11 4419.004 3909.44 4802.308
1.111 4425.041 3916.728 4808.086
1.112 4431.043 3924.05 4813.904
1.114 4437.01 3931.232 4819.658
1.115 4442.944 3938.408 4825.473
1.116 4448.845 3945.408 4831.271
1.117 4454.713 3952.407 4836.965
1.119 4460.55 3959.464 4842.687
1.12 4466.355 3966.44 4848.306
1.121 4472.13 3973.351 4853.894
1.122 4477.874 3980.398 4859.502
1.124 4483.589 3987.247 4864.982
1.125 4489.274 3994.002 4870.473
1.126 4494.931 4000.766 4876.019
1.127 4500.559 4007.487 4881.535
1.129 4506.16 4014.239 4887.038
1.13 4511.734 4020.949 4892.478
1.131 4517.281 4027.554 4897.934
1.133 4522.801 4034.055 4903.28
1.134 4528.296 4040.729 4908.701
1.135 4533.765 4047.158 4914.043
1.136 4539.209 4053.688 4919.418
1.138 4544.629 4060.075 4924.741
1.139 4550.024 4066.581 4929.969
1.14 4555.395 4072.985 4935.251
1.142 4560.743 4079.258 4940.565
1.143 4566.068 4085.61 4945.758
1.144 4571.37 4091.918 4950.97
1.145 4576.649 4098.12 4956.154
1.147 4581.907 4104.263 4961.326
1.148 4587.142 4110.59 4966.449
1.149 4592.357 4116.755 4971.49
1.151 4597.55 4122.833 4976.668
1.152 4602.722 4128.96 4981.736
1.153 4607.874 4135.084 4986.826
1.155 4613.006 4141.23 4991.819
1.156 4618.117 4147.196 4996.842
1.157 4623.21 4153.195 5001.898
1.159 4628.283 4159.038 5006.878
1.16 4633.337 4164.887 5011.822
1.161 4638.372 4170.798 5016.815
1.163 4643.389 4176.715 5021.86
1.164 4648.387 4182.578 5026.765
1.166 4653.368 4188.37 5031.761
1.167 4658.331 4194.278 5036.696
1.168 4663.276 4200.175 5041.569
1.17 4668.204 4206.018 5046.409
1.171 4673.115 4211.674 5051.329
1.172 4678.01 4217.277 5056.129
1.174 4682.888 4222.952 5060.967
1.175 4687.75 4228.678 5065.823
1.176 4692.595 4234.381 5070.687
1.178 4697.425 4239.992 5075.58
1.179 4702.239 4245.646 5080.376
1.181 4707.038 4251.218 5085.147
1.182 4711.822 4256.823 5089.93
1.183 4716.59 4262.361 5094.634
1.185 4721.344 4267.831 5099.295
1.186 4726.083 4273.278 5104.045
1.188 4730.808 4278.814 5108.787
1.189 4735.518 4284.16 5113.472
1.19 4740.214 4289.561 5118.088
1.192 4744.897 4294.941 5122.738
1.193 4749.566 4300.361 5127.411
1.195 4754.221 4305.689 5132.117
1.196 4758.863 4310.995 5136.768
1.198 4763.492 4316.245 5141.336
1.199 4768.107 4321.536 5146.032
1.2 4772.71 4326.894 5150.657
1.202 4777.3 4332.223 5155.237
1.203 4781.878 4337.533 5159.779
1.205 4786.443 4342.766 5164.298
1.206 4790.997 4347.963 5168.879
1.208 4795.538 4353.313 5173.455
1.209 4800.067 4358.523 5178.059
1.211 4804.584 4363.783 5182.603
1.212 4809.09 4368.812 5187.154
1.214 4813.584 4373.863 5191.718
1.215 4818.067 4378.966 5196.246
1.217 4822.539 4384.185 5200.707
1.218 4826.999 4389.239 5205.098
1.22 4831.449 4394.354 5209.63
1.221 4835.888 4399.488 5214.056
1.222 4840.316 4404.572 5218.544
1.224 4844.734 4409.618 5222.9
1.225 4849.142 4414.665 5227.322
1.227 4853.539 4419.663 5231.735
1.229 4857.926 4424.731 5236.143
1.23 4862.302 4429.691 5240.553
1.232 4866.669 4434.636 5245.012
1.233 4871.027 4439.571 5249.364
1.235 4875.374 4444.387 5253.818
1.236 4879.712 4449.282 5258.303
1.238 4884.04 4454.162 5262.655
1.239 4888.359 4459.034 5266.973
1.241 4892.669 4463.942 5271.345
1.242 4896.97 4468.846 5275.747
1.244 4901.262 4473.718 5280.09
1.245 4905.544 4478.584 5284.41
1.247 4909.818 4483.483 5288.788
1.248 4914.083 4488.296 5293.108
1.25 4918.34 4493.204 5297.469
