Pos;Ech;Form;Seuil;NBan;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.144000E+03;  0.284479E+00; -0.584180E+03;  0.000000E+00; -0.583895E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.900000E+04;  0.144000E+03;  0.283858E+00; -0.581509E+03;  0.000000E+00; -0.581226E+03
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.900000E+04;  0.144000E+03;  0.283739E+00; -0.581494E+03;  0.000000E+00; -0.581210E+03
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.900000E+04;  0.144000E+03;  0.282918E+00; -0.577306E+03;  0.000000E+00; -0.577023E+03
  0.582259E+04;  0.104933E+04;  0.170197E-01;  0.900000E+04;  0.144000E+03;  0.283425E+00; -0.575198E+03;  0.000000E+00; -0.574914E+03
  0.575268E+04;  0.105368E+04;  0.244356E-01;  0.900000E+04;  0.144000E+03;  0.281717E+00; -0.574008E+03;  0.000000E+00; -0.573727E+03
  0.581892E+04;  0.105043E+04;  0.216144E-01;  0.900000E+04;  0.144000E+03;  0.282439E+00; -0.575113E+03;  0.000000E+00; -0.574831E+03
  0.576702E+04;  0.104902E+04;  0.284948E-01;  0.900000E+04;  0.144000E+03;  0.280523E+00; -0.574576E+03;  0.000000E+00; -0.574296E+03
  0.568806E+04;  0.104193E+04;  0.349893E-01;  0.900000E+04;  0.144000E+03;  0.278233E+00; -0.574511E+03;  0.000000E+00; -0.574233E+03
  0.564681E+04;  0.107109E+04;  0.337046E-01;  0.900000E+04;  0.144000E+03;  0.278723E+00; -0.572585E+03;  0.000000E+00; -0.572307E+03
  0.558563E+04;  0.107893E+04;  0.314001E-01;  0.900000E+04;  0.144000E+03;  0.279557E+00; -0.571954E+03;  0.000000E+00; -0.571674E+03
  0.558930E+04;  0.109038E+04;  0.338191E-01;  0.900000E+04;  0.144000E+03;  0.278680E+00; -0.571549E+03;  0.000000E+00; -0.571270E+03
  0.565583E+04;  0.111346E+04;  0.315270E-01;  0.900000E+04;  0.144000E+03;  0.279512E+00; -0.570615E+03;  0.000000E+00; -0.570335E+03
  0.561261E+04;  0.111194E+04;  0.369289E-01;  0.900000E+04;  0.144000E+03;  0.277458E+00; -0.570789E+03;  0.000000E+00; -0.570512E+03
  0.554631E+04;  0.110455E+04;  0.352071E-01;  0.900000E+04;  0.144000E+03;  0.278148E+00; -0.571047E+03;  0.000000E+00; -0.570769E+03
  0.558528E+04;  0.109292E+04;  0.347120E-01;  0.900000E+04;  0.144000E+03;  0.278340E+00; -0.571480E+03;  0.000000E+00; -0.571201E+03
  0.563727E+04;  0.112410E+04;  0.322014E-01;  0.900000E+04;  0.144000E+03;  0.279274E+00; -0.570174E+03;  0.000000E+00; -0.569894E+03
  0.568244E+04;  0.111294E+04;  0.333468E-01;  0.900000E+04;  0.144000E+03;  0.278856E+00; -0.570813E+03;  0.000000E+00; -0.570535E+03
  0.565823E+04;  0.111283E+04;  0.342754E-01;  0.900000E+04;  0.144000E+03;  0.278508E+00; -0.570747E+03;  0.000000E+00; -0.570469E+03
  0.569666E+04;  0.111557E+04;  0.380587E-01;  0.900000E+04;  0.144000E+03;  0.276987E+00; -0.570942E+03;  0.000000E+00; -0.570665E+03
  0.566012E+04;  0.112131E+04;  0.374741E-01;  0.900000E+04;  0.144000E+03;  0.277233E+00; -0.570538E+03;  0.000000E+00; -0.570261E+03
  0.553524E+04;  0.111310E+04;  0.323731E-01;  0.900000E+04;  0.144000E+03;  0.279212E+00; -0.570585E+03;  0.000000E+00; -0.570306E+03
  0.547829E+04;  0.109792E+04;  0.258185E-01;  0.900000E+04;  0.144000E+03;  0.281331E+00; -0.571047E+03;  0.000000E+00; -0.570766E+03
  0.554756E+04;  0.109942E+04;  0.247939E-01;  0.900000E+04;  0.144000E+03;  0.281619E+00; -0.570757E+03;  0.000000E+00; -0.570475E+03
  0.546071E+04;  0.108732E+04;  0.246537E-01;  0.900000E+04;  0.144000E+03;  0.281658E+00; -0.571506E+03;  0.000000E+00; -0.571224E+03
  0.547335E+04;  0.111101E+04;  0.193554E-01;  0.900000E+04;  0.144000E+03;  0.282953E+00; -0.570269E+03;  0.000000E+00; -0.569986E+03
  0.545393E+04;  0.111789E+04;  0.113587E-01;  0.900000E+04;  0.144000E+03;  0.284317E+00; -0.569806E+03;  0.000000E+00; -0.569522E+03
  0.557289E+04;  0.113306E+04;  0.110852E-01;  0.900000E+04;  0.144000E+03;  0.284352E+00; -0.569165E+03;  0.000000E+00; -0.568881E+03
  0.556478E+04;  0.115435E+04;  0.663184E-02;  0.900000E+04;  0.144000E+03;  0.284790E+00; -0.568495E+03;  0.000000E+00; -0.568210E+03
  0.572018E+04;  0.116502E+04; -0.168381E-02;  0.900000E+04;  0.144000E+03;  0.285019E+00; -0.569012E+03;  0.000000E+00; -0.568727E+03
  0.563306E+04;  0.117836E+04;  0.476012E-02;  0.900000E+04;  0.144000E+03;  0.284908E+00; -0.568119E+03;  0.000000E+00; -0.567834E+03
  0.547138E+04;  0.115693E+04;  0.474994E-02;  0.900000E+04;  0.144000E+03;  0.284909E+00; -0.568480E+03;  0.000000E+00; -0.568196E+03
  0.553037E+04;  0.116655E+04;  0.139255E-01;  0.900000E+04;  0.144000E+03;  0.283957E+00; -0.568331E+03;  0.000000E+00; -0.568047E+03
  0.548670E+04;  0.114487E+04;  0.973032E-02;  0.900000E+04;  0.144000E+03;  0.284508E+00; -0.568855E+03;  0.000000E+00; -0.568571E+03
  0.557581E+04;  0.113315E+04;  0.114787E-01;  0.900000E+04;  0.144000E+03;  0.284302E+00; -0.569175E+03;  0.000000E+00; -0.568890E+03
  0.551502E+04;  0.114688E+04;  0.142957E-01;  0.900000E+04;  0.144000E+03;  0.283899E+00; -0.568858E+03;  0.000000E+00; -0.568574E+03
  0.557611E+04;  0.114957E+04;  0.209134E-01;  0.900000E+04;  0.144000E+03;  0.282604E+00; -0.568917E+03;  0.000000E+00; -0.568635E+03
  0.562059E+04;  0.111180E+04;  0.158071E-01;  0.900000E+04;  0.144000E+03;  0.283646E+00; -0.570090E+03;  0.000000E+00; -0.569807E+03
  0.564201E+04;  0.111483E+04;  0.153037E-01;  0.900000E+04;  0.144000E+03;  0.283733E+00; -0.570060E+03;  0.000000E+00; -0.569777E+03
  0.568502E+04;  0.113115E+04;  0.240634E-01;  0.900000E+04;  0.144000E+03;  0.281817E+00; -0.569901E+03;  0.000000E+00; -0.569619E+03
  0.568264E+04;  0.113115E+04;  0.163209E-01;  0.900000E+04;  0.144000E+03;  0.283554E+00; -0.569749E+03;  0.000000E+00; -0.569466E+03
  0.575350E+04;  0.113489E+04;  0.110678E-01;  0.900000E+04;  0.144000E+03;  0.284354E+00; -0.570195E+03;  0.000000E+00; -0.569911E+03
