Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.100000E+05;  0.154000E+03;  0.284479E+00; -0.460068E+03;  0.000000E+00; -0.459783E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.100000E+05;  0.154000E+03;  0.283858E+00; -0.457244E+03;  0.000000E+00; -0.456960E+03
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.100000E+05;  0.154000E+03;  0.283739E+00; -0.457203E+03;  0.000000E+00; -0.456919E+03
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.100000E+05;  0.154000E+03;  0.282918E+00; -0.452614E+03;  0.000000E+00; -0.452331E+03
  0.582259E+04;  0.104933E+04;  0.170197E-01;  0.100000E+05;  0.154000E+03;  0.283425E+00; -0.450595E+03;  0.000000E+00; -0.450312E+03
  0.575268E+04;  0.105368E+04;  0.244356E-01;  0.100000E+05;  0.154000E+03;  0.281717E+00; -0.448954E+03;  0.000000E+00; -0.448673E+03
  0.581892E+04;  0.103423E+04;  0.216144E-01;  0.100000E+05;  0.154000E+03;  0.282439E+00; -0.451282E+03;  0.000000E+00; -0.451000E+03
  0.576702E+04;  0.103282E+04;  0.284948E-01;  0.100000E+05;  0.154000E+03;  0.280523E+00; -0.450254E+03;  0.000000E+00; -0.449974E+03
  0.568806E+04;  0.102573E+04;  0.349893E-01;  0.100000E+05;  0.154000E+03;  0.278233E+00; -0.449494E+03;  0.000000E+00; -0.449216E+03
  0.564681E+04;  0.105489E+04;  0.337046E-01;  0.100000E+05;  0.154000E+03;  0.278723E+00; -0.447636E+03;  0.000000E+00; -0.447357E+03
  0.558563E+04;  0.106273E+04;  0.314001E-01;  0.100000E+05;  0.154000E+03;  0.279557E+00; -0.446874E+03;  0.000000E+00; -0.446594E+03
  0.558930E+04;  0.107418E+04;  0.338191E-01;  0.100000E+05;  0.154000E+03;  0.278680E+00; -0.446479E+03;  0.000000E+00; -0.446200E+03
  0.565583E+04;  0.109726E+04;  0.325037E-01;  0.100000E+05;  0.154000E+03;  0.279165E+00; -0.446039E+03;  0.000000E+00; -0.445760E+03
  0.561261E+04;  0.109574E+04;  0.379057E-01;  0.100000E+05;  0.154000E+03;  0.277052E+00; -0.445864E+03;  0.000000E+00; -0.445587E+03
  0.554631E+04;  0.108835E+04;  0.361838E-01;  0.100000E+05;  0.154000E+03;  0.277761E+00; -0.445864E+03;  0.000000E+00; -0.445586E+03
  0.558528E+04;  0.107671E+04;  0.356888E-01;  0.100000E+05;  0.154000E+03;  0.277958E+00; -0.446391E+03;  0.000000E+00; -0.446113E+03
  0.558600E+04;  0.110790E+04;  0.331781E-01;  0.100000E+05;  0.154000E+03;  0.278919E+00; -0.445313E+03;  0.000000E+00; -0.445034E+03
  0.563117E+04;  0.109674E+04;  0.383820E-01;  0.100000E+05;  0.154000E+03;  0.276850E+00; -0.445931E+03;  0.000000E+00; -0.445655E+03
  0.560696E+04;  0.109662E+04;  0.393107E-01;  0.100000E+05;  0.154000E+03;  0.276449E+00; -0.445824E+03;  0.000000E+00; -0.445547E+03
  0.564539E+04;  0.109936E+04;  0.430939E-01;  0.100000E+05;  0.154000E+03;  0.274717E+00; -0.445967E+03;  0.000000E+00; -0.445692E+03
  0.560885E+04;  0.110511E+04;  0.425093E-01;  0.100000E+05;  0.154000E+03;  0.274995E+00; -0.445589E+03;  0.000000E+00; -0.445314E+03
  0.548397E+04;  0.109690E+04;  0.374083E-01;  0.100000E+05;  0.154000E+03;  0.277260E+00; -0.445578E+03;  0.000000E+00; -0.445301E+03
  0.542702E+04;  0.108172E+04;  0.308538E-01;  0.100000E+05;  0.154000E+03;  0.279746E+00; -0.446014E+03;  0.000000E+00; -0.445735E+03
  0.549629E+04;  0.108322E+04;  0.298292E-01;  0.100000E+05;  0.154000E+03;  0.280091E+00; -0.445864E+03;  0.000000E+00; -0.445584E+03
  0.540944E+04;  0.107112E+04;  0.296889E-01;  0.100000E+05;  0.154000E+03;  0.280137E+00; -0.446389E+03;  0.000000E+00; -0.446109E+03
  0.542208E+04;  0.109481E+04;  0.243907E-01;  0.100000E+05;  0.154000E+03;  0.281729E+00; -0.445483E+03;  0.000000E+00; -0.445201E+03
  0.540265E+04;  0.110169E+04;  0.163939E-01;  0.100000E+05;  0.154000E+03;  0.283541E+00; -0.445204E+03;  0.000000E+00; -0.444920E+03
  0.552162E+04;  0.111686E+04;  0.192144E-01;  0.100000E+05;  0.154000E+03;  0.282983E+00; -0.444778E+03;  0.000000E+00; -0.444495E+03
  0.551351E+04;  0.113815E+04;  0.147610E-01;  0.100000E+05;  0.154000E+03;  0.283824E+00; -0.444240E+03;  0.000000E+00; -0.443957E+03
  0.566891E+04;  0.114882E+04;  0.644538E-02;  0.100000E+05;  0.154000E+03;  0.284803E+00; -0.444829E+03;  0.000000E+00; -0.444544E+03
  0.558179E+04;  0.116216E+04;  0.128893E-01;  0.100000E+05;  0.154000E+03;  0.284111E+00; -0.443944E+03;  0.000000E+00; -0.443659E+03
  0.542011E+04;  0.114073E+04;  0.163587E-01;  0.100000E+05;  0.154000E+03;  0.283548E+00; -0.444249E+03;  0.000000E+00; -0.443965E+03
  0.547909E+04;  0.115035E+04;  0.255343E-01;  0.100000E+05;  0.154000E+03;  0.281412E+00; -0.444037E+03;  0.000000E+00; -0.443755E+03
  0.543543E+04;  0.112867E+04;  0.213391E-01;  0.100000E+05;  0.154000E+03;  0.282505E+00; -0.444528E+03;  0.000000E+00; -0.444245E+03
  0.552454E+04;  0.111695E+04;  0.230875E-01;  0.100000E+05;  0.154000E+03;  0.282073E+00; -0.444808E+03;  0.000000E+00; -0.444526E+03
  0.546375E+04;  0.113068E+04;  0.259045E-01;  0.100000E+05;  0.154000E+03;  0.281306E+00; -0.444488E+03;  0.000000E+00; -0.444207E+03
  0.552484E+04;  0.113337E+04;  0.325222E-01;  0.100000E+05;  0.154000E+03;  0.279158E+00; -0.444479E+03;  0.000000E+00; -0.444200E+03
