Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.100000E+05;  0.172333E+03;  0.284479E+00; -0.458628E+03;  0.000000E+00; -0.458344E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.100000E+05;  0.172333E+03;  0.283858E+00; -0.455960E+03;  0.000000E+00; -0.455677E+03
  0.597360E+04;  0.100280E+04;  0.152703E-01;  0.100000E+05;  0.172333E+03;  0.283739E+00; -0.457042E+03;  0.000000E+00; -0.456758E+03
  0.586290E+04;  0.101647E+04;  0.195195E-01;  0.100000E+05;  0.172333E+03;  0.282918E+00; -0.452400E+03;  0.000000E+00; -0.452118E+03
  0.582259E+04;  0.103550E+04;  0.170197E-01;  0.100000E+05;  0.172333E+03;  0.283425E+00; -0.450362E+03;  0.000000E+00; -0.450078E+03
  0.575268E+04;  0.103985E+04;  0.244356E-01;  0.100000E+05;  0.172333E+03;  0.281717E+00; -0.448716E+03;  0.000000E+00; -0.448434E+03
  0.581892E+04;  0.102041E+04;  0.216144E-01;  0.100000E+05;  0.172333E+03;  0.282439E+00; -0.451058E+03;  0.000000E+00; -0.450775E+03
  0.576702E+04;  0.101899E+04;  0.284948E-01;  0.100000E+05;  0.172333E+03;  0.280523E+00; -0.450031E+03;  0.000000E+00; -0.449750E+03
  0.568806E+04;  0.101191E+04;  0.349893E-01;  0.100000E+05;  0.172333E+03;  0.278233E+00; -0.449280E+03;  0.000000E+00; -0.449002E+03
  0.564681E+04;  0.104107E+04;  0.337046E-01;  0.100000E+05;  0.172333E+03;  0.278723E+00; -0.447406E+03;  0.000000E+00; -0.447127E+03
  0.558563E+04;  0.104890E+04;  0.314001E-01;  0.100000E+05;  0.172333E+03;  0.279557E+00; -0.446644E+03;  0.000000E+00; -0.446365E+03
  0.558930E+04;  0.106035E+04;  0.338191E-01;  0.100000E+05;  0.172333E+03;  0.278680E+00; -0.446247E+03;  0.000000E+00; -0.445968E+03
  0.565583E+04;  0.108343E+04;  0.325037E-01;  0.100000E+05;  0.172333E+03;  0.279165E+00; -0.445796E+03;  0.000000E+00; -0.445516E+03
  0.561261E+04;  0.108192E+04;  0.379057E-01;  0.100000E+05;  0.172333E+03;  0.277052E+00; -0.445627E+03;  0.000000E+00; -0.445350E+03
