"Pr" "Mp" "Q_2" "Q_9"
1.01 3357.128 2442.798 3885.357
1.011 3389.996 2490.648 3911.099
1.012 3420.574 2534.556 3935.685
1.013 3449.203 2574.846 3959.1
1.014 3476.153 2613.032 3981.155
1.015 3501.638 2649.166 4001.969
1.016 3525.835 2683.266 4021.903
1.017 3548.888 2714.85 4040.998
1.018 3570.918 2746.27 4059.227
1.019 3592.029 2776.137 4077.046
1.02 3612.306 2803.916 4093.833
1.021 3631.826 2831.316 4110.078
1.022 3650.653 2857.48 4126.076
1.024 3668.845 2882.839 4141.408
1.025 3686.451 2907.265 4156.413
1.026 3703.515 2930.545 4170.813
1.027 3720.077 2952.609 4184.98
1.028 3736.172 2974.189 4198.916
1.029 3751.831 2994.986 4212.249
1.03 3767.082 3015.793 4225.441
1.031 3781.951 3035.743 4238.229
1.032 3796.46 3055.413 4250.919
1.033 3810.631 3074.676 4263.073
1.034 3824.483 3093.537 4275.224
1.035 3838.034 3111.268 4287.109
1.036 3851.299 3129.332 4298.793
1.037 3864.294 3146.49 4310.151
1.038 3877.031 3164.22 4321.257
1.04 3889.525 3180.971 4332.52
1.041 3901.785 3197.179 4343.445
1.042 3913.824 3213.429 4354.078
1.043 3925.651 3228.93 4364.541
1.044 3937.276 3244.105 4374.821
1.045 3948.707 3259.196 4385.113
1.046 3959.953 3273.777 4395.14
1.047 3971.021 3288.122 4405.246
1.048 3981.918 3302.545 4415.047
1.049 3992.652 3316.614 4424.806
1.05 4003.228 3330.361 4434.345
1.052 4013.653 3344.418 4443.704
1.053 4023.932 3357.904 4453.079
1.054 4034.07 3371.104 4462.271
1.055 4044.073 3383.989 4471.464
1.056 4053.945 3396.968 4480.534
1.057 4063.692 3409.734 4489.419
1.058 4073.316 3422.731 4498.168
1.059 4082.822 3435.074 4507.044
1.06 4092.214 3446.986 4515.721
1.062 4101.496 3459.368 4524.255
1.063 4110.671 3470.957 4532.631
1.064 4119.742 3482.607 4541.018
1.065 4128.713 3494.363 4549.344
1.066 4137.587 3505.782 4557.578
1.067 4146.366 3516.755 4565.805
1.068 4155.053 3527.694 4573.881
1.07 4163.651 3538.621 4581.998
1.071 4172.163 3549.788 4590.036
1.072 4180.59 3560.422 4597.946
1.073 4188.935 3571.054 4605.817
1.074 4197.201 3581.403 4613.718
1.075 4205.389 3591.798 4621.537
1.076 4213.502 3602.126 4629.194
1.078 4221.541 3612.562 4636.869
1.079 4229.508 3622.554 4644.407
1.08 4237.406 3632.282 4651.882
1.081 4245.235 3641.837 4659.286
1.082 4252.998 3651.54 4666.574
1.083 4260.696 3661.276 4673.732
1.085 4268.331 3670.915 4681.128
1.086 4275.904 3680.321 4688.36
1.087 4283.417 3689.514 4695.493
1.088 4290.87 3699.013 4702.647
1.089 4298.267 3708.261 4709.628
1.091 4305.607 3717.572 4716.692
1.092 4312.891 3726.841 4723.763
1.093 4320.123 3735.564 4730.704
1.094 4327.301 3744.494 4737.685
1.095 4334.428 3753.288 4744.53
1.096 4341.504 3761.955 4751.535
1.098 4348.532 3770.838 4758.124
1.099 4355.511 3779.63 4764.926
1.1 4362.442 3788.044 4771.632
1.101 4369.328 3796.564 4778.574
1.103 4376.168 3805.06 4785.161
1.104 4382.963 3813.476 4791.605
1.105 4389.715 3821.569 4798.164
1.106 4396.424 3829.963 4804.66
1.107 4403.091 3838.224 4810.974
1.109 4409.718 3846.498 4817.244
1.11 4416.304 3854.714 4823.621
1.111 4422.85 3862.626 4829.986
1.112 4429.358 3870.764 4836.33
1.114 4435.827 3878.783 4842.604
1.115 4442.259 3886.614 4848.946
1.116 4448.655 3894.474 4855.199
1.117 4455.014 3902.156 4861.425
1.119 4461.339 3909.971 4867.583
1.12 4467.628 3917.621 4873.647
1.121 4473.883 3925.399 4879.852
