"Pr" "Mp" "Q_2" "Q_9"
1.01 3301.517 2401.471 3882.369
1.011 3334.596 2450.845 3908.587
1.012 3365.366 2495.995 3933.282
1.013 3394.171 2538.054 3956.243
1.014 3421.282 2577.785 3978.249
1.015 3446.917 2614.814 3999.165
1.016 3471.253 2650.041 4019.229
1.017 3494.437 2683.173 4038.304
1.018 3516.589 2715.876 4056.74
1.019 3537.814 2746.429 4074.446
1.02 3558.2 2776.177 4091.438
1.021 3577.822 2804.41 4107.951
1.022 3596.746 2831.361 4123.845
1.024 3615.03 2857.396 4139.55
1.025 3632.723 2882.271 4154.568
1.026 3649.871 2906.879 4169.483
1.027 3666.513 2930.447 4183.877
1.028 3682.684 2953.283 4197.904
1.029 3698.416 2975.386 4211.682
1.03 3713.737 2996.795 4225.047
1.031 3728.673 3017.752 4238.068
1.032 3743.246 3038.134 4250.706
1.033 3757.48 3057.441 4263.393
1.034 3771.391 3076.621 4275.726
1.035 3785 3095.714 4287.838
1.036 3798.32 3114.098 4299.684
1.037 3811.368 3132.251 4311.214
1.038 3824.157 3150.095 4322.717
1.04 3836.701 3167.766 4333.836
1.041 3849.009 3184.664 4344.743
1.042 3861.095 3201.273 4355.815
1.043 3872.967 3217.519 4366.605
1.044 3884.635 3233.946 4377.203
1.045 3896.109 3249.641 4387.627
1.046 3907.395 3264.983 4397.904
1.047 3918.503 3280.515 4407.85
1.048 3929.439 3295.178 4417.725
1.049 3940.21 3309.635 4427.37
1.05 3950.823 3324.346 4436.933
1.052 3961.283 3338.725 4446.433
1.053 3971.596 3352.746 4455.884
1.054 3981.768 3366.49 4465.392
1.055 3991.803 3379.75 4474.68
1.056 4001.707 3392.817 4484.038
1.057 4011.484 3405.93 4493.084
1.058 4021.138 3418.75 4502.166
1.059 4030.673 3431.464 4511.005
1.06 4040.093 3444.05 4519.72
1.062 4049.403 3456.561 4528.226
1.063 4058.604 3468.887 4536.842
1.064 4067.702 3481.239 4545.376
1.065 4076.698 3493.181 4553.822
1.066 4085.596 3504.898 4562.086
1.067 4094.399 3516.269 4570.64
1.068 4103.11 3527.561 4578.832
1.07 4111.731 3538.704 4587.044
1.071 4120.265 3549.803 4594.816
1.072 4128.714 3560.492 4602.907
1.073 4137.08 3571.364 4610.939
1.074 4145.366 3582.042 4618.966
1.075 4153.574 3592.604 4626.883
1.076 4161.707 3603.221 4634.582
1.078 4169.765 3613.292 4642.355
1.079 4177.751 3623.408 4649.943
1.08 4185.666 3633.71 4657.508
1.081 4193.513 3643.966 4665.223
1.082 4201.293 3654.197 4672.713
1.083 4209.008 3663.916 4680.151
1.085 4216.659 3673.801 4687.386
1.086 4224.248 3683.308 4694.729
1.087 4231.777 3692.833 4702.021
1.088 4239.245 3702.307 4709.309
1.089 4246.656 3711.692 4716.371
1.091 4254.011 3721.033 4723.544
1.092 4261.31 3730.337 4730.617
1.093 4268.554 3739.635 4737.686
1.094 4275.746 3748.49 4744.744
1.095 4282.886 3757.659 4751.555
1.096 4289.975 3766.903 4758.493
1.098 4297.014 3775.791 4765.537
1.099 4304.005 3784.171 4772.506
1.1 4310.949 3792.874 4779.323
1.101 4317.845 3801.442 4786.072
1.103 4324.696 3809.703 4792.697
1.104 4331.502 3818.047 4799.445
1.105 4338.265 3826.395 4806.238
1.106 4344.984 3834.82 4812.719
