"Shape" "Thres" "Nban"
0.169 8000 154
0.165 8000 154
0.165 8000 154
0.114 8000 154
0.063 8000 154
0.19 8000 154
0.031 8000 154
0.057 8000 154
-0.002 8000 154
0.121 8000 154
0.07 8000 154
0.126 8000 154
0.055 8000 154
0.004 8000 154
0.097 8000 154
-0.085 8000 154
0.073 8000 154
0.07 8000 154
0 8000 154
0.009 8000 154
-0.042 8000 154
-0.002 8000 154
0.054 8000 154
0.047 8000 154
0.09 8000 154
0.11 8000 154
-0.046 8000 154
-0.088 8000 154
0.089 8000 154
0.1 8000 154
-0.014 8000 154
0.065 8000 154
0.004 8000 154
0.089 8000 154
0.06 8000 154
-0.032 8000 154
-0.02 8000 154
-0.091 8000 154
0.019 8000 154
-0.043 8000 154
-0.082 8000 154
0.06 8000 154
0.04 8000 154
0.04 8000 154
0 8000 154
-0.049 8000 154
-0.159 8000 154
-0.159 8000 154
-0.127 8000 154
0.008 8000 154
0.046 8000 154
0.113 8000 154
0.029 8000 154
0.017 8000 154
0.128 8000 154
0.065 8000 154
0.045 8000 154
0.185 8000 154
0.159 8000 154
0.025 8000 154
0.191 8000 154
0.042 8000 154
0.118 8000 154
0.089 8000 154
0.008 8000 154
0.008 8000 154
-0.125 8000 154
-0.148 8000 154
-0.043 8000 154
-0.021 8000 154
-0.06 8000 154
0.059 8000 154
0.059 8000 154
-0.013 8000 154
-0.027 8000 154
0.018 8000 154
0.026 8000 154
0.131 8000 154
0.129 8000 154
-0.062 8000 154
0.059 8000 154
0.027 8000 154
0.058 8000 154
0.072 8000 154
0.068 8000 154
0.09 8000 154
0.09 8000 154
-0.035 8000 154
-0.067 8000 154
0.024 8000 154
-0.036 8000 154
0.119 8000 154
0.082 8000 154
0.084 8000 154
0.084 8000 154
0.084 8000 154
0.13 8000 154
0.044 8000 154
0.019 8000 154
0.137 8000 154
0.132 8000 154
-0.032 8000 154
-0.02 8000 154
-0.02 8000 154
0.009 8000 154
-0.032 8000 154
0.002 8000 154
0.036 8000 154
0.145 8000 154
0.11 8000 154
-0.105 8000 154
-0.05 8000 154
0.021 8000 154
-0.009 8000 154
0.127 8000 154
0.007 8000 154
-0.067 8000 154
-0.067 8000 154
0.017 8000 154
0.017 8000 154
-0.094 8000 154
0.139 8000 154
-0.056 8000 154
-0.091 8000 154
-0.061 8000 154
-0.023 8000 154
0.166 8000 154
0.245 8000 154
0.263 8000 154
0.183 8000 154
0.055 8000 154
0.157 8000 154
0.062 8000 154
0.031 8000 154
-0.001 8000 154
0.096 8000 154
0.199 8000 154
0.182 8000 154
-0.007 8000 154
-0.119 8000 154
0.012 8000 154
0.181 8000 154
0.159 8000 154
0.029 8000 154
0.077 8000 154
-0.028 8000 154
-0.12 8000 154
-0.035 8000 154
0.114 8000 154
0.1 8000 154
0.105 8000 154
0.095 8000 154
0.087 8000 154
0.053 8000 154
0.072 8000 154
0.025 8000 154
0.031 8000 154
0.136 8000 154
0.16 8000 154
0.16 8000 154
0.036 8000 154
0.081 8000 154
0.081 8000 154
0.117 8000 154
0.235 8000 154
0.03 8000 154
0.018 8000 154
0.018 8000 154
0.038 8000 154
0.038 8000 154
0.058 8000 154
0.152 8000 154
0.216 8000 154
-0.051 8000 154
0.02 8000 154
0.051 8000 154
0.075 8000 154
0.049 8000 154
0.017 8000 154
0.117 8000 154
0.115 8000 154
0.115 8000 154
-0.095 8000 154
-0.097 8000 154
-0.18 8000 154
0.046 8000 154
-0.01 8000 154
0.003 8000 154
-0.019 8000 154
0.089 8000 154
0.051 8000 154
-0.025 8000 154
-0.025 8000 154
0.077 8000 154
0.09 8000 154
0.123 8000 154
0.058 8000 154
0.081 8000 154
0.056 8000 154
0.135 8000 154
0.108 8000 154
0.117 8000 154
0.101 8000 154
0.111 8000 154
0.107 8000 154
0.074 8000 154
0.21 8000 154
-0.035 8000 154
0.096 8000 154
0.05 8000 154
0.061 8000 154
0.061 8000 154
0.075 8000 154
0.049 8000 154
-0.012 8000 154
-0.01 8000 154
-0.074 8000 154
-0.025 8000 154
0.03 8000 154
0.031 8000 154
-0.007 8000 154
0.07 8000 154
0.04 8000 154
-0.04 8000 154
0.098 8000 154
-0.194 8000 154
-0.01 8000 154
-0.021 8000 154
-0.021 8000 154
0.077 8000 154
0.076 8000 154
0.147 8000 154
0.111 8000 154
0.075 8000 154
0.02 8000 154
-0.104 8000 154
-0.085 8000 154
0.181 8000 154
0.11 8000 154
0.176 8000 154
0.185 8000 154
0.106 8000 154
0.067 8000 154
0.067 8000 154
0.17 8000 154
0.17 8000 154
0.17 8000 154
0.196 8000 154
0.132 8000 154
0.159 8000 154
0.148 8000 154
0.037 8000 154
0.179 8000 154
0.115 8000 154
0.019 8000 154
0.019 8000 154
0.019 8000 154
0.102 8000 154
0.102 8000 154
0.044 8000 154
0.19 8000 154
0.068 8000 154
0.083 8000 154
0.083 8000 154
0.132 8000 154
0.142 8000 154
0.124 8000 154
0.006 8000 154
0.208 8000 154
0.214 8000 154
0.097 8000 154
0.095 8000 154
0.048 8000 154
0.003 8000 154
0.038 8000 154
0.047 8000 154
-0.157 8000 154
0.004 8000 154
-0.041 8000 154
0.054 8000 154
-0.076 8000 154
0.061 8000 154
0.112 8000 154
0.175 8000 154
0.083 8000 154
0.083 8000 154
-0.127 8000 154
0.099 8000 154
0.077 8000 154
0.077 8000 154
0.016 8000 154
-0.033 8000 154
0.153 8000 154
0.153 8000 154
-0.021 8000 154
-0.009 8000 154
-0.009 8000 154
0.156 8000 154
-0.075 8000 154
0.104 8000 154
0.104 8000 154
0.207 8000 154
0.213 8000 154
0.027 8000 154
-0.009 8000 154
0.004 8000 154
-0.022 8000 154
0.045 8000 154
0.041 8000 154
0.08 8000 154
0.079 8000 154
0.143 8000 154
0.101 8000 154
0.053 8000 154
0.12 8000 154
0.21 8000 154
0.21 8000 154
0.22 8000 154
0.056 8000 154
0.056 8000 154
0.056 8000 154
0.082 8000 154
-0.03 8000 154
0.033 8000 154
0.033 8000 154
0.078 8000 154
0.064 8000 154
-0.003 8000 154
-0.001 8000 154
