"Pr" "Mp" "Q_2" "Q_9"
1.01 3379.685 2423.87 3881.936
1.011 3412.096 2470.217 3907.98
1.012 3442.248 2513.446 3932.049
1.013 3470.477 2552.957 3954.366
1.014 3497.049 2590.417 3975.625
1.015 3522.176 2626.175 3995.745
1.016 3546.032 2659.552 4015.035
1.017 3568.76 2690.964 4033.278
1.018 3590.478 2721.043 4051.059
1.019 3611.289 2749.931 4068.06
1.02 3631.278 2777.936 4084.432
1.021 3650.52 2804.132 4100.376
1.022 3669.078 2830.069 4115.481
1.024 3687.01 2854.403 4130.369
1.025 3704.363 2878.169 4144.794
1.026 3721.183 2901.105 4158.812
1.027 3737.507 2922.969 4172.399
1.028 3753.37 2944.823 4185.661
1.029 3768.803 2966.129 4198.621
1.03 3783.834 2986.271 4211.513
1.031 3798.487 3006.209 4223.893
1.032 3812.786 3025.26 4236.209
1.033 3826.752 3044.515 4248.167
1.034 3840.403 3062.719 4259.99
1.035 3853.756 3080.801 4271.416
1.036 3866.828 3098.371 4282.709
1.037 3879.633 3115.513 4293.879
1.038 3892.185 3132.725 4304.831
1.04 3904.495 3149.106 4315.541
1.041 3916.576 3165.353 4326.076
1.042 3928.438 3180.981 4336.415
1.043 3940.092 3196.13 4346.622
1.044 3951.546 3211.788 4356.551
1.045 3962.808 3226.472 4366.14
1.046 3973.888 3241.508 4375.776
1.047 3984.793 3255.693 4385.206
1.048 3995.53 3269.974 4394.744
1.049 4006.105 3283.933 4404.082
1.05 4016.524 3297.695 4413.211
1.052 4026.795 3311.217 4422.238
1.053 4036.921 3324.793 4431.186
1.054 4046.909 3337.993 4440.019
1.055 4056.764 3351.217 4448.693
1.056 4066.489 3363.847 4457.462
1.057 4076.09 3376.329 4465.894
1.058 4085.571 3388.821 4474.283
1.059 4094.935 3400.785 4482.621
1.06 4104.187 3412.556 4490.93
1.062 4113.33 3424.386 4499.038
1.063 4122.368 3436.021 4507.004
1.064 4131.304 3447.767 4515.118
1.065 4140.14 3459.09 4523.014
1.066 4148.881 3470.502 4530.943
1.067 4157.528 3481.357 4538.776
1.068 4166.085 3492.51 4546.491
1.07 4174.554 3503.532 4554.076
1.071 4182.937 3514.05 4561.562
1.072 4191.237 3524.687 4569.109
1.073 4199.457 3535.232 4576.542
1.074 4207.598 3545.657 4583.874
1.075 4215.662 3556.035 4591.178
1.076 4223.652 3566.308 4598.437
1.078 4231.57 3576.398 4605.576
1.079 4239.417 3586.217 4612.718
1.08 4247.194 3596.279 4619.924
1.081 4254.905 3606.068 4626.901
1.082 4262.55 3616.01 4633.953
1.083 4270.132 3625.78 4640.956
1.085 4277.65 3635.298 4647.87
1.086 4285.108 3644.777 4654.602
1.087 4292.507 3654.201 4661.526
1.088 4299.847 3663.734 4668.248
1.089 4307.13 3673.084 4674.908
1.091 4314.358 3682.059 4681.595
1.092 4321.532 3691.02 4688.173
1.093 4328.653 3700.11 4694.741
1.094 4335.721 3708.938 4701.28
1.095 4342.739 3717.797 4707.67
1.096 4349.708 3726.661 4713.955
1.098 4356.627 3735.032 4720.226
1.099 4363.499 3743.379 4726.442
1.1 4370.325 3751.935 4732.775
1.101 4377.104 3760.381 4739.128
1.103 4383.839 3768.765 4745.352
1.104 4390.53 3777.269 4751.559
1.105 4397.178 3785.557 4757.592
1.106 4403.784 3793.894 4763.745
1.107 4410.349 3802.08 4769.915
1.109 4416.873 3810.299 4776.107
1.11 4423.357 3818.294 4782.032
1.111 4429.803 3826.394 4788.086
1.112 4436.21 3834.408 4794.071
1.114 4442.58 3842.247 4800.003
1.115 4448.912 3850.15 4806.009
1.116 4455.209 3858.007 4811.859
1.117 4461.47 3865.759 4817.56
1.119 4467.696 3873.655 4823.574
1.12 4473.888 3881.589 4829.336
1.121 4480.047 3889.238 4835.129
1.122 4486.172 3896.527 4840.783
1.124 4492.265 3904.07 4846.555
1.125 4498.326 3911.604 4852.276
1.126 4504.355 3919.071 4857.919
1.127 4510.354 3926.475 4863.642
1.129 4516.323 3933.534 4869.336
1.13 4522.261 3940.905 4874.92
1.131 4528.17 3948.122 4880.611
1.133 4534.051 3955.517 4886.23
1.134 4539.903 3962.703 4891.745
1.135 4545.727 3969.805 4897.155
1.136 4551.524 3976.675 4902.52
1.138 4557.294 3983.687 4907.922
1.139 4563.037 3990.747 4913.347
1.14 4568.754 3997.903 4918.724
1.142 4574.445 4004.824 4924.086
1.143 4580.111 4011.48 4929.535
1.144 4585.752 4018.294 4934.905
1.145 4591.369 4025.042 4940.263
1.147 4596.961 4031.739 4945.608
1.148 4602.529 4038.538 4950.889
1.149 4608.074 4045.488 4956.092
1.151 4613.596 4052.143 4961.313
1.152 4619.095 4058.767 4966.515
1.153 4624.572 4065.451 4971.698
1.155 4630.026 4072.028 4976.867
1.156 4635.459 4078.828 4982.061
1.157 4640.87 4085.221 4987.089
1.159 4646.26 4091.96 4992.285
1.16 4651.629 4098.415 4997.366
1.161 4656.978 4104.869 5002.413
1.163 4662.307 4111.315 5007.533
1.164 4667.615 4117.678 5012.625
1.166 4672.904 4124.101 5017.715
1.167 4678.173 4130.441 5022.735
1.168 4683.423 4136.862 5027.605
1.17 4688.654 4142.957 5032.648
1.171 4693.867 4149.16 5037.66
1.172 4699.061 4155.432 5042.471
1.174 4704.238 4161.674 5047.364
1.175 4709.396 4167.83 5052.271
1.176 4714.536 4174.003 5057.178
1.178 4719.66 4179.93 5062.138
1.179 4724.766 4186.057 5067
1.181 4729.855 4192.2 5071.959
1.182 4734.927 4197.929 5076.801
1.183 4739.983 4203.89 5081.628
1.185 4745.023 4209.672 5086.468
1.186 4750.046 4215.545 5091.258
1.188 4755.054 4221.443 5096.077
1.189 4760.046 4227.272 5100.814
1.19 4765.023 4233.114 5105.56
1.192 4769.984 4238.937 5110.438
1.193 4774.93 4244.677 5115.191
1.195 4779.862 4250.596 5119.917
1.196 4784.778 4256.29 5124.601
1.198 4789.681 4262.061 5129.27
1.199 4794.569 4268.116 5133.914
1.2 4799.442 4274.017 5138.625
1.202 4804.302 4279.703 5143.361
1.203 4809.148 4285.513 5148.146
1.205 4813.98 4291.025 5152.937
1.206 4818.799 4296.542 5157.537
1.208 4823.605 4302.156 5162.164
1.209 4828.397 4307.749 5166.79
1.211 4833.177 4313.297 5171.319
1.212 4837.944 4318.809 5176.023
1.214 4842.698 4324.321 5180.602
1.215 4847.439 4329.77 5185.151
1.217 4852.169 4335.297 5189.683
1.218 4856.886 4340.84 5194.262
1.22 4861.591 4346.368 5198.709
1.221 4866.284 4351.747 5203.263
1.222 4870.965 4357.175 5207.756
1.224 4875.635 4362.575 5212.181
1.225 4880.293 4367.954 5216.792
1.227 4884.939 4373.383 5221.367
1.229 4889.575 4378.67 5225.837
1.23 4894.199 4384.162 5230.301
1.232 4898.813 4389.563 5234.671
1.233 4903.416 4394.944 5239.107
1.235 4908.008 4400.284 5243.632
1.236 4912.589 4405.545 5248.139
1.238 4917.16 4410.769 5252.569
1.239 4921.72 4416.212 5256.98
1.241 4926.271 4421.462 5261.453
1.242 4930.811 4426.633 5265.812
1.244 4935.341 4432.1 5270.297
1.245 4939.861 4437.306 5274.73
1.247 4944.372 4442.362 5279.096
1.248 4948.873 4447.591 5283.494
1.25 4953.364 4452.792 5287.753
1.252 4957.846 4457.872 5291.995
1.253 4962.319 4462.821 5296.442
1.255 4966.782 4467.814 5300.801
1.256 4971.236 4473.027 5305.117
1.258 4975.681 4478.173 5309.576
1.259 4980.118 4483.064 5313.905
1.261 4984.545 4488.2 5318.13
1.263 4988.964 4493.176 5322.581
1.264 4993.374 4498.051 5326.915
1.266 4997.776 4503.08 5331.294
1.267 5002.169 4508.073 5335.662
1.269 5006.553 4513.066 5339.919
1.271 5010.93 4517.96 5344.288
1.272 5015.298 4523.088 5348.569
1.274 5019.659 4527.921 5352.863
1.276 5024.011 4532.78 5357.111
1.277 5028.356 4537.715 5361.405
1.279 5032.692 4542.551 5365.64
1.28 5037.021 4547.468 5369.9
1.282 5041.343 4552.381 5374.128
1.284 5045.657 4557.174 5378.334
1.285 5049.963 4561.981 5382.548
1.287 5054.262 4566.728 5386.706
1.289 5058.554 4571.561 5391.023
1.29 5062.838 4576.45 5395.306
1.292 5067.115 4581.389 5399.534
1.294 5071.386 4586.119 5403.823
1.295 5075.649 4590.958 5407.968
1.297 5079.905 4595.576 5412.219
1.299 5084.155 4600.368 5416.285
1.3 5088.398 4605.057 5420.556
1.302 5092.634 4609.752 5424.583
1.304 5096.863 4614.467 5428.647
1.305 5101.086 4619.286 5432.807
1.307 5105.303 4623.979 5436.998
1.309 5109.513 4628.777 5440.995
1.311 5113.717 4633.467 5445.088
1.312 5117.914 4638.053 5449.364
1.314 5122.106 4642.68 5453.511
1.316 5126.291 4647.294 5457.716
1.318 5130.47 4652.047 5461.805
1.319 5134.644 4656.79 5465.844
1.321 5138.811 4661.234 5469.976
1.323 5142.973 4665.914 5474.107
1.325 5147.128 4670.604 5478.239
1.326 5151.278 4675.188 5482.329
1.328 5155.423 4679.636 5486.487
1.33 5159.561 4684.179 5490.604
1.332 5163.695 4688.615 5494.647
1.333 5167.823 4693.152 5498.835
1.335 5171.945 4697.625 5502.938
1.337 5176.062 4702.235 5507.088
1.339 5180.174 4706.777 5511.104
1.34 5184.28 4711.339 5515.19
1.342 5188.382 4715.773 5519.322
1.344 5192.478 4720.318 5523.431
1.346 5196.569 4724.706 5527.513
1.348 5200.655 4729.23 5531.578
1.35 5204.737 4733.842 5535.631
1.351 5208.813 4738.165 5539.571
1.353 5212.884 4742.699 5543.647
1.355 5216.951 4747.221 5547.849
1.357 5221.013 4751.759 5551.796
1.359 5225.071 4756.258 5555.809
1.361 5229.124 4760.598 5559.826
1.362 5233.172 4765.021 5563.754
1.364 5237.216 4769.498 5567.669
1.366 5241.255 4773.904 5571.769
1.368 5245.29 4778.287 5575.753
1.37 5249.32 4782.686 5579.797
1.372 5253.347 4787.154 5583.858
1.374 5257.369 4791.612 5587.8
1.376 5261.386 4795.93 5591.783
1.377 5265.4 4800.4 5595.691
1.379 5269.41 4804.751 5599.787
1.381 5273.415 4809.069 5603.781
1.383 5277.417 4813.396 5607.781
1.385 5281.414 4817.826 5611.711
1.387 5285.408 4822.137 5615.722
1.389 5289.398 4826.537 5619.8
1.391 5293.384 4831.073 5623.877
1.393 5297.366 4835.427 5627.851
1.395 5301.344 4839.819 5631.861
1.397 5305.319 4844.117 5635.894
1.399 5309.29 4848.331 5639.875
1.401 5313.258 4852.672 5643.847
1.403 5317.222 4856.898 5647.714
1.404 5321.183 4861.172 5651.576
1.406 5325.14 4865.472 5655.438
1.408 5329.093 4869.842 5659.328
1.41 5333.044 4874.077 5663.273
1.412 5336.991 4878.339 5667.271
1.414 5340.934 4882.615 5671.273
1.416 5344.875 4886.847 5675.193
1.418 5348.812 4891.026 5679.125
1.42 5352.746 4895.364 5683.053
1.422 5356.677 4899.745 5686.986
1.425 5360.605 4904.076 5690.944
1.427 5364.53 4908.315 5694.932
1.429 5368.452 4912.666 5698.839
1.431 5372.371 4916.943 5702.835
1.433 5376.287 4921.225 5706.755
1.435 5380.201 4925.417 5710.647
1.437 5384.111 4929.568 5714.568
1.439 5388.019 4933.895 5718.434
1.441 5391.923 4938.02 5722.369
1.443 5395.826 4942.069 5726.215
1.445 5399.725 4946.141 5730.159
1.447 5403.622 4950.41 5734.104
1.449 5407.516 4954.728 5737.975
1.451 5411.408 4958.913 5741.887
1.453 5415.297 4963.102 5745.806
1.456 5419.183 4967.392 5749.68
1.458 5423.068 4971.651 5753.616
1.46 5426.949 4975.849 5757.44
1.462 5430.829 4979.964 5761.23
1.464 5434.706 4984.056 5765.035
1.466 5438.581 4988.065 5768.878
1.468 5442.453 4992.178 5772.674
1.471 5446.323 4996.429 5776.478
1.473 5450.191 5000.58 5780.385
1.475 5454.057 5004.686 5784.324
1.477 5457.921 5008.798 5788.149
1.479 5461.783 5012.908 5792.027
1.481 5465.642 5017.187 5795.785
1.484 5469.5 5021.356 5799.636
1.486 5473.355 5025.462 5803.542
1.488 5477.209 5029.594 5807.429
1.49 5481.061 5033.64 5811.244
1.493 5484.91 5037.869 5815.054
1.495 5488.758 5042.074 5818.914
1.497 5492.605 5046.173 5822.734
1.499 5496.449 5050.276 5826.676
1.502 5500.291 5054.381 5830.622
1.504 5504.132 5058.455 5834.459
1.506 5507.971 5062.679 5838.31
1.508 5511.809 5066.854 5842.126
1.511 5515.645 5070.898 5845.977
1.513 5519.479 5074.968 5849.816
1.515 5523.312 5079.131 5853.618
1.517 5527.143 5083.223 5857.454
1.52 5530.973 5087.213 5861.345
1.522 5534.801 5091.439 5865.21
1.524 5538.628 5095.67 5869.053
1.527 5542.453 5099.83 5872.863
1.529 5546.277 5103.941 5876.658
1.531 5550.1 5107.978 5880.563
1.534 5553.921 5112.08 5884.37
1.536 5557.741 5116.128 5888.229
1.538 5561.56 5120.243 5892.1
1.541 5565.378 5124.233 5895.946
1.543 5569.194 5128.339 5899.677
1.546 5573.009 5132.346 5903.45
1.548 5576.823 5136.418 5907.282
1.55 5580.636 5140.51 5911.166
1.553 5584.448 5144.548 5914.976
1.555 5588.259 5148.65 5918.867
1.558 5592.069 5152.619 5922.728
1.56 5595.878 5156.675 5926.644
1.563 5599.686 5160.607 5930.418
1.565 5603.493 5164.572 5934.268
1.567 5607.299 5168.607 5938.069
1.57 5611.104 5172.601 5941.827
1.572 5614.908 5176.683 5945.677
1.575 5618.712 5180.63 5949.554
1.577 5622.515 5184.612 5953.449
1.58 5626.317 5188.619 5957.316
1.582 5630.118 5192.617 5961.227
1.585 5633.919 5196.693 5965.08
1.587 5637.719 5200.662 5968.95
1.59 5641.518 5204.768 5972.706
1.592 5645.317 5208.753 5976.596
1.595 5649.115 5212.655 5980.406
1.597 5652.913 5216.634 5984.235
1.6 5656.71 5220.725 5988.051
1.603 5660.506 5224.754 5991.873
1.605 5664.302 5228.682 5995.722
1.608 5668.098 5232.515 5999.588
1.61 5671.893 5236.447 6003.442
1.613 5675.688 5240.453 6007.304
1.616 5679.482 5244.483 6011.197
1.618 5683.276 5248.582 6015.074
1.621 5687.07 5252.704 6018.94
1.623 5690.864 5256.76 6022.79
1.626 5694.657 5260.634 6026.75
1.629 5698.45 5264.568 6030.566
1.631 5702.243 5268.643 6034.393
1.634 5706.035 5272.546 6038.294
1.637 5709.828 5276.522 6042.017
1.639 5713.62 5280.588 6045.859
1.642 5717.412 5284.69 6049.738
1.645 5721.205 5288.751 6053.639
1.647 5724.997 5292.802 6057.5
1.65 5728.789 5296.709 6061.365
1.653 5732.581 5300.534 6065.205
1.656 5736.373 5304.457 6069.043
1.658 5740.165 5308.361 6072.82
1.661 5743.958 5312.258 6076.669
1.664 5747.75 5316.353 6080.579
1.667 5751.543 5320.339 6084.351
1.669 5755.335 5324.437 6088.162
1.672 5759.128 5328.373 6091.948
1.675 5762.921 5332.258 6095.735
1.678 5766.715 5336.211 6099.523
1.681 5770.508 5340.111 6103.373
1.684 5774.302 5344.056 6107.241
1.686 5778.097 5348.194 6111.063
1.689 5781.891 5352.109 6114.89
1.692 5785.686 5356.106 6118.815
1.695 5789.482 5360.018 6122.512
1.698 5793.277 5364.057 6126.389
1.701 5797.074 5367.99 6130.242
1.704 5800.87 5371.873 6134.095
1.706 5804.668 5375.972 6138.008
1.709 5808.465 5380.014 6141.758
1.712 5812.264 5383.949 6145.612
1.715 5816.062 5387.828 6149.461
1.718 5819.862 5391.833 6153.385
1.721 5823.662 5395.817 6157.14
1.724 5827.463 5399.865 6160.981
1.727 5831.264 5403.868 6164.724
1.73 5835.066 5407.949 6168.479
1.733 5838.869 5411.894 6172.288
1.736 5842.673 5415.865 6176.208
1.739 5846.477 5419.794 6179.999
1.742 5850.282 5423.849 6183.957
1.745 5854.088 5427.774 6187.884
1.748 5857.895 5431.882 6191.697
1.751 5861.703 5435.837 6195.555
1.754 5865.511 5439.873 6199.349
1.757 5869.321 5443.877 6203.261
1.761 5873.131 5447.842 6207.098
1.764 5876.943 5451.909 6211.033
1.767 5880.755 5455.89 6214.869
1.77 5884.569 5459.827 6218.739
1.773 5888.383 5463.809 6222.687
