Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.800000E+04;  0.154000E+03; -0.754222E+01; -0.459766E+03;  0.000000E+00; -0.467309E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.801395E+04;  0.154000E+03; -0.754293E+01; -0.457152E+03;  0.000000E+00; -0.464695E+03
  0.589980E+04;  0.100167E+04;  0.223482E-01;  0.800188E+04;  0.154000E+03; -0.754444E+01; -0.455970E+03;  0.000000E+00; -0.463514E+03
  0.588159E+04;  0.992350E+03;  0.264625E-01;  0.801463E+04;  0.154000E+03; -0.754566E+01; -0.456317E+03;  0.000000E+00; -0.463862E+03
  0.587926E+04;  0.995086E+03;  0.287160E-01;  0.805070E+04;  0.154000E+03; -0.754753E+01; -0.456242E+03;  0.000000E+00; -0.463790E+03
  0.577339E+04;  0.100347E+04;  0.286776E-01;  0.804990E+04;  0.154000E+03; -0.754747E+01; -0.453855E+03;  0.000000E+00; -0.461403E+03
  0.565601E+04;  0.101366E+04;  0.294280E-01;  0.804575E+04;  0.154000E+03; -0.754752E+01; -0.452326E+03;  0.000000E+00; -0.459874E+03
  0.574279E+04;  0.105131E+04;  0.231386E-01;  0.804682E+04;  0.154000E+03; -0.754573E+01; -0.450272E+03;  0.000000E+00; -0.457818E+03
  0.565271E+04;  0.105191E+04;  0.160768E-01;  0.804374E+04;  0.154000E+03; -0.754405E+01; -0.449655E+03;  0.000000E+00; -0.457199E+03
  0.570145E+04;  0.106663E+04;  0.227261E-01;  0.806455E+04;  0.154000E+03; -0.754661E+01; -0.449273E+03;  0.000000E+00; -0.456820E+03
  0.565535E+04;  0.107345E+04;  0.231778E-01;  0.806177E+04;  0.154000E+03; -0.754655E+01; -0.448757E+03;  0.000000E+00; -0.456303E+03
  0.551927E+04;  0.109208E+04;  0.112889E-01;  0.806604E+04;  0.154000E+03; -0.754455E+01; -0.447934E+03;  0.000000E+00; -0.455479E+03
  0.558537E+04;  0.109118E+04;  0.155528E-01;  0.808622E+04;  0.154000E+03; -0.754672E+01; -0.447983E+03;  0.000000E+00; -0.455530E+03
  0.555466E+04;  0.109871E+04;  0.162825E-01;  0.808658E+04;  0.154000E+03; -0.754688E+01; -0.447763E+03;  0.000000E+00; -0.455309E+03
  0.553310E+04;  0.110137E+04;  0.187511E-01;  0.809921E+04;  0.154000E+03; -0.754853E+01; -0.447914E+03;  0.000000E+00; -0.455463E+03
  0.558233E+04;  0.110137E+04;  0.163694E-01;  0.811069E+04;  0.154000E+03; -0.754927E+01; -0.447744E+03;  0.000000E+00; -0.455293E+03
  0.551024E+04;  0.112257E+04;  0.745039E-02;  0.811451E+04;  0.154000E+03; -0.754852E+01; -0.447024E+03;  0.000000E+00; -0.454573E+03
