Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.800000E+04;  0.154000E+03; -0.123755E+02; -0.461176E+03;  0.000000E+00; -0.473551E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.801395E+04;  0.153378E+03; -0.123754E+02; -0.458430E+03;  0.000000E+00; -0.470805E+03
  0.598685E+04;  0.102991E+04;  0.100420E-01;  0.801330E+04;  0.153149E+03; -0.123746E+02; -0.457971E+03;  0.000000E+00; -0.470346E+03
  0.593961E+04;  0.102817E+04;  0.799845E-02;  0.803334E+04;  0.154159E+03; -0.123761E+02; -0.456735E+03;  0.000000E+00; -0.469111E+03
  0.595602E+04;  0.103411E+04;  0.888166E-02;  0.803354E+04;  0.153849E+03; -0.123757E+02; -0.456714E+03;  0.000000E+00; -0.469090E+03
  0.589055E+04;  0.102589E+04;  0.102536E-01;  0.804498E+04;  0.154512E+03; -0.123773E+02; -0.455487E+03;  0.000000E+00; -0.467864E+03
  0.589234E+04;  0.103157E+04;  0.912500E-02;  0.804620E+04;  0.155173E+03; -0.123783E+02; -0.455136E+03;  0.000000E+00; -0.467515E+03
  0.594108E+04;  0.104301E+04;  0.102248E-01;  0.805680E+04;  0.156044E+03; -0.123808E+02; -0.455545E+03;  0.000000E+00; -0.467926E+03
  0.589104E+04;  0.106236E+04;  0.130131E-01;  0.805595E+04;  0.156176E+03; -0.123814E+02; -0.452840E+03;  0.000000E+00; -0.465221E+03
  0.580325E+04;  0.106189E+04;  0.101955E-01;  0.801617E+04;  0.156154E+03; -0.123795E+02; -0.451097E+03;  0.000000E+00; -0.463477E+03
  0.577697E+04;  0.108780E+04;  0.668403E-02;  0.803461E+04;  0.155772E+03; -0.123788E+02; -0.449456E+03;  0.000000E+00; -0.461835E+03
  0.575269E+04;  0.109723E+04;  0.267542E-02;  0.805205E+04;  0.155622E+03; -0.123791E+02; -0.448823E+03;  0.000000E+00; -0.461202E+03
  0.574700E+04;  0.111186E+04;  0.438223E-02;  0.805254E+04;  0.154728E+03; -0.123775E+02; -0.448128E+03;  0.000000E+00; -0.460505E+03
  0.565660E+04;  0.111244E+04;  0.739715E-02;  0.804364E+04;  0.154165E+03; -0.123764E+02; -0.447420E+03;  0.000000E+00; -0.459796E+03
  0.552169E+04;  0.110133E+04;  0.700569E-02;  0.802854E+04;  0.154950E+03; -0.123771E+02; -0.447669E+03;  0.000000E+00; -0.460047E+03
  0.556253E+04;  0.109322E+04;  0.691901E-02;  0.800683E+04;  0.154856E+03; -0.123765E+02; -0.447783E+03;  0.000000E+00; -0.460160E+03
  0.558088E+04;  0.109511E+04; -0.633758E-03;  0.802847E+04;  0.155233E+03; -0.123773E+02; -0.447760E+03;  0.000000E+00; -0.460137E+03
  0.564050E+04;  0.109618E+04; -0.389454E-02;  0.803701E+04;  0.155553E+03; -0.123783E+02; -0.447900E+03;  0.000000E+00; -0.460278E+03
  0.562639E+04;  0.109620E+04; -0.105820E-01;  0.805005E+04;  0.154663E+03; -0.123778E+02; -0.447938E+03;  0.000000E+00; -0.460316E+03
  0.552577E+04;  0.110573E+04; -0.128966E-01;  0.805189E+04;  0.155625E+03; -0.123800E+02; -0.447322E+03;  0.000000E+00; -0.459702E+03
  0.553382E+04;  0.110329E+04; -0.159663E-01;  0.805876E+04;  0.154781E+03; -0.123793E+02; -0.447472E+03;  0.000000E+00; -0.459852E+03
  0.549623E+04;  0.110329E+04; -0.791252E-02;  0.807566E+04;  0.154870E+03; -0.123795E+02; -0.447756E+03;  0.000000E+00; -0.460135E+03
  0.553135E+04;  0.109612E+04; -0.335029E-02;  0.808910E+04;  0.154055E+03; -0.123791E+02; -0.448176E+03;  0.000000E+00; -0.460555E+03
  0.545143E+04;  0.109857E+04; -0.510520E-02;  0.808962E+04;  0.154079E+03; -0.123792E+02; -0.448401E+03;  0.000000E+00; -0.460780E+03
