"Pr" "Mp" "Q_2" "Q_9"
1.01 3065.519 2631.793 3367.963
1.011 3096.504 2667.744 3395.957
1.012 3125.337 2701.177 3422.009
1.013 3152.34 2732.489 3446.473
1.014 3177.764 2761.845 3469.513
1.015 3201.813 2789.63 3491.361
1.016 3224.65 2815.888 3512.102
1.017 3246.412 2840.866 3531.949
1.018 3267.213 2864.957 3551.075
1.019 3287.149 2887.854 3569.245
1.02 3306.301 2909.887 3586.649
1.021 3324.741 2930.986 3603.417
1.022 3342.53 2951.285 3619.767
1.024 3359.721 2970.867 3635.599
1.025 3376.361 2989.938 3650.881
1.026 3392.491 3008.326 3665.859
1.027 3408.149 3026.05 3680.148
1.028 3423.367 3043.335 3694.111
1.029 3438.175 3060.199 3707.806
1.03 3452.599 3076.533 3721.066
1.031 3466.664 3092.595 3734.131
1.032 3480.39 3108.181 3746.772
1.033 3493.798 3123.318 3759.207
1.034 3506.906 3138.004 3771.259
1.035 3519.73 3152.518 3783.178
1.036 3532.285 3166.631 3794.857
1.037 3544.585 3180.433 3806.161
1.038 3556.644 3194.066 3817.302
1.04 3568.473 3207.485 3828.4
1.041 3580.082 3220.501 3839.176
1.042 3591.483 3233.31 3849.848
1.043 3602.684 3245.774 3860.246
1.044 3613.695 3258.196 3870.468
1.045 3624.523 3270.4 3880.504
1.046 3635.177 3282.421 3890.433
1.047 3645.664 3294.1 3900.211
1.048 3655.989 3305.705 3909.853
1.049 3666.161 3317.094 3919.333
1.05 3676.185 3328.177 3928.72
1.052 3686.065 3339.185 3937.937
1.053 3695.809 3350.128 3947.019
1.054 3705.42 3360.874 3956.05
1.055 3714.903 3371.408 3964.954
1.056 3724.264 3381.835 3973.667
1.057 3733.505 3392.098 3982.241
1.058 3742.632 3402.285 3990.782
1.059 3751.647 3412.368 3999.257
1.06 3760.556 3422.261 4007.583
1.062 3769.36 3432.077 4015.862
1.063 3778.063 3441.826 4024.022
1.064 3786.669 3451.496 4032.139
1.065 3795.181 3460.961 4040.13
1.066 3803.6 3470.337 4048.069
1.067 3811.931 3479.503 4055.972
1.068 3820.175 3488.557 4063.663
1.07 3828.335 3497.578 4071.302
1.071 3836.413 3506.5 4078.861
1.072 3844.412 3515.357 4086.364
1.073 3852.334 3524.206 4093.79
1.074 3860.181 3533.02 4101.189
1.075 3867.955 3541.629 4108.509
1.076 3875.658 3550.097 4115.8
1.078 3883.291 3558.59 4123.017
1.079 3890.857 3566.989 4130.174
1.08 3898.357 3575.283 4137.271
1.081 3905.793 3583.512 4144.322
1.082 3913.166 3591.68 4151.232
1.083 3920.478 3599.808 4158.218
1.085 3927.73 3607.773 4164.983
1.086 3934.925 3615.542 4171.792
1.087 3942.062 3623.444 4178.543
1.088 3949.144 3631.224 4185.302
1.089 3956.172 3638.951 4191.911
1.091 3963.146 3646.651 4198.495
1.092 3970.069 3654.296 4205.025
1.093 3976.941 3661.923 4211.479
1.094 3983.764 3669.388 4217.941
1.095 3990.538 3676.723 4224.39
1.096 3997.264 3684.115 4230.775
1.098 4003.944 3691.412 4237.082
1.099 4010.579 3698.737 4243.353
1.1 4017.169 3705.982 4249.684
1.101 4023.715 3713.125 4255.91
1.103 4030.219 3720.257 4262.142
1.104 4036.681 3727.335 4268.283
1.105 4043.101 3734.391 4274.375
1.106 4049.482 3741.325 4280.462
1.107 4055.822 3748.151 4286.484
1.109 4062.125 3755.102 4292.567
1.11 4068.389 3761.882 4298.584
1.111 4074.616 3768.666 4304.489
1.112 4080.807 3775.406 4310.456
1.114 4086.961 3782.145 4316.3
1.115 4093.081 3788.805 4322.124
1.116 4099.166 3795.371 4327.946
1.117 4105.217 3801.972 4333.687
1.119 4111.234 3808.527 4339.382
1.12 4117.219 3815.103 4345.157
1.121 4123.172 3821.67 4350.85
1.122 4129.093 3828.193 4356.585
1.124 4134.984 3834.577 4362.152
1.125 4140.843 3840.951 4367.724
1.126 4146.673 3847.339 4373.311
1.127 4152.474 3853.631 4378.847
1.129 4158.245 3859.875 4384.409
1.13 4163.988 3866.094 4389.918
1.131 4169.703 3872.246 4395.444
1.133 4175.391 3878.378 4400.837
1.134 4181.051 3884.568 4406.279
1.135 4186.685 3890.672 4411.711
1.136 4192.292 3896.723 4417.089
1.138 4197.874 3902.768 4422.441
1.139 4203.431 3908.748 4427.722
1.14 4208.962 3914.709 4433.023
1.142 4214.469 3920.696 4438.308
1.143 4219.951 3926.562 4443.571
1.144 4225.41 3932.416 4448.824
1.145 4230.846 3938.317 4454.013
1.147 4236.258 3944.145 4459.211
1.148 4241.648 3949.925 4464.344
1.149 4247.015 3955.675 4469.545
1.151 4252.36 3961.546 4474.718
1.152 4257.683 3967.32 4479.865
1.153 4262.985 3973.094 4484.99
1.155 4268.266 3978.779 4490.049
1.156 4273.526 3984.389 4495.144
1.157 4278.766 3990.127 4500.179
1.159 4283.985 3995.767 4505.163
1.16 4289.184 4001.348 4510.109
1.161 4294.364 4006.928 4515.08
1.163 4299.525 4012.403 4520.089
1.164 4304.666 4018.012 4525.035
1.166 4309.789 4023.491 4529.976
1.167 4314.893 4029.048 4534.909
1.168 4319.979 4034.545 4539.766
1.17 4325.047 4040.019 4544.708
1.171 4330.097 4045.42 4549.575
1.172 4335.13 4050.838 4554.479
1.174 4340.145 4056.211 4559.286
1.175 4345.143 4061.506 4564.111
1.176 4350.125 4066.861 4568.914
1.178 4355.09 4072.201 4573.692
1.179 4360.038 4077.492 4578.514
1.181 4364.97 4082.837 4583.293
