Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.700000E+04;  0.309545E+03;  0.284479E+00; -0.197519E+04;  0.000000E+00; -0.197491E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.700000E+04;  0.309545E+03;  0.283858E+00; -0.195337E+04;  0.000000E+00; -0.195308E+04
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.700000E+04;  0.309545E+03;  0.283739E+00; -0.195286E+04;  0.000000E+00; -0.195258E+04
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.700000E+04;  0.309545E+03;  0.282918E+00; -0.191518E+04;  0.000000E+00; -0.191490E+04
  0.581515E+04;  0.105107E+04;  0.195447E-01;  0.700000E+04;  0.309545E+03;  0.282912E+00; -0.189739E+04;  0.000000E+00; -0.189711E+04
  0.574524E+04;  0.105542E+04;  0.269606E-01;  0.700000E+04;  0.309545E+03;  0.280996E+00; -0.188133E+04;  0.000000E+00; -0.188105E+04
  0.574524E+04;  0.105218E+04;  0.241394E-01;  0.700000E+04;  0.309545E+03;  0.281797E+00; -0.188312E+04;  0.000000E+00; -0.188283E+04
  0.569333E+04;  0.106193E+04;  0.310198E-01;  0.700000E+04;  0.309545E+03;  0.279689E+00; -0.187101E+04;  0.000000E+00; -0.187073E+04
  0.561437E+04;  0.106576E+04;  0.375143E-01;  0.700000E+04;  0.309545E+03;  0.277216E+00; -0.185966E+04;  0.000000E+00; -0.185938E+04
  0.557313E+04;  0.109492E+04;  0.362296E-01;  0.700000E+04;  0.309545E+03;  0.277742E+00; -0.185030E+04;  0.000000E+00; -0.185002E+04
  0.547787E+04;  0.110275E+04;  0.339251E-01;  0.700000E+04;  0.309545E+03;  0.278640E+00; -0.184254E+04;  0.000000E+00; -0.184226E+04
  0.543280E+04;  0.111420E+04;  0.363442E-01;  0.700000E+04;  0.309545E+03;  0.277696E+00; -0.183850E+04;  0.000000E+00; -0.183822E+04
  0.543280E+04;  0.113728E+04;  0.350287E-01;  0.700000E+04;  0.309545E+03;  0.278218E+00; -0.183567E+04;  0.000000E+00; -0.183539E+04
  0.538958E+04;  0.114411E+04;  0.404307E-01;  0.700000E+04;  0.309545E+03;  0.275953E+00; -0.183322E+04;  0.000000E+00; -0.183294E+04
  0.532328E+04;  0.113671E+04;  0.387088E-01;  0.700000E+04;  0.309545E+03;  0.276710E+00; -0.183252E+04;  0.000000E+00; -0.183224E+04
  0.525046E+04;  0.113234E+04;  0.382138E-01;  0.700000E+04;  0.309545E+03;  0.276922E+00; -0.183239E+04;  0.000000E+00; -0.183211E+04
  0.525118E+04;  0.116352E+04;  0.357031E-01;  0.700000E+04;  0.309545E+03;  0.277953E+00; -0.182924E+04;  0.000000E+00; -0.182896E+04
  0.529635E+04;  0.116352E+04;  0.409070E-01;  0.700000E+04;  0.309545E+03;  0.275738E+00; -0.182955E+04;  0.000000E+00; -0.182928E+04
  0.527214E+04;  0.116340E+04;  0.418357E-01;  0.700000E+04;  0.309545E+03;  0.275311E+00; -0.182943E+04;  0.000000E+00; -0.182915E+04
  0.531057E+04;  0.117223E+04;  0.456189E-01;  0.700000E+04;  0.309545E+03;  0.273473E+00; -0.182900E+04;  0.000000E+00; -0.182873E+04
  0.523923E+04;  0.117798E+04;  0.450343E-01;  0.700000E+04;  0.309545E+03;  0.273767E+00; -0.182827E+04;  0.000000E+00; -0.182800E+04
  0.523923E+04;  0.116976E+04;  0.399333E-01;  0.700000E+04;  0.309545E+03;  0.276175E+00; -0.182880E+04;  0.000000E+00; -0.182852E+04
  0.518228E+04;  0.115458E+04;  0.333788E-01;  0.700000E+04;  0.309545E+03;  0.278845E+00; -0.183033E+04;  0.000000E+00; -0.183005E+04
  0.525156E+04;  0.115608E+04;  0.323542E-01;  0.700000E+04;  0.309545E+03;  0.279219E+00; -0.182987E+04;  0.000000E+00; -0.182959E+04
  0.516471E+04;  0.114398E+04;  0.322139E-01;  0.700000E+04;  0.309545E+03;  0.279269E+00; -0.183154E+04;  0.000000E+00; -0.183126E+04
  0.517735E+04;  0.116767E+04;  0.269157E-01;  0.700000E+04;  0.309545E+03;  0.281010E+00; -0.182904E+04;  0.000000E+00; -0.182876E+04
  0.515792E+04;  0.117455E+04;  0.189189E-01;  0.700000E+04;  0.309545E+03;  0.283046E+00; -0.182857E+04;  0.000000E+00; -0.182829E+04
  0.527688E+04;  0.118973E+04;  0.217394E-01;  0.700000E+04;  0.309545E+03;  0.282409E+00; -0.182733E+04;  0.000000E+00; -0.182705E+04
  0.526877E+04;  0.121102E+04;  0.172860E-01;  0.700000E+04;  0.309545E+03;  0.283374E+00; -0.182597E+04;  0.000000E+00; -0.182569E+04
  0.537043E+04;  0.122169E+04;  0.897039E-02;  0.700000E+04;  0.309545E+03;  0.284587E+00; -0.182769E+04;  0.000000E+00; -0.182740E+04
  0.528331E+04;  0.123503E+04;  0.154143E-01;  0.700000E+04;  0.309545E+03;  0.283714E+00; -0.182491E+04;  0.000000E+00; -0.182462E+04
  0.512163E+04;  0.121360E+04;  0.188837E-01;  0.700000E+04;  0.309545E+03;  0.283053E+00; -0.182643E+04;  0.000000E+00; -0.182615E+04
  0.518061E+04;  0.122322E+04;  0.280593E-01;  0.700000E+04;  0.309545E+03;  0.280660E+00; -0.182523E+04;  0.000000E+00; -0.182495E+04
  0.518061E+04;  0.120154E+04;  0.238641E-01;  0.700000E+04;  0.309545E+03;  0.281870E+00; -0.182647E+04;  0.000000E+00; -0.182619E+04
  0.526973E+04;  0.119615E+04;  0.256125E-01;  0.700000E+04;  0.309545E+03;  0.281390E+00; -0.182677E+04;  0.000000E+00; -0.182649E+04
  0.520894E+04;  0.120988E+04;  0.284295E-01;  0.700000E+04;  0.309545E+03;  0.280544E+00; -0.182581E+04;  0.000000E+00; -0.182553E+04
  0.527003E+04;  0.121256E+04;  0.350472E-01;  0.700000E+04;  0.309545E+03;  0.278210E+00; -0.182570E+04;  0.000000E+00; -0.182542E+04
  0.531450E+04;  0.120501E+04;  0.299408E-01;  0.700000E+04;  0.309545E+03;  0.280054E+00; -0.182663E+04;  0.000000E+00; -0.182635E+04
  0.533592E+04;  0.120804E+04;  0.294375E-01;  0.700000E+04;  0.309545E+03;  0.280220E+00; -0.182681E+04;  0.000000E+00; -0.182653E+04
  0.537894E+04;  0.122436E+04;  0.381971E-01;  0.700000E+04;  0.309545E+03;  0.276929E+00; -0.182660E+04;  0.000000E+00; -0.182632E+04
  0.537656E+04;  0.122436E+04;  0.304547E-01;  0.700000E+04;  0.309545E+03;  0.279882E+00; -0.182674E+04;  0.000000E+00; -0.182646E+04
  0.537656E+04;  0.122810E+04;  0.252016E-01;  0.700000E+04;  0.309545E+03;  0.281506E+00; -0.182671E+04;  0.000000E+00; -0.182643E+04
  0.526017E+04;  0.125796E+04;  0.250296E-01;  0.700000E+04;  0.309545E+03;  0.281554E+00; -0.182355E+04;  0.000000E+00; -0.182327E+04
  0.518543E+04;  0.126493E+04;  0.245002E-01;  0.700000E+04;  0.309545E+03;  0.281699E+00; -0.182336E+04;  0.000000E+00; -0.182308E+04
  0.530852E+04;  0.127558E+04;  0.293145E-01;  0.700000E+04;  0.309545E+03;  0.280260E+00; -0.182334E+04;  0.000000E+00; -0.182306E+04
  0.530924E+04;  0.128881E+04;  0.255930E-01;  0.700000E+04;  0.309545E+03;  0.281395E+00; -0.182308E+04;  0.000000E+00; -0.182280E+04
  0.532577E+04;  0.129993E+04;  0.300325E-01;  0.700000E+04;  0.309545E+03;  0.280023E+00; -0.182297E+04;  0.000000E+00; -0.182269E+04
  0.519034E+04;  0.128723E+04;  0.314745E-01;  0.700000E+04;  0.309545E+03;  0.279531E+00; -0.182265E+04;  0.000000E+00; -0.182237E+04
  0.519891E+04;  0.128661E+04;  0.350056E-01;  0.700000E+04;  0.309545E+03;  0.278227E+00; -0.182263E+04;  0.000000E+00; -0.182235E+04
  0.521470E+04;  0.130655E+04;  0.394117E-01;  0.700000E+04;  0.309545E+03;  0.276405E+00; -0.182211E+04;  0.000000E+00; -0.182183E+04
  0.524075E+04;  0.130160E+04;  0.480591E-01;  0.700000E+04;  0.309545E+03;  0.272203E+00; -0.182222E+04;  0.000000E+00; -0.182194E+04
  0.525331E+04;  0.130728E+04;  0.487214E-01;  0.700000E+04;  0.309545E+03;  0.271847E+00; -0.182210E+04;  0.000000E+00; -0.182183E+04
  0.524975E+04;  0.132059E+04;  0.507257E-01;  0.700000E+04;  0.309545E+03;  0.270739E+00; -0.182187E+04;  0.000000E+00; -0.182160E+04
  0.529580E+04;  0.131977E+04;  0.460907E-01;  0.700000E+04;  0.309545E+03;  0.273232E+00; -0.182207E+04;  0.000000E+00; -0.182179E+04
  0.535372E+04;  0.131320E+04;  0.537246E-01;  0.700000E+04;  0.309545E+03;  0.268999E+00; -0.182285E+04;  0.000000E+00; -0.182258E+04
  0.535686E+04;  0.127493E+04;  0.650706E-01;  0.700000E+04;  0.309545E+03;  0.261511E+00; -0.182399E+04;  0.000000E+00; -0.182373E+04
  0.523637E+04;  0.129408E+04;  0.523278E-01;  0.700000E+04;  0.309545E+03;  0.269822E+00; -0.182247E+04;  0.000000E+00; -0.182220E+04
  0.537620E+04;  0.131023E+04;  0.541641E-01;  0.700000E+04;  0.309545E+03;  0.268736E+00; -0.182331E+04;  0.000000E+00; -0.182304E+04
  0.541082E+04;  0.129027E+04;  0.587326E-01;  0.700000E+04;  0.309545E+03;  0.265870E+00; -0.182452E+04;  0.000000E+00; -0.182425E+04
  0.530511E+04;  0.127102E+04;  0.603062E-01;  0.700000E+04;  0.309545E+03;  0.264830E+00; -0.182348E+04;  0.000000E+00; -0.182322E+04
  0.536338E+04;  0.129638E+04;  0.569113E-01;  0.700000E+04;  0.309545E+03;  0.267040E+00; -0.182336E+04;  0.000000E+00; -0.182310E+04
  0.525753E+04;  0.130677E+04;  0.516207E-01;  0.700000E+04;  0.309545E+03;  0.270230E+00; -0.182214E+04;  0.000000E+00; -0.182187E+04
  0.529377E+04;  0.130553E+04;  0.460709E-01;  0.700000E+04;  0.309545E+03;  0.273242E+00; -0.182229E+04;  0.000000E+00; -0.182202E+04
  0.524337E+04;  0.130611E+04;  0.554137E-01;  0.700000E+04;  0.309545E+03;  0.267975E+00; -0.182222E+04;  0.000000E+00; -0.182196E+04
  0.535118E+04;  0.129946E+04;  0.550685E-01;  0.700000E+04;  0.309545E+03;  0.268187E+00; -0.182309E+04;  0.000000E+00; -0.182282E+04
  0.541085E+04;  0.130615E+04;  0.514944E-01;  0.700000E+04;  0.309545E+03;  0.270303E+00; -0.182420E+04;  0.000000E+00; -0.182393E+04
  0.541085E+04;  0.130310E+04;  0.479730E-01;  0.700000E+04;  0.309545E+03;  0.272249E+00; -0.182432E+04;  0.000000E+00; -0.182405E+04
  0.542041E+04;  0.128714E+04;  0.579051E-01;  0.700000E+04;  0.309545E+03;  0.266406E+00; -0.182485E+04;  0.000000E+00; -0.182459E+04
  0.541809E+04;  0.129009E+04;  0.522983E-01;  0.700000E+04;  0.309545E+03;  0.269839E+00; -0.182476E+04;  0.000000E+00; -0.182449E+04
  0.541809E+04;  0.129612E+04;  0.463751E-01;  0.700000E+04;  0.309545E+03;  0.273086E+00; -0.182471E+04;  0.000000E+00; -0.182443E+04
  0.545197E+04;  0.127995E+04;  0.408489E-01;  0.700000E+04;  0.309545E+03;  0.275764E+00; -0.182638E+04;  0.000000E+00; -0.182610E+04
  0.542990E+04;  0.130348E+04;  0.338904E-01;  0.700000E+04;  0.309545E+03;  0.278653E+00; -0.182527E+04;  0.000000E+00; -0.182499E+04
  0.535364E+04;  0.129649E+04;  0.322143E-01;  0.700000E+04;  0.309545E+03;  0.279269E+00; -0.182348E+04;  0.000000E+00; -0.182320E+04
  0.518610E+04;  0.129991E+04;  0.365500E-01;  0.700000E+04;  0.309545E+03;  0.277613E+00; -0.182239E+04;  0.000000E+00; -0.182212E+04
  0.524770E+04;  0.129847E+04;  0.373951E-01;  0.700000E+04;  0.309545E+03;  0.277265E+00; -0.182224E+04;  0.000000E+00; -0.182196E+04
  0.523752E+04;  0.131241E+04;  0.259663E-01;  0.700000E+04;  0.309545E+03;  0.281288E+00; -0.182207E+04;  0.000000E+00; -0.182179E+04
  0.511843E+04;  0.129319E+04;  0.304242E-01;  0.700000E+04;  0.309545E+03;  0.279892E+00; -0.182334E+04;  0.000000E+00; -0.182306E+04
  0.512619E+04;  0.130951E+04;  0.237895E-01;  0.700000E+04;  0.309545E+03;  0.281890E+00; -0.182281E+04;  0.000000E+00; -0.182253E+04
  0.506528E+04;  0.130081E+04;  0.248767E-01;  0.700000E+04;  0.309545E+03;  0.281596E+00; -0.182415E+04;  0.000000E+00; -0.182386E+04
