"Pr" "Mp" "Q_2" "Q_9"
1.01 3057.291 2583.334 3382.699
1.011 3090.84 2623.772 3414.274
1.012 3122.065 2661.296 3443.492
1.013 3151.312 2696.551 3470.975
1.014 3178.854 2729.344 3496.881
1.015 3204.908 2760.59 3521.464
1.016 3229.654 2790.107 3544.785
1.017 3253.238 2818.246 3567.109
1.018 3275.783 2844.834 3588.279
1.019 3297.393 2870.399 3608.735
1.02 3318.156 2894.909 3628.417
1.021 3338.148 2918.337 3647.347
1.022 3357.437 2941.05 3665.875
1.024 3376.079 2962.884 3683.627
1.025 3394.126 2983.893 3700.974
1.026 3411.622 3004.426 3717.7
1.027 3428.606 3024.087 3734.082
1.028 3445.116 3043.494 3749.886
1.029 3461.181 3061.981 3765.321
1.03 3476.832 3080.075 3780.366
1.031 3492.093 3097.785 3794.954
1.032 3506.989 3114.919 3809.203
1.033 3521.54 3131.512 3823.088
1.034 3535.767 3148.038 3836.841
1.035 3549.687 3164.203 3850.285
1.036 3563.316 3179.848 3863.564
1.037 3576.669 3195.122 3876.586
1.038 3589.761 3210.18 3889.19
1.04 3602.604 3225.08 3901.707
1.041 3615.209 3239.385 3913.936
1.042 3627.589 3253.446 3925.923
1.043 3639.754 3267.341 3937.749
1.044 3651.712 3280.917 3949.326
1.045 3663.473 3294.407 3960.75
1.046 3675.044 3307.556 3972.02
1.047 3686.435 3320.591 3983.115
1.048 3697.652 3333.308 3994.075
1.049 3708.703 3345.893 4004.933
1.05 3719.592 3358.284 4015.616
1.052 3730.328 3370.385 4026.068
1.053 3740.915 3382.266 4036.463
1.054 3751.358 3394.015 4046.713
1.055 3761.664 3405.798 4056.798
1.056 3771.836 3417.117 4066.85
1.057 3781.88 3428.323 4076.72
1.058 3791.799 3439.571 4086.505
1.059 3801.598 3450.499 4096.024
1.06 3811.281 3461.438 4105.49
1.062 3820.852 3472.205 4114.869
1.063 3830.313 3482.722 4124.214
1.064 3839.669 3493.108 4133.371
1.065 3848.922 3503.432 4142.542
1.066 3858.077 3513.504 4151.548
1.067 3867.134 3523.513 4160.529
1.068 3876.098 3533.372 4169.453
1.07 3884.972 3543.193 4178.209
1.071 3893.757 3552.996 4186.863
1.072 3902.456 3562.599 4195.448
1.073 3911.071 3572.118 4204.039
1.074 3919.606 3581.458 4212.473
1.075 3928.061 3590.872 4220.913
1.076 3936.439 3600.165 4229.307
1.078 3944.742 3609.402 4237.574
1.079 3952.973 3618.467 4245.789
1.08 3961.132 3627.544 4253.834
1.081 3969.221 3636.332 4261.914
1.082 3977.243 3645.178 4269.859
1.083 3985.198 3653.82 4277.797
1.085 3993.089 3662.552 4285.557
1.086 4000.917 3671.087 4293.267
1.087 4008.684 3679.624 4300.93
1.088 4016.39 3688.134 4308.553
1.089 4024.038 3696.624 4316.195
1.091 4031.628 3704.92 4323.716
1.092 4039.162 3713.184 4331.21
1.093 4046.641 3721.269 4338.75
1.094 4054.067 3729.298 4346.127
1.095 4061.44 3737.253 4353.464
1.096 4068.762 3745.352 4360.81
1.098 4076.033 3753.245 4368.089
1.099 4083.255 3761.116 4375.342
1.1 4090.429 3768.851 4382.571
1.101 4097.556 3776.632 4389.613
1.103 4104.636 3784.391 4396.698
1.104 4111.671 3792.088 4403.736
1.105 4118.662 3799.633 4410.738
1.106 4125.609 3807.156 4417.68
1.107 4132.514 3814.651 4424.563
1.109 4139.376 3822.237 4431.398
1.11 4146.197 3829.692 4438.165
1.111 4152.979 3837.034 4444.965
1.112 4159.72 3844.364 4451.744
1.114 4166.423 3851.59 4458.447
1.115 4173.088 3858.904 4465.059
1.116 4179.715 3866.043 4471.722
1.117 4186.306 3873.163 4478.433
1.119 4192.86 3880.168 4485.015
1.12 4199.379 3887.196 4491.665
1.121 4205.864 3894.211 4498.263
1.122 4212.314 3901.181 4504.681
1.124 4218.731 3908.131 4511.189
1.125 4225.114 3915.144 4517.636
1.126 4231.466 3921.96 4523.949
1.127 4237.785 3928.773 4530.219
1.129 4244.073 3935.429 4536.547
1.13 4250.331 3942.191 4543.033
1.131 4256.558 3948.831 4549.47
1.133 4262.755 3955.522 4555.602
1.134 4268.923 3962.206 4561.897
1.135 4275.062 3968.762 4568.132
1.136 4281.173 3975.234 4574.267
1.138 4287.256 3981.641 4580.454
1.139 4293.311 3988.222 4586.648
1.14 4299.339 3994.703 4592.827
1.142 4305.341 4001.135 4598.915
1.143 4311.317 4007.457 4604.971
1.144 4317.267 4013.79 4610.959
1.145 4323.191 4020.089 4616.975
1.147 4329.091 4026.382 4622.951
1.148 4334.966 4032.613 4628.938
1.149 4340.816 4038.798 4634.887
1.151 4346.643 4045.01 4640.877
1.152 4352.447 4051.142 4646.808
1.153 4358.227 4057.259 4652.752
1.155 4363.984 4063.393 4658.541
1.156 4369.719 4069.499 4664.383
1.157 4375.432 4075.469 4670.161
1.159 4381.123 4081.485 4675.937
1.16 4386.792 4087.455 4681.72
1.161 4392.44 4093.381 4687.425
1.163 4398.067 4099.282 4693.19
1.164 4403.674 4105.155 4698.871
1.166 4409.26 4111.015 4704.549
1.167 4414.827 4116.868 4710.186
1.168 4420.373 4122.698 4715.831
1.17 4425.9 4128.533 4721.477
1.171 4431.408 4134.291 4727.067
1.172 4436.897 4140.141 4732.729
1.174 4442.367 4145.888 4738.3
1.175 4447.819 4151.543 4743.855
1.176 4453.252 4157.278 4749.405
1.178 4458.668 4162.983 4754.93
1.179 4464.066 4168.65 4760.41
1.181 4469.446 4174.268 4765.882
1.182 4474.81 4179.91 4771.37
1.183 4480.156 4185.565 4776.817
1.185 4485.485 4191.103 4782.198
1.186 4490.798 4196.563 4787.646
1.188 4496.095 4202.181 4793.014
1.189 4501.375 4207.581 4798.377
1.19 4506.64 4213.052 4803.686
1.192 4511.889 4218.451 4808.983
1.193 4517.122 4223.84 4814.303
1.195 4522.34 4229.335 4819.582
1.196 4527.543 4234.797 4824.838
1.198 4532.731 4240.237 4830.12
1.199 4537.904 4245.561 4835.384
1.2 4543.063 4250.953 4840.658
1.202 4548.207 4256.359 4845.924
1.203 4553.337 4261.661 4851.189
1.205 4558.453 4266.988 4856.499
1.206 4563.555 4272.337 4861.69
1.208 4568.644 4277.628 4866.923
1.209 4573.719 4282.834 4872.128
1.211 4578.781 4288.082 4877.221
1.212 4583.83 4293.409 4882.322
1.214 4588.865 4298.677 4887.493
1.215 4593.888 4303.902 4892.72
1.217 4598.898 4309.087 4897.857
1.218 4603.895 4314.273 4902.965
1.22 4608.881 4319.459 4908.015
1.221 4613.853 4324.581 4913.06
1.222 4618.814 4329.711 4918.121
1.224 4623.763 4334.838 4923.176
1.225 4628.7 4339.92 4928.289
1.227 4633.626 4344.932 4933.372
1.229 4638.539 4349.956 4938.375
1.23 4643.442 4354.962 4943.485
1.232 4648.333 4359.95 4948.486
1.233 4653.213 4364.994 4953.544
1.235 4658.082 4370.029 4958.5
1.236 4662.941 4375.065 4963.469
1.238 4667.788 4380.106 4968.419
1.239 4672.625 4385.076 4973.418
1.241 4677.451 4390.106 4978.426
1.242 4682.267 4394.983 4983.354
1.244 4687.073 4399.893 4988.293
1.245 4691.869 4404.87 4993.226
1.247 4696.655 4409.814 4998.163
1.248 4701.431 4414.773 5003.117
1.25 4706.197 4419.621 5008.015
1.252 4710.953 4424.525 5012.955
1.253 4715.7 4429.427 5017.871
1.255 4720.437 4434.286 5022.756
1.256 4725.165 4439.097 5027.604
1.258 4729.884 4443.936 5032.43
1.259 4734.594 4448.695 5037.266
1.261 4739.294 4453.518 5042.116
1.263 4743.986 4458.239 5046.9
1.264 4748.669 4463.062 5051.728
1.266 4753.343 4467.902 5056.534
1.267 4758.009 4472.699 5061.322
1.269 4762.666 4477.432 5066.102
1.271 4767.315 4482.186 5070.859
1.272 4771.955 4486.913 5075.67
1.274 4776.587 4491.737 5080.43
1.276 4781.211 4496.448 5085.245
1.277 4785.827 4501.113 5090.005
1.279 4790.435 4505.821 5094.784
1.28 4795.035 4510.504 5099.564
1.282 4799.627 4515.202 5104.315
1.284 4804.212 4519.827 5109.035
1.285 4808.789 4524.515 5113.752
1.287 4813.359 4529.2 5118.521
1.289 4817.921 4533.811 5123.274
1.29 4822.476 4538.437 5128.033
1.292 4827.023 4543.021 5132.747
1.294 4831.563 4547.594 5137.434
1.295 4836.097 4552.214 5142.086
1.297 4840.623 4556.814 5146.76
1.299 4845.142 4561.4 5151.498
1.3 4849.655 4565.965 5156.159
1.302 4854.16 4570.503 5160.884
1.304 4858.659 4575.059 5165.542
1.305 4863.151 4579.571 5170.233
1.307 4867.637 4584.193 5174.817
1.309 4872.116 4588.757 5179.435
1.311 4876.589 4593.353 5184.039
1.312 4881.056 4597.83 5188.686
