Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.700000E+04;  0.316000E+03; -0.147793E+02; -0.197623E+04;  0.000000E+00; -0.199101E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.702790E+04;  0.313046E+03; -0.147800E+02; -0.195258E+04;  0.000000E+00; -0.196736E+04
  0.597360E+04;  0.102991E+04;  0.141661E-01;  0.702659E+04;  0.311957E+03; -0.147799E+02; -0.194567E+04;  0.000000E+00; -0.196045E+04
  0.592636E+04;  0.102991E+04;  0.146476E-01;  0.706669E+04;  0.316754E+03; -0.147805E+02; -0.193168E+04;  0.000000E+00; -0.194646E+04
  0.592636E+04;  0.103585E+04;  0.198267E-01;  0.706708E+04;  0.315283E+03; -0.147815E+02; -0.192573E+04;  0.000000E+00; -0.194051E+04
  0.586089E+04;  0.103628E+04;  0.211986E-01;  0.708995E+04;  0.318433E+03; -0.147822E+02; -0.190942E+04;  0.000000E+00; -0.192420E+04
  0.586267E+04;  0.104196E+04;  0.200700E-01;  0.709241E+04;  0.314682E+03; -0.147820E+02; -0.190766E+04;  0.000000E+00; -0.192244E+04
  0.586267E+04;  0.105341E+04;  0.211698E-01;  0.712911E+04;  0.313952E+03; -0.147833E+02; -0.190166E+04;  0.000000E+00; -0.191644E+04
  0.581263E+04;  0.107275E+04;  0.239581E-01;  0.714268E+04;  0.314578E+03; -0.147845E+02; -0.188478E+04;  0.000000E+00; -0.189956E+04
  0.572485E+04;  0.109138E+04;  0.217940E-01;  0.712795E+04;  0.314476E+03; -0.147834E+02; -0.186756E+04;  0.000000E+00; -0.188234E+04
  0.569857E+04;  0.111730E+04;  0.218299E-01;  0.716484E+04;  0.312661E+03; -0.147848E+02; -0.185790E+04;  0.000000E+00; -0.187268E+04
  0.567428E+04;  0.112673E+04;  0.216648E-01;  0.719971E+04;  0.311946E+03; -0.147863E+02; -0.185288E+04;  0.000000E+00; -0.186767E+04
  0.564516E+04;  0.114135E+04;  0.242827E-01;  0.720071E+04;  0.307698E+03; -0.147870E+02; -0.184697E+04;  0.000000E+00; -0.186175E+04
  0.552027E+04;  0.114194E+04;  0.330608E-01;  0.720394E+04;  0.305023E+03; -0.147900E+02; -0.183723E+04;  0.000000E+00; -0.185202E+04
  0.538537E+04;  0.114194E+04;  0.326694E-01;  0.717374E+04;  0.308754E+03; -0.147884E+02; -0.183251E+04;  0.000000E+00; -0.184730E+04
  0.538537E+04;  0.114589E+04;  0.325827E-01;  0.713032E+04;  0.308307E+03; -0.147867E+02; -0.183214E+04;  0.000000E+00; -0.184692E+04
  0.540372E+04;  0.114777E+04;  0.250299E-01;  0.717360E+04;  0.310097E+03; -0.147860E+02; -0.183254E+04;  0.000000E+00; -0.184733E+04
  0.540372E+04;  0.114884E+04;  0.254443E-01;  0.719068E+04;  0.311619E+03; -0.147869E+02; -0.183237E+04;  0.000000E+00; -0.184716E+04
  0.534076E+04;  0.114886E+04;  0.187568E-01;  0.721676E+04;  0.307389E+03; -0.147865E+02; -0.183123E+04;  0.000000E+00; -0.184602E+04
  0.524014E+04;  0.117078E+04;  0.164422E-01;  0.722043E+04;  0.311961E+03; -0.147863E+02; -0.182840E+04;  0.000000E+00; -0.184319E+04
  0.524819E+04;  0.116835E+04;  0.133725E-01;  0.723417E+04;  0.307953E+03; -0.147866E+02; -0.182874E+04;  0.000000E+00; -0.184353E+04
  0.521060E+04;  0.116835E+04;  0.214263E-01;  0.726798E+04;  0.308374E+03; -0.147902E+02; -0.182931E+04;  0.000000E+00; -0.184410E+04
  0.524572E+04;  0.116117E+04;  0.259886E-01;  0.729486E+04;  0.310992E+03; -0.147933E+02; -0.182987E+04;  0.000000E+00; -0.184466E+04
  0.522367E+04;  0.116895E+04;  0.270474E-01;  0.726475E+04;  0.310817E+03; -0.147915E+02; -0.182909E+04;  0.000000E+00; -0.184388E+04
  0.531240E+04;  0.118583E+04;  0.302291E-01;  0.729810E+04;  0.308538E+03; -0.147949E+02; -0.182720E+04;  0.000000E+00; -0.184200E+04
  0.530673E+04;  0.120359E+04;  0.298061E-01;  0.731368E+04;  0.306043E+03; -0.147960E+02; -0.182571E+04;  0.000000E+00; -0.184051E+04
  0.532390E+04;  0.119267E+04;  0.296652E-01;  0.727540E+04;  0.306043E+03; -0.147931E+02; -0.182656E+04;  0.000000E+00; -0.184135E+04
  0.531932E+04;  0.119930E+04;  0.246224E-01;  0.721029E+04;  0.311142E+03; -0.147876E+02; -0.182595E+04;  0.000000E+00; -0.184074E+04
  0.521339E+04;  0.120175E+04;  0.227352E-01;  0.721611E+04;  0.315105E+03; -0.147874E+02; -0.182593E+04;  0.000000E+00; -0.184071E+04
  0.531935E+04;  0.120438E+04;  0.272106E-01;  0.715971E+04;  0.310797E+03; -0.147860E+02; -0.182565E+04;  0.000000E+00; -0.184044E+04
  0.531239E+04;  0.122103E+04;  0.345969E-01;  0.719844E+04;  0.311541E+03; -0.147903E+02; -0.182428E+04;  0.000000E+00; -0.183907E+04
  0.531735E+04;  0.123015E+04;  0.356894E-01;  0.718010E+04;  0.315348E+03; -0.147898E+02; -0.182384E+04;  0.000000E+00; -0.183863E+04
  0.528242E+04;  0.123886E+04;  0.337615E-01;  0.718242E+04;  0.317933E+03; -0.147892E+02; -0.182327E+04;  0.000000E+00; -0.183806E+04
  0.525202E+04;  0.125323E+04;  0.340903E-01;  0.719588E+04;  0.314021E+03; -0.147900E+02; -0.182249E+04;  0.000000E+00; -0.183728E+04
  0.519599E+04;  0.127912E+04;  0.349163E-01;  0.721779E+04;  0.307617E+03; -0.147914E+02; -0.182184E+04;  0.000000E+00; -0.183663E+04
  0.522471E+04;  0.129508E+04;  0.300555E-01;  0.722031E+04;  0.306683E+03; -0.147898E+02; -0.182078E+04;  0.000000E+00; -0.183557E+04
  0.519731E+04;  0.128386E+04;  0.288920E-01;  0.721372E+04;  0.311014E+03; -0.147891E+02; -0.182156E+04;  0.000000E+00; -0.183635E+04
  0.527231E+04;  0.129166E+04;  0.296688E-01;  0.718707E+04;  0.312179E+03; -0.147880E+02; -0.182084E+04;  0.000000E+00; -0.183563E+04
  0.528935E+04;  0.129016E+04;  0.279465E-01;  0.719899E+04;  0.310462E+03; -0.147880E+02; -0.182079E+04;  0.000000E+00; -0.183558E+04
  0.533199E+04;  0.130248E+04;  0.301003E-01;  0.718603E+04;  0.312058E+03; -0.147881E+02; -0.182074E+04;  0.000000E+00; -0.183553E+04
  0.529837E+04;  0.129811E+04;  0.303051E-01;  0.716431E+04;  0.317707E+03; -0.147872E+02; -0.182107E+04;  0.000000E+00; -0.183586E+04
  0.529837E+04;  0.129206E+04;  0.396568E-01;  0.713321E+04;  0.318332E+03; -0.147897E+02; -0.182145E+04;  0.000000E+00; -0.183624E+04
  0.522886E+04;  0.128726E+04;  0.423850E-01;  0.718925E+04;  0.312002E+03; -0.147932E+02; -0.182129E+04;  0.000000E+00; -0.183608E+04
  0.528666E+04;  0.129239E+04;  0.402502E-01;  0.717914E+04;  0.311295E+03; -0.147917E+02; -0.182080E+04;  0.000000E+00; -0.183560E+04
  0.523655E+04;  0.128658E+04;  0.398362E-01;  0.725744E+04;  0.305170E+03; -0.147958E+02; -0.182105E+04;  0.000000E+00; -0.183584E+04
  0.523655E+04;  0.126630E+04;  0.429219E-01;  0.725988E+04;  0.312246E+03; -0.147974E+02; -0.182205E+04;  0.000000E+00; -0.183685E+04
  0.517101E+04;  0.127660E+04;  0.378595E-01;  0.721325E+04;  0.308579E+03; -0.147924E+02; -0.182246E+04;  0.000000E+00; -0.183725E+04
  0.520125E+04;  0.128044E+04;  0.279829E-01;  0.721120E+04;  0.306127E+03; -0.147886E+02; -0.182161E+04;  0.000000E+00; -0.183640E+04
  0.534846E+04;  0.128471E+04;  0.279310E-01;  0.719358E+04;  0.307403E+03; -0.147877E+02; -0.182127E+04;  0.000000E+00; -0.183605E+04
  0.523574E+04;  0.128647E+04;  0.159025E-01;  0.718754E+04;  0.308061E+03; -0.147845E+02; -0.182118E+04;  0.000000E+00; -0.183596E+04
  0.522689E+04;  0.129495E+04;  0.211919E-01;  0.722347E+04;  0.310461E+03; -0.147875E+02; -0.182080E+04;  0.000000E+00; -0.183559E+04
  0.515227E+04;  0.131432E+04;  0.207167E-01;  0.721928E+04;  0.315614E+03; -0.147871E+02; -0.182127E+04;  0.000000E+00; -0.183606E+04
  0.510073E+04;  0.132425E+04;  0.224027E-01;  0.716201E+04;  0.311578E+03; -0.147848E+02; -0.182216E+04;  0.000000E+00; -0.183694E+04
  0.528410E+04;  0.133169E+04;  0.198207E-01;  0.718321E+04;  0.314085E+03; -0.147851E+02; -0.182016E+04;  0.000000E+00; -0.183495E+04
