"Pr" "Mp" "Q_2" "Q_9"
1.01 3029.081 2592.064 3382.027
1.011 3063.242 2632.232 3413.293
1.012 3095.027 2669.485 3442.611
1.013 3124.791 2704.373 3469.918
1.014 3152.813 2737.216 3495.844
1.015 3179.315 2768.236 3520.44
1.016 3204.48 2797.554 3543.518
1.017 3228.458 2825.303 3565.823
1.018 3251.375 2851.893 3587.248
1.019 3273.337 2877.051 3607.781
1.02 3294.434 2901.393 3627.573
1.021 3314.745 2924.832 3646.374
1.022 3334.337 2947.236 3664.778
1.024 3353.27 2968.911 3682.594
1.025 3371.594 2989.861 3699.827
1.026 3389.356 3010.163 3716.757
1.027 3406.597 3029.808 3733.01
1.028 3423.353 3048.83 3748.864
1.029 3439.655 3067.292 3764.294
1.03 3455.535 3085.413 3779.303
1.031 3471.017 3103.013 3793.971
1.032 3486.127 3120.145 3808.406
1.033 3500.885 3136.887 3822.402
1.034 3515.312 3153.23 3836.239
1.035 3529.425 3169.111 3849.633
1.036 3543.243 3184.739 3862.966
1.037 3556.779 3200.001 3875.891
1.038 3570.048 3215.1 3888.588
1.04 3583.064 3229.741 3901.073
1.041 3595.838 3243.897 3913.263
1.042 3608.381 3257.961 3925.166
1.043 3620.705 3271.739 3937.014
1.044 3632.818 3285.289 3948.589
1.045 3644.731 3298.572 3960.118
1.046 3656.45 3311.662 3971.337
1.047 3667.986 3324.531 3982.378
1.048 3679.344 3337.212 3993.338
1.049 3690.531 3349.715 4004.107
1.05 3701.556 3362.093 4014.656
1.052 3712.423 3374.192 4025.333
1.053 3723.138 3386.046 4035.649
1.054 3733.708 3397.967 4045.808
1.055 3744.137 3409.524 4055.905
1.056 3754.43 3420.861 4065.825
1.057 3764.592 3432.097 4075.656
1.058 3774.627 3443.163 4085.361
1.059 3784.54 3454.066 4094.978
1.06 3794.334 3464.719 4104.567
1.062 3804.014 3475.493 4113.938
1.063 3813.582 3485.974 4123.243
1.064 3823.043 3496.499 4132.361
1.065 3832.4 3506.776 4141.45
1.066 3841.655 3516.962 4150.455
1.067 3850.813 3527.06 4159.377
1.068 3859.875 3536.993 4168.244
1.07 3868.844 3546.902 4177.083
1.071 3877.723 3556.616 4185.867
1.072 3886.515 3566.305 4194.446
1.073 3895.222 3575.776 4202.964
1.074 3903.845 3585.265 4211.486
1.075 3912.389 3594.691 4219.86
1.076 3920.854 3603.95 4228.227
1.078 3929.242 3613.101 4236.385
1.079 3937.556 3622.203 4244.573
1.08 3945.797 3631.1 4252.648
1.081 3953.968 3639.951 4260.717
1.082 3962.069 3648.816 4268.673
1.083 3970.103 3657.559 4276.595
1.085 3978.072 3666.087 4284.476
1.086 3985.976 3674.756 4292.26
1.087 3993.817 3683.266 4300.031
1.088 4001.598 3691.556 4307.774
1.089 4009.318 3699.867 4315.399
1.091 4016.98 3708.213 4322.95
1.092 4024.585 3716.509 4330.38
1.093 4032.134 3724.634 4337.903
1.094 4039.628 3732.634 4345.259
1.095 4047.068 3740.695 4352.637
1.096 4054.457 3748.699 4359.928
1.098 4061.794 3756.614 4367.191
1.099 4069.081 3764.443 4374.355
1.1 4076.318 3772.219 4381.581
1.101 4083.508 3780.06 4388.739
1.103 4090.651 3787.786 4395.829
1.104 4097.747 3795.366 4402.969
1.105 4104.798 3802.928 4410.059
1.106 4111.804 3810.449 4417.085
1.107 4118.768 3817.896 4423.976
1.109 4125.688 3825.382 4430.892
1.11 4132.566 3832.757 4437.731
1.111 4139.404 3840.191 4444.537
1.112 4146.201 3847.489 4451.253
1.114 4152.959 3854.67 4457.962
1.115 4159.678 3861.768 4464.7
1.116 4166.358 3868.961 4471.427
1.117 4173.002 3876.122 4478.135
1.119 4179.608 3883.159 4484.771
1.12 4186.179 3890.143 4491.322
1.121 4192.714 3897.115 4497.842
1.122 4199.214 3903.962 4504.318
1.124 4205.68 3910.738 4510.808
1.125 4212.113 3917.52 4517.227
1.126 4218.512 3924.319 4523.619
1.127 4224.879 3931.106 4529.942
1.129 4231.214 3937.939 4536.283
1.13 4237.518 3944.631 4542.621
1.131 4243.79 3951.267 4548.886
1.133 4250.033 3957.91 4555.168
1.134 4256.245 3964.429 4561.461
1.135 4262.428 3970.915 4567.638
1.136 4268.582 3977.447 4573.841
1.138 4274.708 3983.931 4579.96
1.139 4280.806 3990.378 4586.136
1.14 4286.876 3996.802 4592.173
1.142 4292.919 4003.236 4598.226
1.143 4298.936 4009.566 4604.288
1.144 4304.926 4015.939 4610.284
1.145 4310.89 4022.158 4616.337
1.147 4316.829 4028.454 4622.295
1.148 4322.743 4034.714 4628.245
1.149 4328.632 4041.104 4634.194
1.151 4334.497 4047.304 4640.121
1.152 4340.337 4053.379 4646
1.153 4346.154 4059.487 4651.916
1.155 4351.948 4065.579 4657.709
1.156 4357.719 4071.539 4663.493
1.157 4363.467 4077.576 4669.276
1.159 4369.193 4083.543 4675.05
1.16 4374.897 4089.429 4680.867
1.161 4380.58 4095.305 4686.551
1.163 4386.241 4101.244 4692.305
1.164 4391.881 4107.166 4698.06
1.166 4397.5 4113.017 4703.74
1.167 4403.099 4118.907 4709.35
1.168 4408.678 4124.777 4714.894
1.17 4414.236 4130.505 4720.508
1.171 4419.776 4136.296 4726.051
1.172 4425.295 4142.082 4731.677
1.174 4430.796 4147.717 4737.278
1.175 4436.278 4153.453 4742.779
1.176 4441.742 4159.214 4748.304
1.178 4447.187 4164.777 4753.816
1.179 4452.614 4170.438 4759.256
1.181 4458.023 4176.034 4764.772
1.182 4463.415 4181.638 4770.251
1.183 4468.789 4187.183 4775.636
1.185 4474.146 4192.71 4781.137
1.186 4479.486 4198.177 4786.545
1.188 4484.81 4203.673 4791.886
1.189 4490.117 4209.104 4797.361
1.19 4495.408 4214.555 4802.764
1.192 4500.682 4220.022 4808.184
1.193 4505.941 4225.475 4813.493
1.195 4511.185 4230.855 4818.822
1.196 4516.412 4236.277 4824.146
1.198 4521.625 4241.656 4829.407
1.199 4526.823 4247.036 4834.588
1.2 4532.005 4252.348 4839.925
1.202 4537.173 4257.64 4845.193
1.203 4542.327 4262.988 4850.471
1.205 4547.466 4268.277 4855.682
1.206 4552.591 4273.549 4860.891
1.208 4557.702 4278.833 4866.12
1.209 4562.799 4284.08 4871.289
1.211 4567.883 4289.273 4876.507
1.212 4572.953 4294.463 4881.674
1.214 4578.01 4299.711 4886.864
1.215 4583.053 4304.849 4892.068
1.217 4588.084 4309.975 4897.217
1.218 4593.102 4315.141 4902.415
1.22 4598.107 4320.336 4907.461
