Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.900000E+04;  0.308077E+03;  0.284479E+00; -0.193917E+04;  0.000000E+00; -0.193889E+04
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.900000E+04;  0.308077E+03;  0.283858E+00; -0.192004E+04;  0.000000E+00; -0.191976E+04
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.900000E+04;  0.308077E+03;  0.283739E+00; -0.191961E+04;  0.000000E+00; -0.191933E+04
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.900000E+04;  0.308077E+03;  0.282918E+00; -0.188880E+04;  0.000000E+00; -0.188852E+04
  0.581515E+04;  0.105107E+04;  0.195447E-01;  0.900000E+04;  0.308077E+03;  0.282912E+00; -0.187350E+04;  0.000000E+00; -0.187321E+04
  0.574524E+04;  0.105542E+04;  0.269606E-01;  0.900000E+04;  0.308077E+03;  0.280996E+00; -0.186094E+04;  0.000000E+00; -0.186066E+04
  0.574524E+04;  0.105218E+04;  0.241394E-01;  0.900000E+04;  0.308077E+03;  0.281797E+00; -0.186255E+04;  0.000000E+00; -0.186227E+04
  0.569333E+04;  0.106193E+04;  0.310198E-01;  0.900000E+04;  0.308077E+03;  0.279689E+00; -0.185282E+04;  0.000000E+00; -0.185254E+04
  0.561437E+04;  0.106576E+04;  0.375143E-01;  0.900000E+04;  0.308077E+03;  0.277216E+00; -0.184440E+04;  0.000000E+00; -0.184413E+04
  0.557313E+04;  0.109492E+04;  0.362296E-01;  0.900000E+04;  0.308077E+03;  0.277742E+00; -0.183605E+04;  0.000000E+00; -0.183578E+04
  0.547787E+04;  0.110275E+04;  0.339251E-01;  0.900000E+04;  0.308077E+03;  0.278640E+00; -0.183061E+04;  0.000000E+00; -0.183033E+04
  0.548154E+04;  0.111420E+04;  0.363442E-01;  0.900000E+04;  0.308077E+03;  0.277696E+00; -0.182891E+04;  0.000000E+00; -0.182864E+04
  0.548154E+04;  0.113728E+04;  0.350287E-01;  0.900000E+04;  0.308077E+03;  0.278218E+00; -0.182582E+04;  0.000000E+00; -0.182554E+04
  0.543832E+04;  0.114411E+04;  0.404307E-01;  0.900000E+04;  0.308077E+03;  0.275953E+00; -0.182379E+04;  0.000000E+00; -0.182352E+04
  0.537203E+04;  0.113671E+04;  0.387088E-01;  0.900000E+04;  0.308077E+03;  0.276710E+00; -0.182372E+04;  0.000000E+00; -0.182344E+04
  0.529920E+04;  0.113234E+04;  0.382138E-01;  0.900000E+04;  0.308077E+03;  0.276922E+00; -0.182400E+04;  0.000000E+00; -0.182372E+04
  0.535119E+04;  0.116352E+04;  0.357031E-01;  0.900000E+04;  0.308077E+03;  0.277953E+00; -0.182073E+04;  0.000000E+00; -0.182045E+04
  0.539636E+04;  0.116352E+04;  0.409070E-01;  0.900000E+04;  0.308077E+03;  0.275738E+00; -0.182108E+04;  0.000000E+00; -0.182080E+04
  0.537215E+04;  0.116745E+04;  0.418357E-01;  0.900000E+04;  0.308077E+03;  0.275311E+00; -0.182050E+04;  0.000000E+00; -0.182022E+04
  0.541058E+04;  0.117628E+04;  0.456189E-01;  0.900000E+04;  0.308077E+03;  0.273473E+00; -0.182000E+04;  0.000000E+00; -0.181973E+04
  0.533925E+04;  0.118202E+04;  0.450343E-01;  0.900000E+04;  0.308077E+03;  0.273767E+00; -0.181915E+04;  0.000000E+00; -0.181887E+04
  0.521436E+04;  0.117381E+04;  0.399333E-01;  0.900000E+04;  0.308077E+03;  0.276175E+00; -0.182086E+04;  0.000000E+00; -0.182059E+04
  0.522410E+04;  0.115863E+04;  0.333788E-01;  0.900000E+04;  0.308077E+03;  0.278845E+00; -0.182179E+04;  0.000000E+00; -0.182151E+04
  0.529337E+04;  0.116013E+04;  0.323542E-01;  0.900000E+04;  0.308077E+03;  0.279219E+00; -0.182099E+04;  0.000000E+00; -0.182071E+04
  0.529510E+04;  0.114803E+04;  0.322139E-01;  0.900000E+04;  0.308077E+03;  0.279269E+00; -0.182217E+04;  0.000000E+00; -0.182189E+04
  0.530774E+04;  0.117172E+04;  0.269157E-01;  0.900000E+04;  0.308077E+03;  0.281010E+00; -0.181989E+04;  0.000000E+00; -0.181961E+04
  0.528832E+04;  0.117860E+04;  0.189189E-01;  0.900000E+04;  0.308077E+03;  0.283046E+00; -0.181939E+04;  0.000000E+00; -0.181910E+04
  0.540728E+04;  0.119377E+04;  0.217394E-01;  0.900000E+04;  0.308077E+03;  0.282409E+00; -0.181894E+04;  0.000000E+00; -0.181866E+04
  0.539917E+04;  0.121506E+04;  0.172860E-01;  0.900000E+04;  0.308077E+03;  0.283374E+00; -0.181748E+04;  0.000000E+00; -0.181720E+04
  0.550083E+04;  0.122573E+04;  0.897039E-02;  0.900000E+04;  0.308077E+03;  0.284587E+00; -0.181962E+04;  0.000000E+00; -0.181933E+04
  0.541371E+04;  0.123907E+04;  0.154143E-01;  0.900000E+04;  0.308077E+03;  0.283714E+00; -0.181636E+04;  0.000000E+00; -0.181608E+04
  0.525202E+04;  0.121764E+04;  0.188837E-01;  0.900000E+04;  0.308077E+03;  0.283053E+00; -0.181693E+04;  0.000000E+00; -0.181665E+04
  0.531101E+04;  0.122727E+04;  0.280593E-01;  0.900000E+04;  0.308077E+03;  0.280660E+00; -0.181597E+04;  0.000000E+00; -0.181569E+04
  0.526734E+04;  0.120558E+04;  0.238641E-01;  0.900000E+04;  0.308077E+03;  0.281870E+00; -0.181751E+04;  0.000000E+00; -0.181723E+04
  0.535646E+04;  0.120020E+04;  0.256125E-01;  0.900000E+04;  0.308077E+03;  0.281390E+00; -0.181780E+04;  0.000000E+00; -0.181752E+04
  0.529567E+04;  0.121392E+04;  0.284295E-01;  0.900000E+04;  0.308077E+03;  0.280544E+00; -0.181680E+04;  0.000000E+00; -0.181652E+04
  0.535676E+04;  0.121661E+04;  0.350472E-01;  0.900000E+04;  0.308077E+03;  0.278210E+00; -0.181654E+04;  0.000000E+00; -0.181626E+04
  0.540123E+04;  0.120906E+04;  0.299408E-01;  0.900000E+04;  0.308077E+03;  0.280054E+00; -0.181745E+04;  0.000000E+00; -0.181717E+04
  0.542265E+04;  0.121209E+04;  0.294375E-01;  0.900000E+04;  0.308077E+03;  0.280220E+00; -0.181753E+04;  0.000000E+00; -0.181725E+04
  0.546566E+04;  0.122840E+04;  0.381971E-01;  0.900000E+04;  0.308077E+03;  0.276929E+00; -0.181685E+04;  0.000000E+00; -0.181657E+04
  0.546329E+04;  0.122840E+04;  0.304547E-01;  0.900000E+04;  0.308077E+03;  0.279882E+00; -0.181711E+04;  0.000000E+00; -0.181683E+04
  0.546329E+04;  0.123214E+04;  0.252016E-01;  0.900000E+04;  0.308077E+03;  0.281506E+00; -0.181713E+04;  0.000000E+00; -0.181685E+04
  0.534690E+04;  0.126201E+04;  0.250296E-01;  0.900000E+04;  0.308077E+03;  0.281554E+00; -0.181436E+04;  0.000000E+00; -0.181408E+04
  0.527216E+04;  0.126897E+04;  0.245002E-01;  0.900000E+04;  0.308077E+03;  0.281699E+00; -0.181434E+04;  0.000000E+00; -0.181406E+04
  0.539525E+04;  0.127963E+04;  0.293145E-01;  0.900000E+04;  0.308077E+03;  0.280260E+00; -0.181379E+04;  0.000000E+00; -0.181351E+04
  0.539597E+04;  0.129285E+04;  0.255930E-01;  0.900000E+04;  0.308077E+03;  0.281395E+00; -0.181352E+04;  0.000000E+00; -0.181324E+04
  0.541250E+04;  0.130397E+04;  0.300325E-01;  0.900000E+04;  0.308077E+03;  0.280023E+00; -0.181317E+04;  0.000000E+00; -0.181289E+04
  0.527707E+04;  0.129128E+04;  0.314745E-01;  0.900000E+04;  0.308077E+03;  0.279531E+00; -0.181350E+04;  0.000000E+00; -0.181322E+04
  0.528564E+04;  0.129066E+04;  0.350056E-01;  0.900000E+04;  0.308077E+03;  0.278227E+00; -0.181340E+04;  0.000000E+00; -0.181312E+04
  0.530143E+04;  0.131059E+04;  0.394117E-01;  0.900000E+04;  0.308077E+03;  0.276405E+00; -0.181271E+04;  0.000000E+00; -0.181243E+04
  0.532748E+04;  0.130565E+04;  0.480591E-01;  0.900000E+04;  0.308077E+03;  0.272203E+00; -0.181257E+04;  0.000000E+00; -0.181230E+04
  0.543235E+04;  0.131133E+04;  0.487214E-01;  0.900000E+04;  0.308077E+03;  0.271847E+00; -0.181251E+04;  0.000000E+00; -0.181224E+04
  0.542879E+04;  0.132464E+04;  0.507257E-01;  0.900000E+04;  0.308077E+03;  0.270739E+00; -0.181213E+04;  0.000000E+00; -0.181186E+04
  0.547484E+04;  0.132382E+04;  0.460907E-01;  0.900000E+04;  0.308077E+03;  0.273232E+00; -0.181274E+04;  0.000000E+00; -0.181247E+04
  0.553276E+04;  0.131725E+04;  0.537246E-01;  0.900000E+04;  0.308077E+03;  0.268999E+00; -0.181357E+04;  0.000000E+00; -0.181330E+04
  0.553590E+04;  0.127898E+04;  0.650706E-01;  0.900000E+04;  0.308077E+03;  0.261511E+00; -0.181469E+04;  0.000000E+00; -0.181443E+04
  0.541541E+04;  0.129812E+04;  0.523278E-01;  0.900000E+04;  0.308077E+03;  0.269822E+00; -0.181271E+04;  0.000000E+00; -0.181244E+04
  0.548142E+04;  0.131428E+04;  0.541641E-01;  0.900000E+04;  0.308077E+03;  0.268736E+00; -0.181279E+04;  0.000000E+00; -0.181252E+04
  0.551604E+04;  0.129431E+04;  0.587326E-01;  0.900000E+04;  0.308077E+03;  0.265870E+00; -0.181383E+04;  0.000000E+00; -0.181356E+04
  0.541033E+04;  0.127507E+04;  0.603062E-01;  0.900000E+04;  0.308077E+03;  0.264830E+00; -0.181350E+04;  0.000000E+00; -0.181323E+04
  0.546860E+04;  0.130043E+04;  0.569113E-01;  0.900000E+04;  0.308077E+03;  0.267040E+00; -0.181298E+04;  0.000000E+00; -0.181272E+04
  0.536275E+04;  0.131082E+04;  0.592583E-01;  0.900000E+04;  0.308077E+03;  0.265526E+00; -0.181225E+04;  0.000000E+00; -0.181198E+04
  0.539899E+04;  0.130958E+04;  0.537085E-01;  0.900000E+04;  0.308077E+03;  0.269009E+00; -0.181230E+04;  0.000000E+00; -0.181203E+04
  0.534858E+04;  0.131016E+04;  0.630513E-01;  0.900000E+04;  0.308077E+03;  0.262948E+00; -0.181234E+04;  0.000000E+00; -0.181208E+04
  0.545640E+04;  0.130351E+04;  0.627061E-01;  0.900000E+04;  0.308077E+03;  0.263190E+00; -0.181268E+04;  0.000000E+00; -0.181241E+04
  0.551607E+04;  0.131019E+04;  0.591319E-01;  0.900000E+04;  0.308077E+03;  0.265609E+00; -0.181328E+04;  0.000000E+00; -0.181302E+04
  0.553485E+04;  0.130715E+04;  0.556106E-01;  0.900000E+04;  0.308077E+03;  0.267854E+00; -0.181384E+04;  0.000000E+00; -0.181357E+04
  0.554441E+04;  0.130088E+04;  0.655427E-01;  0.900000E+04;  0.308077E+03;  0.261168E+00; -0.181394E+04;  0.000000E+00; -0.181368E+04
  0.554209E+04;  0.132049E+04;  0.599359E-01;  0.900000E+04;  0.308077E+03;  0.265077E+00; -0.181344E+04;  0.000000E+00; -0.181317E+04
  0.554209E+04;  0.132651E+04;  0.540127E-01;  0.900000E+04;  0.308077E+03;  0.268827E+00; -0.181351E+04;  0.000000E+00; -0.181324E+04
  0.557597E+04;  0.131034E+04;  0.484864E-01;  0.900000E+04;  0.308077E+03;  0.271974E+00; -0.181503E+04;  0.000000E+00; -0.181476E+04
  0.555390E+04;  0.133387E+04;  0.451402E-01;  0.900000E+04;  0.308077E+03;  0.273714E+00; -0.181403E+04;  0.000000E+00; -0.181376E+04
  0.547764E+04;  0.132688E+04;  0.434642E-01;  0.900000E+04;  0.308077E+03;  0.274539E+00; -0.181282E+04;  0.000000E+00; -0.181255E+04
  0.531010E+04;  0.133030E+04;  0.477999E-01;  0.900000E+04;  0.308077E+03;  0.272341E+00; -0.181215E+04;  0.000000E+00; -0.181188E+04
  0.537170E+04;  0.132886E+04;  0.486449E-01;  0.900000E+04;  0.308077E+03;  0.271888E+00; -0.181192E+04;  0.000000E+00; -0.181165E+04
  0.536152E+04;  0.134280E+04;  0.372161E-01;  0.900000E+04;  0.308077E+03;  0.277340E+00; -0.181200E+04;  0.000000E+00; -0.181173E+04
  0.524243E+04;  0.132358E+04;  0.416740E-01;  0.900000E+04;  0.308077E+03;  0.275386E+00; -0.181307E+04;  0.000000E+00; -0.181279E+04
  0.525019E+04;  0.133990E+04;  0.350393E-01;  0.900000E+04;  0.308077E+03;  0.278213E+00; -0.181279E+04;  0.000000E+00; -0.181251E+04
  0.518928E+04;  0.133120E+04;  0.361266E-01;  0.900000E+04;  0.308077E+03;  0.277784E+00; -0.181388E+04;  0.000000E+00; -0.181360E+04
  0.518928E+04;  0.132601E+04;  0.311038E-01;  0.900000E+04;  0.308077E+03;  0.279660E+00; -0.181399E+04;  0.000000E+00; -0.181371E+04
  0.529824E+04;  0.129192E+04;  0.374184E-01;  0.900000E+04;  0.308077E+03;  0.277256E+00; -0.181323E+04;  0.000000E+00; -0.181296E+04
  0.535515E+04;  0.130260E+04;  0.413134E-01;  0.900000E+04;  0.308077E+03;  0.275552E+00; -0.181265E+04;  0.000000E+00; -0.181237E+04
  0.531998E+04;  0.131375E+04;  0.410462E-01;  0.900000E+04;  0.308077E+03;  0.275674E+00; -0.181250E+04;  0.000000E+00; -0.181222E+04
  0.530620E+04;  0.131561E+04;  0.527998E-01;  0.900000E+04;  0.308077E+03;  0.269546E+00; -0.181247E+04;  0.000000E+00; -0.181220E+04
  0.530620E+04;  0.131146E+04;  0.461438E-01;  0.900000E+04;  0.308077E+03;  0.273205E+00; -0.181258E+04;  0.000000E+00; -0.181231E+04
  0.533578E+04;  0.128515E+04;  0.397797E-01;  0.900000E+04;  0.308077E+03;  0.276243E+00; -0.181322E+04;  0.000000E+00; -0.181295E+04
  0.530132E+04;  0.128864E+04;  0.409039E-01;  0.900000E+04;  0.308077E+03;  0.275739E+00; -0.181328E+04;  0.000000E+00; -0.181300E+04
  0.530086E+04;  0.130709E+04;  0.397418E-01;  0.900000E+04;  0.308077E+03;  0.276260E+00; -0.181279E+04;  0.000000E+00; -0.181251E+04
  0.525225E+04;  0.129114E+04;  0.377718E-01;  0.900000E+04;  0.308077E+03;  0.277108E+00; -0.181372E+04;  0.000000E+00; -0.181344E+04
  0.532454E+04;  0.127930E+04;  0.337337E-01;  0.900000E+04;  0.308077E+03;  0.278712E+00; -0.181354E+04;  0.000000E+00; -0.181326E+04
  0.532454E+04;  0.127610E+04;  0.286387E-01;  0.900000E+04;  0.308077E+03;  0.280478E+00; -0.181375E+04;  0.000000E+00; -0.181347E+04
  0.536056E+04;  0.126664E+04;  0.368198E-01;  0.900000E+04;  0.308077E+03;  0.277503E+00; -0.181392E+04;  0.000000E+00; -0.181365E+04
  0.530074E+04;  0.126087E+04;  0.253239E-01;  0.900000E+04;  0.308077E+03;  0.281471E+00; -0.181445E+04;  0.000000E+00; -0.181417E+04
  0.515525E+04;  0.126533E+04;  0.193496E-01;  0.900000E+04;  0.308077E+03;  0.282954E+00; -0.181626E+04;  0.000000E+00; -0.181597E+04
  0.515525E+04;  0.127524E+04;  0.258285E-01;  0.900000E+04;  0.308077E+03;  0.281328E+00; -0.181593E+04;  0.000000E+00; -0.181565E+04
  0.517819E+04;  0.130773E+04;  0.240254E-01;  0.900000E+04;  0.308077E+03;  0.281828E+00; -0.181460E+04;  0.000000E+00; -0.181432E+04
