Pos;Ech;Form;Seuil;NbAn;prior;lkh;H;post
  0.600000E+04;  0.100000E+04;  0.100000E-01;  0.100000E+05;  0.154000E+03;  0.284479E+00; -0.458658E+03;  0.000000E+00; -0.458374E+03
  0.597360E+04;  0.101662E+04;  0.145515E-01;  0.100000E+05;  0.154000E+03;  0.283858E+00; -0.455990E+03;  0.000000E+00; -0.455706E+03
  0.597360E+04;  0.101662E+04;  0.152703E-01;  0.100000E+05;  0.154000E+03;  0.283739E+00; -0.455954E+03;  0.000000E+00; -0.455670E+03
  0.586290E+04;  0.103030E+04;  0.195195E-01;  0.100000E+05;  0.154000E+03;  0.282918E+00; -0.451587E+03;  0.000000E+00; -0.451304E+03
  0.582259E+04;  0.104933E+04;  0.170197E-01;  0.100000E+05;  0.154000E+03;  0.283425E+00; -0.449667E+03;  0.000000E+00; -0.449383E+03
  0.575268E+04;  0.105368E+04;  0.244356E-01;  0.100000E+05;  0.154000E+03;  0.281717E+00; -0.448135E+03;  0.000000E+00; -0.447853E+03
  0.581892E+04;  0.103423E+04;  0.216144E-01;  0.100000E+05;  0.154000E+03;  0.282439E+00; -0.450328E+03;  0.000000E+00; -0.450045E+03
  0.576702E+04;  0.103282E+04;  0.284948E-01;  0.100000E+05;  0.154000E+03;  0.280523E+00; -0.449375E+03;  0.000000E+00; -0.449095E+03
  0.568806E+04;  0.102573E+04;  0.349893E-01;  0.100000E+05;  0.154000E+03;  0.278233E+00; -0.448691E+03;  0.000000E+00; -0.448412E+03
  0.564681E+04;  0.103351E+04;  0.337046E-01;  0.100000E+05;  0.154000E+03;  0.278723E+00; -0.447893E+03;  0.000000E+00; -0.447615E+03
  0.558563E+04;  0.104135E+04;  0.314001E-01;  0.100000E+05;  0.154000E+03;  0.279557E+00; -0.447099E+03;  0.000000E+00; -0.446819E+03
  0.558930E+04;  0.105280E+04;  0.338191E-01;  0.100000E+05;  0.154000E+03;  0.278680E+00; -0.446678E+03;  0.000000E+00; -0.446400E+03
  0.565583E+04;  0.107588E+04;  0.325037E-01;  0.100000E+05;  0.154000E+03;  0.279165E+00; -0.446159E+03;  0.000000E+00; -0.445880E+03
  0.561261E+04;  0.107436E+04;  0.379057E-01;  0.100000E+05;  0.154000E+03;  0.277052E+00; -0.446013E+03;  0.000000E+00; -0.445736E+03
  0.554631E+04;  0.106697E+04;  0.361838E-01;  0.100000E+05;  0.154000E+03;  0.277761E+00; -0.446040E+03;  0.000000E+00; -0.445762E+03
  0.558528E+04;  0.105534E+04;  0.356888E-01;  0.100000E+05;  0.154000E+03;  0.277958E+00; -0.446591E+03;  0.000000E+00; -0.446313E+03
  0.558600E+04;  0.108652E+04;  0.331781E-01;  0.100000E+05;  0.154000E+03;  0.278919E+00; -0.445415E+03;  0.000000E+00; -0.445136E+03
  0.563117E+04;  0.107536E+04;  0.383820E-01;  0.100000E+05;  0.154000E+03;  0.276850E+00; -0.446077E+03;  0.000000E+00; -0.445800E+03
  0.560696E+04;  0.107525E+04;  0.393107E-01;  0.100000E+05;  0.154000E+03;  0.276449E+00; -0.445976E+03;  0.000000E+00; -0.445699E+03
  0.564539E+04;  0.107799E+04;  0.430939E-01;  0.100000E+05;  0.154000E+03;  0.274717E+00; -0.446120E+03;  0.000000E+00; -0.445845E+03
  0.560885E+04;  0.108373E+04;  0.425093E-01;  0.100000E+05;  0.154000E+03;  0.274995E+00; -0.445728E+03;  0.000000E+00; -0.445453E+03
  0.548397E+04;  0.107552E+04;  0.374083E-01;  0.100000E+05;  0.154000E+03;  0.277260E+00; -0.445753E+03;  0.000000E+00; -0.445476E+03
  0.542702E+04;  0.106034E+04;  0.308538E-01;  0.100000E+05;  0.154000E+03;  0.279746E+00; -0.446225E+03;  0.000000E+00; -0.445945E+03
  0.549629E+04;  0.106184E+04;  0.298292E-01;  0.100000E+05;  0.154000E+03;  0.280091E+00; -0.446042E+03;  0.000000E+00; -0.445762E+03
  0.540944E+04;  0.104974E+04;  0.296889E-01;  0.100000E+05;  0.154000E+03;  0.280137E+00; -0.446631E+03;  0.000000E+00; -0.446351E+03
  0.542208E+04;  0.107343E+04;  0.243907E-01;  0.100000E+05;  0.154000E+03;  0.281729E+00; -0.445633E+03;  0.000000E+00; -0.445352E+03
  0.540265E+04;  0.108031E+04;  0.163939E-01;  0.100000E+05;  0.154000E+03;  0.283541E+00; -0.445313E+03;  0.000000E+00; -0.445029E+03
  0.552162E+04;  0.109548E+04;  0.192144E-01;  0.100000E+05;  0.154000E+03;  0.282983E+00; -0.444821E+03;  0.000000E+00; -0.444538E+03
  0.551351E+04;  0.111677E+04;  0.147610E-01;  0.100000E+05;  0.154000E+03;  0.283824E+00; -0.444223E+03;  0.000000E+00; -0.443939E+03
  0.566891E+04;  0.112744E+04;  0.644538E-02;  0.100000E+05;  0.154000E+03;  0.284803E+00; -0.444734E+03;  0.000000E+00; -0.444449E+03
  0.558179E+04;  0.114078E+04;  0.128893E-01;  0.100000E+05;  0.154000E+03;  0.284111E+00; -0.443852E+03;  0.000000E+00; -0.443568E+03
  0.542011E+04;  0.111935E+04;  0.163587E-01;  0.100000E+05;  0.154000E+03;  0.283548E+00; -0.444264E+03;  0.000000E+00; -0.443980E+03
  0.547909E+04;  0.112897E+04;  0.255343E-01;  0.100000E+05;  0.154000E+03;  0.281412E+00; -0.444041E+03;  0.000000E+00; -0.443759E+03
  0.543543E+04;  0.110729E+04;  0.213391E-01;  0.100000E+05;  0.154000E+03;  0.282505E+00; -0.444581E+03;  0.000000E+00; -0.444298E+03
  0.552454E+04;  0.109557E+04;  0.230875E-01;  0.100000E+05;  0.154000E+03;  0.282073E+00; -0.444864E+03;  0.000000E+00; -0.444582E+03
  0.546375E+04;  0.110930E+04;  0.259045E-01;  0.100000E+05;  0.154000E+03;  0.281306E+00; -0.444543E+03;  0.000000E+00; -0.444261E+03
  0.552484E+04;  0.111199E+04;  0.325222E-01;  0.100000E+05;  0.154000E+03;  0.279158E+00; -0.444530E+03;  0.000000E+00; -0.444251E+03
  0.556931E+04;  0.107422E+04;  0.274158E-01;  0.100000E+05;  0.154000E+03;  0.280859E+00; -0.445699E+03;  0.000000E+00; -0.445419E+03
  0.559073E+04;  0.107725E+04;  0.269125E-01;  0.100000E+05;  0.154000E+03;  0.281010E+00; -0.445676E+03;  0.000000E+00; -0.445395E+03
  0.563375E+04;  0.109357E+04;  0.356721E-01;  0.100000E+05;  0.154000E+03;  0.277965E+00; -0.445422E+03;  0.000000E+00; -0.445144E+03
