"Pr" "Mp" "Q_2" "Q_9"
1.01 3350.011 2382.882 3880.769
1.011 3383.602 2432.177 3907.389
1.012 3414.834 2478.558 3932.404
1.013 3444.057 2520.537 3955.938
1.014 3471.551 2560.05 3978.575
1.015 3497.537 2597.757 3999.882
1.016 3522.196 2632.787 4019.814
1.017 3545.679 2666.758 4039.23
1.018 3568.11 2698.901 4057.565
1.019 3589.594 2729.697 4075.211
1.02 3610.223 2758.755 4092.253
1.021 3630.072 2787.376 4108.743
1.022 3649.21 2814.301 4124.629
1.024 3667.695 2840.264 4140.116
1.025 3685.578 2865.232 4154.989
1.026 3702.905 2889.777 4169.83
1.027 3719.716 2913.451 4184.039
1.028 3736.047 2936.441 4198.087
1.029 3751.931 2959.121 4211.59
1.03 3767.396 2980.941 4224.748
1.031 3782.469 3002.064 4237.508
1.032 3797.173 3022.684 4249.939
1.033 3811.53 3042.771 4262.316
1.034 3825.56 3062.535 4274.353
1.035 3839.281 3081.569 4286.311
1.036 3852.709 3100.147 4297.818
1.037 3865.86 3118.03 4309.511
1.038 3878.747 3135.602 4320.926
1.04 3891.383 3153.254 4331.914
1.041 3903.782 3170.214 4342.776
1.042 3915.952 3187.188 4353.453
1.043 3927.906 3203.445 4363.807
1.044 3939.652 3219.453 4374.163
1.045 3951.2 3234.092 4384.482
1.046 3962.558 3249.345 4394.407
1.047 3973.734 3264.55 4404.394
1.048 3984.736 3279.399 4414.42
1.049 3995.569 3294.051 4424.237
1.05 4006.242 3308.098 4433.815
1.052 4016.759 3322.441 4443.297
1.053 4027.127 3336.273 4452.662
1.054 4037.351 3350.121 4461.994
1.055 4047.436 3363.824 4470.989
1.056 4057.387 3377.346 4479.985
1.057 4067.209 3390.497 4488.974
1.058 4076.907 3403 4497.697
1.059 4086.483 3415.802 4506.452
1.06 4095.943 3428.412 4515.161
1.062 4105.29 3440.516 4523.695
1.063 4114.528 3452.819 4532.245
1.064 4123.659 3464.79 4540.587
1.065 4132.688 3476.602 4548.818
1.066 4141.617 3488.241 4557.003
1.067 4150.45 3499.496 4565.09
1.068 4159.188 3510.772 4573.124
1.07 4167.835 3522.001 4581.135
1.071 4176.394 3532.732 4589.139
1.072 4184.866 3544.065 4596.81
1.073 4193.255 3555.037 4604.562
1.074 4201.562 3565.977 4612.121
1.075 4209.789 3576.616 4619.782
1.076 4217.94 3587.017 4627.241
1.078 4226.015 3597.466 4634.871
1.079 4234.017 3607.772 4642.271
1.08 4241.947 3618.104 4649.617
1.081 4249.808 3628.041 4657.007
1.082 4257.6 3638.029 4664.364
1.083 4265.327 3647.951 4671.73
1.085 4272.988 3657.734 4678.962
1.086 4280.586 3667.19 4685.972
1.087 4288.123 3677.023 4693.042
1.088 4295.599 3686.556 4700.094
1.089 4303.017 3696.042 4707.139
1.091 4310.377 3705.312 4714.089
1.092 4317.68 3714.259 4721.023
1.093 4324.929 3723.467 4727.91
1.094 4332.123 3732.613 4734.865
1.095 4339.265 3741.665 4741.779
1.096 4346.356 3750.425 4748.595
1.098 4353.396 3758.997 4755.415
1.099 4360.386 3767.934 4761.985
1.1 4367.329 3776.586 4768.484
1.101 4374.223 3785.408 4775.06
1.103 4381.072 3794.05 4781.589
1.104 4387.875 3802.452 4788.102
1.105 4394.633 3810.905 4794.581
1.106 4401.347 3819.329 4800.991
1.107 4408.019 3827.737 4807.309
1.109 4414.649 3835.979 4813.733
1.11 4421.237 3844.092 4819.931
1.111 4427.785 3852.228 4826.143
1.112 4434.294 3860.239 4832.327
1.114 4440.763 3868.344 4838.697
1.115 4447.194 3876.373 4844.777
1.116 4453.588 3884.153 4851.051
1.117 4459.944 3891.764 4857.223
1.119 4466.265 3899.565 4863.3
1.12 4472.55 3907.209 4869.309
1.121 4478.8 3914.824 4875.509
1.122 4485.016 3922.314 4881.456
